district,Neg_Nil_inc_cpl_fam_no_child_pc,Neg_Nil_inc_cpl_fam_wth_chld_pc,Neg_Nil_inc_One_parent_fam_pc,Neg_Nil_inc_Other_fam_pc,Neg_Nil_inc_Tot_pc,FI_1_149_cpl_fam_no_child_pc,FI_1_149_cpl_fam_with_child_pc,FI_1_149_One_parent_fam_pc,FI_1_149_Other_fam_pc,FI_1_149_Tot_pc,FI_150_299_cpl_fam_no_child_pc,FI_150_299_cpl_fam_with_child_pc,FI_150_299_One_parent_fam_pc,FI_150_299_Other_fam_pc,FI_150_299_Tot_pc,FI_300_399_cpl_fam_no_child_pc,FI_300_399_cpl_fam_with_child_pc,FI_300_399_One_parent_fam_pc,FI_300_399_Other_fam_pc,FI_300_399_Tot_pc,FI_400_499_cpl_fam_no_child_pc,FI_400_499_cpl_fam_with_child_pc,FI_400_499_One_parent_fam_pc,FI_400_499_Other_fam_pc,FI_400_499_Tot_pc,FI_500_649_cpl_fam_no_child_pc,FI_500_649_cpl_fam_with_child_pc,FI_500_649_One_parent_fam_pc,FI_500_649_Other_fam_pc,FI_500_649_Tot_pc,FI_650_799_cpl_fam_no_child_pc,FI_650_799_cpl_fam_with_child_pc,FI_650_799_One_parent_fam_pc,FI_650_799_Other_fam_pc,FI_650_799_Tot_pc,FI_800_999_cpl_fam_no_child_pc,FI_800_999_cpl_fam_wth_chld_pc,FI_800_999_One_parent_fam_pc,FI_800_999_Other_fam_pc,FI_800_999_Tot_pc,FI_1000_1249_cpl_fam_no_child_pc,FI_1000_1249_cpl_fam_wth_chld_pc,FI_1000_1249_One_parent_fam_pc,FI_1000_1249_Other_fam_pc,FI_1000_1249_Tot_pc,FI_1250_1499_cpl_fam_no_child_pc,FI_1250_1499_cpl_fam_wth_chld_pc,FI_1250_1499_One_parent_fam_pc,FI_1250_1499_Other_fam_pc,FI_1250_1499_Tot_pc,FI_1500_1749_cpl_fam_no_child_pc,FI_1500_1749_cpl_fam_wth_chld_pc,FI_1500_1749_One_parent_fam_pc,FI_1500_1749_Other_fam_pc,FI_1500_1749_Tot_pc,FI_1750_1999_cpl_fam_no_child_pc,FI_1750_1999_cpl_fam_wth_chld_pc,FI_1750_1999_One_parent_fam_pc,FI_1750_1999_Other_fam_pc,FI_1750_1999_Tot_pc,FI_2000_2499_cpl_fam_no_child_pc,FI_2000_2499_cpl_fam_wth_chld_pc,FI_2000_2499_One_parent_fam_pc,FI_2000_2499_Other_fam_pc,FI_2000_2499_Tot_pc,FI_2500_2999_cpl_fam_no_child_pc,FI_2500_2999_cpl_fam_wth_chld_pc,FI_2500_2999_One_parent_fam_pc,FI_2500_2999_Other_fam_pc,FI_2500_2999_Tot_pc,FI_3000_3499_cpl_fam_no_child_pc,FI_3000_3499_cpl_fam_wth_chld_pc,FI_3000_3499_One_parent_fam_pc,FI_3000_3499_Other_fam_pc,FI_3000_3499_Tot_pc,FI_3500_3999_cpl_fam_no_child_pc,FI_3500_3999_cpl_fam_wth_chld_pc,FI_3500_3999_One_parent_fam_pc,FI_3500_3999_Other_fam_pc,FI_3500_3999_Tot_pc,FI_4000_more_cpl_fam_no_child_pc,FI_4000_more_cpl_fam_wth_chld_pc,FI_4000_more_One_parent_fam_pc,FI_4000_more_Other_fam_pc,FI_4000_more_Tot_pc,Prt_inc_std_cpl_fam_no_child_pc,Part_inc_std_cpl_fam_wth_chld_pc,Part_inc_statd_One_parent_fam_pc,Partial_income_statd_Othr_fam_pc,Partial_income_stated_Tot_pc,All_inc_ns_cpl_fam_no_child_pc,All_inc_ns_cpl_fam_wth_chld_pc,All_incomes_ns_One_parent_fam_pc,All_incomes_ns_Other_fam_pc,All_incomes_ns_Tot_pc,Tot_cpl_fam_no_child_pc,Tot_cpl_fam_wth_chld_pc,Tot_One_parent_fam_pc,Tot_Other_fam_pc,Tot_Tot_pc
Morwell,0.0049,0.0006,0.0005,0.0,0.0098,0.0003,0.0,0.0,0.0,0.0007,0.0006,0.0,0.0013,0.0,0.0032,0.0002,0.0,0.0036,0.0,0.0063,0.0079,0.0009,0.0115,0.0,0.0254,0.0045,0.0004,0.0189,0.0,0.028,0.0549,0.0031,0.0212,0.0005,0.0872,0.0389,0.0086,0.0276,0.0009,0.0813,0.0344,0.0137,0.0208,0.0004,0.0743,0.0383,0.0227,0.0173,0.0002,0.0864,0.0193,0.0198,0.0113,0.0,0.0558,0.0219,0.0228,0.0062,0.0,0.0602,0.0455,0.0546,0.0108,0.0005,0.1199,0.0297,0.0467,0.0021,0.0,0.0868,0.0203,0.0363,0.0012,0.0,0.0607,0.0096,0.0153,0.0,0.0,0.0317,0.0205,0.0519,0.001,0.0,0.0775,0.0133,0.031,0.0095,0.0,0.0621,0.0046,0.0013,0.0026,0.0,0.0169,0.4123,0.3653,0.2015,0.0117,1.0
Mulgrave,0.016,0.0009,0.003,0.0,0.0274,0.0024,0.0001,0.0,0.0,0.0041,0.002,0.0002,0.0006,0.0,0.0054,0.0005,0.0009,0.0025,0.0,0.0054,0.0118,0.0011,0.0048,0.0,0.0249,0.0054,0.0029,0.0058,0.0,0.0197,0.0501,0.0083,0.007,0.0003,0.0723,0.028,0.0186,0.0147,0.0015,0.068,0.0244,0.024,0.0137,0.0014,0.0744,0.0317,0.0326,0.0148,0.0012,0.0878,0.0153,0.0281,0.0082,0.001,0.0635,0.0191,0.0305,0.0062,0.0004,0.0624,0.0325,0.0691,0.0154,0.0009,0.1261,0.0225,0.0517,0.0062,0.0004,0.085,0.013,0.0445,0.002,0.0001,0.0645,0.0063,0.0256,0.0006,0.0,0.0414,0.0161,0.0715,0.0024,0.0,0.0948,0.0095,0.0257,0.0075,0.0003,0.0514,0.0021,0.001,0.0012,0.0,0.0108,0.3461,0.4666,0.1635,0.0244,1.0
Murray Plains,0.0057,0.0004,0.0005,0.0,0.0088,0.0012,0.0,0.0,0.0,0.0032,0.0005,0.0,0.0006,0.0,0.002,0.0014,0.0003,0.003,0.0,0.0062,0.013,0.0002,0.0054,0.0,0.0252,0.0057,0.001,0.0114,0.0002,0.0258,0.0651,0.0017,0.014,0.0002,0.0879,0.0411,0.0067,0.0169,0.0003,0.0738,0.0427,0.0145,0.0146,0.0003,0.081,0.0472,0.0263,0.0126,0.0002,0.0921,0.0248,0.0272,0.0056,0.0,0.0633,0.0286,0.0262,0.0046,0.0004,0.0653,0.0552,0.0631,0.0081,0.0,0.135,0.0283,0.0476,0.0016,0.0002,0.0852,0.0183,0.0307,0.0008,0.0002,0.055,0.0059,0.0157,0.0,0.0,0.0269,0.0173,0.0378,0.0005,0.0,0.0567,0.0162,0.0344,0.0064,0.0,0.0634,0.0084,0.0017,0.0011,0.0,0.0206,0.4636,0.3685,0.1556,0.0111,1.0
Narracan,0.0074,0.0005,0.0,0.0,0.0101,0.0013,0.0,0.0003,0.0,0.0033,0.0008,0.0002,0.0005,0.0,0.0019,0.0004,0.0,0.0018,0.0,0.0037,0.0086,0.0003,0.0047,0.0,0.019,0.0053,0.0008,0.0097,0.0,0.0202,0.0518,0.0024,0.0104,0.0,0.0701,0.0351,0.0053,0.0135,0.0008,0.0625,0.0366,0.0112,0.0153,0.0004,0.0715,0.0382,0.0203,0.0125,0.0003,0.0797,0.0186,0.0225,0.0076,0.0,0.057,0.0255,0.0336,0.005,0.0004,0.0704,0.0513,0.0728,0.0117,0.0003,0.1378,0.0338,0.0559,0.0016,0.0002,0.0963,0.0232,0.0443,0.0008,0.0,0.0692,0.0081,0.0221,0.0002,0.0,0.0367,0.0242,0.0605,0.0004,0.0,0.092,0.0122,0.0333,0.009,0.0,0.0609,0.006,0.0029,0.0011,0.0,0.015,0.4294,0.4163,0.1423,0.0074,1.0
Narre Warren North,0.0092,0.0008,0.0025,0.0,0.0162,0.0018,0.0,0.0002,0.0,0.0026,0.0004,0.0001,0.0005,0.0,0.0036,0.001,0.0,0.0005,0.0,0.0039,0.007,0.0002,0.0039,0.0,0.0162,0.0046,0.0023,0.0077,0.0,0.0229,0.0429,0.007,0.0093,0.0002,0.0623,0.0218,0.013,0.0112,0.0001,0.0557,0.019,0.0246,0.0146,0.0001,0.0666,0.0272,0.0356,0.0146,0.0007,0.0841,0.0138,0.0301,0.0086,0.0001,0.0602,0.018,0.0347,0.007,0.0003,0.0697,0.0404,0.0807,0.0126,0.0009,0.1402,0.0303,0.0676,0.0036,0.0003,0.1033,0.0149,0.0506,0.0022,0.0,0.0744,0.0069,0.0324,0.0003,0.0,0.045,0.0123,0.0691,0.0011,0.0,0.0881,0.007,0.0334,0.0059,0.0,0.0537,0.0012,0.0034,0.001,0.0,0.0105,0.3225,0.5133,0.1552,0.0115,1.0
Narre Warren South,0.0072,0.001,0.0013,0.0,0.0167,0.0004,0.0,0.0001,0.0,0.0011,0.0006,0.0003,0.0008,0.0,0.0026,0.0004,0.0004,0.0007,0.0,0.003,0.0025,0.0018,0.0035,0.0,0.0126,0.0018,0.0033,0.0083,0.0,0.019,0.0243,0.0105,0.0101,0.0,0.0504,0.0143,0.0187,0.016,0.0003,0.0573,0.0176,0.0313,0.0179,0.0003,0.0691,0.0184,0.0467,0.0152,0.0003,0.0849,0.0146,0.0444,0.0081,0.0,0.07,0.0147,0.0436,0.0071,0.0,0.0693,0.0329,0.1008,0.0163,0.0005,0.1516,0.021,0.0743,0.005,0.0,0.1084,0.0096,0.0572,0.0044,0.0,0.076,0.0048,0.0342,0.0003,0.0,0.0444,0.0081,0.0649,0.0012,0.0,0.0781,0.0046,0.0342,0.0066,0.0,0.0523,0.0018,0.002,0.0009,0.0,0.0084,0.2356,0.5873,0.1592,0.0115,1.0
Nepean,0.0073,0.0,0.0002,0.0,0.0096,0.0019,0.0,0.0,0.0,0.0035,0.0008,0.0,0.0007,0.0,0.0037,0.0011,0.0,0.0011,0.0,0.0035,0.0141,0.0004,0.0036,0.0,0.0222,0.0041,0.0014,0.0076,0.0,0.0197,0.06,0.0012,0.0104,0.0,0.0789,0.0447,0.0039,0.0163,0.0005,0.0666,0.049,0.0104,0.0189,0.0006,0.0836,0.0536,0.0191,0.0138,0.0,0.0911,0.0212,0.0181,0.0069,0.0,0.0549,0.0269,0.0185,0.0079,0.0005,0.0607,0.0517,0.048,0.0085,0.0004,0.1143,0.0357,0.0379,0.0031,0.0,0.0838,0.0243,0.032,0.0003,0.0,0.0605,0.0089,0.0188,0.0,0.0,0.0355,0.051,0.0517,0.0025,0.0,0.1103,0.0155,0.0265,0.0119,0.0,0.0618,0.0096,0.0005,0.0011,0.0,0.017,0.519,0.3141,0.1545,0.0112,1.0
Niddrie,0.0096,0.0002,0.0005,0.0,0.0148,0.0013,0.0002,0.0002,0.0,0.0032,0.0004,0.0,0.0002,0.0,0.0028,0.0004,0.0004,0.0004,0.0,0.0028,0.0086,0.0002,0.0016,0.0,0.0152,0.0024,0.0007,0.002,0.0003,0.0112,0.0491,0.0014,0.004,0.0,0.0619,0.0258,0.0047,0.0099,0.0004,0.0492,0.0244,0.011,0.0156,0.0008,0.0565,0.0282,0.017,0.0134,0.0004,0.0647,0.0114,0.0172,0.0114,0.0004,0.0487,0.0117,0.0195,0.0078,0.0,0.0449,0.0332,0.0589,0.0151,0.0002,0.1147,0.0254,0.0558,0.0083,0.0,0.0949,0.0182,0.0553,0.0043,0.0,0.0859,0.0133,0.0451,0.0009,0.0,0.0668,0.0367,0.1485,0.0065,0.0,0.1899,0.0076,0.0224,0.0086,0.0002,0.0445,0.0051,0.0027,0.0006,0.0,0.0125,0.3463,0.484,0.1534,0.0124,1.0
Northcote,0.0021,0.0,0.0006,0.0,0.0056,0.0011,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0006,0.0012,0.0,0.0006,0.0,0.0018,0.0047,0.0003,0.0023,0.0,0.01,0.0027,0.0005,0.003,0.0,0.011,0.0262,0.0011,0.0053,0.0002,0.0369,0.0126,0.002,0.0087,0.0003,0.0295,0.0145,0.0058,0.0096,0.0004,0.0407,0.0182,0.0072,0.0076,0.0,0.0462,0.0141,0.008,0.0104,0.0007,0.0414,0.0162,0.0107,0.0068,0.0004,0.0453,0.0505,0.0356,0.0139,0.0004,0.1067,0.0463,0.0393,0.0037,0.0005,0.0929,0.039,0.0439,0.0047,0.0005,0.0934,0.0288,0.0346,0.0002,0.0,0.0717,0.0853,0.203,0.0066,0.0002,0.2939,0.0119,0.0181,0.0082,0.0,0.0463,0.001,0.0,0.0002,0.0,0.0035,0.4087,0.4413,0.1303,0.0155,1.0
Oakleigh,0.0108,0.0004,0.001,0.0008,0.0181,0.0026,0.0,0.0002,0.0,0.0036,0.0016,0.0002,0.0006,0.0,0.0032,0.0004,0.0,0.0001,0.0,0.0021,0.0062,0.0003,0.0013,0.0002,0.0147,0.0032,0.001,0.0047,0.0,0.0154,0.0289,0.0023,0.0051,0.0005,0.0432,0.0202,0.0047,0.0084,0.0004,0.0415,0.0223,0.0115,0.0127,0.0006,0.0561,0.0279,0.0147,0.0114,0.0016,0.0659,0.0201,0.0153,0.0079,0.0004,0.0509,0.0206,0.0186,0.0066,0.0011,0.0558,0.0526,0.0494,0.0121,0.0024,0.1273,0.0386,0.0455,0.0035,0.0014,0.0936,0.0318,0.044,0.0026,0.0002,0.0849,0.0155,0.0364,0.0015,0.0001,0.0578,0.0476,0.1375,0.0031,0.0,0.1946,0.0099,0.0201,0.004,0.0002,0.0431,0.0022,0.0005,0.0001,0.0,0.0065,0.3967,0.4379,0.132,0.029,1.0
Ovens Valley,0.0046,0.0002,0.0002,0.0,0.0079,0.0012,0.0,0.0,0.0,0.0021,0.0009,0.0,0.0005,0.0,0.0017,0.0004,0.0,0.0024,0.0,0.0039,0.0127,0.0005,0.0028,0.0,0.0202,0.0057,0.0007,0.0097,0.0,0.0229,0.0702,0.0018,0.0127,0.0,0.0942,0.044,0.006,0.0151,0.0002,0.0735,0.0425,0.0104,0.0168,0.0002,0.0789,0.0541,0.0222,0.0113,0.0,0.0938,0.0232,0.021,0.0061,0.0,0.0618,0.0297,0.0246,0.0048,0.0002,0.064,0.057,0.0578,0.0083,0.0,0.1321,0.0348,0.0464,0.0017,0.0,0.0877,0.0189,0.0343,0.0005,0.0,0.0598,0.0065,0.0173,0.0,0.0,0.0302,0.0206,0.0388,0.0009,0.0,0.0639,0.0192,0.0335,0.0084,0.0,0.0691,0.0099,0.0012,0.0005,0.0002,0.0152,0.4892,0.3534,0.1502,0.0076,1.0
Pakenham,0.0059,0.0006,0.0011,0.0,0.0102,0.0,0.0,0.0,0.0,0.0006,0.0004,0.0,0.0003,0.0,0.0018,0.0003,0.0,0.0012,0.0002,0.0039,0.003,0.0002,0.0045,0.0,0.0134,0.0016,0.0004,0.012,0.0,0.0191,0.0286,0.0043,0.0128,0.0,0.0501,0.0207,0.0084,0.0197,0.0005,0.0504,0.0212,0.0235,0.0191,0.0004,0.0701,0.0247,0.0366,0.0163,0.0006,0.0843,0.0169,0.0369,0.0092,0.0001,0.0667,0.0211,0.0447,0.0089,0.0,0.0788,0.0534,0.0933,0.0162,0.001,0.1671,0.0361,0.0715,0.0073,0.0001,0.1199,0.0188,0.0492,0.0019,0.0002,0.075,0.0086,0.0259,0.0009,0.0,0.0416,0.0117,0.0486,0.0009,0.0,0.0665,0.0079,0.028,0.0072,0.0,0.0493,0.0026,0.0017,0.0007,0.0,0.0104,0.3117,0.4976,0.1774,0.013,1.0
Pascoe Vale,0.0069,0.0002,0.0011,0.0,0.011,0.0008,0.0,0.0002,0.0,0.0016,0.0,0.0,0.0003,0.0,0.0011,0.0002,0.0,0.0012,0.0,0.0019,0.0043,0.0,0.0024,0.0,0.0114,0.002,0.0004,0.0048,0.0,0.0142,0.029,0.0021,0.0052,0.0002,0.0445,0.014,0.0046,0.0098,0.0,0.0379,0.0183,0.011,0.0144,0.0002,0.0493,0.0214,0.0147,0.01,0.0003,0.0543,0.0125,0.0147,0.0111,0.0006,0.0497,0.0161,0.0184,0.0049,0.0006,0.0549,0.0456,0.0512,0.015,0.0009,0.1214,0.0438,0.0503,0.0062,0.0001,0.1069,0.0329,0.061,0.0027,0.0,0.0996,0.0227,0.038,0.0009,0.0,0.07,0.0511,0.1414,0.0021,0.0004,0.2028,0.0105,0.0183,0.0057,0.0,0.042,0.0026,0.0011,0.0006,0.0,0.0074,0.3727,0.4585,0.1451,0.0214,1.0
Point Cook,0.0126,0.0015,0.0019,0.0,0.0212,0.0008,0.0,0.0,0.0,0.0016,0.0004,0.0004,0.0006,0.0,0.0025,0.0008,0.0,0.0007,0.0,0.0037,0.0048,0.0007,0.0031,0.0001,0.0134,0.0029,0.0014,0.0048,0.0,0.0134,0.0204,0.0058,0.0085,0.0,0.0416,0.0119,0.008,0.0099,0.0002,0.0397,0.0137,0.0167,0.0142,0.0,0.0554,0.0172,0.028,0.0103,0.0002,0.0632,0.0088,0.0286,0.0079,0.0,0.0509,0.0092,0.0318,0.0071,0.0,0.0554,0.0359,0.088,0.0128,0.0006,0.1415,0.0238,0.0695,0.0038,0.0,0.1046,0.0185,0.0733,0.002,0.0,0.0951,0.0114,0.0455,0.0009,0.0,0.0609,0.0237,0.1315,0.0015,0.0002,0.1619,0.0065,0.0309,0.0054,0.0,0.0495,0.002,0.0029,0.0008,0.0,0.0089,0.2667,0.5854,0.1398,0.0101,1.0
Polwarth,0.0058,0.0005,0.0004,0.0,0.0104,0.0011,0.0,0.0,0.0,0.0014,0.001,0.0,0.0006,0.0,0.0023,0.0002,0.0,0.0006,0.0,0.0017,0.0103,0.0,0.0021,0.0,0.0168,0.0061,0.0003,0.0068,0.0,0.0189,0.0433,0.0018,0.0069,0.0002,0.061,0.034,0.0041,0.0121,0.0004,0.0586,0.0379,0.0106,0.0111,0.0002,0.0689,0.043,0.0177,0.0066,0.0003,0.0785,0.019,0.0204,0.0081,0.0,0.0568,0.0296,0.0217,0.0048,0.0,0.0636,0.0519,0.0584,0.0098,0.0006,0.1239,0.0336,0.0553,0.0029,0.0,0.0935,0.0246,0.0482,0.0006,0.0,0.0774,0.0117,0.0291,0.0002,0.0,0.0448,0.0385,0.0809,0.0017,0.0,0.1274,0.013,0.0346,0.0075,0.0,0.0652,0.0068,0.0018,0.0007,0.0,0.0143,0.4494,0.416,0.1243,0.0086,1.0
Prahran,0.0031,0.0004,0.0018,0.0002,0.0084,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0004,0.0,0.0021,0.0003,0.0,0.0007,0.0,0.0015,0.0028,0.0,0.0017,0.0,0.0073,0.0023,0.0003,0.0029,0.0,0.0103,0.0111,0.0002,0.0034,0.0004,0.0179,0.0089,0.0013,0.0041,0.0004,0.0218,0.0177,0.002,0.006,0.0007,0.0347,0.0257,0.003,0.0045,0.002,0.0472,0.0199,0.0028,0.0028,0.0005,0.0373,0.0279,0.0032,0.0029,0.0013,0.0451,0.0791,0.0194,0.0113,0.002,0.1161,0.0784,0.0127,0.0009,0.0022,0.1008,0.0644,0.0165,0.0013,0.0002,0.0901,0.0564,0.0124,0.0,0.0,0.0714,0.1775,0.1041,0.0055,0.0009,0.3,0.019,0.0122,0.005,0.0002,0.046,0.0024,0.0002,0.0005,0.0,0.0054,0.6342,0.2271,0.1042,0.0324,1.0
Preston,0.0062,0.0008,0.001,0.0,0.0138,0.0021,0.0004,0.0003,0.0,0.0043,0.0007,0.0004,0.0005,0.0,0.0032,0.0002,0.0,0.0017,0.0,0.0044,0.0086,0.0011,0.0034,0.0,0.0187,0.0021,0.002,0.0085,0.0,0.0205,0.0436,0.0048,0.0081,0.0006,0.0675,0.0235,0.0102,0.0173,0.0015,0.0541,0.0205,0.0178,0.017,0.0007,0.058,0.0252,0.0236,0.0151,0.0007,0.0743,0.0179,0.0243,0.0114,0.0006,0.0581,0.0169,0.0254,0.009,0.0005,0.0595,0.0488,0.0547,0.013,0.0025,0.1248,0.0399,0.0516,0.0037,0.0008,0.0996,0.0284,0.0486,0.0016,0.0002,0.0841,0.0222,0.0331,0.0007,0.0,0.0585,0.0329,0.0764,0.0019,0.0,0.1136,0.0086,0.0198,0.0088,0.0004,0.0453,0.005,0.0011,0.0012,0.0002,0.0123,0.3823,0.4171,0.1708,0.0281,1.0
Richmond,0.0015,0.0002,0.0013,0.0002,0.006,0.0003,0.0,0.0008,0.0,0.002,0.0,0.0,0.0029,0.0,0.0044,0.0,0.0002,0.0045,0.0,0.0057,0.0023,0.0017,0.0061,0.0,0.0135,0.0022,0.0008,0.006,0.0002,0.0132,0.011,0.0017,0.0062,0.0,0.0274,0.0099,0.0047,0.0099,0.0013,0.0287,0.0132,0.0035,0.0075,0.0003,0.0307,0.0187,0.0057,0.0035,0.0011,0.0368,0.0125,0.0048,0.0041,0.0004,0.0289,0.0195,0.0052,0.0042,0.0004,0.0341,0.0639,0.0173,0.0092,0.002,0.1014,0.0626,0.016,0.0023,0.0005,0.0924,0.0654,0.0211,0.0026,0.0007,0.0947,0.0506,0.0173,0.0005,0.0,0.0744,0.1811,0.1305,0.006,0.001,0.3292,0.0136,0.0111,0.007,0.0,0.0414,0.0005,0.0006,0.001,0.0,0.0031,0.5643,0.2759,0.125,0.0305,1.0
Ringwood,0.0095,0.0005,0.0014,0.0,0.015,0.0011,0.0004,0.0004,0.0,0.0037,0.0009,0.0,0.0001,0.0,0.0029,0.0006,0.0,0.0009,0.0,0.0032,0.0047,0.0005,0.0017,0.0,0.0124,0.0033,0.0007,0.0033,0.0,0.0128,0.0245,0.0036,0.0065,0.0,0.0412,0.0237,0.0072,0.0092,0.0,0.0447,0.0286,0.0104,0.0156,0.0005,0.0597,0.0315,0.0157,0.0123,0.0011,0.0711,0.0153,0.0178,0.0086,0.001,0.0498,0.0198,0.0209,0.0065,0.0001,0.0533,0.0437,0.0565,0.0117,0.0011,0.1204,0.0334,0.0551,0.0043,0.0,0.0985,0.0257,0.0585,0.0018,0.0,0.0922,0.0173,0.0426,0.0003,0.0,0.0657,0.0411,0.1392,0.0025,0.0002,0.1866,0.0072,0.0235,0.0083,0.0001,0.0452,0.0012,0.0004,0.0007,0.0,0.0054,0.3548,0.4856,0.1423,0.0137,1.0
Ripon,0.0043,0.0003,0.0005,0.0,0.0067,0.0024,0.0,0.0,0.0,0.0032,0.0006,0.0002,0.0007,0.0,0.0024,0.0002,0.0,0.0021,0.0,0.0036,0.0128,0.0004,0.0035,0.0,0.0237,0.0068,0.0007,0.0104,0.0,0.0249,0.0714,0.0039,0.0121,0.0002,0.0933,0.0431,0.0049,0.0163,0.0004,0.0744,0.0412,0.0154,0.0172,0.0002,0.0832,0.0438,0.0252,0.0123,0.0,0.0921,0.0209,0.0238,0.0068,0.0,0.0591,0.0271,0.0274,0.005,0.0002,0.0689,0.051,0.0646,0.0045,0.0002,0.1284,0.0303,0.0471,0.0015,0.0,0.0837,0.0162,0.0338,0.0005,0.0,0.0572,0.0045,0.02,0.0,0.0,0.0289,0.0162,0.0422,0.0002,0.0,0.0629,0.0183,0.0309,0.0091,0.0002,0.0658,0.0092,0.0023,0.0007,0.0,0.0182,0.4576,0.3777,0.1525,0.0084,1.0
Rowville,0.0116,0.0001,0.0009,0.0,0.0171,0.001,0.0,0.0,0.0,0.0019,0.0011,0.0001,0.0,0.0,0.0031,0.0003,0.0002,0.0004,0.0,0.0031,0.0052,0.0004,0.0014,0.0,0.0115,0.0026,0.0017,0.0045,0.0,0.0137,0.035,0.0032,0.0042,0.0,0.0472,0.024,0.006,0.0068,0.0001,0.0417,0.0253,0.0138,0.0097,0.0006,0.0551,0.028,0.0195,0.0114,0.0003,0.068,0.0144,0.0228,0.008,0.0,0.0503,0.0165,0.0277,0.0055,0.0,0.0571,0.0372,0.0687,0.0117,0.0004,0.1232,0.0258,0.0661,0.0065,0.0,0.1078,0.019,0.0666,0.0017,0.0,0.0942,0.0094,0.0444,0.002,0.0,0.0614,0.0252,0.1362,0.0025,0.0002,0.1704,0.0074,0.0254,0.0044,0.0,0.0457,0.0017,0.0006,0.0003,0.0,0.0066,0.3306,0.5333,0.1247,0.0068,1.0
Sandringham,0.0032,0.0006,0.0009,0.0,0.0079,0.0014,0.0,0.0,0.0,0.0019,0.0005,0.0,0.0003,0.0,0.0015,0.0006,0.0,0.0007,0.0,0.0024,0.0039,0.0003,0.0018,0.0,0.0094,0.0011,0.0,0.0023,0.0,0.0089,0.0175,0.0006,0.0032,0.0,0.0315,0.0153,0.0015,0.0086,0.0,0.0327,0.0279,0.0016,0.0117,0.0,0.0472,0.0324,0.0061,0.0072,0.0009,0.0505,0.0164,0.0058,0.007,0.0002,0.0368,0.0217,0.0082,0.0057,0.0,0.0415,0.0421,0.0347,0.0129,0.0,0.0943,0.0372,0.0325,0.0027,0.0003,0.0805,0.0316,0.0445,0.0038,0.0002,0.0857,0.0217,0.0329,0.0006,0.0003,0.0622,0.0783,0.2456,0.0082,0.0,0.3364,0.0105,0.0293,0.0078,0.0,0.055,0.0019,0.0004,0.0001,0.0,0.0057,0.3963,0.4697,0.1268,0.0079,1.0
Shepparton,0.0054,0.0012,0.0005,0.0,0.0128,0.0022,0.0,0.0,0.0,0.0029,0.0005,0.0,0.0002,0.0,0.0023,0.0002,0.0,0.0031,0.0,0.0039,0.0063,0.0009,0.0073,0.0,0.0219,0.0045,0.0016,0.0126,0.0002,0.0239,0.0528,0.0056,0.0155,0.0,0.0811,0.0312,0.0091,0.0192,0.0011,0.0693,0.0323,0.016,0.0217,0.0002,0.0804,0.0435,0.028,0.0151,0.0008,0.0912,0.0191,0.0296,0.0076,0.0003,0.0624,0.0252,0.0312,0.0057,0.0002,0.07,0.0492,0.0648,0.0105,0.0003,0.1306,0.0303,0.0513,0.0031,0.0,0.0892,0.0155,0.0354,0.0011,0.0,0.0595,0.0059,0.0232,0.0002,0.0,0.0345,0.0172,0.0451,0.0,0.0,0.0699,0.0134,0.0269,0.0093,0.0,0.0583,0.0071,0.002,0.0025,0.0,0.0201,0.4065,0.4051,0.1778,0.0109,1.0
South Barwon,0.0024,0.0002,0.0002,0.0,0.0048,0.0009,0.0003,0.0002,0.0,0.0022,0.0006,0.0002,0.0004,0.0,0.0017,0.0009,0.0,0.0001,0.0,0.0007,0.0053,0.0,0.0019,0.0,0.0104,0.0034,0.0004,0.0058,0.0,0.0141,0.0327,0.0012,0.0067,0.0,0.0464,0.0254,0.0033,0.0114,0.0003,0.0497,0.0275,0.008,0.0144,0.0002,0.056,0.0324,0.0202,0.013,0.0002,0.0725,0.0179,0.0196,0.0091,0.0,0.0551,0.0226,0.0264,0.0065,0.0002,0.0616,0.0518,0.0745,0.0136,0.0003,0.1469,0.042,0.0696,0.0045,0.0,0.1183,0.028,0.0639,0.0023,0.0,0.0996,0.0141,0.0437,0.0004,0.0,0.0572,0.0287,0.0944,0.0021,0.0,0.1305,0.0098,0.0242,0.0051,0.0002,0.0481,0.0032,0.0009,0.0,0.0,0.0054,0.3846,0.4672,0.1346,0.0108,1.0
