district,CF_no_children_F_pc,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P_pc,CF_Total_F_pc,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F_pc,OPF_Total_P_pc,Other_family_F_pc,Other_family_P_pc,Total_F_pc,Total_P_pc
Polwarth,0.158,0.3142,0.0013,0.0137,0.0159,0.075,0.0027,0.0155,0.0815,0.3225,0.103,0.4276,0.0058,0.0271,0.0117,0.0403,0.0232,0.0736,0.042,0.1424,0.1463,0.569,0.0001,0.002,0.002,0.0112,0.0004,0.0032,0.0162,0.0429,0.0207,0.0586,0.0009,0.0059,0.0026,0.0088,0.0159,0.0345,0.0214,0.0493,0.0437,0.1083,0.003,0.0077,0.3516,1.0
Prahran,0.2692,0.5336,0.0,0.0024,0.0043,0.022,0.0002,0.0014,0.0663,0.2323,0.0731,0.259,0.0021,0.0118,0.0091,0.035,0.01,0.033,0.0235,0.0798,0.0964,0.3383,0.0,0.001,0.0007,0.0073,0.0,0.0012,0.0143,0.0334,0.017,0.0441,0.0006,0.0038,0.0078,0.0193,0.0157,0.0316,0.025,0.0549,0.0442,0.0986,0.0137,0.029,0.4245,1.0
Preston,0.1347,0.2713,0.0011,0.0103,0.0112,0.0529,0.0014,0.0103,0.0861,0.3213,0.1006,0.3938,0.0068,0.034,0.0101,0.0386,0.0269,0.0875,0.0451,0.1613,0.1469,0.5565,0.0001,0.0024,0.0023,0.0104,0.0004,0.0043,0.018,0.0456,0.0224,0.0628,0.0016,0.0091,0.0048,0.0131,0.0296,0.0661,0.0381,0.0889,0.0602,0.1501,0.0099,0.0225,0.3523,1.0
Richmond,0.2249,0.4482,0.0,0.0022,0.0067,0.0316,0.0006,0.0051,0.0731,0.2647,0.0826,0.3028,0.0025,0.015,0.0117,0.0403,0.0135,0.0427,0.0291,0.0988,0.11,0.4031,0.0001,0.002,0.0022,0.0095,0.0008,0.0032,0.0178,0.0439,0.0226,0.0593,0.0004,0.0043,0.0061,0.0156,0.0179,0.0401,0.0271,0.0615,0.0498,0.1211,0.0122,0.0256,0.3987,1.0
Ringwood,0.1205,0.2432,0.0011,0.0109,0.0154,0.071,0.001,0.008,0.0974,0.3669,0.1164,0.4576,0.0091,0.038,0.0158,0.0562,0.0226,0.0759,0.048,0.1704,0.1649,0.6274,0.0,0.0014,0.0019,0.0104,0.0,0.0023,0.013,0.0337,0.0179,0.0476,0.002,0.0089,0.0059,0.0166,0.0198,0.0431,0.0302,0.0691,0.0483,0.1173,0.0046,0.0118,0.3395,1.0
Ripon,0.1629,0.3252,0.0012,0.0141,0.0137,0.0668,0.0031,0.0197,0.069,0.2824,0.0916,0.3826,0.0051,0.0263,0.0085,0.033,0.0273,0.0871,0.0435,0.1449,0.1345,0.5276,0.0002,0.0034,0.0026,0.0116,0.0011,0.0077,0.0208,0.0573,0.0277,0.0808,0.0008,0.0054,0.0032,0.0082,0.0203,0.0461,0.0263,0.0585,0.0543,0.1382,0.003,0.0104,0.356,1.0
Rowville,0.1082,0.2187,0.0012,0.0115,0.0159,0.0735,0.0017,0.0132,0.0746,0.2903,0.0966,0.3891,0.0145,0.0609,0.0217,0.0767,0.0426,0.1425,0.0781,0.2801,0.1746,0.669,0.0,0.0017,0.0024,0.0092,0.0001,0.0027,0.0101,0.0278,0.0149,0.043,0.0016,0.0082,0.0046,0.0128,0.0181,0.0404,0.0254,0.0619,0.0408,0.1044,0.0022,0.0081,0.3274,1.0
Sandringham,0.1364,0.272,0.0008,0.0074,0.0176,0.0806,0.0005,0.0057,0.0834,0.3189,0.1042,0.4143,0.0095,0.04,0.0235,0.0855,0.0247,0.0778,0.0568,0.2039,0.1616,0.6191,0.0,0.0011,0.0032,0.0114,0.0001,0.0009,0.0134,0.0309,0.0183,0.0442,0.0013,0.0075,0.0077,0.0189,0.0158,0.0329,0.0269,0.0586,0.0436,0.1038,0.0027,0.006,0.3442,1.0
Shepparton,0.1385,0.2753,0.0021,0.0193,0.0135,0.0692,0.003,0.0199,0.0748,0.2985,0.0967,0.4065,0.005,0.0304,0.0085,0.03,0.0263,0.0847,0.0426,0.145,0.138,0.553,0.0003,0.0048,0.004,0.0172,0.0016,0.0097,0.0241,0.068,0.0321,0.1007,0.0014,0.0075,0.0032,0.0095,0.0211,0.0447,0.0267,0.0616,0.0606,0.1617,0.0037,0.0107,0.3408,1.0
South Barwon,0.1306,0.2594,0.0007,0.0093,0.0144,0.0659,0.0022,0.0139,0.0969,0.3744,0.1157,0.4629,0.0065,0.0305,0.0136,0.0487,0.0227,0.0717,0.0442,0.1512,0.1587,0.6141,0.0001,0.0032,0.0032,0.0143,0.0007,0.0054,0.0168,0.0435,0.0241,0.066,0.0011,0.0062,0.0047,0.0117,0.0148,0.0333,0.0218,0.0513,0.0457,0.1163,0.0037,0.0091,0.3396,1.0
