district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_FamHhold_pc,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Essendon,Null,Null,9393.0,0.3286,9393.0,0.3286,8119.0,0.284,957.0,0.0335,9100.0,0.3183,3820.0,0.1336,288.0,0.0101,4172.0,0.1459,3980.0,0.1392,82.0,0.0029,4109.0,0.1437,1432.0,0.0501,7.0,0.0002,1466.0,0.0513,358.0,0.0125,0.0,0.0,378.0,0.0132,17758.0,0.6211,10863.0,0.38,28589.0,1.0,28589.0
Eureka,Null,Null,7085.0,0.2562,7085.0,0.2562,8897.0,0.3217,566.0,0.0205,9516.0,0.3441,4034.0,0.1459,94.0,0.0034,4152.0,0.1501,4155.0,0.1502,28.0,0.001,4199.0,0.1518,1867.0,0.0675,8.0,0.0003,1909.0,0.069,688.0,0.0249,0.0,0.0,692.0,0.025,19785.0,0.7153,7927.0,0.2866,27658.0,1.0,27658.0
Euroa,Null,Null,7859.0,0.3015,7859.0,0.3015,9500.0,0.3644,555.0,0.0213,10001.0,0.3837,3298.0,0.1265,36.0,0.0014,3316.0,0.1272,2826.0,0.1084,0.0,0.0,2841.0,0.109,1308.0,0.0502,0.0,0.0,1316.0,0.0505,573.0,0.022,5.0,0.0002,586.0,0.0225,17523.0,0.6722,8549.0,0.328,26067.0,1.0,26067.0
Evelyn,Null,Null,4623.0,0.1915,4623.0,0.1915,7592.0,0.3145,325.0,0.0135,7904.0,0.3274,4086.0,0.1693,16.0,0.0007,4141.0,0.1715,4697.0,0.1946,3.0,0.0001,4715.0,0.1953,1901.0,0.0787,0.0,0.0,1908.0,0.079,820.0,0.034,3.0,0.0001,827.0,0.0343,19072.0,0.79,5024.0,0.2081,24141.0,1.0,24141.0
Footscray,Null,Null,8787.0,0.3015,8787.0,0.3015,8504.0,0.2917,1340.0,0.046,9809.0,0.3365,4233.0,0.1452,519.0,0.0178,4855.0,0.1666,3940.0,0.1352,121.0,0.0042,4098.0,0.1406,1108.0,0.038,26.0,0.0009,1177.0,0.0404,389.0,0.0133,12.0,0.0004,408.0,0.014,18153.0,0.6228,11019.0,0.378,29149.0,1.0,29149.0
Frankston,Null,Null,8765.0,0.3224,8765.0,0.3224,8170.0,0.3005,750.0,0.0276,8887.0,0.3268,4067.0,0.1496,87.0,0.0032,4177.0,0.1536,3521.0,0.1295,11.0,0.0004,3542.0,0.1303,1258.0,0.0463,0.0,0.0,1262.0,0.0464,476.0,0.0175,0.0,0.0,485.0,0.0178,17536.0,0.6449,9754.0,0.3587,27190.0,1.0,27190.0
Geelong,Null,Null,9459.0,0.3252,9459.0,0.3252,8740.0,0.3005,792.0,0.0272,9635.0,0.3313,3847.0,0.1323,258.0,0.0089,4104.0,0.1411,3626.0,0.1247,89.0,0.0031,3723.0,0.128,1498.0,0.0515,7.0,0.0002,1530.0,0.0526,429.0,0.0147,0.0,0.0,462.0,0.0159,18332.0,0.6303,10773.0,0.3704,29086.0,1.0,29086.0
Gippsland East,Null,Null,7870.0,0.3083,7870.0,0.3083,9806.0,0.3841,435.0,0.017,10359.0,0.4057,2889.0,0.1132,42.0,0.0016,2939.0,0.1151,2608.0,0.1022,9.0,0.0004,2632.0,0.1031,1257.0,0.0492,0.0,0.0,1260.0,0.0494,487.0,0.0191,0.0,0.0,509.0,0.0199,17122.0,0.6706,8422.0,0.3299,25531.0,1.0,25531.0
Gippsland South,Null,Null,7746.0,0.3031,7746.0,0.3031,9312.0,0.3643,449.0,0.0176,9853.0,0.3855,3139.0,0.1228,23.0,0.0009,3208.0,0.1255,2786.0,0.109,0.0,0.0,2783.0,0.1089,1466.0,0.0574,0.0,0.0,1476.0,0.0577,607.0,0.0237,0.0,0.0,603.0,0.0236,17272.0,0.6757,8305.0,0.3249,25560.0,1.0,25560.0
Glen Waverley,Null,Null,5314.0,0.1877,5314.0,0.1877,8265.0,0.292,366.0,0.0129,8614.0,0.3043,5059.0,0.1787,159.0,0.0056,5273.0,0.1863,6080.0,0.2148,60.0,0.0021,6223.0,0.2199,2041.0,0.0721,21.0,0.0007,2094.0,0.074,848.0,0.03,12.0,0.0004,910.0,0.0321,22226.0,0.7852,6132.0,0.2166,28305.0,1.0,28305.0
