district,census_variable,value
Narre Warren South,Num_Psns_UR_1_Total,3361.0
Nepean,Num_Psns_UR_1_Total,7734.0
Niddrie,Num_Psns_UR_1_Total,5845.0
Northcote,Num_Psns_UR_1_Total,8919.0
Oakleigh,Num_Psns_UR_1_Total,9516.0
Ovens Valley,Num_Psns_UR_1_Total,7497.0
Pakenham,Num_Psns_UR_1_Total,5172.0
Pascoe Vale,Num_Psns_UR_1_Total,7420.0
Point Cook,Num_Psns_UR_1_Total,4722.0
Polwarth,Num_Psns_UR_1_Total,7086.0
Prahran,Num_Psns_UR_1_Total,17698.0
Preston,Num_Psns_UR_1_Total,8820.0
Richmond,Num_Psns_UR_1_Total,11911.0
Ringwood,Num_Psns_UR_1_Total,8118.0
Ripon,Num_Psns_UR_1_Total,7941.0
Rowville,Num_Psns_UR_1_Total,4071.0
Sandringham,Num_Psns_UR_1_Total,7038.0
Shepparton,Num_Psns_UR_1_Total,7816.0
South Barwon,Num_Psns_UR_1_Total,5857.0
South-West Coast,Num_Psns_UR_1_Total,7927.0
St Albans,Num_Psns_UR_1_Total,5047.0
Sunbury,Num_Psns_UR_1_Total,5430.0
Sydenham,Num_Psns_UR_1_Total,3316.0
Tarneit,Num_Psns_UR_1_Total,4201.0
Thomastown,Num_Psns_UR_1_Total,5064.0
Warrandyte,Num_Psns_UR_1_Total,4270.0
Wendouree,Num_Psns_UR_1_Total,9045.0
Werribee,Num_Psns_UR_1_Total,5741.0
Williamstown,Num_Psns_UR_1_Total,6790.0
Yan Yean,Num_Psns_UR_1_Total,3490.0
Albert Park,Num_Psns_UR_1_Total_pc,0.42
Ashwood,Num_Psns_UR_1_Total_pc,0.2098
Bass,Num_Psns_UR_1_Total_pc,0.2684
Bayswater,Num_Psns_UR_1_Total_pc,0.2423
Bellarine,Num_Psns_UR_1_Total_pc,0.2516
Benambra,Num_Psns_UR_1_Total_pc,0.2761
Bendigo East,Num_Psns_UR_1_Total_pc,0.2674
Bendigo West,Num_Psns_UR_1_Total_pc,0.3185
Bentleigh,Num_Psns_UR_1_Total_pc,0.2361
Berwick,Num_Psns_UR_1_Total_pc,0.1412
Box Hill,Num_Psns_UR_1_Total_pc,0.2686
Brighton,Num_Psns_UR_1_Total_pc,0.3046
Broadmeadows,Num_Psns_UR_1_Total_pc,0.2538
Brunswick,Num_Psns_UR_1_Total_pc,0.3427
Bulleen,Num_Psns_UR_1_Total_pc,0.2159
Bundoora,Num_Psns_UR_1_Total_pc,0.2325
Carrum,Num_Psns_UR_1_Total_pc,0.2452
Caulfield,Num_Psns_UR_1_Total_pc,0.3247
Clarinda,Num_Psns_UR_1_Total_pc,0.2066
Cranbourne,Num_Psns_UR_1_Total_pc,0.1672
Croydon,Num_Psns_UR_1_Total_pc,0.2588
Dandenong,Num_Psns_UR_1_Total_pc,0.2443
Eildon,Num_Psns_UR_1_Total_pc,0.2583
Eltham,Num_Psns_UR_1_Total_pc,0.1775
Essendon,Num_Psns_UR_1_Total_pc,0.3286
Eureka,Num_Psns_UR_1_Total_pc,0.2562
Euroa,Num_Psns_UR_1_Total_pc,0.3015
Evelyn,Num_Psns_UR_1_Total_pc,0.1915
Footscray,Num_Psns_UR_1_Total_pc,0.3015
Frankston,Num_Psns_UR_1_Total_pc,0.3224
Geelong,Num_Psns_UR_1_Total_pc,0.3252
Gippsland East,Num_Psns_UR_1_Total_pc,0.3083
Gippsland South,Num_Psns_UR_1_Total_pc,0.3031
Glen Waverley,Num_Psns_UR_1_Total_pc,0.1877
