district,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot,Tot_Tot_total
Geelong,45.0,40.0,22.0,0.0,7.0,0.0,203.0,7.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,5.0,3.0,0.0,4.0,0.0,80.0,12.0,6.0,4.0,0.0,4.0,0.0,64.0,32.0,33.0,22.0,3.0,13.0,0.0,178.0,41.0,56.0,19.0,0.0,4.0,0.0,236.0,87.0,121.0,13.0,0.0,7.0,0.0,409.0,116.0,215.0,23.0,24.0,32.0,0.0,570.0,102.0,210.0,36.0,25.0,18.0,0.0,581.0,164.0,294.0,24.0,15.0,12.0,0.0,744.0,137.0,199.0,26.0,3.0,0.0,0.0,441.0,198.0,384.0,61.0,13.0,9.0,0.0,804.0,48.0,142.0,24.0,0.0,4.0,0.0,322.0,36.0,121.0,0.0,0.0,0.0,0.0,242.0,63.0,302.0,21.0,0.0,0.0,0.0,513.0,106.0,341.0,29.0,4.0,0.0,0.0,628.0,16.0,110.0,5.0,0.0,0.0,0.0,233.0,11.0,73.0,6.0,0.0,0.0,0.0,166.0,62.0,121.0,49.0,14.0,5.0,0.0,392.0,2169.0,3550.0,1006.0,377.0,396.0,29.0,7644.0,7644.0
Gippsland East,51.0,12.0,12.0,0.0,3.0,0.0,147.0,25.0,14.0,0.0,0.0,0.0,0.0,42.0,64.0,6.0,5.0,3.0,0.0,0.0,141.0,33.0,17.0,0.0,4.0,4.0,0.0,120.0,91.0,78.0,28.0,8.0,15.0,0.0,353.0,128.0,177.0,63.0,15.0,3.0,0.0,558.0,139.0,212.0,32.0,19.0,9.0,0.0,678.0,220.0,290.0,72.0,19.0,15.0,0.0,774.0,141.0,261.0,26.0,19.0,0.0,0.0,614.0,94.0,257.0,43.0,9.0,4.0,0.0,559.0,65.0,136.0,11.0,0.0,0.0,0.0,250.0,96.0,157.0,28.0,0.0,3.0,0.0,388.0,13.0,40.0,0.0,0.0,0.0,0.0,89.0,4.0,27.0,0.0,0.0,0.0,0.0,41.0,33.0,36.0,8.0,0.0,0.0,0.0,131.0,24.0,51.0,3.0,0.0,0.0,0.0,157.0,3.0,8.0,5.0,0.0,0.0,0.0,34.0,4.0,18.0,3.0,0.0,0.0,0.0,44.0,82.0,88.0,7.0,0.0,0.0,0.0,301.0,2098.0,2513.0,855.0,363.0,250.0,6.0,6160.0,6160.0
Gippsland South,78.0,39.0,20.0,0.0,0.0,0.0,220.0,17.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,0.0,8.0,0.0,0.0,0.0,147.0,45.0,9.0,9.0,0.0,8.0,0.0,169.0,87.0,58.0,17.0,11.0,7.0,0.0,358.0,155.0,134.0,51.0,17.0,12.0,0.0,544.0,187.0,220.0,40.0,43.0,14.0,0.0,734.0,190.0,283.0,40.0,25.0,12.0,0.0,743.0,120.0,292.0,74.0,28.0,4.0,0.0,727.0,104.0,289.0,44.0,11.0,4.0,0.0,659.0,56.0,146.0,15.0,3.0,0.0,0.0,351.0,82.0,245.0,42.0,0.0,0.0,0.0,498.0,19.0,60.0,3.0,0.0,0.0,0.0,144.0,18.0,35.0,7.0,0.0,0.0,0.0,110.0,48.0,53.0,11.0,0.0,0.0,0.0,232.0,56.0,88.0,7.0,3.0,0.0,0.0,237.0,0.0,37.0,0.0,0.0,0.0,0.0,58.0,9.0,11.0,3.0,0.0,0.0,0.0,57.0,91.0,111.0,20.0,14.0,7.0,0.0,398.0,2190.0,2789.0,1010.0,427.0,314.0,28.0,6913.0,6913.0
Glen Waverley,96.0,74.0,119.0,0.0,17.0,0.0,513.0,3.0,3.0,0.0,0.0,0.0,0.0,35.0,6.0,0.0,15.0,0.0,0.0,0.0,59.0,0.0,11.0,6.0,0.0,0.0,0.0,57.0,15.0,9.0,18.0,0.0,0.0,0.0,94.0,5.0,29.0,21.0,0.0,3.0,0.0,107.0,29.0,25.0,33.0,0.0,0.0,0.0,202.0,19.0,30.0,19.0,0.0,0.0,0.0,183.0,17.0,49.0,45.0,6.0,0.0,0.0,205.0,11.0,69.0,46.0,9.0,10.0,0.0,333.0,12.0,71.0,15.0,0.0,0.0,0.0,171.0,68.0,269.0,120.0,0.0,4.0,0.0,698.0,18.0,102.0,28.0,0.0,4.0,0.0,289.0,25.0,119.0,32.0,3.0,0.0,0.0,355.0,59.0,240.0,45.0,0.0,19.0,0.0,549.0,209.0,820.0,201.0,23.0,8.0,0.0,1539.0,108.0,456.0,62.0,11.0,7.0,0.0,863.0,72.0,374.0,82.0,16.0,11.0,0.0,756.0,51.0,208.0,77.0,7.0,11.0,0.0,543.0,1615.0,3883.0,2060.0,272.0,456.0,16.0,8475.0,8475.0
Greenvale,29.0,67.0,68.0,0.0,13.0,0.0,343.0,5.0,3.0,11.0,0.0,0.0,0.0,45.0,31.0,3.0,11.0,0.0,10.0,0.0,141.0,17.0,4.0,12.0,0.0,4.0,0.0,101.0,14.0,29.0,38.0,3.0,18.0,0.0,213.0,44.0,49.0,32.0,0.0,17.0,0.0,304.0,45.0,131.0,92.0,15.0,29.0,0.0,516.0,67.0,211.0,147.0,23.0,58.0,0.0,733.0,79.0,393.0,132.0,15.0,23.0,0.0,882.0,107.0,417.0,105.0,15.0,15.0,0.0,937.0,105.0,355.0,107.0,11.0,24.0,0.0,735.0,201.0,645.0,246.0,32.0,26.0,0.0,1317.0,59.0,235.0,33.0,9.0,5.0,0.0,465.0,37.0,226.0,13.0,0.0,0.0,0.0,423.0,67.0,244.0,82.0,8.0,0.0,0.0,525.0,115.0,337.0,104.0,9.0,7.0,0.0,735.0,15.0,114.0,38.0,0.0,0.0,0.0,227.0,8.0,63.0,19.0,0.0,4.0,0.0,136.0,113.0,276.0,138.0,19.0,12.0,0.0,807.0,1909.0,4510.0,2372.0,562.0,785.0,23.0,10341.0,10341.0
Hastings,54.0,18.0,36.0,0.0,0.0,0.0,277.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,26.0,7.0,9.0,0.0,0.0,0.0,131.0,0.0,0.0,3.0,0.0,5.0,0.0,80.0,48.0,14.0,17.0,9.0,10.0,0.0,191.0,73.0,43.0,27.0,9.0,48.0,0.0,335.0,87.0,52.0,51.0,19.0,30.0,0.0,417.0,116.0,187.0,73.0,35.0,36.0,0.0,618.0,183.0,238.0,61.0,16.0,32.0,0.0,707.0,197.0,382.0,78.0,20.0,21.0,0.0,900.0,194.0,308.0,50.0,26.0,0.0,0.0,712.0,266.0,519.0,107.0,10.0,16.0,0.0,1125.0,134.0,265.0,22.0,0.0,4.0,0.0,559.0,85.0,180.0,11.0,6.0,0.0,0.0,370.0,145.0,385.0,66.0,8.0,5.0,0.0,768.0,149.0,391.0,86.0,0.0,4.0,0.0,763.0,34.0,98.0,15.0,3.0,0.0,0.0,248.0,39.0,51.0,13.0,0.0,0.0,0.0,144.0,70.0,183.0,68.0,15.0,7.0,0.0,526.0,2586.0,4006.0,1539.0,505.0,561.0,29.0,9401.0,9401.0
Hawthorn,38.0,57.0,33.0,0.0,7.0,0.0,337.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,4.0,0.0,0.0,0.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,48.0,21.0,17.0,7.0,0.0,0.0,0.0,100.0,18.0,7.0,7.0,0.0,0.0,0.0,78.0,34.0,31.0,15.0,0.0,0.0,0.0,145.0,48.0,17.0,7.0,0.0,0.0,0.0,176.0,22.0,25.0,0.0,0.0,0.0,0.0,102.0,104.0,95.0,37.0,0.0,0.0,0.0,395.0,18.0,18.0,3.0,0.0,0.0,0.0,92.0,42.0,43.0,3.0,0.0,0.0,0.0,184.0,39.0,74.0,24.0,0.0,0.0,0.0,216.0,139.0,396.0,121.0,8.0,0.0,0.0,795.0,63.0,376.0,101.0,3.0,3.0,0.0,718.0,198.0,995.0,255.0,35.0,20.0,0.0,1639.0,57.0,132.0,58.0,10.0,16.0,0.0,452.0,1542.0,2863.0,1261.0,215.0,271.0,6.0,6337.0,6337.0
Ivanhoe,16.0,27.0,38.0,0.0,8.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,4.0,0.0,0.0,0.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,3.0,15.0,4.0,6.0,0.0,53.0,7.0,24.0,12.0,0.0,0.0,0.0,121.0,9.0,41.0,20.0,3.0,3.0,0.0,199.0,23.0,48.0,31.0,0.0,7.0,0.0,215.0,48.0,68.0,4.0,4.0,8.0,0.0,236.0,58.0,91.0,3.0,0.0,4.0,0.0,284.0,36.0,80.0,7.0,3.0,3.0,0.0,236.0,120.0,254.0,47.0,4.0,6.0,0.0,574.0,41.0,116.0,6.0,0.0,0.0,0.0,285.0,84.0,142.0,0.0,5.0,0.0,0.0,321.0,104.0,309.0,36.0,0.0,4.0,0.0,575.0,224.0,674.0,127.0,13.0,0.0,0.0,1104.0,68.0,267.0,47.0,0.0,4.0,0.0,534.0,44.0,388.0,89.0,0.0,0.0,0.0,697.0,54.0,140.0,38.0,0.0,3.0,0.0,377.0,1625.0,3430.0,1189.0,274.0,365.0,13.0,6904.0,6904.0
Kalkallo,39.0,60.0,17.0,0.0,0.0,0.0,227.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,3.0,8.0,0.0,6.0,0.0,63.0,0.0,0.0,6.0,0.0,0.0,0.0,46.0,14.0,16.0,5.0,0.0,17.0,0.0,118.0,31.0,38.0,30.0,4.0,8.0,0.0,258.0,36.0,155.0,28.0,3.0,16.0,0.0,467.0,106.0,359.0,57.0,39.0,54.0,3.0,867.0,168.0,607.0,82.0,23.0,36.0,0.0,1227.0,316.0,1102.0,126.0,46.0,30.0,0.0,1895.0,344.0,1073.0,99.0,61.0,32.0,0.0,1854.0,483.0,1539.0,192.0,30.0,21.0,3.0,2457.0,234.0,705.0,34.0,3.0,5.0,0.0,1241.0,120.0,521.0,28.0,13.0,6.0,0.0,833.0,105.0,495.0,59.0,0.0,4.0,0.0,887.0,137.0,528.0,119.0,4.0,5.0,0.0,926.0,17.0,80.0,15.0,0.0,0.0,0.0,244.0,32.0,117.0,14.0,5.0,0.0,0.0,288.0,167.0,500.0,108.0,15.0,13.0,4.0,967.0,3228.0,8766.0,1908.0,705.0,724.0,65.0,15483.0,15483.0
Kew,88.0,98.0,93.0,0.0,23.0,0.0,474.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,6.0,0.0,0.0,0.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,3.0,0.0,0.0,0.0,23.0,4.0,6.0,14.0,0.0,0.0,0.0,39.0,7.0,8.0,14.0,0.0,0.0,0.0,94.0,6.0,10.0,7.0,3.0,4.0,0.0,135.0,6.0,19.0,23.0,4.0,6.0,0.0,106.0,15.0,20.0,10.0,0.0,0.0,0.0,129.0,12.0,24.0,8.0,0.0,0.0,0.0,93.0,42.0,104.0,48.0,6.0,6.0,0.0,386.0,22.0,14.0,0.0,0.0,0.0,0.0,111.0,5.0,27.0,6.0,3.0,0.0,0.0,135.0,60.0,73.0,28.0,0.0,0.0,0.0,280.0,131.0,421.0,160.0,16.0,7.0,4.0,956.0,69.0,402.0,102.0,19.0,0.0,0.0,783.0,187.0,1173.0,385.0,82.0,54.0,0.0,2031.0,66.0,196.0,96.0,3.0,16.0,0.0,582.0,1378.0,3186.0,1671.0,424.0,432.0,13.0,7172.0,7172.0
Kororoit,30.0,95.0,32.0,5.0,6.0,0.0,382.0,4.0,8.0,5.0,0.0,0.0,0.0,66.0,8.0,17.0,3.0,0.0,12.0,0.0,103.0,3.0,5.0,10.0,0.0,0.0,0.0,71.0,17.0,17.0,9.0,6.0,10.0,0.0,188.0,4.0,79.0,41.0,0.0,9.0,0.0,293.0,40.0,162.0,34.0,3.0,23.0,0.0,529.0,81.0,297.0,68.0,27.0,19.0,0.0,758.0,65.0,411.0,80.0,27.0,26.0,0.0,831.0,126.0,535.0,95.0,30.0,37.0,4.0,1089.0,109.0,482.0,33.0,17.0,13.0,0.0,873.0,240.0,933.0,169.0,52.0,21.0,0.0,1648.0,86.0,437.0,63.0,20.0,5.0,0.0,738.0,85.0,322.0,28.0,3.0,0.0,0.0,571.0,126.0,395.0,89.0,9.0,14.0,0.0,761.0,146.0,429.0,156.0,3.0,15.0,0.0,888.0,26.0,126.0,22.0,0.0,0.0,0.0,239.0,11.0,85.0,17.0,3.0,0.0,0.0,162.0,98.0,368.0,82.0,12.0,17.0,0.0,824.0,2279.0,5925.0,1853.0,687.0,758.0,59.0,11684.0,11684.0
Lara,26.0,18.0,12.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,3.0,13.0,0.0,0.0,0.0,75.0,15.0,0.0,3.0,0.0,5.0,0.0,67.0,26.0,19.0,26.0,0.0,3.0,0.0,209.0,49.0,75.0,36.0,4.0,24.0,0.0,351.0,94.0,155.0,83.0,8.0,13.0,0.0,515.0,180.0,225.0,77.0,4.0,37.0,0.0,675.0,136.0,218.0,80.0,23.0,12.0,0.0,661.0,146.0,326.0,79.0,25.0,14.0,0.0,723.0,133.0,236.0,27.0,5.0,4.0,0.0,499.0,171.0,311.0,67.0,16.0,7.0,0.0,751.0,60.0,126.0,4.0,0.0,0.0,0.0,265.0,17.0,73.0,7.0,4.0,0.0,0.0,146.0,57.0,131.0,16.0,0.0,0.0,0.0,312.0,37.0,144.0,32.0,0.0,0.0,0.0,320.0,9.0,55.0,6.0,0.0,0.0,0.0,90.0,3.0,17.0,0.0,0.0,0.0,0.0,43.0,53.0,119.0,43.0,6.0,4.0,0.0,358.0,1944.0,2871.0,1192.0,438.0,457.0,30.0,6974.0,6974.0
Laverton,18.0,85.0,27.0,3.0,5.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,67.0,16.0,8.0,3.0,4.0,0.0,0.0,73.0,8.0,23.0,14.0,0.0,3.0,0.0,117.0,9.0,59.0,9.0,8.0,10.0,0.0,211.0,32.0,108.0,21.0,7.0,13.0,0.0,366.0,50.0,253.0,42.0,13.0,15.0,0.0,636.0,111.0,396.0,26.0,15.0,11.0,0.0,777.0,150.0,547.0,35.0,33.0,24.0,5.0,987.0,176.0,537.0,24.0,12.0,7.0,0.0,977.0,227.0,895.0,88.0,26.0,19.0,0.0,1529.0,140.0,453.0,12.0,7.0,4.0,0.0,798.0,89.0,367.0,29.0,9.0,0.0,0.0,611.0,94.0,365.0,41.0,7.0,3.0,0.0,687.0,122.0,478.0,44.0,4.0,10.0,0.0,847.0,33.0,130.0,24.0,0.0,0.0,0.0,240.0,17.0,67.0,0.0,0.0,0.0,0.0,155.0,97.0,355.0,25.0,3.0,21.0,0.0,701.0,2345.0,5900.0,1139.0,605.0,502.0,83.0,10577.0,10577.0
Lowan,74.0,65.0,10.0,4.0,0.0,0.0,242.0,9.0,3.0,3.0,0.0,3.0,0.0,42.0,86.0,15.0,3.0,6.0,6.0,0.0,204.0,84.0,51.0,4.0,6.0,10.0,0.0,319.0,208.0,164.0,29.0,47.0,14.0,0.0,622.0,130.0,263.0,35.0,44.0,19.0,0.0,772.0,190.0,303.0,41.0,17.0,28.0,0.0,743.0,124.0,238.0,55.0,13.0,3.0,0.0,648.0,47.0,156.0,18.0,9.0,0.0,0.0,376.0,86.0,152.0,19.0,0.0,0.0,0.0,329.0,26.0,67.0,4.0,0.0,0.0,0.0,135.0,29.0,106.0,24.0,0.0,0.0,0.0,205.0,8.0,18.0,0.0,0.0,0.0,0.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,41.0,0.0,0.0,0.0,0.0,83.0,9.0,50.0,0.0,0.0,0.0,0.0,103.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,5.0,4.0,0.0,0.0,0.0,0.0,39.0,65.0,42.0,17.0,0.0,4.0,0.0,287.0,2013.0,2570.0,806.0,359.0,280.0,12.0,6242.0,6242.0
Macedon,56.0,19.0,0.0,0.0,11.0,0.0,171.0,11.0,3.0,3.0,0.0,0.0,0.0,39.0,27.0,5.0,8.0,0.0,4.0,0.0,113.0,6.0,0.0,7.0,0.0,6.0,0.0,79.0,47.0,25.0,21.0,0.0,5.0,0.0,201.0,63.0,59.0,15.0,8.0,0.0,0.0,318.0,83.0,103.0,40.0,25.0,10.0,0.0,430.0,93.0,170.0,45.0,21.0,9.0,0.0,563.0,111.0,229.0,36.0,20.0,23.0,0.0,552.0,154.0,316.0,82.0,29.0,15.0,0.0,713.0,89.0,313.0,30.0,12.0,4.0,0.0,601.0,262.0,428.0,96.0,20.0,15.0,0.0,981.0,103.0,246.0,19.0,4.0,0.0,0.0,473.0,61.0,176.0,16.0,0.0,0.0,0.0,373.0,140.0,348.0,25.0,4.0,0.0,0.0,703.0,250.0,455.0,74.0,10.0,3.0,0.0,953.0,64.0,133.0,22.0,0.0,0.0,0.0,343.0,69.0,105.0,4.0,0.0,0.0,0.0,294.0,103.0,134.0,70.0,0.0,3.0,0.0,469.0,2655.0,4027.0,1340.0,416.0,363.0,13.0,8907.0,8907.0
Malvern,67.0,57.0,22.0,7.0,6.0,0.0,321.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,0.0,0.0,0.0,30.0,12.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,10.0,3.0,4.0,0.0,0.0,0.0,57.0,12.0,17.0,3.0,0.0,0.0,0.0,65.0,11.0,22.0,3.0,0.0,0.0,0.0,56.0,20.0,26.0,9.0,3.0,0.0,0.0,107.0,34.0,3.0,4.0,0.0,5.0,0.0,91.0,27.0,24.0,0.0,0.0,0.0,0.0,127.0,75.0,47.0,46.0,4.0,0.0,0.0,312.0,17.0,19.0,3.0,0.0,0.0,0.0,83.0,54.0,17.0,3.0,0.0,0.0,0.0,152.0,51.0,62.0,6.0,0.0,0.0,0.0,182.0,170.0,383.0,100.0,4.0,6.0,0.0,767.0,57.0,268.0,80.0,5.0,5.0,0.0,550.0,230.0,937.0,300.0,22.0,16.0,0.0,1628.0,84.0,136.0,52.0,0.0,6.0,0.0,457.0,1485.0,2421.0,1090.0,217.0,245.0,17.0,5709.0,5709.0
Melbourne,48.0,13.0,0.0,0.0,4.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,5.0,0.0,0.0,23.0,6.0,3.0,7.0,0.0,0.0,0.0,21.0,15.0,7.0,0.0,0.0,0.0,0.0,34.0,27.0,14.0,6.0,0.0,0.0,0.0,112.0,78.0,20.0,0.0,0.0,0.0,0.0,188.0,107.0,21.0,0.0,0.0,0.0,0.0,222.0,113.0,44.0,4.0,4.0,0.0,0.0,289.0,91.0,43.0,0.0,0.0,0.0,0.0,225.0,144.0,73.0,8.0,0.0,4.0,3.0,408.0,42.0,42.0,3.0,0.0,0.0,0.0,144.0,81.0,22.0,0.0,0.0,0.0,0.0,166.0,119.0,79.0,6.0,3.0,0.0,0.0,298.0,234.0,215.0,0.0,7.0,0.0,0.0,637.0,87.0,91.0,17.0,7.0,0.0,0.0,310.0,120.0,117.0,22.0,0.0,0.0,0.0,373.0,60.0,31.0,3.0,0.0,0.0,0.0,192.0,2461.0,1444.0,341.0,172.0,166.0,70.0,4998.0,4998.0
Melton,25.0,30.0,16.0,3.0,0.0,0.0,216.0,6.0,0.0,3.0,0.0,0.0,0.0,22.0,44.0,0.0,10.0,0.0,7.0,0.0,98.0,15.0,3.0,3.0,0.0,4.0,0.0,71.0,38.0,25.0,12.0,7.0,18.0,0.0,195.0,75.0,92.0,41.0,6.0,14.0,0.0,428.0,106.0,225.0,49.0,19.0,23.0,0.0,642.0,188.0,408.0,94.0,46.0,39.0,0.0,1070.0,207.0,656.0,101.0,33.0,23.0,4.0,1301.0,296.0,857.0,108.0,36.0,14.0,0.0,1556.0,270.0,778.0,54.0,14.0,13.0,0.0,1218.0,253.0,681.0,85.0,34.0,4.0,0.0,1291.0,89.0,286.0,26.0,0.0,0.0,0.0,499.0,23.0,111.0,4.0,0.0,0.0,0.0,221.0,40.0,195.0,21.0,8.0,0.0,0.0,400.0,60.0,228.0,52.0,0.0,0.0,0.0,447.0,9.0,74.0,7.0,0.0,0.0,0.0,157.0,4.0,35.0,0.0,0.0,0.0,0.0,96.0,83.0,258.0,55.0,24.0,11.0,0.0,690.0,2634.0,5654.0,1396.0,760.0,674.0,41.0,11269.0,11269.0
Mildura,57.0,21.0,8.0,0.0,3.0,0.0,133.0,9.0,0.0,0.0,0.0,0.0,0.0,37.0,41.0,13.0,8.0,0.0,3.0,0.0,149.0,30.0,14.0,20.0,7.0,3.0,0.0,166.0,138.0,128.0,35.0,15.0,11.0,0.0,435.0,130.0,214.0,29.0,19.0,4.0,0.0,618.0,176.0,371.0,64.0,47.0,28.0,0.0,865.0,170.0,343.0,84.0,37.0,19.0,0.0,855.0,131.0,235.0,32.0,12.0,5.0,0.0,553.0,108.0,211.0,63.0,7.0,0.0,0.0,475.0,35.0,89.0,26.0,0.0,9.0,0.0,256.0,50.0,141.0,26.0,4.0,0.0,0.0,345.0,12.0,18.0,0.0,0.0,0.0,0.0,56.0,0.0,11.0,0.0,0.0,0.0,0.0,35.0,10.0,52.0,16.0,0.0,0.0,0.0,126.0,14.0,43.0,10.0,3.0,0.0,0.0,144.0,5.0,15.0,7.0,0.0,0.0,0.0,42.0,0.0,0.0,4.0,0.0,0.0,0.0,19.0,71.0,56.0,43.0,3.0,3.0,0.0,380.0,1918.0,2691.0,966.0,407.0,348.0,15.0,6527.0,6527.0
Mill Park,44.0,47.0,44.0,5.0,3.0,0.0,264.0,0.0,3.0,10.0,0.0,0.0,0.0,26.0,0.0,13.0,15.0,0.0,5.0,0.0,120.0,18.0,0.0,5.0,5.0,0.0,0.0,60.0,6.0,29.0,7.0,0.0,7.0,0.0,144.0,27.0,48.0,52.0,7.0,18.0,0.0,323.0,35.0,93.0,89.0,13.0,24.0,0.0,426.0,82.0,173.0,67.0,11.0,14.0,0.0,592.0,113.0,278.0,85.0,0.0,29.0,0.0,647.0,105.0,430.0,78.0,14.0,22.0,0.0,848.0,108.0,346.0,63.0,7.0,20.0,4.0,703.0,181.0,617.0,198.0,22.0,15.0,0.0,1169.0,74.0,200.0,19.0,0.0,4.0,0.0,404.0,31.0,192.0,34.0,0.0,0.0,0.0,418.0,62.0,277.0,90.0,0.0,0.0,0.0,600.0,53.0,274.0,85.0,0.0,7.0,0.0,624.0,18.0,64.0,25.0,0.0,0.0,0.0,171.0,8.0,30.0,17.0,0.0,0.0,0.0,123.0,114.0,229.0,91.0,0.0,14.0,0.0,628.0,1905.0,4081.0,1897.0,378.0,633.0,45.0,9059.0,9059.0
