district,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Kalkallo,6.0,3.0,6.0,3.0,5.0,1.0,21.0,15.0,6.0,1.0,86.0,87.0,34.0,32.0,83.0,86.0,87.0,85.0,47.0,47.0,87.0,85.0,88.0,87.0,45.0,42.0,88.0,87.0,87.0,86.0,56.0,55.0,87.0,86.0,87.0,87.0,6.0,2.0,65.0,39.0,65.0
Kew,34.0,31.0,34.0,31.0,28.0,31.0,27.0,24.0,29.0,28.0,57.0,53.0,60.0,60.0,56.0,50.0,70.0,69.0,60.0,60.0,69.0,70.0,66.0,63.0,66.0,66.0,66.0,62.0,46.0,43.0,24.0,24.0,49.0,48.0,59.0,56.0,33.0,33.0,46.0,40.0,46.0
Kororoit,7.0,8.0,7.0,8.0,4.0,4.0,9.0,9.0,4.0,4.0,77.0,80.0,40.0,42.0,73.0,81.0,81.0,82.0,54.0,54.0,80.0,82.0,84.0,82.0,18.0,18.0,84.0,84.0,83.0,84.0,25.0,25.0,82.0,84.0,74.0,82.0,10.0,7.0,34.0,41.0,34.0
Lara,58.0,60.0,58.0,60.0,36.0,41.0,64.0,66.0,38.0,40.0,49.0,48.0,56.0,58.0,44.0,44.0,23.0,27.0,51.0,53.0,23.0,25.0,32.0,33.0,46.0,52.0,31.0,35.0,61.0,62.0,26.0,26.0,61.0,61.0,24.0,28.0,58.0,58.0,41.0,42.0,41.0
Laverton,26.0,18.0,26.0,18.0,13.0,6.0,72.0,72.0,22.0,8.0,87.0,82.0,75.0,76.0,87.0,85.0,75.0,62.0,83.0,83.0,77.0,69.0,79.0,72.0,85.0,86.0,80.0,74.0,82.0,79.0,87.0,87.0,83.0,80.0,84.0,62.0,42.0,27.0,79.0,43.0,79.0
Lowan,78.0,83.0,78.0,83.0,81.0,75.0,41.0,34.0,80.0,74.0,14.0,9.0,26.0,19.0,11.0,7.0,9.0,6.0,22.0,19.0,9.0,5.0,22.0,20.0,19.0,19.0,22.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,31.0,16.0,72.0,72.0,63.0,44.0,63.0
Macedon,21.0,29.0,21.0,29.0,48.0,78.0,13.0,18.0,42.0,72.0,16.0,36.0,5.0,6.0,12.0,32.0,33.0,48.0,6.0,6.0,32.0,45.0,42.0,57.0,42.0,43.0,41.0,56.0,32.0,50.0,28.0,28.0,30.0,47.0,22.0,65.0,18.0,24.0,6.0,45.0,6.0
Malvern,70.0,77.0,70.0,77.0,42.0,50.0,74.0,76.0,49.0,59.0,8.0,10.0,71.0,73.0,14.0,13.0,24.0,24.0,64.0,65.0,25.0,26.0,16.0,19.0,64.0,64.0,16.0,21.0,6.0,7.0,57.0,64.0,5.0,6.0,4.0,9.0,71.0,79.0,44.0,46.0,44.0
Melbourne,88.0,87.0,88.0,87.0,88.0,32.0,88.0,88.0,88.0,84.0,56.0,2.0,88.0,86.0,86.0,2.0,3.0,2.0,87.0,85.0,11.0,2.0,2.0,1.0,87.0,85.0,3.0,2.0,5.0,4.0,86.0,82.0,9.0,4.0,86.0,1.0,88.0,88.0,88.0,47.0,88.0
Melton,24.0,22.0,24.0,22.0,14.0,12.0,40.0,41.0,14.0,14.0,72.0,72.0,32.0,33.0,71.0,70.0,60.0,60.0,7.0,7.0,59.0,58.0,77.0,79.0,20.0,20.0,77.0,79.0,80.0,82.0,29.0,29.0,80.0,81.0,70.0,68.0,22.0,20.0,48.0,48.0,48.0
Mildura,59.0,62.0,59.0,62.0,57.0,71.0,58.0,58.0,55.0,65.0,18.0,19.0,53.0,54.0,16.0,19.0,14.0,14.0,56.0,56.0,13.0,15.0,41.0,41.0,53.0,58.0,40.0,40.0,64.0,63.0,84.0,85.0,64.0,65.0,15.0,24.0,61.0,66.0,36.0,49.0,36.0
Mill Park,8.0,14.0,8.0,14.0,6.0,17.0,14.0,21.0,7.0,16.0,53.0,78.0,33.0,35.0,47.0,79.0,63.0,74.0,37.0,39.0,62.0,74.0,68.0,77.0,21.0,21.0,67.0,77.0,66.0,67.0,58.0,65.0,65.0,67.0,38.0,75.0,9.0,14.0,2.0,50.0,2.0
Monbulk,16.0,21.0,16.0,21.0,27.0,64.0,17.0,22.0,24.0,55.0,38.0,55.0,16.0,20.0,31.0,54.0,50.0,66.0,8.0,8.0,48.0,64.0,49.0,61.0,22.0,22.0,48.0,60.0,47.0,55.0,30.0,30.0,44.0,56.0,36.0,71.0,15.0,18.0,4.0,51.0,4.0
Mordialloc,36.0,35.0,36.0,35.0,20.0,22.0,15.0,14.0,17.0,19.0,58.0,57.0,27.0,27.0,51.0,53.0,73.0,73.0,18.0,20.0,72.0,71.0,63.0,62.0,23.0,23.0,63.0,61.0,38.0,38.0,31.0,31.0,33.0,37.0,57.0,61.0,32.0,29.0,39.0,52.0,39.0
Mornington,32.0,39.0,32.0,39.0,49.0,72.0,5.0,4.0,40.0,66.0,17.0,31.0,10.0,10.0,9.0,23.0,42.0,55.0,9.0,9.0,39.0,53.0,50.0,59.0,24.0,24.0,47.0,58.0,20.0,24.0,32.0,32.0,19.0,23.0,32.0,58.0,25.0,32.0,10.0,53.0,10.0
