district,Buddhism_M_n,Buddhism_F_n,Buddhism_P_n,Christianity_Anglican_M_n,Christianity_Anglican_F_n,Christianity_Anglican_P_n,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_P_n,Christianity_Baptist_M_n,Christianity_Baptist_F_n,Christianity_Baptist_P_n,Christianity_Brethren_M_n,Christianity_Brethren_F_n,Christianity_Brethren_P_n,Christianity_Catholic_M_n,Christianity_Catholic_F_n,Christianity_Catholic_P_n,Christianity_Church_Christ_M_n,Christianity_Church_Christ_F_n,Christianity_Church_Christ_P_n,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_P_n,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_P_n,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_P_n,Christianity_Lutheran_M_n,Christianity_Lutheran_F_n,Christianity_Lutheran_P_n,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_P_n,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_P_n,Christianity_Pentecostal_M_n,Christianity_Pentecostal_F_n,Christianity_Pentecostal_P_n,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_P_n,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_P_n,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_P_n,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_P_n,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_P_n,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_P_n,Christianity_Tot_M_n,Christianity_Tot_F_n,Christianity_Tot_P_n,Hinduism_M_n,Hinduism_F_n,Hinduism_P_n,Islam_M_n,Islam_F_n,Islam_P_n,Judaism_M_n,Judaism_F_n,Judaism_P_n,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_P_n,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_P_n,Other_Religions_Tot_M_n,Other_Religions_Tot_F_n,Other_Religions_Tot_P_n,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_P_n,Religious_affiliation_ns_M_n,Religious_affiliation_ns_F_n,Religious_affiliation_ns_P_n,Tot_M_n,Tot_F_n,Tot_P_n,Tot_P_total
Northcote,464.0,721.0,1182.0,921.0,1070.0,1979.0,0.0,0.0,0.0,63.0,83.0,206.0,0.0,0.0,0.0,4926.0,5959.0,10957.0,7.0,10.0,28.0,2886.0,3113.0,5940.0,27.0,43.0,103.0,0.0,0.0,6.0,11.0,20.0,77.0,10.0,17.0,54.0,17.0,35.0,63.0,27.0,38.0,129.0,107.0,115.0,295.0,4.0,15.0,39.0,3.0,6.0,19.0,207.0,405.0,642.0,337.0,557.0,930.0,3.0,0.0,16.0,9948.0,11776.0,21706.0,352.0,275.0,664.0,488.0,453.0,964.0,90.0,116.0,228.0,0.0,0.0,0.0,22.0,24.0,70.0,72.0,90.0,215.0,124.0,142.0,303.0,18506.0,19648.0,38067.0,250.0,221.0,498.0,48.0,115.0,200.0,18854.0,20034.0,38863.0,1782.0,1615.0,3380.0,32142.0,35297.0,67452.0,67452.0
Oakleigh,1863.0,2263.0,4138.0,1496.0,1767.0,3223.0,0.0,0.0,0.0,293.0,351.0,766.0,0.0,0.0,0.0,7470.0,8604.0,16005.0,18.0,20.0,64.0,4069.0,4567.0,8702.0,44.0,75.0,159.0,15.0,11.0,26.0,17.0,35.0,75.0,89.0,118.0,248.0,108.0,134.0,293.0,214.0,228.0,497.0,258.0,329.0,718.0,0.0,6.0,6.0,19.0,33.0,80.0,400.0,663.0,1182.0,664.0,919.0,1626.0,8.0,12.0,21.0,15794.0,18356.0,34099.0,4376.0,3170.0,7589.0,1182.0,904.0,2115.0,891.0,1046.0,1961.0,0.0,0.0,0.0,402.0,285.0,744.0,139.0,155.0,399.0,585.0,523.0,1181.0,17080.0,15670.0,32815.0,113.0,90.0,292.0,19.0,41.0,54.0,17413.0,15911.0,33345.0,2917.0,2525.0,5484.0,45155.0,44812.0,89923.0,89923.0
Ovens Valley,191.0,251.0,515.0,3430.0,4035.0,7446.0,0.0,0.0,0.0,145.0,163.0,389.0,52.0,31.0,97.0,7166.0,7922.0,15147.0,27.0,28.0,79.0,73.0,74.0,190.0,66.0,102.0,190.0,9.0,8.0,31.0,47.0,81.0,188.0,0.0,0.0,3.0,55.0,84.0,192.0,139.0,196.0,389.0,676.0,722.0,1427.0,16.0,31.0,82.0,20.0,27.0,79.0,1248.0,1678.0,2945.0,477.0,582.0,1096.0,9.0,0.0,13.0,14074.0,16298.0,30327.0,139.0,137.0,294.0,145.0,86.0,272.0,7.0,5.0,17.0,0.0,0.0,0.0,101.0,88.0,197.0,33.0,54.0,131.0,147.0,163.0,357.0,13436.0,12628.0,26137.0,20.0,20.0,82.0,4.0,10.0,54.0,13593.0,12696.0,26362.0,2575.0,2426.0,5026.0,31062.0,32220.0,63243.0,63243.0
Pakenham,1116.0,1252.0,2386.0,2212.0,2745.0,4967.0,0.0,0.0,0.0,729.0,877.0,1702.0,28.0,21.0,54.0,6161.0,7149.0,13269.0,43.0,43.0,102.0,382.0,377.0,814.0,69.0,66.0,156.0,92.0,95.0,224.0,38.0,77.0,130.0,169.0,123.0,335.0,94.0,134.0,274.0,528.0,652.0,1165.0,405.0,574.0,1065.0,19.0,50.0,91.0,142.0,157.0,371.0,547.0,739.0,1317.0,1239.0,1401.0,2677.0,25.0,9.0,44.0,13277.0,15694.0,28984.0,1621.0,1503.0,3112.0,1517.0,1394.0,2916.0,8.0,6.0,25.0,0.0,0.0,0.0,1643.0,1372.0,3023.0,88.0,101.0,203.0,1755.0,1523.0,3242.0,15446.0,15155.0,30590.0,63.0,42.0,127.0,29.0,47.0,81.0,15594.0,15312.0,30877.0,2426.0,2336.0,4714.0,37291.0,39109.0,76386.0,76386.0
Pascoe Vale,514.0,764.0,1244.0,785.0,1099.0,1930.0,11.0,9.0,42.0,105.0,112.0,238.0,0.0,0.0,0.0,8396.0,9732.0,18148.0,3.0,10.0,33.0,2575.0,2718.0,5318.0,40.0,58.0,137.0,19.0,10.0,23.0,13.0,14.0,60.0,56.0,58.0,106.0,30.0,50.0,106.0,65.0,109.0,221.0,108.0,111.0,273.0,9.0,3.0,33.0,6.0,6.0,15.0,235.0,397.0,666.0,413.0,542.0,980.0,3.0,4.0,4.0,13244.0,15397.0,28665.0,895.0,711.0,1560.0,2169.0,2112.0,4303.0,9.0,22.0,55.0,0.0,0.0,4.0,61.0,33.0,115.0,52.0,76.0,194.0,127.0,159.0,359.0,14005.0,14357.0,28402.0,147.0,117.0,323.0,24.0,73.0,117.0,14222.0,14641.0,28909.0,1925.0,1824.0,3742.0,33309.0,35628.0,68976.0,68976.0
Point Cook,1391.0,1800.0,3193.0,1609.0,2102.0,3779.0,0.0,0.0,0.0,382.0,478.0,921.0,0.0,0.0,0.0,9576.0,10521.0,20079.0,40.0,48.0,102.0,1821.0,1803.0,3626.0,89.0,108.0,214.0,85.0,99.0,229.0,82.0,90.0,199.0,96.0,124.0,267.0,181.0,244.0,519.0,577.0,587.0,1168.0,437.0,536.0,992.0,4.0,15.0,29.0,55.0,56.0,116.0,386.0,565.0,1051.0,1561.0,1814.0,3377.0,14.0,6.0,47.0,17504.0,19494.0,36981.0,5946.0,5715.0,11650.0,2883.0,2694.0,5670.0,3.0,8.0,26.0,0.0,0.0,0.0,906.0,942.0,1867.0,165.0,200.0,388.0,1148.0,1098.0,2289.0,14060.0,12901.0,26989.0,45.0,22.0,87.0,23.0,40.0,87.0,14207.0,13036.0,27257.0,2888.0,2712.0,5489.0,46055.0,46538.0,92635.0,92635.0
Polwarth,137.0,195.0,433.0,2741.0,3286.0,6050.0,0.0,0.0,0.0,338.0,390.0,888.0,0.0,0.0,0.0,6783.0,7444.0,14236.0,0.0,15.0,19.0,156.0,131.0,331.0,67.0,83.0,186.0,9.0,3.0,15.0,73.0,114.0,250.0,11.0,4.0,17.0,11.0,14.0,75.0,114.0,118.0,290.0,728.0,798.0,1573.0,19.0,17.0,61.0,10.0,6.0,31.0,1597.0,2073.0,3668.0,488.0,581.0,1152.0,0.0,3.0,3.0,13566.0,15509.0,29031.0,49.0,38.0,150.0,64.0,66.0,154.0,9.0,10.0,52.0,0.0,0.0,0.0,30.0,18.0,72.0,24.0,47.0,101.0,67.0,74.0,167.0,18020.0,16460.0,34459.0,60.0,75.0,141.0,3.0,59.0,87.0,18152.0,16584.0,34801.0,2852.0,2615.0,5505.0,35044.0,35311.0,70347.0,70347.0
Prahran,757.0,1069.0,1870.0,1964.0,2279.0,4215.0,0.0,0.0,0.0,117.0,159.0,424.0,0.0,0.0,0.0,5075.0,5943.0,11014.0,5.0,3.0,6.0,1092.0,1325.0,2510.0,13.0,19.0,73.0,9.0,3.0,3.0,22.0,33.0,61.0,14.0,12.0,57.0,64.0,62.0,146.0,90.0,159.0,311.0,226.0,275.0,575.0,0.0,0.0,0.0,12.0,7.0,23.0,364.0,455.0,849.0,520.0,630.0,1199.0,0.0,5.0,3.0,10008.0,11848.0,21823.0,953.0,820.0,1709.0,577.0,592.0,1185.0,847.0,1003.0,1895.0,0.0,0.0,0.0,28.0,56.0,104.0,57.0,56.0,167.0,104.0,133.0,329.0,18401.0,18292.0,36685.0,242.0,141.0,413.0,9.0,72.0,156.0,18767.0,18613.0,37347.0,3072.0,3146.0,6211.0,35298.0,37237.0,72496.0,72496.0
Preston,966.0,1282.0,2252.0,791.0,1095.0,1926.0,5.0,30.0,39.0,94.0,167.0,294.0,0.0,3.0,4.0,8851.0,9893.0,18768.0,13.0,16.0,37.0,3357.0,3527.0,6889.0,43.0,113.0,189.0,0.0,12.0,15.0,14.0,24.0,51.0,46.0,31.0,108.0,41.0,44.0,97.0,80.0,138.0,275.0,167.0,234.0,453.0,13.0,28.0,49.0,6.0,3.0,36.0,196.0,292.0,565.0,765.0,867.0,1608.0,4.0,0.0,10.0,14896.0,16905.0,31801.0,1501.0,1056.0,2551.0,2453.0,2250.0,4645.0,7.0,14.0,42.0,3.0,5.0,4.0,259.0,184.0,452.0,102.0,114.0,256.0,385.0,315.0,749.0,13539.0,13045.0,26542.0,120.0,104.0,269.0,26.0,41.0,88.0,13726.0,13260.0,26971.0,2492.0,2337.0,4854.0,36467.0,37515.0,73965.0,73965.0
Richmond,1011.0,1618.0,2704.0,1244.0,1354.0,2615.0,0.0,4.0,4.0,95.0,126.0,276.0,0.0,0.0,0.0,4399.0,5137.0,9569.0,10.0,10.0,25.0,1085.0,1250.0,2392.0,3.0,8.0,24.0,3.0,9.0,12.0,36.0,31.0,98.0,25.0,30.0,69.0,30.0,49.0,88.0,83.0,145.0,209.0,133.0,102.0,306.0,0.0,0.0,3.0,0.0,6.0,15.0,214.0,329.0,599.0,349.0,473.0,827.0,5.0,0.0,17.0,8061.0,9474.0,17488.0,266.0,234.0,522.0,864.0,912.0,1856.0,194.0,216.0,443.0,0.0,0.0,0.0,3.0,0.0,13.0,50.0,78.0,172.0,71.0,89.0,226.0,19782.0,18959.0,38759.0,218.0,216.0,453.0,25.0,62.0,116.0,20076.0,19280.0,39347.0,2568.0,2237.0,4722.0,33346.0,34159.0,67515.0,67515.0
Ringwood,1189.0,1576.0,2742.0,2159.0,2773.0,5043.0,0.0,0.0,0.0,1432.0,1615.0,3041.0,0.0,0.0,3.0,6104.0,7148.0,13235.0,196.0,224.0,491.0,686.0,770.0,1418.0,41.0,39.0,158.0,38.0,28.0,72.0,117.0,149.0,354.0,57.0,46.0,132.0,109.0,147.0,266.0,404.0,460.0,957.0,511.0,586.0,1179.0,34.0,87.0,182.0,141.0,169.0,303.0,906.0,1259.0,2293.0,1336.0,1573.0,2919.0,48.0,94.0,193.0,14770.0,17735.0,32502.0,1225.0,1125.0,2393.0,609.0,564.0,1188.0,11.0,29.0,55.0,0.0,6.0,4.0,306.0,275.0,648.0,136.0,173.0,372.0,473.0,538.0,1059.0,18203.0,17173.0,35344.0,85.0,95.0,259.0,17.0,47.0,126.0,18444.0,17396.0,35842.0,2174.0,2133.0,4309.0,38985.0,41221.0,80223.0,80223.0
Ripon,130.0,179.0,330.0,3464.0,3990.0,7463.0,0.0,0.0,0.0,155.0,214.0,436.0,27.0,32.0,56.0,5973.0,6492.0,12482.0,89.0,132.0,284.0,102.0,65.0,247.0,46.0,96.0,212.0,13.0,17.0,32.0,123.0,85.0,266.0,9.0,3.0,27.0,22.0,23.0,99.0,112.0,163.0,358.0,738.0,693.0,1546.0,49.0,79.0,148.0,29.0,43.0,103.0,1808.0,2232.0,4129.0,525.0,617.0,1239.0,20.0,16.0,37.0,13836.0,15428.0,29259.0,133.0,121.0,258.0,126.0,116.0,238.0,7.0,9.0,32.0,0.0,0.0,3.0,85.0,61.0,171.0,66.0,104.0,237.0,170.0,199.0,445.0,16487.0,14968.0,31457.0,27.0,10.0,82.0,25.0,56.0,91.0,16652.0,15115.0,31715.0,3968.0,2718.0,6640.0,35048.0,34048.0,69056.0,69056.0
Rowville,1772.0,1990.0,3712.0,2104.0,2602.0,4670.0,9.0,11.0,22.0,825.0,863.0,1733.0,38.0,53.0,105.0,7142.0,8033.0,15117.0,61.0,98.0,198.0,1182.0,1193.0,2330.0,49.0,59.0,98.0,61.0,92.0,202.0,69.0,85.0,201.0,231.0,239.0,476.0,158.0,235.0,418.0,815.0,894.0,1726.0,534.0,670.0,1262.0,16.0,37.0,81.0,73.0,52.0,172.0,697.0,965.0,1740.0,1271.0,1468.0,2729.0,8.0,7.0,49.0,15684.0,17931.0,33571.0,1513.0,1506.0,2987.0,760.0,728.0,1517.0,9.0,12.0,55.0,0.0,0.0,0.0,221.0,229.0,461.0,133.0,177.0,336.0,382.0,439.0,877.0,13226.0,12043.0,25236.0,22.0,56.0,127.0,28.0,30.0,87.0,13377.0,12208.0,25541.0,1476.0,1394.0,2837.0,34938.0,36291.0,71136.0,71136.0
Sandringham,249.0,434.0,722.0,2982.0,3913.0,6917.0,0.0,0.0,0.0,132.0,158.0,369.0,6.0,0.0,9.0,6295.0,7334.0,13560.0,6.0,13.0,34.0,1087.0,1261.0,2413.0,3.0,31.0,83.0,11.0,9.0,30.0,38.0,105.0,202.0,18.0,23.0,69.0,36.0,56.0,129.0,88.0,100.0,206.0,404.0,497.0,878.0,0.0,0.0,0.0,11.0,3.0,19.0,705.0,1002.0,1658.0,439.0,520.0,978.0,9.0,11.0,32.0,12508.0,15340.0,27837.0,277.0,222.0,519.0,173.0,214.0,431.0,248.0,259.0,577.0,0.0,0.0,0.0,31.0,28.0,62.0,24.0,35.0,83.0,60.0,72.0,151.0,14629.0,14596.0,29165.0,82.0,42.0,160.0,20.0,38.0,76.0,14767.0,14795.0,29487.0,1574.0,1582.0,3049.0,30018.0,33063.0,63048.0,63048.0
Shepparton,275.0,367.0,710.0,2959.0,3608.0,6625.0,0.0,0.0,0.0,232.0,274.0,601.0,105.0,106.0,221.0,7980.0,8718.0,16672.0,23.0,69.0,109.0,387.0,351.0,746.0,74.0,117.0,257.0,47.0,35.0,119.0,52.0,69.0,135.0,33.0,34.0,75.0,86.0,76.0,173.0,258.0,304.0,632.0,773.0,922.0,1816.0,16.0,26.0,56.0,22.0,16.0,60.0,1522.0,2084.0,3621.0,804.0,921.0,1782.0,0.0,16.0,23.0,15837.0,18196.0,34038.0,461.0,465.0,949.0,2273.0,2057.0,4309.0,0.0,12.0,12.0,4.0,6.0,7.0,726.0,662.0,1436.0,62.0,92.0,164.0,851.0,801.0,1651.0,13692.0,12495.0,26140.0,35.0,18.0,72.0,10.0,19.0,52.0,13808.0,12575.0,26373.0,3337.0,3143.0,6491.0,36904.0,37657.0,74490.0,74490.0
South Barwon,312.0,362.0,797.0,2432.0,3164.0,5598.0,0.0,0.0,0.0,608.0,784.0,1378.0,43.0,43.0,72.0,6952.0,8224.0,15111.0,29.0,43.0,91.0,283.0,345.0,614.0,69.0,88.0,213.0,23.0,27.0,66.0,202.0,270.0,541.0,36.0,39.0,80.0,48.0,58.0,121.0,242.0,231.0,519.0,526.0,719.0,1219.0,28.0,67.0,126.0,17.0,19.0,41.0,1280.0,1832.0,3087.0,912.0,1096.0,1998.0,8.0,8.0,38.0,14073.0,17224.0,31261.0,916.0,580.0,1547.0,509.0,372.0,903.0,4.0,0.0,12.0,0.0,0.0,0.0,359.0,304.0,673.0,49.0,110.0,222.0,442.0,465.0,912.0,16882.0,16339.0,33161.0,72.0,68.0,203.0,11.0,51.0,83.0,17029.0,16561.0,33570.0,1918.0,1794.0,3738.0,35334.0,37362.0,72790.0,72790.0
South-West Coast,147.0,210.0,399.0,2356.0,3095.0,5409.0,0.0,0.0,0.0,408.0,432.0,933.0,33.0,16.0,68.0,7694.0,8642.0,16331.0,24.0,45.0,150.0,74.0,41.0,156.0,23.0,68.0,126.0,4.0,21.0,47.0,286.0,394.0,813.0,11.0,7.0,21.0,21.0,16.0,57.0,196.0,216.0,468.0,1411.0,1578.0,2985.0,28.0,62.0,125.0,28.0,14.0,54.0,1357.0,1763.0,3119.0,685.0,787.0,1490.0,5.0,0.0,16.0,14927.0,17640.0,32558.0,100.0,64.0,200.0,37.0,63.0,138.0,8.0,9.0,32.0,0.0,0.0,0.0,31.0,20.0,72.0,29.0,39.0,93.0,51.0,110.0,169.0,15718.0,14764.0,30537.0,35.0,41.0,79.0,1.0,19.0,49.0,15844.0,14903.0,30742.0,2857.0,2586.0,5372.0,34133.0,35726.0,69928.0,69928.0
St Albans,5037.0,6283.0,11334.0,517.0,589.0,1197.0,3.0,11.0,16.0,457.0,400.0,884.0,0.0,0.0,0.0,9852.0,10739.0,20633.0,0.0,6.0,21.0,1922.0,1956.0,3854.0,50.0,95.0,205.0,74.0,93.0,205.0,39.0,46.0,107.0,151.0,165.0,353.0,158.0,170.0,368.0,270.0,330.0,622.0,104.0,160.0,303.0,8.0,0.0,19.0,66.0,44.0,103.0,162.0,233.0,432.0,1205.0,1261.0,2498.0,12.0,21.0,31.0,15400.0,16702.0,32148.0,1263.0,860.0,2176.0,2606.0,2110.0,4695.0,4.0,6.0,17.0,0.0,0.0,0.0,923.0,693.0,1610.0,63.0,54.0,146.0,987.0,755.0,1766.0,8319.0,7181.0,15534.0,21.0,10.0,60.0,7.0,15.0,28.0,8397.0,7267.0,15660.0,3389.0,3077.0,6398.0,37083.0,37157.0,74213.0,74213.0
Sunbury,314.0,493.0,837.0,1973.0,2658.0,4645.0,72.0,86.0,167.0,191.0,220.0,493.0,80.0,92.0,173.0,9156.0,9969.0,19130.0,29.0,31.0,68.0,997.0,1030.0,2035.0,79.0,69.0,211.0,58.0,89.0,152.0,62.0,63.0,160.0,74.0,77.0,134.0,47.0,55.0,131.0,203.0,217.0,452.0,331.0,410.0,813.0,4.0,43.0,63.0,12.0,11.0,52.0,548.0,854.0,1470.0,702.0,897.0,1657.0,10.0,4.0,27.0,15131.0,17225.0,32394.0,392.0,395.0,857.0,733.0,673.0,1469.0,18.0,16.0,41.0,0.0,0.0,0.0,247.0,286.0,546.0,42.0,43.0,123.0,319.0,363.0,709.0,12039.0,10967.0,23036.0,30.0,37.0,120.0,4.0,14.0,41.0,12185.0,11052.0,23304.0,1901.0,1653.0,3544.0,31165.0,32093.0,63255.0,63255.0
Sydenham,1500.0,1812.0,3344.0,1003.0,1214.0,2220.0,8.0,24.0,34.0,225.0,221.0,553.0,0.0,0.0,0.0,13583.0,14458.0,28079.0,7.0,29.0,63.0,3141.0,3224.0,6307.0,136.0,173.0,365.0,69.0,75.0,137.0,32.0,24.0,68.0,592.0,578.0,1261.0,138.0,137.0,306.0,345.0,400.0,870.0,147.0,139.0,342.0,23.0,23.0,52.0,59.0,75.0,153.0,282.0,376.0,671.0,1621.0,1853.0,3449.0,13.0,3.0,32.0,21732.0,23429.0,45227.0,1667.0,1522.0,3193.0,2562.0,2553.0,5122.0,0.0,0.0,3.0,0.0,0.0,0.0,1405.0,1256.0,2658.0,25.0,26.0,99.0,1461.0,1293.0,2766.0,7294.0,6496.0,13818.0,23.0,7.0,46.0,0.0,7.0,24.0,7389.0,6546.0,13962.0,1972.0,1828.0,3714.0,38358.0,39058.0,77382.0,77382.0
Tarneit,905.0,1181.0,2094.0,1496.0,1816.0,3330.0,0.0,0.0,0.0,830.0,852.0,1819.0,0.0,0.0,5.0,8012.0,8658.0,16613.0,53.0,50.0,104.0,854.0,834.0,1701.0,61.0,112.0,204.0,181.0,188.0,375.0,106.0,116.0,260.0,312.0,313.0,587.0,307.0,350.0,740.0,597.0,714.0,1267.0,235.0,357.0,708.0,22.0,31.0,78.0,35.0,70.0,151.0,486.0,596.0,1064.0,1492.0,1635.0,3222.0,13.0,13.0,45.0,15538.0,17124.0,32687.0,7378.0,6716.0,14131.0,5971.0,5751.0,11774.0,8.0,7.0,15.0,0.0,0.0,0.0,4608.0,3760.0,8427.0,142.0,169.0,319.0,4752.0,3955.0,8775.0,8880.0,7956.0,16890.0,22.0,22.0,76.0,7.0,25.0,61.0,8983.0,8039.0,17088.0,3473.0,3166.0,6655.0,47188.0,46016.0,93203.0,93203.0
Thomastown,1735.0,2075.0,3846.0,585.0,654.0,1240.0,38.0,50.0,84.0,175.0,188.0,357.0,0.0,0.0,0.0,8043.0,8883.0,16843.0,0.0,7.0,14.0,4359.0,4491.0,8797.0,44.0,56.0,139.0,27.0,49.0,116.0,17.0,6.0,36.0,189.0,205.0,461.0,69.0,54.0,183.0,283.0,302.0,645.0,159.0,226.0,383.0,0.0,5.0,22.0,31.0,48.0,86.0,90.0,137.0,307.0,1685.0,1808.0,3582.0,3.0,0.0,19.0,16151.0,17463.0,33664.0,3479.0,2950.0,6416.0,6168.0,5923.0,12100.0,3.0,12.0,16.0,7.0,4.0,7.0,2601.0,2269.0,4881.0,82.0,78.0,194.0,2708.0,2387.0,5111.0,6249.0,5683.0,11915.0,54.0,14.0,80.0,7.0,25.0,33.0,6318.0,5763.0,12051.0,2420.0,2319.0,4694.0,39053.0,38864.0,77902.0,77902.0
Warrandyte,918.0,1310.0,2245.0,2433.0,3055.0,5535.0,0.0,0.0,3.0,875.0,1099.0,2023.0,19.0,13.0,47.0,6558.0,7266.0,13838.0,99.0,107.0,189.0,1502.0,1542.0,3122.0,36.0,69.0,113.0,26.0,25.0,76.0,201.0,242.0,496.0,100.0,105.0,259.0,129.0,201.0,376.0,469.0,468.0,1048.0,632.0,626.0,1287.0,47.0,24.0,73.0,36.0,73.0,137.0,799.0,1131.0,1987.0,1124.0,1416.0,2531.0,24.0,24.0,88.0,15518.0,17988.0,33527.0,517.0,509.0,1041.0,857.0,859.0,1732.0,35.0,33.0,88.0,0.0,0.0,0.0,159.0,159.0,332.0,103.0,121.0,298.0,295.0,288.0,654.0,15865.0,14876.0,30772.0,43.0,37.0,127.0,9.0,16.0,67.0,15981.0,15003.0,31052.0,1613.0,1699.0,3347.0,35988.0,37809.0,73809.0,73809.0
Wendouree,199.0,282.0,529.0,2398.0,3200.0,5614.0,0.0,0.0,0.0,229.0,250.0,515.0,53.0,48.0,107.0,6466.0,7989.0,14515.0,150.0,205.0,438.0,108.0,111.0,260.0,44.0,77.0,166.0,10.0,44.0,67.0,67.0,90.0,220.0,8.0,10.0,44.0,56.0,57.0,128.0,188.0,203.0,454.0,581.0,772.0,1439.0,37.0,43.0,112.0,15.0,30.0,76.0,1268.0,1929.0,3268.0,519.0,601.0,1205.0,0.0,3.0,16.0,12661.0,16151.0,28800.0,466.0,395.0,889.0,231.0,156.0,441.0,0.0,13.0,19.0,7.0,4.0,8.0,193.0,169.0,355.0,43.0,115.0,199.0,261.0,332.0,595.0,16130.0,15868.0,32020.0,65.0,57.0,161.0,7.0,32.0,75.0,16315.0,16034.0,32352.0,2377.0,2307.0,4642.0,32599.0,35798.0,68381.0,68381.0
Werribee,949.0,1093.0,2096.0,2288.0,2656.0,4915.0,0.0,0.0,3.0,1048.0,1098.0,2246.0,68.0,64.0,174.0,8317.0,9459.0,17800.0,24.0,21.0,48.0,606.0,678.0,1317.0,88.0,124.0,268.0,126.0,127.0,303.0,88.0,109.0,210.0,80.0,106.0,242.0,218.0,266.0,493.0,414.0,528.0,1018.0,316.0,450.0,855.0,17.0,26.0,62.0,75.0,104.0,212.0,571.0,695.0,1310.0,1337.0,1505.0,2850.0,24.0,20.0,54.0,16182.0,18566.0,34669.0,4248.0,4048.0,8406.0,2227.0,2258.0,4624.0,3.0,8.0,17.0,0.0,0.0,0.0,1613.0,1445.0,3172.0,127.0,172.0,376.0,1802.0,1665.0,3515.0,12722.0,11791.0,24599.0,50.0,36.0,131.0,6.0,28.0,59.0,12907.0,11946.0,24832.0,3104.0,2946.0,6095.0,41606.0,42682.0,84210.0,84210.0
Williamstown,461.0,736.0,1190.0,1516.0,2013.0,3573.0,0.0,0.0,0.0,150.0,220.0,421.0,0.0,0.0,0.0,7568.0,8771.0,16379.0,26.0,24.0,51.0,1837.0,2020.0,3854.0,35.0,47.0,113.0,12.0,12.0,31.0,62.0,86.0,159.0,31.0,54.0,99.0,65.0,70.0,159.0,117.0,149.0,236.0,271.0,331.0,659.0,4.0,12.0,29.0,8.0,12.0,15.0,386.0,596.0,1047.0,649.0,661.0,1371.0,0.0,0.0,10.0,12965.0,15452.0,28437.0,402.0,261.0,743.0,1635.0,1579.0,3252.0,19.0,41.0,86.0,0.0,0.0,0.0,44.0,28.0,120.0,41.0,73.0,167.0,112.0,128.0,283.0,14291.0,13589.0,27846.0,130.0,84.0,242.0,6.0,23.0,71.0,14456.0,13734.0,28277.0,1948.0,1791.0,3799.0,32238.0,33819.0,66086.0,66086.0
Yan Yean,602.0,762.0,1429.0,1989.0,2421.0,4408.0,8.0,0.0,9.0,270.0,344.0,640.0,81.0,64.0,156.0,8269.0,9279.0,17563.0,8.0,12.0,20.0,1552.0,1690.0,3296.0,77.0,98.0,244.0,63.0,67.0,170.0,28.0,21.0,85.0,162.0,200.0,395.0,98.0,104.0,225.0,497.0,524.0,1042.0,395.0,575.0,999.0,10.0,35.0,89.0,40.0,49.0,119.0,418.0,639.0,1050.0,1181.0,1302.0,2572.0,5.0,7.0,5.0,15501.0,17629.0,33182.0,1939.0,1698.0,3723.0,1122.0,1059.0,2253.0,9.0,6.0,16.0,0.0,0.0,3.0,1058.0,947.0,2039.0,79.0,103.0,201.0,1188.0,1092.0,2317.0,13205.0,12612.0,25803.0,23.0,35.0,94.0,17.0,46.0,55.0,13301.0,12679.0,26021.0,1954.0,1907.0,3787.0,35774.0,36940.0,72692.0,72692.0
