district,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,P_Tot_Total_total
Gippsland South,0.0,56.0,0.0,62.0,1544.0,115.0,1848.0,28.0,12.0,0.0,69.0,1232.0,116.0,1522.0,945.0,43.0,12.0,1031.0,1774.0,539.0,3435.0,1858.0,20.0,19.0,1948.0,1100.0,500.0,3600.0,1079.0,27.0,4.0,1185.0,2426.0,320.0,4037.0,148.0,330.0,0.0,535.0,3982.0,382.0,4897.0,19.0,448.0,0.0,488.0,4008.0,299.0,4927.0,0.0,11.0,0.0,14.0,2058.0,161.0,2345.0,0.0,0.0,0.0,0.0,546.0,49.0,637.0,4126.0,1292.0,92.0,5581.0,18804.0,2867.0,27267.0,0.0,100.0,0.0,116.0,1419.0,101.0,1775.0,54.0,45.0,0.0,151.0,961.0,50.0,1272.0,1407.0,90.0,37.0,1638.0,1313.0,167.0,3248.0,2127.0,36.0,78.0,2379.0,885.0,245.0,3543.0,1057.0,272.0,20.0,1362.0,2638.0,232.0,4356.0,45.0,942.0,0.0,1015.0,3874.0,285.0,5264.0,0.0,667.0,0.0,697.0,3819.0,277.0,4844.0,0.0,56.0,0.0,63.0,2108.0,167.0,2423.0,0.0,4.0,0.0,4.0,792.0,69.0,942.0,4892.0,2533.0,256.0,7657.0,17919.0,2032.0,27628.0,0.0,190.0,0.0,204.0,3020.0,254.0,3559.0,120.0,84.0,0.0,225.0,2252.0,228.0,2831.0,2315.0,157.0,79.0,2677.0,3115.0,775.0,6638.0,4000.0,79.0,160.0,4345.0,2052.0,829.0,7206.0,2131.0,408.0,44.0,2618.0,5053.0,587.0,8309.0,281.0,1309.0,0.0,1662.0,7872.0,692.0,10184.0,26.0,1188.0,3.0,1280.0,7797.0,660.0,9711.0,3.0,101.0,0.0,110.0,4133.0,414.0,4768.0,0.0,4.0,0.0,4.0,1386.0,181.0,1598.0,9072.0,3811.0,432.0,13308.0,36687.0,4924.0,54865.0,54865.0
Glen Waverley,4.0,8.0,0.0,24.0,2607.0,68.0,2765.0,0.0,22.0,0.0,29.0,2750.0,116.0,2970.0,703.0,17.0,0.0,738.0,3560.0,186.0,4535.0,3047.0,11.0,0.0,3148.0,1820.0,136.0,5074.0,2222.0,11.0,0.0,2249.0,2832.0,112.0,5294.0,341.0,141.0,0.0,619.0,3909.0,56.0,4664.0,45.0,669.0,0.0,784.0,2932.0,65.0,3951.0,0.0,149.0,0.0,162.0,2505.0,103.0,2929.0,0.0,0.0,0.0,0.0,1011.0,96.0,1138.0,6447.0,1418.0,7.0,7946.0,23965.0,1336.0,33271.0,0.0,33.0,0.0,41.0,2348.0,37.0,2536.0,7.0,23.0,0.0,37.0,2221.0,34.0,2425.0,1055.0,42.0,0.0,1183.0,2798.0,134.0,4223.0,4015.0,15.0,22.0,4141.0,1434.0,140.0,5808.0,2305.0,25.0,9.0,2401.0,3330.0,100.0,5889.0,159.0,684.0,0.0,935.0,3939.0,88.0,5000.0,52.0,1086.0,0.0,1183.0,3254.0,111.0,4657.0,0.0,135.0,0.0,149.0,3039.0,138.0,3463.0,0.0,0.0,0.0,0.0,1377.0,232.0,1635.0,7732.0,2499.0,70.0,10378.0,23784.0,1506.0,35632.0,5.0,80.0,0.0,101.0,4972.0,117.0,5325.0,6.0,66.0,0.0,91.0,5057.0,184.0,5397.0,1749.0,88.0,3.0,1879.0,6378.0,395.0,8733.0,7080.0,54.0,48.0,7232.0,3235.0,388.0,10880.0,4465.0,97.0,21.0,4673.0,6204.0,325.0,11180.0,618.0,871.0,0.0,1529.0,7888.0,222.0,9605.0,155.0,1853.0,0.0,2019.0,6124.0,286.0,8541.0,14.0,378.0,0.0,422.0,5531.0,298.0,6340.0,0.0,0.0,0.0,0.0,2367.0,361.0,2802.0,14183.0,3895.0,100.0,18257.0,47706.0,2885.0,68921.0,68921.0
Greenvale,4.0,64.0,5.0,81.0,2643.0,73.0,2927.0,0.0,13.0,0.0,27.0,2755.0,125.0,3003.0,940.0,21.0,0.0,995.0,4050.0,397.0,5511.0,2318.0,13.0,0.0,2368.0,2257.0,302.0,4961.0,1503.0,14.0,4.0,1575.0,3052.0,213.0,4833.0,293.0,189.0,0.0,582.0,3863.0,150.0,4660.0,18.0,185.0,0.0,218.0,2145.0,71.0,2485.0,0.0,17.0,0.0,18.0,986.0,20.0,1075.0,0.0,0.0,0.0,0.0,157.0,7.0,174.0,5135.0,816.0,27.0,6008.0,21859.0,1722.0,29671.0,0.0,132.0,0.0,134.0,2478.0,114.0,2852.0,40.0,162.0,0.0,269.0,2459.0,130.0,2953.0,1956.0,106.0,10.0,2162.0,3076.0,272.0,5532.0,3018.0,45.0,23.0,3202.0,1792.0,286.0,5356.0,1450.0,177.0,3.0,1723.0,3436.0,238.0,5429.0,100.0,601.0,0.0,776.0,3466.0,149.0,4539.0,0.0,360.0,0.0,397.0,2088.0,67.0,2614.0,0.0,11.0,0.0,18.0,967.0,30.0,1080.0,0.0,0.0,0.0,0.0,246.0,3.0,258.0,6709.0,1960.0,100.0,8840.0,20163.0,1687.0,30656.0,8.0,247.0,5.0,275.0,5059.0,271.0,5636.0,75.0,224.0,0.0,359.0,5203.0,323.0,5970.0,2929.0,205.0,19.0,3179.0,7032.0,714.0,10995.0,5311.0,107.0,36.0,5558.0,4125.0,680.0,10277.0,2912.0,222.0,11.0,3233.0,6497.0,543.0,10286.0,470.0,869.0,3.0,1354.0,7321.0,350.0,9108.0,40.0,554.0,0.0,672.0,4216.0,204.0,5120.0,0.0,50.0,0.0,56.0,1996.0,76.0,2201.0,0.0,0.0,0.0,0.0,486.0,9.0,518.0,11877.0,2694.0,175.0,14861.0,42037.0,3410.0,60324.0,60324.0
Hastings,0.0,69.0,0.0,72.0,2011.0,43.0,2218.0,3.0,20.0,0.0,34.0,1913.0,60.0,2093.0,1204.0,70.0,0.0,1357.0,2562.0,131.0,4083.0,2327.0,25.0,23.0,2494.0,1273.0,195.0,4016.0,1322.0,65.0,3.0,1512.0,2320.0,156.0,4039.0,192.0,232.0,0.0,537.0,3334.0,136.0,4114.0,8.0,465.0,0.0,525.0,2722.0,113.0,3421.0,0.0,52.0,0.0,56.0,1576.0,99.0,1848.0,0.0,0.0,0.0,0.0,440.0,27.0,506.0,5263.0,1288.0,78.0,6632.0,18267.0,1382.0,26358.0,0.0,45.0,0.0,62.0,1661.0,88.0,1958.0,58.0,52.0,0.0,135.0,1420.0,25.0,1709.0,1684.0,139.0,40.0,2004.0,2027.0,136.0,4242.0,2775.0,86.0,116.0,3075.0,1029.0,142.0,4302.0,1376.0,240.0,31.0,1707.0,2646.0,144.0,4585.0,69.0,996.0,0.0,1113.0,3297.0,124.0,4609.0,17.0,854.0,0.0,880.0,2761.0,134.0,3781.0,0.0,84.0,0.0,92.0,1844.0,153.0,2096.0,0.0,0.0,0.0,0.0,617.0,63.0,733.0,6103.0,2747.0,296.0,9244.0,17362.0,1367.0,28006.0,3.0,165.0,0.0,185.0,3634.0,180.0,4128.0,91.0,90.0,0.0,194.0,3331.0,115.0,3799.0,2928.0,232.0,55.0,3342.0,4612.0,338.0,8240.0,5134.0,169.0,202.0,5578.0,2305.0,407.0,8325.0,2731.0,375.0,50.0,3180.0,5021.0,370.0,8612.0,284.0,1372.0,0.0,1683.0,6653.0,322.0,8710.0,34.0,1249.0,6.0,1318.0,5460.0,338.0,7218.0,6.0,222.0,0.0,232.0,3511.0,298.0,3991.0,3.0,0.0,0.0,3.0,1097.0,115.0,1285.0,11401.0,4053.0,487.0,15850.0,35639.0,2719.0,54234.0,54234.0
Hawthorn,3.0,16.0,0.0,19.0,2167.0,33.0,2300.0,0.0,24.0,0.0,28.0,2679.0,60.0,2782.0,382.0,14.0,0.0,443.0,4785.0,182.0,5567.0,2185.0,15.0,9.0,2243.0,1845.0,113.0,4321.0,2059.0,0.0,3.0,2092.0,2024.0,80.0,4323.0,375.0,100.0,0.0,518.0,3082.0,59.0,3764.0,22.0,531.0,0.0,650.0,2236.0,57.0,2969.0,0.0,147.0,0.0,149.0,1482.0,31.0,1771.0,0.0,0.0,0.0,0.0,646.0,28.0,706.0,5135.0,1157.0,19.0,6357.0,20987.0,1066.0,28406.0,0.0,55.0,0.0,61.0,2120.0,55.0,2306.0,0.0,40.0,0.0,43.0,2726.0,68.0,2900.0,609.0,90.0,0.0,772.0,4780.0,194.0,5847.0,2742.0,60.0,22.0,2878.0,1684.0,109.0,4759.0,2384.0,51.0,5.0,2520.0,2344.0,82.0,4953.0,164.0,361.0,0.0,630.0,3436.0,73.0,4170.0,6.0,924.0,0.0,983.0,2375.0,84.0,3550.0,0.0,171.0,0.0,177.0,1877.0,76.0,2232.0,0.0,0.0,0.0,0.0,1155.0,78.0,1270.0,5987.0,2135.0,75.0,8257.0,22552.0,1270.0,31985.0,3.0,102.0,0.0,105.0,4318.0,124.0,4583.0,0.0,68.0,0.0,74.0,5334.0,149.0,5708.0,1016.0,130.0,6.0,1249.0,9569.0,427.0,11248.0,4842.0,121.0,44.0,5097.0,3548.0,325.0,9035.0,4428.0,71.0,28.0,4673.0,4409.0,233.0,9283.0,628.0,567.0,0.0,1224.0,6532.0,173.0,7960.0,54.0,1483.0,3.0,1637.0,4595.0,193.0,6497.0,11.0,396.0,0.0,419.0,3391.0,172.0,4053.0,0.0,5.0,0.0,5.0,1806.0,123.0,2013.0,11094.0,3269.0,136.0,14599.0,43517.0,2340.0,60451.0,60451.0
Ivanhoe,0.0,24.0,0.0,27.0,1790.0,37.0,1862.0,0.0,6.0,0.0,15.0,1838.0,77.0,1975.0,667.0,21.0,0.0,694.0,3595.0,192.0,4525.0,2540.0,19.0,4.0,2601.0,1820.0,172.0,4661.0,1880.0,13.0,3.0,1943.0,2160.0,105.0,4215.0,286.0,110.0,0.0,519.0,3166.0,102.0,3772.0,3.0,390.0,0.0,441.0,2280.0,74.0,2887.0,0.0,68.0,0.0,78.0,1475.0,28.0,1683.0,0.0,0.0,0.0,0.0,675.0,36.0,740.0,5405.0,948.0,25.0,6457.0,18668.0,1129.0,26340.0,0.0,47.0,0.0,56.0,1580.0,20.0,1729.0,17.0,28.0,0.0,62.0,1792.0,37.0,1996.0,973.0,79.0,0.0,1101.0,3367.0,173.0,4722.0,3075.0,59.0,49.0,3193.0,1472.0,130.0,4858.0,1883.0,44.0,10.0,2038.0,2323.0,107.0,4496.0,147.0,497.0,0.0,661.0,3281.0,101.0,4102.0,3.0,729.0,0.0,773.0,2357.0,91.0,3234.0,5.0,101.0,0.0,112.0,1805.0,66.0,2079.0,0.0,0.0,0.0,4.0,1157.0,48.0,1257.0,6211.0,1957.0,123.0,8271.0,19068.0,1085.0,28453.0,0.0,115.0,0.0,114.0,3346.0,75.0,3633.0,24.0,57.0,0.0,112.0,3645.0,148.0,3945.0,1647.0,174.0,8.0,1905.0,6940.0,356.0,9252.0,5606.0,128.0,97.0,5805.0,3382.0,343.0,9482.0,3741.0,103.0,26.0,3980.0,4452.0,244.0,8768.0,517.0,704.0,0.0,1227.0,6430.0,250.0,7909.0,41.0,1159.0,0.0,1256.0,4576.0,229.0,6097.0,10.0,239.0,0.0,254.0,3278.0,119.0,3685.0,4.0,3.0,0.0,11.0,1812.0,105.0,1991.0,11648.0,2899.0,205.0,14841.0,37753.0,2258.0,54830.0,54830.0
Kalkallo,0.0,25.0,0.0,33.0,2473.0,113.0,2797.0,37.0,19.0,0.0,83.0,2796.0,192.0,3151.0,2494.0,112.0,3.0,2679.0,5425.0,540.0,8661.0,4914.0,43.0,29.0,5056.0,3516.0,441.0,9087.0,1531.0,12.0,3.0,1612.0,2864.0,186.0,4878.0,159.0,119.0,0.0,400.0,2796.0,111.0,3486.0,6.0,171.0,0.0,208.0,1588.0,42.0,1956.0,0.0,20.0,0.0,23.0,511.0,44.0,650.0,0.0,0.0,0.0,0.0,80.0,15.0,106.0,9310.0,962.0,65.0,10393.0,22209.0,2135.0,34754.0,0.0,95.0,0.0,125.0,2292.0,90.0,2657.0,148.0,113.0,0.0,330.0,2256.0,106.0,2820.0,4347.0,194.0,51.0,4686.0,4366.0,591.0,9708.0,5395.0,63.0,56.0,5630.0,2436.0,428.0,8565.0,1308.0,167.0,5.0,1581.0,2961.0,153.0,4808.0,53.0,586.0,0.0,749.0,2638.0,130.0,3627.0,7.0,299.0,0.0,410.0,1558.0,42.0,2051.0,0.0,3.0,0.0,0.0,625.0,34.0,744.0,0.0,0.0,0.0,0.0,132.0,41.0,181.0,11475.0,2009.0,163.0,13850.0,19357.0,1954.0,35111.0,0.0,192.0,0.0,214.0,4742.0,290.0,5350.0,245.0,161.0,0.0,517.0,5046.0,341.0,5972.0,6851.0,388.0,82.0,7417.0,9820.0,1191.0,18391.0,10274.0,156.0,103.0,10621.0,5929.0,965.0,17627.0,2876.0,246.0,16.0,3245.0,5822.0,491.0,9591.0,300.0,786.0,7.0,1166.0,5425.0,331.0,7055.0,54.0,552.0,7.0,686.0,3181.0,133.0,4036.0,0.0,41.0,0.0,44.0,1197.0,81.0,1419.0,0.0,0.0,0.0,0.0,252.0,62.0,328.0,20828.0,3013.0,322.0,24230.0,41561.0,4136.0,69989.0,69989.0
Kew,0.0,38.0,0.0,40.0,2772.0,50.0,2935.0,0.0,12.0,0.0,12.0,2574.0,37.0,2676.0,393.0,29.0,0.0,477.0,3194.0,107.0,3889.0,2298.0,12.0,3.0,2371.0,1360.0,87.0,3785.0,2544.0,9.0,0.0,2601.0,2215.0,114.0,4988.0,506.0,130.0,0.0,699.0,3800.0,74.0,4682.0,39.0,629.0,0.0,637.0,2658.0,47.0,3422.0,0.0,134.0,0.0,151.0,1720.0,52.0,2024.0,0.0,0.0,0.0,0.0,837.0,26.0,898.0,5904.0,1257.0,23.0,7208.0,21116.0,956.0,29330.0,0.0,33.0,0.0,34.0,2554.0,43.0,2715.0,0.0,40.0,0.0,47.0,2286.0,34.0,2460.0,708.0,66.0,3.0,864.0,2793.0,95.0,3851.0,3201.0,44.0,12.0,3347.0,1158.0,71.0,4649.0,2852.0,50.0,8.0,2989.0,2750.0,117.0,5877.0,253.0,486.0,3.0,784.0,4073.0,59.0,5032.0,17.0,1089.0,0.0,1180.0,2550.0,83.0,3898.0,4.0,191.0,0.0,208.0,2126.0,106.0,2570.0,0.0,0.0,0.0,0.0,1381.0,103.0,1567.0,7180.0,2460.0,98.0,9681.0,21684.0,1135.0,32561.0,0.0,112.0,0.0,120.0,5333.0,125.0,5684.0,0.0,68.0,0.0,84.0,4764.0,115.0,5062.0,1195.0,128.0,3.0,1392.0,6050.0,273.0,7682.0,5426.0,101.0,45.0,5675.0,2562.0,213.0,8446.0,5341.0,112.0,29.0,5565.0,4936.0,312.0,10878.0,806.0,678.0,13.0,1585.0,7832.0,219.0,9684.0,80.0,1643.0,0.0,1810.0,5259.0,232.0,7235.0,7.0,420.0,0.0,459.0,3905.0,180.0,4611.0,0.0,0.0,0.0,0.0,2205.0,158.0,2443.0,13017.0,3697.0,175.0,16930.0,42769.0,2152.0,61823.0,61823.0
Kororoit,3.0,42.0,0.0,48.0,2398.0,139.0,2763.0,12.0,35.0,0.0,84.0,2388.0,399.0,2948.0,1313.0,82.0,0.0,1474.0,4281.0,1204.0,7044.0,3767.0,36.0,8.0,3866.0,2892.0,949.0,7771.0,1740.0,30.0,9.0,1841.0,3224.0,463.0,5514.0,294.0,147.0,0.0,505.0,3018.0,238.0,3841.0,12.0,300.0,0.0,356.0,2247.0,132.0,2776.0,0.0,4.0,0.0,12.0,1038.0,61.0,1240.0,0.0,0.0,0.0,0.0,178.0,27.0,222.0,7285.0,1031.0,32.0,8418.0,21780.0,4058.0,34254.0,0.0,94.0,0.0,101.0,2327.0,76.0,2619.0,30.0,126.0,0.0,214.0,1963.0,140.0,2457.0,2476.0,126.0,22.0,2763.0,3315.0,595.0,6732.0,4545.0,79.0,48.0,4760.0,2184.0,426.0,7456.0,1636.0,144.0,4.0,1913.0,3317.0,250.0,5474.0,77.0,569.0,0.0,769.0,2851.0,151.0,3876.0,16.0,444.0,0.0,502.0,2363.0,99.0,3085.0,0.0,15.0,0.0,25.0,1066.0,57.0,1267.0,0.0,0.0,0.0,0.0,247.0,38.0,302.0,9009.0,2029.0,174.0,11181.0,19820.0,2320.0,33258.0,3.0,146.0,0.0,169.0,4730.0,313.0,5381.0,60.0,204.0,0.0,335.0,4375.0,619.0,5518.0,3791.0,285.0,35.0,4207.0,7583.0,1825.0,13707.0,8392.0,158.0,76.0,8715.0,5084.0,1407.0,15298.0,3397.0,235.0,18.0,3692.0,6510.0,826.0,11095.0,444.0,755.0,8.0,1258.0,5873.0,460.0,7681.0,54.0,790.0,3.0,904.0,4626.0,259.0,5938.0,3.0,51.0,0.0,67.0,2132.0,196.0,2490.0,3.0,0.0,0.0,3.0,483.0,79.0,583.0,16233.0,3106.0,263.0,19616.0,41572.0,6323.0,67602.0,67602.0
Lara,0.0,34.0,0.0,38.0,1991.0,108.0,2193.0,13.0,22.0,0.0,67.0,1973.0,191.0,2342.0,1186.0,36.0,0.0,1318.0,3521.0,802.0,5594.0,1959.0,33.0,12.0,2078.0,1718.0,570.0,4440.0,1237.0,69.0,7.0,1328.0,2603.0,355.0,4437.0,189.0,245.0,0.0,522.0,3243.0,235.0,4048.0,0.0,324.0,0.0,352.0,2625.0,148.0,3212.0,0.0,39.0,0.0,48.0,1530.0,114.0,1746.0,0.0,0.0,0.0,0.0,552.0,43.0,635.0,4742.0,1126.0,36.0,6028.0,19833.0,2963.0,28796.0,0.0,97.0,0.0,112.0,1808.0,89.0,2080.0,106.0,77.0,0.0,280.0,1716.0,100.0,2157.0,1847.0,224.0,53.0,2141.0,2664.0,307.0,5187.0,2475.0,93.0,53.0,2768.0,1417.0,231.0,4461.0,1156.0,266.0,12.0,1492.0,2723.0,242.0,4516.0,85.0,818.0,0.0,934.0,3021.0,124.0,4146.0,9.0,646.0,0.0,660.0,2757.0,149.0,3670.0,0.0,57.0,0.0,66.0,1816.0,156.0,2107.0,0.0,0.0,0.0,0.0,830.0,53.0,953.0,5793.0,2480.0,206.0,8583.0,18816.0,1840.0,29232.0,10.0,157.0,0.0,186.0,3694.0,267.0,4298.0,191.0,137.0,7.0,406.0,3692.0,323.0,4494.0,3019.0,305.0,56.0,3523.0,6136.0,1147.0,10753.0,4419.0,140.0,97.0,4770.0,3139.0,854.0,8896.0,2436.0,390.0,37.0,2871.0,5375.0,650.0,8914.0,334.0,1125.0,0.0,1480.0,6279.0,420.0,8142.0,18.0,979.0,0.0,1013.0,5425.0,407.0,6936.0,7.0,136.0,0.0,149.0,3365.0,314.0,3926.0,0.0,0.0,0.0,5.0,1463.0,94.0,1635.0,10569.0,3691.0,297.0,14566.0,38615.0,4814.0,58036.0,58036.0
Laverton,0.0,31.0,0.0,47.0,1841.0,142.0,2183.0,0.0,32.0,0.0,40.0,2980.0,490.0,3677.0,1612.0,84.0,6.0,1740.0,7297.0,1363.0,10439.0,4491.0,26.0,4.0,4615.0,3979.0,993.0,9569.0,1458.0,17.0,0.0,1569.0,2868.0,378.0,4889.0,242.0,93.0,0.0,379.0,2694.0,222.0,3474.0,25.0,182.0,0.0,258.0,1911.0,142.0,2416.0,0.0,22.0,0.0,18.0,1023.0,60.0,1214.0,0.0,0.0,0.0,0.0,321.0,13.0,352.0,7901.0,853.0,46.0,8870.0,25234.0,4215.0,38307.0,4.0,99.0,0.0,109.0,1812.0,118.0,2143.0,53.0,69.0,0.0,182.0,2239.0,179.0,2753.0,3230.0,173.0,18.0,3518.0,4999.0,675.0,9291.0,4726.0,79.0,36.0,4993.0,2696.0,531.0,8178.0,1188.0,72.0,0.0,1379.0,2788.0,226.0,4493.0,102.0,499.0,0.0,616.0,2670.0,129.0,3568.0,11.0,352.0,0.0,382.0,2036.0,99.0,2782.0,0.0,34.0,0.0,37.0,1289.0,90.0,1440.0,0.0,0.0,0.0,0.0,549.0,41.0,626.0,9566.0,1680.0,126.0,11509.0,21156.0,2524.0,35212.0,5.0,164.0,0.0,182.0,3614.0,332.0,4305.0,79.0,127.0,0.0,297.0,5282.0,766.0,6469.0,4875.0,321.0,22.0,5350.0,12297.0,2116.0,19722.0,9198.0,149.0,63.0,9539.0,6724.0,1547.0,17777.0,2664.0,128.0,10.0,2954.0,5684.0,706.0,9426.0,463.0,596.0,3.0,1120.0,5342.0,497.0,7023.0,94.0,621.0,0.0,737.0,3997.0,322.0,5183.0,0.0,71.0,0.0,71.0,2346.0,180.0,2663.0,0.0,0.0,0.0,0.0,923.0,70.0,1020.0,17545.0,2617.0,239.0,20418.0,46402.0,6705.0,73503.0,73503.0
