district,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_0_4_pc,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_5_9_pc,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_10_12_pc,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_13_14_pc,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_15_17_pc,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_18_20_pc,CF_C_BPBO_DC_21_24,CF_C_BPBO_DC_21_24_pc,CF_C_BPBO_Tot,CF_C_BPBO_Tot_pc,CF_C_FBO_DC_0_4,CF_C_FBO_DC_0_4_pc,CF_C_FBO_DC_5_9,CF_C_FBO_DC_5_9_pc,CF_C_FBO_DC_10_12,CF_C_FBO_DC_10_12_pc,CF_C_FBO_DC_13_14,CF_C_FBO_DC_13_14_pc,CF_C_FBO_DC_15_17,CF_C_FBO_DC_15_17_pc,CF_C_FBO_DC_18_20,CF_C_FBO_DC_18_20_pc,CF_C_FBO_DC_21_24,CF_C_FBO_DC_21_24_pc,CF_C_FBO_Tot,CF_C_FBO_Tot_pc,CF_C_MBO_DC_0_4,CF_C_MBO_DC_0_4_pc,CF_C_MBO_DC_5_9,CF_C_MBO_DC_5_9_pc,CF_C_MBO_DC_10_12,CF_C_MBO_DC_10_12_pc,CF_C_MBO_DC_13_14,CF_C_MBO_DC_13_14_pc,CF_C_MBO_DC_15_17,CF_C_MBO_DC_15_17_pc,CF_C_MBO_DC_18_20,CF_C_MBO_DC_18_20_pc,CF_C_MBO_DC_21_24,CF_C_MBO_DC_21_24_pc,CF_C_MBO_Tot,CF_C_MBO_Tot_pc,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_0_4_pc,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_5_9_pc,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_10_12_pc,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_13_14_pc,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_15_17_pc,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_18_20_pc,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_DC_21_24_pc,CF_C_BPBAu_Tot,CF_C_BPBAu_Tot_pc,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_0_4_pc,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_5_9_pc,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_10_12_pc,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_13_14_pc,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_15_17_pc,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_18_20_pc,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_DC_21_24_pc,CF_C_BP_NS_Tot,CF_C_BP_NS_Tot_pc,CF_C_Tot_DC_0_4,CF_C_Tot_DC_0_4_pc,CF_C_Tot_DC_5_9,CF_C_Tot_DC_5_9_pc,CF_C_Tot_DC_10_12,CF_C_Tot_DC_10_12_pc,CF_C_Tot_DC_13_14,CF_C_Tot_DC_13_14_pc,CF_C_Tot_DC_15_17,CF_C_Tot_DC_15_17_pc,CF_C_Tot_DC_18_20,CF_C_Tot_DC_18_20_pc,CF_C_Tot_DC_21_24,CF_C_Tot_DC_21_24_pc,CF_C_Tot_Tot,CF_C_Tot_Tot_pc,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_0_4_pc,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_5_9_pc,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_10_12_pc,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_13_14_pc,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_15_17_pc,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_18_20_pc,One_PF_BPBO_DC_21_24,One_PF_BPBO_DC_21_24_pc,One_PF_BPBO_Tot,One_PF_BPBO_Tot_pc,One_PF_FBO_DC_0_4,One_PF_FBO_DC_0_4_pc,One_PF_FBO_DC_5_9,One_PF_FBO_DC_5_9_pc,One_PF_FBO_DC_10_12,One_PF_FBO_DC_10_12_pc,One_PF_FBO_DC_13_14,One_PF_FBO_DC_13_14_pc,One_PF_FBO_DC_15_17,One_PF_FBO_DC_15_17_pc,One_PF_FBO_DC_18_20,One_PF_FBO_DC_18_20_pc,One_PF_FBO_DC_21_24,One_PF_FBO_DC_21_24_pc,One_PF_FBO_Tot,One_PF_FBO_Tot_pc,One_PF_MBO_DC_0_4,One_PF_MBO_DC_0_4_pc,One_PF_MBO_DC_5_9,One_PF_MBO_DC_5_9_pc,One_PF_MBO_DC_10_12,One_PF_MBO_DC_10_12_pc,One_PF_MBO_DC_13_14,One_PF_MBO_DC_13_14_pc,One_PF_MBO_DC_15_17,One_PF_MBO_DC_15_17_pc,One_PF_MBO_DC_18_20,One_PF_MBO_DC_18_20_pc,One_PF_MBO_DC_21_24,One_PF_MBO_DC_21_24_pc,One_PF_MBO_Tot,One_PF_MBO_Tot_pc,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_0_4_pc,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_5_9_pc,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_10_12_pc,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_13_14_pc,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_15_17_pc,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_18_20_pc,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_DC_21_24_pc,One_PF_BPBAu_Tot,One_PF_BPBAu_Tot_pc,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_0_4_pc,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_5_9_pc,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_10_12_pc,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_13_14_pc,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_15_17_pc,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_18_20_pc,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_DC_21_24_pc,One_PF_BP_NS_Tot,One_PF_BP_NS_Tot_pc,One_PF_Tot_DC_0_4,One_PF_Tot_DC_0_4_pc,One_PF_Tot_DC_5_9,One_PF_Tot_DC_5_9_pc,One_PF_Tot_DC_10_12,One_PF_Tot_DC_10_12_pc,One_PF_Tot_DC_13_14,One_PF_Tot_DC_13_14_pc,One_PF_Tot_DC_15_17,One_PF_Tot_DC_15_17_pc,One_PF_Tot_DC_18_20,One_PF_Tot_DC_18_20_pc,One_PF_Tot_DC_21_24,One_PF_Tot_DC_21_24_pc,One_PF_Tot_Tot,One_PF_Tot_Tot_pc,Tot_DC_0_4,Tot_DC_0_4_pc,Tot_DC_5_9,Tot_DC_5_9_pc,Tot_DC_10_12,Tot_DC_10_12_pc,Tot_DC_13_14,Tot_DC_13_14_pc,Tot_DC_15_17,Tot_DC_15_17_pc,Tot_DC_18_20,Tot_DC_18_20_pc,Tot_DC_21_24,Tot_DC_21_24_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Box Hill,1692.0,0.0939,1743.0,0.0968,896.0,0.0498,561.0,0.0311,721.0,0.04,403.0,0.0224,257.0,0.0143,6346.0,0.3524,136.0,0.0076,266.0,0.0148,119.0,0.0066,72.0,0.004,165.0,0.0092,72.0,0.004,25.0,0.0014,1140.0,0.0633,275.0,0.0153,298.0,0.0165,182.0,0.0101,105.0,0.0058,153.0,0.0085,76.0,0.0042,19.0,0.0011,1417.0,0.0787,946.0,0.0525,1310.0,0.0727,966.0,0.0536,706.0,0.0392,1103.0,0.0612,740.0,0.0411,343.0,0.019,6192.0,0.3438,0.0,0.0,7.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0004,3157.0,0.1753,3722.0,0.2067,2235.0,0.1241,1510.0,0.0838,2208.0,0.1226,1478.0,0.0821,809.0,0.0449,15202.0,0.8441,67.0,0.0037,196.0,0.0109,104.0,0.0058,129.0,0.0072,187.0,0.0104,157.0,0.0087,87.0,0.0048,1308.0,0.0726,11.0,0.0006,20.0,0.0011,16.0,0.0009,4.0,0.0002,22.0,0.0012,15.0,0.0008,0.0,0.0,217.0,0.012,7.0,0.0004,21.0,0.0012,3.0,0.0002,4.0,0.0002,23.0,0.0013,8.0,0.0004,0.0,0.0,185.0,0.0103,47.0,0.0026,83.0,0.0046,83.0,0.0046,95.0,0.0053,151.0,0.0084,74.0,0.0041,55.0,0.0031,906.0,0.0503,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0019,235.0,0.013,443.0,0.0246,328.0,0.0182,335.0,0.0186,444.0,0.0247,350.0,0.0194,229.0,0.0127,2737.0,0.152,3446.0,0.1913,4220.0,0.2343,2672.0,0.1484,1963.0,0.109,2775.0,0.1541,1861.0,0.1033,1091.0,0.0606,18010.0,1.0,18010.0
Brighton,549.0,0.0368,660.0,0.0443,418.0,0.028,240.0,0.0161,325.0,0.0218,231.0,0.0155,99.0,0.0066,2748.0,0.1844,268.0,0.018,336.0,0.0225,234.0,0.0157,151.0,0.0101,147.0,0.0099,102.0,0.0068,49.0,0.0033,1523.0,0.1022,320.0,0.0215,363.0,0.0244,233.0,0.0156,136.0,0.0091,174.0,0.0117,98.0,0.0066,31.0,0.0021,1645.0,0.1104,1235.0,0.0829,1488.0,0.0998,1061.0,0.0712,730.0,0.049,1100.0,0.0738,814.0,0.0546,339.0,0.0227,6904.0,0.4632,0.0,0.0,0.0,0.0,8.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0007,2551.0,0.1712,2933.0,0.1968,2051.0,0.1376,1408.0,0.0945,1918.0,0.1287,1295.0,0.0869,703.0,0.0472,12919.0,0.8668,0.0,0.0,67.0,0.0045,73.0,0.0049,39.0,0.0026,52.0,0.0035,18.0,0.0012,5.0,0.0003,501.0,0.0336,11.0,0.0007,40.0,0.0027,15.0,0.001,9.0,0.0006,42.0,0.0028,10.0,0.0007,9.0,0.0006,283.0,0.019,0.0,0.0,28.0,0.0019,35.0,0.0023,12.0,0.0008,12.0,0.0008,6.0,0.0004,7.0,0.0005,246.0,0.0165,26.0,0.0017,124.0,0.0083,86.0,0.0058,68.0,0.0046,132.0,0.0089,47.0,0.0032,50.0,0.0034,843.0,0.0566,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0007,98.0,0.0066,338.0,0.0227,329.0,0.0221,240.0,0.0161,317.0,0.0213,231.0,0.0155,151.0,0.0101,2000.0,0.1342,2694.0,0.1807,3281.0,0.2201,2364.0,0.1586,1770.0,0.1188,2321.0,0.1557,1612.0,0.1082,865.0,0.058,14905.0,1.0,14905.0
Broadmeadows,2578.0,0.1396,2430.0,0.1316,1244.0,0.0674,720.0,0.039,828.0,0.0448,543.0,0.0294,266.0,0.0144,8804.0,0.4768,579.0,0.0314,459.0,0.0249,228.0,0.0123,111.0,0.006,154.0,0.0083,58.0,0.0031,4.0,0.0002,1884.0,0.102,402.0,0.0218,328.0,0.0178,105.0,0.0057,26.0,0.0014,54.0,0.0029,13.0,0.0007,7.0,0.0004,1227.0,0.0665,1231.0,0.0667,821.0,0.0445,406.0,0.022,223.0,0.0121,321.0,0.0174,132.0,0.0071,29.0,0.0016,3336.0,0.1807,37.0,0.002,28.0,0.0015,6.0,0.0003,0.0,0.0,6.0,0.0003,0.0,0.0,0.0,0.0,109.0,0.0059,4917.0,0.2663,4197.0,0.2273,2167.0,0.1174,1265.0,0.0685,1523.0,0.0825,885.0,0.0479,422.0,0.0229,15312.0,0.8292,109.0,0.0059,229.0,0.0124,130.0,0.007,108.0,0.0058,216.0,0.0117,87.0,0.0047,41.0,0.0022,1200.0,0.065,51.0,0.0028,68.0,0.0037,60.0,0.0032,24.0,0.0013,42.0,0.0023,6.0,0.0003,0.0,0.0,440.0,0.0238,28.0,0.0015,33.0,0.0018,21.0,0.0011,22.0,0.0012,23.0,0.0012,4.0,0.0002,0.0,0.0,242.0,0.0131,196.0,0.0106,262.0,0.0142,103.0,0.0056,56.0,0.003,148.0,0.008,35.0,0.0019,24.0,0.0013,1085.0,0.0588,4.0,0.0002,21.0,0.0011,5.0,0.0003,3.0,0.0002,7.0,0.0004,0.0,0.0,0.0,0.0,71.0,0.0038,538.0,0.0291,747.0,0.0405,473.0,0.0256,305.0,0.0165,491.0,0.0266,238.0,0.0129,105.0,0.0057,3247.0,0.1758,5432.0,0.2942,4895.0,0.2651,2594.0,0.1405,1711.0,0.0927,2065.0,0.1118,1154.0,0.0625,635.0,0.0344,18465.0,1.0,18465.0
Brunswick,403.0,0.0433,300.0,0.0322,108.0,0.0116,49.0,0.0053,81.0,0.0087,24.0,0.0026,18.0,0.0019,1263.0,0.1358,290.0,0.0312,250.0,0.0269,118.0,0.0127,50.0,0.0054,74.0,0.008,24.0,0.0026,6.0,0.0006,1038.0,0.1116,341.0,0.0367,309.0,0.0332,134.0,0.0144,42.0,0.0045,62.0,0.0067,37.0,0.004,4.0,0.0004,1175.0,0.1263,1251.0,0.1345,1038.0,0.1116,661.0,0.0711,416.0,0.0447,499.0,0.0536,308.0,0.0331,90.0,0.0097,4411.0,0.4741,0.0,0.0,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0013,2426.0,0.2608,1967.0,0.2114,1150.0,0.1236,689.0,0.0741,872.0,0.0937,488.0,0.0525,211.0,0.0227,7929.0,0.8523,27.0,0.0029,39.0,0.0042,18.0,0.0019,13.0,0.0014,21.0,0.0023,15.0,0.0016,6.0,0.0006,272.0,0.0292,7.0,0.0008,23.0,0.0025,12.0,0.0013,0.0,0.0,16.0,0.0017,12.0,0.0013,7.0,0.0008,186.0,0.02,14.0,0.0015,10.0,0.0011,11.0,0.0012,4.0,0.0004,14.0,0.0015,0.0,0.0,3.0,0.0003,102.0,0.011,21.0,0.0023,89.0,0.0096,87.0,0.0094,42.0,0.0045,78.0,0.0084,32.0,0.0034,6.0,0.0006,620.0,0.0666,3.0,0.0003,0.0,0.0,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0043,124.0,0.0133,285.0,0.0306,220.0,0.0236,109.0,0.0117,183.0,0.0197,109.0,0.0117,44.0,0.0047,1356.0,0.1458,2636.0,0.2833,2308.0,0.2481,1427.0,0.1534,815.0,0.0876,1078.0,0.1159,654.0,0.0703,283.0,0.0304,9303.0,1.0,9303.0
Bulleen,1685.0,0.1064,1975.0,0.1247,878.0,0.0555,542.0,0.0342,679.0,0.0429,614.0,0.0388,387.0,0.0244,6805.0,0.4298,184.0,0.0116,148.0,0.0093,82.0,0.0052,28.0,0.0018,97.0,0.0061,47.0,0.003,25.0,0.0016,804.0,0.0508,274.0,0.0173,227.0,0.0143,111.0,0.007,36.0,0.0023,75.0,0.0047,50.0,0.0032,9.0,0.0006,1127.0,0.0712,768.0,0.0485,932.0,0.0589,699.0,0.0442,481.0,0.0304,755.0,0.0477,451.0,0.0285,235.0,0.0148,4456.0,0.2815,0.0,0.0,15.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0029,3041.0,0.1921,3316.0,0.2094,1859.0,0.1174,1267.0,0.08,1754.0,0.1108,1220.0,0.0771,807.0,0.051,13312.0,0.8408,54.0,0.0034,232.0,0.0147,123.0,0.0078,109.0,0.0069,169.0,0.0107,99.0,0.0063,64.0,0.004,1170.0,0.0739,11.0,0.0007,36.0,0.0023,19.0,0.0012,7.0,0.0004,24.0,0.0015,7.0,0.0004,8.0,0.0005,192.0,0.0121,12.0,0.0008,17.0,0.0011,0.0,0.0,18.0,0.0011,18.0,0.0011,3.0,0.0002,8.0,0.0005,188.0,0.0119,40.0,0.0025,123.0,0.0078,70.0,0.0044,86.0,0.0054,127.0,0.008,48.0,0.003,14.0,0.0009,827.0,0.0522,0.0,0.0,7.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0013,185.0,0.0117,502.0,0.0317,351.0,0.0222,262.0,0.0165,504.0,0.0318,247.0,0.0156,136.0,0.0086,2454.0,0.155,3241.0,0.2047,3907.0,0.2468,2255.0,0.1424,1561.0,0.0986,2304.0,0.1455,1598.0,0.1009,1021.0,0.0645,15832.0,1.0,15832.0
Bundoora,998.0,0.0675,984.0,0.0666,414.0,0.028,205.0,0.0139,361.0,0.0244,247.0,0.0167,158.0,0.0107,3686.0,0.2494,260.0,0.0176,244.0,0.0165,125.0,0.0085,71.0,0.0048,112.0,0.0076,55.0,0.0037,27.0,0.0018,1131.0,0.0765,270.0,0.0183,260.0,0.0176,95.0,0.0064,50.0,0.0034,59.0,0.004,23.0,0.0016,10.0,0.0007,991.0,0.067,1736.0,0.1174,1600.0,0.1082,1019.0,0.0689,705.0,0.0477,890.0,0.0602,501.0,0.0339,156.0,0.0106,6660.0,0.4505,0.0,0.0,9.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0022,3326.0,0.225,3144.0,0.2127,1819.0,0.1231,1168.0,0.079,1564.0,0.1058,977.0,0.0661,441.0,0.0298,12497.0,0.8454,31.0,0.0021,92.0,0.0062,54.0,0.0037,14.0,0.0009,43.0,0.0029,37.0,0.0025,28.0,0.0019,463.0,0.0313,3.0,0.0002,23.0,0.0016,16.0,0.0011,11.0,0.0007,20.0,0.0014,9.0,0.0006,5.0,0.0003,237.0,0.016,3.0,0.0002,14.0,0.0009,6.0,0.0004,5.0,0.0003,22.0,0.0015,12.0,0.0008,0.0,0.0,136.0,0.0092,155.0,0.0105,239.0,0.0162,182.0,0.0123,108.0,0.0073,217.0,0.0147,68.0,0.0046,42.0,0.0028,1363.0,0.0922,4.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0009,266.0,0.018,485.0,0.0328,343.0,0.0232,277.0,0.0187,404.0,0.0273,162.0,0.011,95.0,0.0064,2324.0,0.1572,3699.0,0.2502,3676.0,0.2487,2160.0,0.1461,1519.0,0.1028,2015.0,0.1363,1169.0,0.0791,572.0,0.0387,14782.0,1.0,14782.0
Carrum,1049.0,0.059,1288.0,0.0725,620.0,0.0349,411.0,0.0231,529.0,0.0298,289.0,0.0163,169.0,0.0095,4545.0,0.2557,481.0,0.0271,296.0,0.0167,163.0,0.0092,78.0,0.0044,92.0,0.0052,28.0,0.0016,10.0,0.0006,1288.0,0.0725,429.0,0.0241,420.0,0.0236,209.0,0.0118,63.0,0.0035,123.0,0.0069,39.0,0.0022,12.0,0.0007,1518.0,0.0854,2285.0,0.1285,1961.0,0.1103,1024.0,0.0576,631.0,0.0355,748.0,0.0421,228.0,0.0128,110.0,0.0062,7145.0,0.4019,11.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.002,4355.0,0.245,4079.0,0.2295,2068.0,0.1163,1282.0,0.0721,1649.0,0.0928,722.0,0.0406,385.0,0.0217,14559.0,0.819,34.0,0.0019,78.0,0.0044,51.0,0.0029,27.0,0.0015,29.0,0.0016,23.0,0.0013,21.0,0.0012,494.0,0.0278,19.0,0.0011,69.0,0.0039,32.0,0.0018,19.0,0.0011,36.0,0.002,7.0,0.0004,0.0,0.0,390.0,0.0219,31.0,0.0017,27.0,0.0015,6.0,0.0003,5.0,0.0003,16.0,0.0009,7.0,0.0004,0.0,0.0,162.0,0.0091,293.0,0.0165,481.0,0.0271,322.0,0.0181,214.0,0.012,296.0,0.0167,45.0,0.0025,11.0,0.0006,1942.0,0.1092,5.0,0.0003,8.0,0.0005,3.0,0.0002,0.0,0.0,3.0,0.0002,0.0,0.0,0.0,0.0,62.0,0.0035,498.0,0.028,787.0,0.0443,509.0,0.0286,377.0,0.0212,526.0,0.0296,152.0,0.0086,69.0,0.0039,3167.0,0.1782,4868.0,0.2739,4939.0,0.2778,2594.0,0.1459,1690.0,0.0951,2177.0,0.1225,908.0,0.0511,520.0,0.0293,17776.0,1.0,17776.0
Caulfield,799.0,0.0533,855.0,0.057,386.0,0.0257,236.0,0.0157,280.0,0.0187,191.0,0.0127,128.0,0.0085,3145.0,0.2097,610.0,0.0407,574.0,0.0383,318.0,0.0212,150.0,0.01,197.0,0.0131,86.0,0.0057,20.0,0.0013,2270.0,0.1513,477.0,0.0318,432.0,0.0288,289.0,0.0193,128.0,0.0085,209.0,0.0139,68.0,0.0045,37.0,0.0025,1910.0,0.1273,1430.0,0.0953,1395.0,0.093,867.0,0.0578,505.0,0.0337,797.0,0.0531,470.0,0.0313,253.0,0.0169,5832.0,0.3888,19.0,0.0013,9.0,0.0006,12.0,0.0008,5.0,0.0003,3.0,0.0002,0.0,0.0,0.0,0.0,51.0,0.0034,3403.0,0.2269,3355.0,0.2237,1963.0,0.1309,1249.0,0.0833,1649.0,0.1099,997.0,0.0665,618.0,0.0412,13270.0,0.8847,49.0,0.0033,43.0,0.0029,17.0,0.0011,21.0,0.0014,29.0,0.0019,20.0,0.0013,9.0,0.0006,379.0,0.0253,17.0,0.0011,40.0,0.0027,37.0,0.0025,21.0,0.0014,34.0,0.0023,16.0,0.0011,5.0,0.0003,319.0,0.0213,15.0,0.001,17.0,0.0011,29.0,0.0019,7.0,0.0005,14.0,0.0009,0.0,0.0,3.0,0.0002,187.0,0.0125,18.0,0.0012,90.0,0.006,74.0,0.0049,55.0,0.0037,106.0,0.0071,60.0,0.004,21.0,0.0014,744.0,0.0496,6.0,0.0004,3.0,0.0002,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0011,143.0,0.0095,296.0,0.0197,248.0,0.0165,168.0,0.0112,288.0,0.0192,179.0,0.0119,67.0,0.0045,1730.0,0.1153,3682.0,0.2455,3622.0,0.2415,2291.0,0.1527,1496.0,0.0997,1978.0,0.1319,1184.0,0.0789,779.0,0.0519,14999.0,1.0,14999.0
Clarinda,1639.0,0.1019,1892.0,0.1176,1010.0,0.0628,617.0,0.0384,874.0,0.0543,667.0,0.0415,361.0,0.0224,7118.0,0.4424,269.0,0.0167,221.0,0.0137,141.0,0.0088,59.0,0.0037,94.0,0.0058,47.0,0.0029,20.0,0.0012,1046.0,0.065,287.0,0.0178,284.0,0.0177,125.0,0.0078,41.0,0.0025,86.0,0.0053,36.0,0.0022,7.0,0.0004,1131.0,0.0703,974.0,0.0605,893.0,0.0555,606.0,0.0377,383.0,0.0238,493.0,0.0306,236.0,0.0147,104.0,0.0065,3906.0,0.2428,5.0,0.0003,3.0,0.0002,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0022,3259.0,0.2026,3395.0,0.211,1967.0,0.1223,1241.0,0.0771,1648.0,0.1024,1090.0,0.0678,595.0,0.037,13244.0,0.8232,134.0,0.0083,286.0,0.0178,162.0,0.0101,122.0,0.0076,202.0,0.0126,137.0,0.0085,87.0,0.0054,1408.0,0.0875,32.0,0.002,26.0,0.0016,14.0,0.0009,3.0,0.0002,20.0,0.0012,0.0,0.0,0.0,0.0,210.0,0.0131,18.0,0.0011,36.0,0.0022,18.0,0.0011,0.0,0.0,7.0,0.0004,4.0,0.0002,0.0,0.0,203.0,0.0126,53.0,0.0033,113.0,0.007,112.0,0.007,57.0,0.0035,98.0,0.0061,37.0,0.0023,13.0,0.0008,790.0,0.0491,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0002,4.0,0.0002,0.0,0.0,0.0,0.0,25.0,0.0016,346.0,0.0215,630.0,0.0392,428.0,0.0266,254.0,0.0158,458.0,0.0285,292.0,0.0182,153.0,0.0095,2785.0,0.1731,3644.0,0.2265,3973.0,0.247,2401.0,0.1492,1585.0,0.0985,2146.0,0.1334,1445.0,0.0898,774.0,0.0481,16088.0,1.0,16088.0
Cranbourne,3756.0,0.1491,3745.0,0.1487,1790.0,0.0711,875.0,0.0347,1204.0,0.0478,562.0,0.0223,351.0,0.0139,12438.0,0.4938,413.0,0.0164,306.0,0.0121,104.0,0.0041,50.0,0.002,73.0,0.0029,19.0,0.0008,4.0,0.0002,1189.0,0.0472,383.0,0.0152,295.0,0.0117,91.0,0.0036,36.0,0.0014,46.0,0.0018,6.0,0.0002,3.0,0.0001,1131.0,0.0449,2264.0,0.0899,1798.0,0.0714,795.0,0.0316,487.0,0.0193,553.0,0.022,148.0,0.0059,50.0,0.002,6324.0,0.2511,12.0,0.0005,9.0,0.0004,4.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0013,6842.0,0.2716,6212.0,0.2466,3034.0,0.1205,1634.0,0.0649,2044.0,0.0812,846.0,0.0336,460.0,0.0183,21166.0,0.8404,160.0,0.0064,288.0,0.0114,179.0,0.0071,92.0,0.0037,140.0,0.0056,70.0,0.0028,37.0,0.0015,1189.0,0.0472,43.0,0.0017,65.0,0.0026,18.0,0.0007,6.0,0.0002,17.0,0.0007,0.0,0.0,0.0,0.0,344.0,0.0137,13.0,0.0005,29.0,0.0012,17.0,0.0007,10.0,0.0004,18.0,0.0007,0.0,0.0,0.0,0.0,240.0,0.0095,465.0,0.0185,574.0,0.0228,324.0,0.0129,195.0,0.0077,236.0,0.0094,21.0,0.0008,17.0,0.0007,2100.0,0.0834,18.0,0.0007,11.0,0.0004,0.0,0.0,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0028,864.0,0.0343,1088.0,0.0432,693.0,0.0275,399.0,0.0158,557.0,0.0221,169.0,0.0067,83.0,0.0033,4048.0,0.1607,7757.0,0.308,7370.0,0.2926,3645.0,0.1447,2076.0,0.0824,2632.0,0.1045,1069.0,0.0424,555.0,0.022,25187.0,1.0,25187.0
