district,Neg_Nil_inc_cpl_fam_no_child_n,Neg_Nil_inc_cpl_fam_wth_chld_n,Neg_Nil_inc_One_parent_fam_n,Neg_Nil_inc_Other_fam_n,Neg_Nil_inc_Tot_n,FI_1_149_cpl_fam_no_child_n,FI_1_149_cpl_fam_with_child_n,FI_1_149_One_parent_fam_n,FI_1_149_Other_fam_n,FI_1_149_Tot_n,FI_150_299_cpl_fam_no_child_n,FI_150_299_cpl_fam_with_child_n,FI_150_299_One_parent_fam_n,FI_150_299_Other_fam_n,FI_150_299_Tot_n,FI_300_399_cpl_fam_no_child_n,FI_300_399_cpl_fam_with_child_n,FI_300_399_One_parent_fam_n,FI_300_399_Other_fam_n,FI_300_399_Tot_n,FI_400_499_cpl_fam_no_child_n,FI_400_499_cpl_fam_with_child_n,FI_400_499_One_parent_fam_n,FI_400_499_Other_fam_n,FI_400_499_Tot_n,FI_500_649_cpl_fam_no_child_n,FI_500_649_cpl_fam_with_child_n,FI_500_649_One_parent_fam_n,FI_500_649_Other_fam_n,FI_500_649_Tot_n,FI_650_799_cpl_fam_no_child_n,FI_650_799_cpl_fam_with_child_n,FI_650_799_One_parent_fam_n,FI_650_799_Other_fam_n,FI_650_799_Tot_n,FI_800_999_cpl_fam_no_child_n,FI_800_999_cpl_fam_wth_chld_n,FI_800_999_One_parent_fam_n,FI_800_999_Other_fam_n,FI_800_999_Tot_n,FI_1000_1249_cpl_fam_no_child_n,FI_1000_1249_cpl_fam_wth_chld_n,FI_1000_1249_One_parent_fam_n,FI_1000_1249_Other_fam_n,FI_1000_1249_Tot_n,FI_1250_1499_cpl_fam_no_child_n,FI_1250_1499_cpl_fam_wth_chld_n,FI_1250_1499_One_parent_fam_n,FI_1250_1499_Other_fam_n,FI_1250_1499_Tot_n,FI_1500_1749_cpl_fam_no_child_n,FI_1500_1749_cpl_fam_wth_chld_n,FI_1500_1749_One_parent_fam_n,FI_1500_1749_Other_fam_n,FI_1500_1749_Tot_n,FI_1750_1999_cpl_fam_no_child_n,FI_1750_1999_cpl_fam_wth_chld_n,FI_1750_1999_One_parent_fam_n,FI_1750_1999_Other_fam_n,FI_1750_1999_Tot_n,FI_2000_2499_cpl_fam_no_child_n,FI_2000_2499_cpl_fam_wth_chld_n,FI_2000_2499_One_parent_fam_n,FI_2000_2499_Other_fam_n,FI_2000_2499_Tot_n,FI_2500_2999_cpl_fam_no_child_n,FI_2500_2999_cpl_fam_wth_chld_n,FI_2500_2999_One_parent_fam_n,FI_2500_2999_Other_fam_n,FI_2500_2999_Tot_n,FI_3000_3499_cpl_fam_no_child_n,FI_3000_3499_cpl_fam_wth_chld_n,FI_3000_3499_One_parent_fam_n,FI_3000_3499_Other_fam_n,FI_3000_3499_Tot_n,FI_3500_3999_cpl_fam_no_child_n,FI_3500_3999_cpl_fam_wth_chld_n,FI_3500_3999_One_parent_fam_n,FI_3500_3999_Other_fam_n,FI_3500_3999_Tot_n,FI_4000_more_cpl_fam_no_child_n,FI_4000_more_cpl_fam_wth_chld_n,FI_4000_more_One_parent_fam_n,FI_4000_more_Other_fam_n,FI_4000_more_Tot_n,Prt_inc_std_cpl_fam_no_child_n,Part_inc_std_cpl_fam_wth_chld_n,Part_inc_statd_One_parent_fam_n,Partial_income_statd_Othr_fam_n,Partial_income_stated_Tot_n,All_inc_ns_cpl_fam_no_child_n,All_inc_ns_cpl_fam_wth_chld_n,All_incomes_ns_One_parent_fam_n,All_incomes_ns_Other_fam_n,All_incomes_ns_Tot_n,Tot_cpl_fam_no_child_n,Tot_cpl_fam_wth_chld_n,Tot_One_parent_fam_n,Tot_Other_fam_n,Tot_Tot_n,Tot_Tot_total
Footscray,58.0,6.0,19.0,0.0,141.0,40.0,0.0,0.0,0.0,39.0,7.0,3.0,4.0,3.0,37.0,0.0,0.0,32.0,0.0,54.0,86.0,19.0,55.0,5.0,244.0,61.0,26.0,51.0,3.0,246.0,388.0,49.0,107.0,3.0,648.0,218.0,81.0,222.0,19.0,730.0,277.0,214.0,212.0,16.0,863.0,394.0,314.0,188.0,13.0,1127.0,280.0,237.0,129.0,6.0,855.0,304.0,317.0,142.0,8.0,917.0,955.0,758.0,325.0,33.0,2180.0,866.0,716.0,75.0,19.0,1843.0,743.0,882.0,55.0,0.0,1764.0,560.0,623.0,18.0,6.0,1294.0,1427.0,2641.0,111.0,17.0,4295.0,195.0,301.0,115.0,4.0,716.0,29.0,7.0,3.0,0.0,87.0,7551.0,7703.0,2649.0,509.0,18455.0,18455.0
Frankston,63.0,4.0,17.0,0.0,143.0,21.0,0.0,0.0,0.0,35.0,11.0,5.0,14.0,0.0,37.0,8.0,0.0,36.0,0.0,85.0,96.0,4.0,130.0,0.0,302.0,70.0,9.0,207.0,0.0,429.0,645.0,48.0,309.0,0.0,1067.0,439.0,69.0,403.0,6.0,1087.0,493.0,183.0,465.0,26.0,1272.0,583.0,348.0,338.0,17.0,1450.0,340.0,360.0,266.0,5.0,993.0,401.0,385.0,184.0,3.0,1137.0,896.0,1059.0,344.0,8.0,2392.0,603.0,976.0,114.0,5.0,1772.0,455.0,775.0,47.0,0.0,1407.0,225.0,539.0,9.0,0.0,914.0,414.0,1235.0,38.0,0.0,1762.0,140.0,426.0,255.0,0.0,908.0,64.0,28.0,43.0,0.0,202.0,6582.0,6861.0,3954.0,290.0,17802.0,17802.0
Geelong,44.0,5.0,8.0,0.0,91.0,13.0,0.0,4.0,0.0,38.0,11.0,0.0,4.0,0.0,38.0,0.0,0.0,36.0,0.0,62.0,119.0,0.0,65.0,0.0,296.0,98.0,20.0,183.0,5.0,360.0,718.0,24.0,188.0,0.0,1115.0,487.0,68.0,307.0,8.0,1005.0,632.0,157.0,292.0,11.0,1215.0,667.0,313.0,257.0,7.0,1431.0,349.0,323.0,182.0,0.0,991.0,423.0,318.0,135.0,8.0,1053.0,854.0,999.0,204.0,7.0,2318.0,713.0,883.0,86.0,9.0,1833.0,544.0,908.0,38.0,0.0,1577.0,283.0,611.0,3.0,0.0,1032.0,690.0,1930.0,36.0,4.0,2691.0,207.0,485.0,148.0,0.0,957.0,70.0,23.0,39.0,0.0,190.0,7608.0,7612.0,2992.0,282.0,18567.0,18567.0
Gippsland East,111.0,0.0,17.0,0.0,175.0,42.0,0.0,5.0,0.0,50.0,18.0,0.0,10.0,0.0,49.0,17.0,0.0,29.0,0.0,76.0,249.0,11.0,75.0,0.0,414.0,185.0,7.0,153.0,0.0,450.0,1504.0,55.0,249.0,0.0,1828.0,951.0,92.0,272.0,15.0,1407.0,921.0,244.0,244.0,3.0,1587.0,994.0,459.0,165.0,0.0,1714.0,395.0,424.0,88.0,0.0,1067.0,497.0,475.0,57.0,0.0,1164.0,871.0,950.0,96.0,0.0,1999.0,487.0,714.0,11.0,3.0,1217.0,245.0,467.0,7.0,0.0,826.0,111.0,202.0,0.0,0.0,429.0,261.0,499.0,10.0,0.0,891.0,349.0,558.0,139.0,0.0,1180.0,182.0,18.0,31.0,4.0,325.0,9043.0,5672.0,2475.0,184.0,17398.0,17398.0
Gippsland South,126.0,0.0,9.0,0.0,186.0,78.0,4.0,0.0,0.0,93.0,43.0,0.0,3.0,0.0,80.0,11.0,0.0,26.0,0.0,59.0,256.0,4.0,113.0,0.0,425.0,132.0,11.0,181.0,0.0,383.0,1144.0,43.0,211.0,5.0,1466.0,774.0,88.0,250.0,7.0,1260.0,844.0,234.0,231.0,4.0,1475.0,860.0,383.0,265.0,3.0,1571.0,393.0,386.0,116.0,0.0,1029.0,475.0,461.0,80.0,0.0,1105.0,927.0,1000.0,123.0,0.0,2144.0,461.0,732.0,27.0,0.0,1344.0,324.0,583.0,4.0,0.0,1072.0,125.0,345.0,0.0,0.0,551.0,443.0,872.0,12.0,0.0,1407.0,310.0,623.0,123.0,4.0,1220.0,168.0,33.0,28.0,3.0,304.0,8490.0,6345.0,2497.0,160.0,17580.0,17580.0
Glen Waverley,371.0,25.0,151.0,0.0,676.0,78.0,0.0,6.0,0.0,145.0,29.0,7.0,13.0,0.0,128.0,9.0,0.0,41.0,0.0,94.0,217.0,20.0,47.0,0.0,438.0,146.0,51.0,66.0,0.0,391.0,797.0,86.0,86.0,3.0,1174.0,583.0,241.0,187.0,4.0,1178.0,621.0,306.0,231.0,6.0,1405.0,695.0,488.0,214.0,5.0,1516.0,292.0,482.0,141.0,12.0,1055.0,398.0,465.0,113.0,6.0,1251.0,694.0,1383.0,247.0,13.0,2581.0,489.0,1268.0,89.0,0.0,1990.0,345.0,1355.0,50.0,0.0,1845.0,167.0,903.0,14.0,0.0,1175.0,654.0,3378.0,71.0,0.0,4186.0,148.0,749.0,114.0,0.0,1131.0,77.0,15.0,10.0,0.0,175.0,7856.0,11824.0,3055.0,274.0,23054.0,23054.0
Greenvale,115.0,93.0,49.0,0.0,418.0,11.0,6.0,3.0,0.0,46.0,9.0,36.0,32.0,0.0,134.0,5.0,19.0,46.0,0.0,100.0,55.0,99.0,76.0,0.0,433.0,69.0,157.0,162.0,0.0,547.0,648.0,410.0,254.0,0.0,1363.0,330.0,482.0,317.0,16.0,1215.0,260.0,728.0,304.0,0.0,1480.0,340.0,895.0,324.0,3.0,1681.0,166.0,821.0,176.0,7.0,1313.0,195.0,774.0,135.0,0.0,1202.0,534.0,1613.0,264.0,7.0,2500.0,366.0,1157.0,145.0,0.0,1843.0,221.0,1008.0,53.0,0.0,1407.0,93.0,664.0,8.0,0.0,847.0,206.0,1399.0,29.0,0.0,1749.0,104.0,751.0,118.0,0.0,1097.0,36.0,124.0,21.0,0.0,300.0,4664.0,11548.0,3447.0,206.0,19800.0,19800.0
Hastings,87.0,9.0,3.0,0.0,143.0,15.0,0.0,0.0,0.0,29.0,13.0,0.0,8.0,0.0,33.0,11.0,0.0,6.0,0.0,40.0,119.0,0.0,79.0,0.0,287.0,55.0,5.0,168.0,0.0,328.0,789.0,18.0,258.0,3.0,1137.0,563.0,64.0,277.0,0.0,994.0,589.0,218.0,320.0,5.0,1277.0,614.0,324.0,300.0,4.0,1421.0,354.0,469.0,182.0,0.0,1063.0,384.0,483.0,150.0,0.0,1109.0,984.0,1362.0,241.0,5.0,2666.0,643.0,1203.0,45.0,4.0,2046.0,444.0,985.0,13.0,3.0,1494.0,211.0,618.0,3.0,0.0,938.0,370.0,1417.0,25.0,0.0,1882.0,203.0,550.0,178.0,0.0,1020.0,86.0,23.0,21.0,0.0,228.0,7083.0,8052.0,3073.0,151.0,18424.0,18424.0
Hawthorn,80.0,8.0,70.0,0.0,228.0,3.0,0.0,3.0,0.0,45.0,3.0,0.0,9.0,0.0,26.0,4.0,3.0,22.0,0.0,44.0,35.0,3.0,19.0,3.0,133.0,37.0,0.0,31.0,0.0,159.0,189.0,12.0,39.0,0.0,390.0,158.0,22.0,62.0,0.0,401.0,306.0,44.0,99.0,4.0,618.0,436.0,109.0,82.0,5.0,843.0,264.0,89.0,67.0,6.0,597.0,382.0,106.0,76.0,3.0,719.0,902.0,464.0,189.0,13.0,1628.0,806.0,431.0,53.0,21.0,1457.0,672.0,505.0,57.0,0.0,1384.0,507.0,400.0,5.0,3.0,1021.0,1947.0,4834.0,232.0,0.0,7022.0,185.0,590.0,116.0,0.0,983.0,20.0,11.0,0.0,5.0,85.0,7606.0,8154.0,1984.0,320.0,18157.0,18157.0
Ivanhoe,84.0,4.0,10.0,3.0,177.0,15.0,0.0,0.0,0.0,33.0,0.0,0.0,21.0,0.0,25.0,3.0,0.0,17.0,0.0,47.0,104.0,6.0,50.0,0.0,219.0,35.0,7.0,79.0,0.0,243.0,394.0,37.0,104.0,0.0,690.0,305.0,52.0,187.0,14.0,629.0,409.0,135.0,186.0,8.0,850.0,361.0,223.0,165.0,3.0,945.0,284.0,222.0,157.0,5.0,796.0,320.0,326.0,127.0,3.0,947.0,776.0,802.0,303.0,12.0,1977.0,732.0,802.0,73.0,4.0,1634.0,582.0,913.0,42.0,0.0,1628.0,373.0,694.0,3.0,0.0,1182.0,984.0,3276.0,124.0,0.0,4481.0,183.0,418.0,115.0,0.0,852.0,46.0,18.0,18.0,0.0,125.0,6535.0,8399.0,2599.0,283.0,17735.0,17735.0
Kalkallo,215.0,35.0,46.0,0.0,488.0,3.0,4.0,0.0,0.0,24.0,8.0,19.0,19.0,0.0,76.0,7.0,16.0,13.0,0.0,63.0,49.0,139.0,75.0,0.0,365.0,44.0,178.0,189.0,0.0,586.0,420.0,332.0,284.0,0.0,1213.0,265.0,638.0,350.0,8.0,1391.0,304.0,938.0,333.0,8.0,1694.0,398.0,1290.0,273.0,11.0,2170.0,306.0,1171.0,218.0,0.0,1831.0,342.0,1279.0,141.0,0.0,1882.0,1072.0,2659.0,243.0,21.0,4002.0,600.0,1817.0,118.0,8.0,2705.0,294.0,1335.0,16.0,3.0,1815.0,181.0,783.0,16.0,0.0,1030.0,243.0,1334.0,27.0,0.0,1786.0,148.0,733.0,114.0,0.0,1208.0,44.0,101.0,13.0,0.0,247.0,5914.0,15234.0,3554.0,282.0,25061.0,25061.0
Kew,155.0,47.0,164.0,0.0,478.0,24.0,5.0,12.0,0.0,60.0,7.0,4.0,59.0,0.0,125.0,7.0,6.0,19.0,0.0,70.0,66.0,9.0,45.0,0.0,208.0,33.0,23.0,55.0,0.0,182.0,314.0,58.0,68.0,0.0,551.0,207.0,70.0,105.0,0.0,529.0,335.0,180.0,200.0,10.0,824.0,398.0,212.0,143.0,13.0,957.0,224.0,259.0,79.0,6.0,740.0,344.0,263.0,77.0,0.0,790.0,748.0,757.0,288.0,12.0,1888.0,616.0,661.0,98.0,4.0,1488.0,502.0,739.0,82.0,0.0,1483.0,311.0,620.0,19.0,0.0,1055.0,1400.0,4926.0,243.0,3.0,6647.0,193.0,806.0,159.0,0.0,1233.0,9.0,29.0,0.0,0.0,108.0,6661.0,10232.0,2881.0,237.0,20070.0,20070.0
Kororoit,230.0,48.0,104.0,0.0,519.0,5.0,3.0,0.0,0.0,36.0,15.0,14.0,25.0,0.0,143.0,10.0,16.0,93.0,0.0,151.0,134.0,28.0,100.0,0.0,432.0,77.0,78.0,169.0,0.0,495.0,713.0,274.0,211.0,7.0,1367.0,378.0,381.0,333.0,7.0,1247.0,262.0,661.0,380.0,9.0,1529.0,375.0,889.0,326.0,12.0,1723.0,210.0,817.0,189.0,8.0,1437.0,200.0,864.0,163.0,4.0,1495.0,658.0,1989.0,283.0,11.0,3124.0,442.0,1538.0,118.0,0.0,2214.0,258.0,1179.0,38.0,4.0,1676.0,171.0,776.0,21.0,0.0,1041.0,188.0,1611.0,36.0,5.0,2016.0,134.0,665.0,172.0,0.0,1133.0,70.0,92.0,46.0,0.0,269.0,5602.0,12605.0,3752.0,330.0,22327.0,22327.0
Lara,64.0,6.0,36.0,0.0,165.0,9.0,0.0,11.0,0.0,35.0,11.0,0.0,18.0,0.0,71.0,6.0,0.0,44.0,0.0,77.0,107.0,15.0,157.0,0.0,422.0,59.0,30.0,289.0,0.0,457.0,914.0,55.0,369.0,3.0,1444.0,516.0,150.0,443.0,22.0,1217.0,484.0,357.0,431.0,3.0,1422.0,612.0,452.0,335.0,16.0,1468.0,304.0,437.0,231.0,8.0,1181.0,343.0,436.0,100.0,0.0,1050.0,837.0,1173.0,285.0,20.0,2400.0,466.0,885.0,47.0,0.0,1588.0,363.0,743.0,26.0,0.0,1221.0,154.0,448.0,11.0,0.0,721.0,332.0,995.0,38.0,0.0,1470.0,182.0,481.0,211.0,3.0,966.0,98.0,24.0,26.0,0.0,254.0,6536.0,7333.0,3901.0,310.0,18228.0,18228.0
Laverton,247.0,44.0,67.0,0.0,515.0,36.0,0.0,15.0,0.0,63.0,3.0,16.0,38.0,0.0,122.0,21.0,0.0,64.0,0.0,168.0,115.0,35.0,104.0,0.0,420.0,47.0,118.0,249.0,0.0,552.0,632.0,236.0,257.0,15.0,1285.0,370.0,444.0,308.0,16.0,1306.0,334.0,667.0,308.0,35.0,1511.0,525.0,1025.0,337.0,28.0,1933.0,289.0,853.0,232.0,11.0,1578.0,287.0,796.0,196.0,22.0,1583.0,769.0,1890.0,289.0,46.0,3156.0,589.0,1423.0,100.0,7.0,2234.0,389.0,1117.0,73.0,4.0,1748.0,302.0,679.0,11.0,0.0,1049.0,490.0,1529.0,30.0,1.0,2143.0,192.0,620.0,190.0,0.0,1142.0,77.0,32.0,35.0,0.0,266.0,6561.0,12252.0,3873.0,586.0,23267.0,23267.0
Lowan,66.0,3.0,4.0,0.0,132.0,22.0,0.0,4.0,0.0,40.0,3.0,8.0,5.0,0.0,52.0,7.0,0.0,32.0,0.0,69.0,202.0,13.0,91.0,0.0,372.0,124.0,7.0,143.0,0.0,454.0,1125.0,48.0,213.0,0.0,1498.0,672.0,115.0,293.0,4.0,1270.0,824.0,232.0,288.0,6.0,1499.0,846.0,497.0,164.0,14.0,1700.0,393.0,429.0,132.0,0.0,1115.0,511.0,483.0,41.0,3.0,1245.0,1110.0,1087.0,96.0,9.0,2384.0,671.0,803.0,12.0,0.0,1552.0,362.0,531.0,7.0,0.0,988.0,150.0,283.0,0.0,0.0,529.0,454.0,671.0,10.0,0.0,1223.0,262.0,574.0,110.0,4.0,1155.0,151.0,16.0,15.0,0.0,288.0,8768.0,6542.0,2526.0,184.0,18101.0,18101.0
Macedon,100.0,0.0,0.0,0.0,150.0,27.0,0.0,6.0,0.0,37.0,12.0,0.0,11.0,0.0,47.0,13.0,0.0,9.0,0.0,39.0,143.0,0.0,37.0,0.0,241.0,41.0,8.0,104.0,0.0,262.0,636.0,22.0,123.0,0.0,857.0,468.0,52.0,155.0,0.0,797.0,606.0,157.0,193.0,4.0,1050.0,732.0,275.0,149.0,0.0,1274.0,403.0,286.0,123.0,0.0,950.0,419.0,481.0,93.0,0.0,1055.0,861.0,1023.0,194.0,0.0,2115.0,652.0,940.0,56.0,0.0,1671.0,560.0,951.0,28.0,0.0,1567.0,307.0,684.0,0.0,0.0,1058.0,972.0,2025.0,49.0,7.0,3092.0,289.0,665.0,143.0,0.0,1131.0,65.0,24.0,9.0,0.0,192.0,7737.0,7892.0,2212.0,69.0,17991.0,17991.0
Malvern,33.0,22.0,42.0,0.0,158.0,7.0,0.0,3.0,0.0,20.0,7.0,0.0,10.0,0.0,33.0,4.0,0.0,11.0,0.0,16.0,20.0,0.0,19.0,3.0,120.0,23.0,0.0,26.0,0.0,114.0,201.0,3.0,47.0,3.0,329.0,180.0,18.0,37.0,0.0,368.0,240.0,21.0,77.0,0.0,475.0,348.0,65.0,93.0,6.0,594.0,180.0,66.0,77.0,7.0,493.0,322.0,92.0,86.0,0.0,605.0,809.0,322.0,215.0,8.0,1505.0,703.0,400.0,36.0,0.0,1269.0,575.0,478.0,66.0,8.0,1168.0,390.0,287.0,5.0,0.0,826.0,2202.0,4243.0,266.0,3.0,6795.0,188.0,487.0,120.0,0.0,965.0,30.0,18.0,0.0,0.0,106.0,7108.0,7088.0,1974.0,297.0,16513.0,16513.0
Melbourne,338.0,15.0,89.0,104.0,635.0,35.0,0.0,8.0,18.0,129.0,60.0,0.0,28.0,16.0,185.0,36.0,0.0,43.0,9.0,141.0,100.0,10.0,71.0,17.0,291.0,118.0,13.0,90.0,30.0,385.0,369.0,37.0,91.0,64.0,755.0,449.0,36.0,133.0,66.0,904.0,778.0,107.0,125.0,71.0,1263.0,1023.0,136.0,140.0,74.0,1665.0,724.0,122.0,99.0,52.0,1218.0,892.0,134.0,72.0,35.0,1337.0,1952.0,516.0,162.0,74.0,2821.0,1446.0,372.0,10.0,45.0,2065.0,1138.0,386.0,22.0,17.0,1775.0,783.0,306.0,4.0,10.0,1272.0,2706.0,1731.0,79.0,9.0,4663.0,413.0,207.0,52.0,0.0,889.0,20.0,3.0,33.0,0.0,86.0,14152.0,5131.0,2421.0,1382.0,23233.0,23233.0
Melton,161.0,22.0,59.0,0.0,328.0,14.0,8.0,0.0,0.0,34.0,3.0,9.0,53.0,0.0,89.0,5.0,0.0,45.0,0.0,78.0,67.0,20.0,162.0,0.0,391.0,57.0,71.0,400.0,0.0,610.0,703.0,196.0,389.0,4.0,1441.0,367.0,362.0,512.0,8.0,1390.0,451.0,619.0,481.0,15.0,1670.0,502.0,954.0,388.0,6.0,1998.0,330.0,841.0,192.0,0.0,1539.0,372.0,870.0,170.0,0.0,1600.0,884.0,1840.0,329.0,14.0,3159.0,576.0,1305.0,77.0,13.0,2095.0,264.0,818.0,32.0,3.0,1320.0,101.0,459.0,8.0,5.0,660.0,237.0,985.0,23.0,3.0,1301.0,158.0,624.0,120.0,0.0,1101.0,59.0,47.0,29.0,0.0,244.0,6031.0,10652.0,4370.0,263.0,21390.0,21390.0
Mildura,73.0,17.0,18.0,0.0,175.0,21.0,0.0,0.0,0.0,25.0,14.0,3.0,24.0,0.0,74.0,10.0,0.0,30.0,3.0,87.0,194.0,0.0,98.0,0.0,375.0,49.0,32.0,219.0,0.0,430.0,1015.0,46.0,261.0,4.0,1524.0,595.0,114.0,321.0,9.0,1262.0,693.0,354.0,376.0,9.0,1478.0,766.0,510.0,218.0,14.0,1566.0,339.0,486.0,182.0,0.0,1128.0,509.0,446.0,105.0,4.0,1216.0,967.0,1081.0,165.0,13.0,2305.0,586.0,847.0,33.0,3.0,1523.0,312.0,573.0,15.0,0.0,982.0,75.0,294.0,0.0,0.0,451.0,274.0,707.0,8.0,0.0,1053.0,264.0,592.0,140.0,0.0,1182.0,164.0,47.0,56.0,0.0,394.0,7693.0,6763.0,3092.0,251.0,17878.0,17878.0
Mill Park,157.0,50.0,15.0,0.0,241.0,30.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,42.0,10.0,18.0,24.0,0.0,104.0,73.0,3.0,64.0,0.0,204.0,79.0,38.0,132.0,0.0,372.0,646.0,174.0,195.0,0.0,1164.0,320.0,262.0,294.0,0.0,933.0,365.0,506.0,264.0,7.0,1214.0,504.0,627.0,215.0,6.0,1479.0,261.0,624.0,188.0,0.0,1225.0,300.0,629.0,166.0,5.0,1242.0,725.0,1610.0,285.0,12.0,2736.0,487.0,1337.0,90.0,8.0,2138.0,284.0,1106.0,33.0,0.0,1518.0,115.0,729.0,17.0,0.0,1022.0,218.0,1411.0,35.0,0.0,1723.0,96.0,579.0,112.0,0.0,895.0,33.0,54.0,20.0,0.0,161.0,5486.0,10052.0,3026.0,191.0,18842.0,18842.0
Monbulk,64.0,1.0,14.0,0.0,145.0,8.0,0.0,0.0,0.0,40.0,4.0,0.0,3.0,0.0,15.0,7.0,0.0,3.0,0.0,10.0,94.0,0.0,39.0,0.0,219.0,67.0,0.0,57.0,0.0,227.0,519.0,18.0,160.0,0.0,741.0,376.0,30.0,146.0,0.0,782.0,563.0,190.0,214.0,0.0,1117.0,616.0,323.0,248.0,9.0,1326.0,284.0,343.0,139.0,0.0,972.0,394.0,396.0,133.0,0.0,1060.0,864.0,1304.0,260.0,6.0,2501.0,738.0,1354.0,67.0,9.0,2260.0,553.0,1164.0,22.0,4.0,1806.0,343.0,721.0,3.0,0.0,1161.0,664.0,2021.0,19.0,0.0,2766.0,147.0,610.0,138.0,0.0,1051.0,33.0,40.0,0.0,0.0,136.0,6895.0,8949.0,2527.0,120.0,18657.0,18657.0
Mordialloc,127.0,8.0,19.0,0.0,223.0,15.0,0.0,0.0,0.0,44.0,11.0,3.0,4.0,0.0,41.0,3.0,0.0,23.0,0.0,56.0,71.0,8.0,49.0,0.0,172.0,59.0,16.0,63.0,0.0,227.0,503.0,45.0,96.0,0.0,773.0,362.0,78.0,185.0,10.0,745.0,412.0,189.0,296.0,3.0,962.0,456.0,319.0,257.0,4.0,1155.0,236.0,354.0,198.0,4.0,910.0,303.0,404.0,154.0,0.0,978.0,733.0,1272.0,335.0,8.0,2404.0,652.0,1361.0,117.0,0.0,2193.0,498.0,1314.0,37.0,0.0,1924.0,317.0,969.0,10.0,3.0,1388.0,794.0,3319.0,63.0,0.0,4249.0,62.0,527.0,157.0,0.0,926.0,38.0,19.0,0.0,0.0,131.0,6282.0,10554.0,2899.0,200.0,19951.0,19951.0
Mornington,77.0,4.0,8.0,0.0,139.0,48.0,0.0,8.0,0.0,63.0,21.0,3.0,0.0,0.0,39.0,0.0,0.0,12.0,0.0,20.0,165.0,0.0,31.0,0.0,253.0,87.0,0.0,82.0,0.0,231.0,648.0,9.0,92.0,0.0,869.0,578.0,18.0,183.0,6.0,877.0,733.0,106.0,195.0,3.0,1180.0,758.0,175.0,208.0,4.0,1252.0,326.0,190.0,114.0,5.0,795.0,371.0,291.0,109.0,0.0,921.0,799.0,917.0,241.0,5.0,1995.0,563.0,978.0,82.0,0.0,1698.0,465.0,959.0,32.0,0.0,1487.0,202.0,792.0,13.0,0.0,1086.0,877.0,2720.0,71.0,0.0,3706.0,169.0,606.0,142.0,3.0,1009.0,91.0,30.0,4.0,0.0,211.0,7555.0,8190.0,2348.0,101.0,18268.0,18268.0
Morwell,91.0,12.0,10.0,0.0,183.0,6.0,0.0,0.0,0.0,13.0,11.0,0.0,25.0,0.0,60.0,4.0,0.0,67.0,0.0,118.0,148.0,17.0,216.0,0.0,476.0,84.0,7.0,355.0,0.0,526.0,1030.0,58.0,397.0,9.0,1635.0,729.0,162.0,518.0,17.0,1524.0,646.0,257.0,390.0,7.0,1393.0,718.0,426.0,325.0,3.0,1620.0,361.0,371.0,211.0,0.0,1046.0,410.0,428.0,117.0,0.0,1128.0,853.0,1024.0,202.0,9.0,2248.0,557.0,875.0,40.0,0.0,1627.0,381.0,681.0,23.0,0.0,1139.0,180.0,287.0,0.0,0.0,595.0,385.0,973.0,19.0,0.0,1454.0,249.0,581.0,179.0,0.0,1164.0,86.0,25.0,49.0,0.0,317.0,7731.0,6850.0,3778.0,219.0,18753.0,18753.0
Mulgrave,327.0,19.0,61.0,0.0,560.0,50.0,3.0,0.0,0.0,83.0,41.0,5.0,12.0,0.0,111.0,11.0,18.0,52.0,0.0,111.0,240.0,23.0,99.0,0.0,508.0,110.0,60.0,118.0,0.0,403.0,1022.0,170.0,143.0,6.0,1477.0,571.0,379.0,301.0,31.0,1388.0,499.0,491.0,280.0,29.0,1519.0,647.0,666.0,303.0,25.0,1792.0,312.0,573.0,167.0,20.0,1296.0,390.0,623.0,127.0,8.0,1274.0,663.0,1410.0,314.0,19.0,2575.0,460.0,1055.0,126.0,8.0,1736.0,266.0,909.0,40.0,3.0,1317.0,129.0,522.0,13.0,0.0,846.0,329.0,1460.0,49.0,0.0,1936.0,194.0,524.0,153.0,6.0,1050.0,42.0,21.0,24.0,0.0,221.0,7066.0,9528.0,3338.0,498.0,20418.0,20418.0
Murray Plains,98.0,7.0,8.0,0.0,152.0,21.0,0.0,0.0,0.0,55.0,9.0,0.0,11.0,0.0,34.0,25.0,5.0,51.0,0.0,107.0,224.0,4.0,94.0,0.0,434.0,98.0,17.0,196.0,3.0,446.0,1123.0,30.0,242.0,3.0,1516.0,710.0,115.0,292.0,6.0,1273.0,737.0,250.0,252.0,6.0,1397.0,815.0,453.0,218.0,4.0,1590.0,428.0,470.0,97.0,0.0,1092.0,494.0,452.0,80.0,7.0,1127.0,952.0,1089.0,140.0,0.0,2330.0,488.0,822.0,28.0,4.0,1470.0,316.0,530.0,14.0,4.0,949.0,101.0,271.0,0.0,0.0,465.0,298.0,653.0,9.0,0.0,979.0,279.0,594.0,110.0,0.0,1094.0,145.0,29.0,19.0,0.0,356.0,8000.0,6358.0,2685.0,192.0,17255.0,17255.0
