district,census_variable,value,rank
Bentleigh,Age_0_4_yr_F_n,1993.0,52.0
Williamstown,Age_0_4_yr_F_n,1994.0,53.0
St Albans,Age_0_4_yr_F_n,2003.0,54.0
Lara,Age_0_4_yr_F_n,2020.0,55.0
Mill Park,Age_0_4_yr_F_n,2024.0,56.0
Narracan,Age_0_4_yr_F_n,2034.0,57.0
Preston,Age_0_4_yr_F_n,2050.0,58.0
Footscray,Age_0_4_yr_F_n,2056.0,59.0
Oakleigh,Age_0_4_yr_F_n,2060.0,60.0
Mordialloc,Age_0_4_yr_F_n,2091.0,61.0
Shepparton,Age_0_4_yr_F_n,2111.0,62.0
Bendigo East,Age_0_4_yr_F_n,2125.0,63.0
Bayswater,Age_0_4_yr_F_n,2157.0,64.0
Evelyn,Age_0_4_yr_F_n,2191.0,65.0
Eureka,Age_0_4_yr_F_n,2203.0,66.0
Sydenham,Age_0_4_yr_F_n,2269.0,67.0
Croydon,Age_0_4_yr_F_n,2298.0,68.0
Narre Warren North,Age_0_4_yr_F_n,2307.0,69.0
Ringwood,Age_0_4_yr_F_n,2320.0,70.0
South Barwon,Age_0_4_yr_F_n,2327.0,71.0
Carrum,Age_0_4_yr_F_n,2455.0,72.0
Greenvale,Age_0_4_yr_F_n,2468.0,73.0
Broadmeadows,Age_0_4_yr_F_n,2829.0,74.0
Dandenong,Age_0_4_yr_F_n,2862.0,75.0
Thomastown,Age_0_4_yr_F_n,2871.0,76.0
Yan Yean,Age_0_4_yr_F_n,2877.0,77.0
Berwick,Age_0_4_yr_F_n,2889.0,78.0
Kororoit,Age_0_4_yr_F_n,3094.0,79.0
Narre Warren South,Age_0_4_yr_F_n,3126.0,80.0
Pakenham,Age_0_4_yr_F_n,3238.0,81.0
Werribee,Age_0_4_yr_F_n,3382.0,82.0
Point Cook,Age_0_4_yr_F_n,3534.0,83.0
Melton,Age_0_4_yr_F_n,3714.0,84.0
Laverton,Age_0_4_yr_F_n,3857.0,85.0
Cranbourne,Age_0_4_yr_F_n,3887.0,86.0
Tarneit,Age_0_4_yr_F_n,3951.0,87.0
Kalkallo,Age_0_4_yr_F_n,4737.0,88.0
Melbourne,Age_0_4_yr_F_pc,0.0137,1.0
Prahran,Age_0_4_yr_F_pc,0.0169,2.0
Kew,Age_0_4_yr_F_pc,0.0176,3.0
Albert Park,Age_0_4_yr_F_pc,0.0184,4.0
Glen Waverley,Age_0_4_yr_F_pc,0.019,5.0
Nepean,Age_0_4_yr_F_pc,0.0194,6.0
Hawthorn,Age_0_4_yr_F_pc,0.0195,7.0
Brunswick,Age_0_4_yr_F_pc,0.0201,8.0
