district,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,Tot_Tot_total
Albert Park,36.0,121.0,165.0,0.0,0.0,407.0,3.0,6.0,20.0,0.0,0.0,38.0,0.0,10.0,0.0,0.0,0.0,22.0,0.0,18.0,53.0,0.0,0.0,88.0,0.0,23.0,85.0,0.0,0.0,125.0,6.0,104.0,523.0,13.0,0.0,643.0,7.0,81.0,824.0,12.0,0.0,988.0,27.0,255.0,1191.0,21.0,0.0,1570.0,10.0,149.0,561.0,0.0,0.0,793.0,58.0,387.0,459.0,6.0,0.0,950.0,259.0,950.0,335.0,0.0,0.0,1691.0,31.0,154.0,232.0,5.0,0.0,488.0,620.0,2630.0,4768.0,89.0,0.0,8092.0,8092.0
Ashwood,481.0,55.0,30.0,0.0,0.0,604.0,47.0,9.0,0.0,0.0,0.0,79.0,26.0,0.0,0.0,0.0,0.0,43.0,51.0,11.0,0.0,0.0,0.0,88.0,73.0,0.0,16.0,0.0,0.0,116.0,361.0,54.0,72.0,0.0,0.0,576.0,317.0,80.0,94.0,0.0,0.0,629.0,676.0,199.0,216.0,0.0,0.0,1218.0,551.0,216.0,150.0,0.0,0.0,1006.0,1122.0,213.0,167.0,0.0,0.0,1571.0,1903.0,184.0,72.0,0.0,0.0,2277.0,411.0,44.0,42.0,0.0,0.0,578.0,6576.0,1428.0,1194.0,0.0,0.0,9223.0,9223.0
Bass,358.0,8.0,0.0,0.0,0.0,380.0,110.0,0.0,0.0,0.0,0.0,110.0,117.0,0.0,0.0,0.0,0.0,139.0,242.0,12.0,0.0,0.0,0.0,262.0,399.0,7.0,0.0,0.0,0.0,426.0,1403.0,10.0,9.0,0.0,0.0,1426.0,1686.0,12.0,6.0,0.0,0.0,1713.0,2200.0,17.0,6.0,0.0,0.0,2230.0,826.0,6.0,0.0,0.0,0.0,836.0,579.0,3.0,0.0,0.0,0.0,600.0,261.0,0.0,0.0,0.0,0.0,263.0,608.0,0.0,0.0,0.0,0.0,622.0,9120.0,145.0,47.0,0.0,0.0,9365.0,9365.0
Bayswater,411.0,49.0,3.0,0.0,0.0,476.0,86.0,0.0,0.0,0.0,0.0,106.0,62.0,4.0,0.0,0.0,0.0,76.0,195.0,20.0,0.0,0.0,0.0,216.0,327.0,39.0,0.0,0.0,0.0,401.0,1032.0,166.0,51.0,0.0,0.0,1287.0,1190.0,310.0,83.0,0.0,0.0,1620.0,2112.0,445.0,54.0,0.0,0.0,2650.0,1340.0,164.0,18.0,0.0,0.0,1569.0,866.0,79.0,0.0,0.0,0.0,964.0,316.0,11.0,0.0,0.0,0.0,353.0,458.0,48.0,3.0,0.0,0.0,559.0,8785.0,1644.0,284.0,0.0,0.0,10684.0,10684.0
Bellarine,387.0,3.0,0.0,0.0,0.0,418.0,170.0,4.0,0.0,0.0,0.0,193.0,104.0,0.0,0.0,0.0,0.0,121.0,297.0,13.0,0.0,0.0,0.0,314.0,354.0,0.0,0.0,0.0,0.0,368.0,1229.0,25.0,0.0,0.0,0.0,1265.0,1586.0,19.0,0.0,0.0,0.0,1637.0,2128.0,22.0,0.0,0.0,0.0,2132.0,865.0,0.0,0.0,0.0,0.0,865.0,649.0,6.0,0.0,0.0,0.0,664.0,400.0,3.0,0.0,0.0,0.0,415.0,452.0,4.0,0.0,0.0,0.0,467.0,8979.0,182.0,16.0,3.0,3.0,9257.0,9257.0
Benambra,357.0,0.0,0.0,0.0,0.0,373.0,170.0,0.0,0.0,0.0,0.0,169.0,136.0,0.0,0.0,0.0,0.0,148.0,315.0,4.0,0.0,0.0,0.0,352.0,620.0,24.0,3.0,0.0,0.0,683.0,1968.0,25.0,0.0,0.0,0.0,2000.0,1918.0,0.0,0.0,0.0,4.0,1940.0,1479.0,0.0,0.0,0.0,4.0,1492.0,377.0,4.0,0.0,0.0,0.0,385.0,347.0,0.0,0.0,0.0,0.0,342.0,168.0,0.0,0.0,0.0,0.0,168.0,400.0,3.0,0.0,0.0,0.0,422.0,8700.0,148.0,17.0,4.0,13.0,8887.0,8887.0
Bendigo East,352.0,6.0,0.0,0.0,0.0,367.0,182.0,0.0,0.0,0.0,0.0,180.0,163.0,0.0,0.0,0.0,0.0,164.0,422.0,0.0,0.0,0.0,0.0,433.0,658.0,6.0,0.0,0.0,0.0,707.0,2170.0,39.0,3.0,0.0,0.0,2255.0,2240.0,14.0,4.0,0.0,8.0,2301.0,1698.0,10.0,0.0,0.0,0.0,1736.0,467.0,0.0,0.0,0.0,0.0,481.0,336.0,0.0,0.0,0.0,0.0,346.0,201.0,0.0,0.0,0.0,0.0,204.0,504.0,3.0,0.0,0.0,0.0,519.0,9797.0,192.0,8.0,0.0,8.0,10115.0,10115.0
Bendigo West,365.0,0.0,0.0,0.0,0.0,382.0,190.0,0.0,0.0,0.0,0.0,202.0,203.0,6.0,0.0,0.0,0.0,210.0,409.0,7.0,0.0,0.0,0.0,427.0,642.0,11.0,0.0,0.0,0.0,661.0,1972.0,19.0,3.0,0.0,0.0,2043.0,1799.0,8.0,0.0,0.0,0.0,1806.0,1214.0,6.0,0.0,0.0,0.0,1208.0,402.0,0.0,0.0,0.0,0.0,405.0,222.0,0.0,0.0,0.0,0.0,226.0,127.0,0.0,0.0,0.0,0.0,135.0,409.0,0.0,0.0,0.0,0.0,410.0,8268.0,139.0,10.0,0.0,0.0,8477.0,8477.0
Bentleigh,422.0,23.0,38.0,0.0,0.0,569.0,47.0,0.0,0.0,0.0,0.0,102.0,48.0,4.0,3.0,0.0,0.0,76.0,102.0,3.0,9.0,0.0,0.0,123.0,136.0,14.0,9.0,0.0,0.0,186.0,378.0,81.0,150.0,0.0,0.0,730.0,463.0,101.0,248.0,0.0,0.0,906.0,929.0,386.0,393.0,0.0,0.0,1793.0,742.0,246.0,165.0,0.0,0.0,1268.0,1356.0,337.0,123.0,0.0,0.0,1941.0,1403.0,271.0,92.0,0.0,0.0,1902.0,434.0,90.0,54.0,0.0,0.0,655.0,6944.0,1993.0,1487.0,14.0,8.0,10418.0,10418.0
Berwick,348.0,18.0,0.0,0.0,0.0,370.0,82.0,4.0,0.0,0.0,0.0,89.0,82.0,0.0,0.0,0.0,0.0,91.0,104.0,0.0,0.0,0.0,0.0,128.0,231.0,6.0,0.0,0.0,0.0,249.0,953.0,33.0,3.0,0.0,0.0,1010.0,1673.0,61.0,0.0,0.0,0.0,1759.0,3901.0,157.0,4.0,0.0,0.0,4100.0,2319.0,28.0,0.0,0.0,0.0,2388.0,1448.0,14.0,0.0,0.0,0.0,1474.0,833.0,3.0,0.0,0.0,0.0,861.0,753.0,10.0,0.0,0.0,0.0,788.0,13145.0,448.0,15.0,3.0,0.0,13635.0,13635.0
Box Hill,449.0,100.0,18.0,0.0,0.0,667.0,64.0,14.0,3.0,0.0,0.0,103.0,46.0,0.0,0.0,0.0,0.0,71.0,93.0,18.0,9.0,0.0,0.0,145.0,121.0,15.0,17.0,0.0,0.0,217.0,371.0,106.0,224.0,0.0,0.0,784.0,445.0,142.0,268.0,0.0,0.0,952.0,840.0,351.0,219.0,0.0,0.0,1443.0,657.0,245.0,35.0,0.0,0.0,1015.0,1137.0,290.0,39.0,0.0,0.0,1528.0,1372.0,196.0,12.0,0.0,0.0,1644.0,391.0,82.0,62.0,0.0,0.0,563.0,6378.0,1994.0,1145.0,0.0,0.0,9522.0,9522.0
Brighton,282.0,50.0,33.0,0.0,0.0,413.0,41.0,4.0,12.0,0.0,0.0,72.0,17.0,0.0,14.0,0.0,0.0,40.0,20.0,7.0,18.0,0.0,0.0,45.0,70.0,6.0,15.0,0.0,0.0,117.0,171.0,51.0,147.0,0.0,0.0,460.0,103.0,33.0,257.0,0.0,0.0,453.0,371.0,137.0,336.0,3.0,0.0,981.0,271.0,121.0,215.0,0.0,0.0,666.0,620.0,220.0,182.0,0.0,0.0,1073.0,2053.0,424.0,109.0,2.0,0.0,2644.0,353.0,37.0,108.0,0.0,0.0,598.0,4680.0,1502.0,1665.0,14.0,0.0,7885.0,7885.0
Broadmeadows,310.0,11.0,12.0,0.0,0.0,386.0,57.0,9.0,3.0,0.0,0.0,93.0,40.0,4.0,0.0,0.0,0.0,64.0,142.0,11.0,6.0,0.0,0.0,188.0,165.0,32.0,9.0,0.0,0.0,258.0,773.0,269.0,74.0,0.0,0.0,1184.0,925.0,389.0,68.0,0.0,0.0,1531.0,1302.0,611.0,53.0,0.0,0.0,2038.0,587.0,217.0,12.0,0.0,0.0,832.0,468.0,85.0,4.0,0.0,0.0,607.0,170.0,23.0,0.0,0.0,0.0,244.0,421.0,65.0,5.0,0.0,0.0,529.0,6024.0,2091.0,323.0,3.0,0.0,8475.0,8475.0
Brunswick,108.0,155.0,45.0,0.0,0.0,393.0,10.0,4.0,0.0,0.0,0.0,29.0,11.0,9.0,10.0,0.0,0.0,29.0,31.0,19.0,32.0,0.0,0.0,90.0,38.0,33.0,61.0,0.0,0.0,190.0,102.0,142.0,345.0,0.0,0.0,684.0,162.0,130.0,549.0,0.0,0.0,922.0,285.0,407.0,652.0,4.0,0.0,1415.0,252.0,277.0,172.0,4.0,0.0,817.0,439.0,466.0,133.0,0.0,0.0,1115.0,535.0,475.0,75.0,0.0,0.0,1152.0,115.0,97.0,40.0,0.0,0.0,326.0,2451.0,2504.0,2464.0,30.0,0.0,7485.0,7485.0
Bulleen,417.0,58.0,45.0,0.0,0.0,549.0,22.0,3.0,6.0,0.0,0.0,65.0,22.0,5.0,4.0,0.0,0.0,47.0,50.0,0.0,15.0,0.0,0.0,92.0,97.0,10.0,10.0,0.0,0.0,144.0,331.0,76.0,116.0,0.0,0.0,584.0,321.0,142.0,183.0,0.0,4.0,707.0,776.0,230.0,236.0,0.0,0.0,1312.0,523.0,222.0,71.0,0.0,0.0,853.0,1038.0,256.0,56.0,0.0,0.0,1421.0,1333.0,178.0,20.0,0.0,0.0,1570.0,441.0,58.0,29.0,0.0,0.0,563.0,5906.0,1566.0,928.0,0.0,4.0,8391.0,8391.0
Bundoora,415.0,19.0,10.0,0.0,0.0,481.0,75.0,9.0,0.0,0.0,0.0,84.0,75.0,0.0,0.0,0.0,0.0,78.0,130.0,11.0,0.0,0.0,0.0,157.0,209.0,17.0,12.0,0.0,0.0,290.0,731.0,92.0,91.0,0.0,0.0,940.0,946.0,166.0,89.0,0.0,0.0,1273.0,1625.0,274.0,34.0,0.0,0.0,2000.0,1175.0,91.0,7.0,0.0,0.0,1355.0,986.0,41.0,10.0,0.0,0.0,1074.0,549.0,7.0,0.0,0.0,0.0,589.0,528.0,23.0,8.0,0.0,0.0,599.0,7738.0,1067.0,281.0,0.0,0.0,9139.0,9139.0
Carrum,354.0,40.0,7.0,0.0,0.0,469.0,87.0,14.0,0.0,0.0,0.0,127.0,67.0,16.0,3.0,0.0,0.0,110.0,185.0,25.0,6.0,0.0,0.0,266.0,327.0,56.0,0.0,0.0,0.0,450.0,1224.0,255.0,23.0,0.0,0.0,1554.0,1595.0,396.0,57.0,5.0,0.0,2091.0,2681.0,498.0,63.0,0.0,0.0,3277.0,1453.0,177.0,20.0,0.0,0.0,1673.0,946.0,138.0,17.0,0.0,0.0,1134.0,542.0,74.0,0.0,0.0,0.0,619.0,691.0,63.0,7.0,0.0,0.0,810.0,10467.0,2008.0,264.0,8.0,0.0,12795.0,12795.0
Caulfield,202.0,89.0,34.0,0.0,0.0,431.0,6.0,7.0,6.0,0.0,0.0,57.0,6.0,10.0,12.0,0.0,0.0,45.0,6.0,0.0,16.0,0.0,0.0,73.0,26.0,9.0,25.0,0.0,0.0,114.0,152.0,83.0,273.0,6.0,0.0,603.0,127.0,112.0,518.0,4.0,0.0,893.0,329.0,230.0,725.0,3.0,0.0,1376.0,200.0,253.0,273.0,4.0,0.0,819.0,440.0,398.0,135.0,0.0,0.0,1069.0,1315.0,389.0,77.0,0.0,0.0,1880.0,271.0,127.0,89.0,0.0,0.0,624.0,3645.0,2209.0,2539.0,20.0,0.0,8416.0,8416.0
Clarinda,416.0,31.0,17.0,0.0,0.0,514.0,81.0,8.0,3.0,0.0,0.0,95.0,54.0,3.0,3.0,0.0,0.0,70.0,122.0,40.0,10.0,0.0,0.0,221.0,199.0,22.0,12.0,0.0,0.0,237.0,630.0,73.0,67.0,3.0,0.0,905.0,792.0,195.0,105.0,0.0,0.0,1183.0,1309.0,309.0,101.0,4.0,0.0,1758.0,947.0,147.0,6.0,0.0,0.0,1104.0,1034.0,100.0,7.0,0.0,0.0,1152.0,497.0,30.0,4.0,0.0,0.0,577.0,459.0,33.0,18.0,0.0,0.0,570.0,6953.0,1291.0,443.0,5.0,0.0,8758.0,8758.0
Cranbourne,315.0,4.0,5.0,0.0,0.0,356.0,95.0,0.0,0.0,0.0,0.0,99.0,58.0,0.0,10.0,0.0,0.0,85.0,167.0,19.0,3.0,0.0,0.0,190.0,327.0,17.0,5.0,0.0,0.0,391.0,1364.0,172.0,21.0,0.0,0.0,1563.0,2647.0,283.0,4.0,0.0,4.0,2919.0,4686.0,244.0,0.0,0.0,0.0,5034.0,1729.0,46.0,0.0,0.0,0.0,1841.0,756.0,20.0,0.0,0.0,0.0,785.0,353.0,3.0,0.0,0.0,0.0,366.0,767.0,47.0,0.0,0.0,0.0,835.0,13568.0,1102.0,61.0,0.0,4.0,14756.0,14756.0
Croydon,466.0,31.0,7.0,0.0,0.0,522.0,131.0,4.0,3.0,0.0,0.0,158.0,120.0,4.0,3.0,0.0,0.0,143.0,184.0,19.0,3.0,0.0,0.0,237.0,357.0,22.0,9.0,0.0,0.0,397.0,1125.0,128.0,59.0,0.0,0.0,1353.0,1536.0,203.0,71.0,0.0,0.0,1822.0,2620.0,251.0,24.0,0.0,0.0,2957.0,1679.0,123.0,4.0,0.0,0.0,1778.0,1133.0,30.0,0.0,0.0,0.0,1192.0,455.0,27.0,0.0,0.0,0.0,502.0,553.0,22.0,3.0,0.0,0.0,591.0,10716.0,1064.0,217.0,0.0,0.0,12003.0,12003.0
Dandenong,343.0,8.0,6.0,0.0,0.0,407.0,86.0,7.0,4.0,0.0,0.0,109.0,100.0,6.0,0.0,0.0,0.0,130.0,168.0,25.0,15.0,0.0,0.0,250.0,246.0,63.0,51.0,0.0,0.0,421.0,875.0,309.0,131.0,0.0,0.0,1364.0,1121.0,412.0,72.0,0.0,0.0,1613.0,1481.0,336.0,41.0,0.0,0.0,1914.0,586.0,44.0,0.0,0.0,0.0,661.0,350.0,15.0,3.0,0.0,0.0,373.0,193.0,29.0,0.0,0.0,0.0,222.0,472.0,98.0,28.0,0.0,0.0,667.0,6350.0,1602.0,486.0,0.0,0.0,8549.0,8549.0
Eildon,439.0,0.0,0.0,0.0,0.0,449.0,146.0,0.0,0.0,0.0,0.0,153.0,164.0,0.0,0.0,0.0,0.0,164.0,332.0,6.0,0.0,6.0,0.0,341.0,480.0,6.0,0.0,0.0,0.0,493.0,1527.0,29.0,5.0,0.0,0.0,1591.0,1646.0,16.0,0.0,0.0,0.0,1694.0,2102.0,7.0,0.0,0.0,0.0,2115.0,914.0,0.0,0.0,0.0,0.0,928.0,700.0,0.0,3.0,0.0,0.0,713.0,429.0,0.0,0.0,0.0,0.0,432.0,629.0,0.0,0.0,0.0,0.0,640.0,9898.0,100.0,17.0,14.0,0.0,10088.0,10088.0
Eltham,449.0,3.0,3.0,0.0,0.0,474.0,125.0,0.0,6.0,0.0,0.0,136.0,90.0,4.0,0.0,0.0,0.0,102.0,147.0,12.0,0.0,0.0,0.0,181.0,217.0,6.0,0.0,0.0,0.0,258.0,835.0,64.0,18.0,0.0,0.0,925.0,992.0,84.0,27.0,0.0,0.0,1125.0,1824.0,137.0,45.0,0.0,0.0,2043.0,1487.0,51.0,34.0,0.0,0.0,1612.0,1668.0,34.0,3.0,0.0,0.0,1720.0,940.0,4.0,0.0,0.0,0.0,961.0,595.0,25.0,0.0,0.0,0.0,637.0,9667.0,557.0,178.0,0.0,3.0,10455.0,10455.0
Essendon,248.0,12.0,33.0,0.0,0.0,387.0,38.0,0.0,0.0,0.0,0.0,59.0,20.0,0.0,17.0,0.0,0.0,49.0,33.0,21.0,5.0,0.0,0.0,113.0,77.0,20.0,61.0,0.0,0.0,221.0,258.0,126.0,353.0,0.0,0.0,810.0,264.0,136.0,464.0,4.0,0.0,994.0,526.0,225.0,531.0,6.0,0.0,1367.0,508.0,178.0,120.0,0.0,0.0,886.0,881.0,298.0,75.0,0.0,0.0,1317.0,1217.0,186.0,28.0,0.0,0.0,1488.0,314.0,81.0,60.0,0.0,0.0,608.0,4758.0,1712.0,2022.0,8.0,0.0,8592.0,8592.0
Eureka,440.0,0.0,0.0,0.0,0.0,454.0,210.0,0.0,0.0,0.0,0.0,236.0,161.0,0.0,0.0,0.0,0.0,172.0,363.0,12.0,0.0,0.0,0.0,384.0,576.0,29.0,3.0,0.0,0.0,622.0,1961.0,70.0,3.0,0.0,0.0,2078.0,2391.0,34.0,0.0,0.0,0.0,2459.0,2519.0,9.0,0.0,0.0,0.0,2570.0,837.0,3.0,0.0,0.0,0.0,849.0,575.0,0.0,0.0,0.0,0.0,586.0,252.0,0.0,0.0,0.0,0.0,252.0,623.0,0.0,0.0,0.0,0.0,651.0,11133.0,337.0,13.0,4.0,7.0,11510.0,11510.0
Euroa,382.0,0.0,0.0,0.0,0.0,397.0,258.0,3.0,0.0,0.0,0.0,268.0,202.0,0.0,0.0,0.0,0.0,222.0,482.0,5.0,0.0,0.0,0.0,503.0,707.0,4.0,0.0,0.0,0.0,723.0,1698.0,10.0,0.0,0.0,0.0,1730.0,1625.0,6.0,4.0,0.0,0.0,1637.0,1293.0,4.0,0.0,0.0,0.0,1299.0,445.0,0.0,0.0,0.0,0.0,448.0,336.0,0.0,0.0,0.0,0.0,334.0,193.0,0.0,0.0,0.0,0.0,197.0,481.0,0.0,0.0,0.0,0.0,484.0,8556.0,122.0,13.0,7.0,0.0,8734.0,8734.0
Evelyn,500.0,6.0,0.0,0.0,0.0,492.0,121.0,6.0,3.0,0.0,0.0,132.0,104.0,7.0,0.0,0.0,0.0,114.0,211.0,0.0,0.0,0.0,0.0,219.0,370.0,17.0,0.0,0.0,0.0,383.0,1125.0,48.0,5.0,0.0,0.0,1199.0,1718.0,88.0,3.0,0.0,0.0,1816.0,2830.0,82.0,4.0,0.0,0.0,2912.0,1952.0,13.0,0.0,0.0,0.0,1978.0,1191.0,0.0,0.0,0.0,0.0,1199.0,555.0,0.0,0.0,0.0,0.0,562.0,736.0,10.0,3.0,0.0,0.0,788.0,11527.0,357.0,21.0,7.0,3.0,11960.0,11960.0
Footscray,268.0,65.0,16.0,0.0,0.0,412.0,31.0,7.0,3.0,0.0,0.0,60.0,14.0,0.0,3.0,0.0,0.0,16.0,58.0,19.0,21.0,0.0,0.0,161.0,86.0,12.0,99.0,0.0,0.0,264.0,373.0,163.0,468.0,0.0,0.0,1068.0,431.0,228.0,518.0,3.0,0.0,1265.0,950.0,515.0,452.0,3.0,0.0,2005.0,770.0,323.0,144.0,0.0,0.0,1278.0,1039.0,257.0,53.0,0.0,0.0,1513.0,779.0,130.0,36.0,0.0,0.0,995.0,313.0,66.0,59.0,0.0,0.0,464.0,5448.0,2165.0,2069.0,12.0,7.0,9766.0,9766.0
Frankston,305.0,38.0,4.0,0.0,0.0,372.0,141.0,8.0,4.0,0.0,0.0,156.0,70.0,7.0,0.0,0.0,0.0,97.0,236.0,13.0,0.0,0.0,0.0,290.0,283.0,37.0,8.0,0.0,0.0,366.0,998.0,211.0,50.0,0.0,0.0,1263.0,1219.0,246.0,42.0,0.0,0.0,1494.0,1905.0,149.0,11.0,0.0,0.0,2149.0,952.0,67.0,3.0,0.0,0.0,1043.0,737.0,19.0,0.0,0.0,0.0,800.0,320.0,6.0,5.0,0.0,0.0,341.0,523.0,28.0,3.0,0.0,0.0,621.0,8015.0,1093.0,164.0,0.0,0.0,9272.0,9272.0
Geelong,376.0,12.0,5.0,0.0,0.0,419.0,128.0,3.0,5.0,0.0,0.0,155.0,108.0,4.0,0.0,0.0,0.0,123.0,246.0,19.0,6.0,0.0,0.0,297.0,301.0,27.0,7.0,0.0,0.0,384.0,1209.0,95.0,49.0,0.0,3.0,1429.0,1520.0,91.0,6.0,0.0,0.0,1621.0,1886.0,43.0,29.0,0.0,0.0,2030.0,832.0,14.0,0.0,0.0,0.0,879.0,636.0,8.0,7.0,0.0,0.0,646.0,417.0,8.0,0.0,0.0,0.0,436.0,495.0,16.0,5.0,0.0,0.0,538.0,8521.0,621.0,229.0,8.0,11.0,9370.0,9370.0
Gippsland East,329.0,8.0,0.0,0.0,0.0,358.0,241.0,0.0,0.0,0.0,0.0,258.0,202.0,0.0,0.0,0.0,0.0,215.0,460.0,5.0,0.0,0.0,0.0,476.0,688.0,6.0,0.0,0.0,0.0,703.0,1811.0,3.0,0.0,0.0,0.0,1843.0,1344.0,0.0,0.0,0.0,0.0,1368.0,942.0,3.0,0.0,0.0,0.0,950.0,216.0,0.0,0.0,0.0,0.0,216.0,192.0,0.0,0.0,0.0,0.0,193.0,110.0,0.0,0.0,0.0,0.0,110.0,383.0,0.0,0.0,0.0,0.0,395.0,7320.0,84.0,6.0,0.0,4.0,7467.0,7467.0
Gippsland South,401.0,7.0,0.0,0.0,0.0,437.0,266.0,0.0,0.0,0.0,0.0,268.0,225.0,0.0,0.0,0.0,0.0,232.0,488.0,4.0,0.0,0.0,0.0,505.0,733.0,12.0,3.0,0.0,0.0,745.0,1839.0,4.0,4.0,0.0,0.0,1893.0,1536.0,0.0,0.0,0.0,0.0,1558.0,1136.0,0.0,0.0,0.0,0.0,1147.0,401.0,0.0,0.0,0.0,0.0,405.0,284.0,0.0,0.0,0.0,0.0,291.0,189.0,0.0,0.0,0.0,0.0,200.0,480.0,6.0,0.0,0.0,0.0,505.0,8191.0,89.0,11.0,13.0,0.0,8375.0,8375.0
Glen Waverley,545.0,32.0,10.0,0.0,0.0,633.0,61.0,3.0,0.0,0.0,0.0,82.0,53.0,0.0,0.0,0.0,0.0,67.0,94.0,4.0,0.0,0.0,0.0,105.0,106.0,16.0,3.0,0.0,0.0,146.0,445.0,26.0,24.0,0.0,0.0,534.0,522.0,52.0,46.0,0.0,0.0,649.0,1043.0,133.0,88.0,0.0,0.0,1339.0,807.0,91.0,50.0,0.0,0.0,1027.0,1352.0,116.0,18.0,0.0,0.0,1548.0,1509.0,53.0,14.0,0.0,0.0,1611.0,478.0,34.0,8.0,0.0,0.0,577.0,7502.0,887.0,325.0,0.0,0.0,8806.0,8806.0
Greenvale,424.0,15.0,0.0,0.0,0.0,479.0,135.0,0.0,0.0,0.0,0.0,145.0,91.0,0.0,0.0,0.0,0.0,114.0,250.0,13.0,0.0,0.0,0.0,273.0,334.0,31.0,0.0,0.0,0.0,377.0,1264.0,101.0,3.0,0.0,0.0,1402.0,1750.0,180.0,12.0,0.0,0.0,1963.0,2525.0,118.0,0.0,0.0,0.0,2641.0,1010.0,7.0,0.0,0.0,4.0,1045.0,686.0,4.0,0.0,0.0,0.0,707.0,430.0,0.0,0.0,0.0,0.0,445.0,811.0,37.0,3.0,0.0,0.0,895.0,10053.0,782.0,25.0,0.0,4.0,10871.0,10871.0
Hastings,429.0,13.0,0.0,0.0,0.0,482.0,147.0,15.0,0.0,0.0,0.0,195.0,88.0,4.0,0.0,0.0,0.0,125.0,264.0,20.0,0.0,0.0,0.0,329.0,416.0,26.0,0.0,0.0,0.0,480.0,1154.0,191.0,9.0,0.0,0.0,1393.0,1652.0,219.0,0.0,0.0,0.0,1937.0,2432.0,186.0,0.0,0.0,0.0,2608.0,1133.0,26.0,0.0,0.0,0.0,1172.0,822.0,0.0,0.0,0.0,0.0,841.0,435.0,0.0,0.0,0.0,0.0,463.0,582.0,36.0,0.0,0.0,0.0,649.0,9771.0,987.0,17.0,0.0,0.0,10815.0,10815.0
Hawthorn,314.0,36.0,55.0,0.0,0.0,501.0,6.0,4.0,3.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,29.0,3.0,0.0,17.0,0.0,0.0,46.0,41.0,14.0,41.0,0.0,0.0,111.0,148.0,49.0,250.0,0.0,0.0,499.0,118.0,35.0,439.0,0.0,0.0,664.0,335.0,131.0,553.0,0.0,0.0,1085.0,225.0,123.0,222.0,0.0,0.0,638.0,423.0,205.0,163.0,0.0,0.0,923.0,1814.0,442.0,94.0,0.0,0.0,2487.0,328.0,60.0,48.0,0.0,0.0,557.0,4195.0,1449.0,2325.0,7.0,0.0,7941.0,7941.0
Ivanhoe,362.0,29.0,7.0,0.0,0.0,434.0,71.0,0.0,0.0,0.0,0.0,85.0,11.0,0.0,0.0,0.0,0.0,36.0,75.0,8.0,0.0,0.0,0.0,99.0,107.0,14.0,14.0,0.0,0.0,165.0,439.0,107.0,77.0,0.0,0.0,661.0,445.0,141.0,140.0,0.0,0.0,807.0,920.0,361.0,143.0,0.0,0.0,1508.0,702.0,201.0,48.0,0.0,0.0,1020.0,1012.0,143.0,37.0,0.0,0.0,1213.0,1047.0,54.0,3.0,0.0,0.0,1194.0,327.0,46.0,31.0,0.0,0.0,466.0,5998.0,1428.0,599.0,0.0,0.0,8037.0,8037.0
