district,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,Tot_P_total
Albert Park,500.0,497.0,1025.0,1293.0,1258.0,2485.0,140.0,103.0,310.0,158.0,144.0,354.0,1644.0,1628.0,3204.0,731.0,679.0,1438.0,103.0,73.0,222.0,324.0,425.0,845.0,1270.0,1273.0,2566.0,95.0,105.0,220.0,245.0,318.0,602.0,69.0,30.0,116.0,432.0,558.0,1033.0,0.0,0.0,0.0,966.0,1193.0,2174.0,1007.0,1277.0,2304.0,649.0,820.0,1472.0,127.0,82.0,230.0,557.0,797.0,1399.0,0.0,0.0,0.0,2447.0,3079.0,5487.0,3440.0,4241.0,7682.0,127.0,139.0,334.0,260.0,377.0,716.0,0.0,0.0,4.0,450.0,588.0,1122.0,2329.0,2284.0,4550.0,9656.0,10544.0,20219.0,20219.0
Ashwood,870.0,843.0,1731.0,2455.0,2259.0,4754.0,478.0,428.0,1032.0,284.0,379.0,797.0,3407.0,3257.0,6621.0,1418.0,1280.0,2572.0,726.0,725.0,1404.0,935.0,1025.0,1952.0,3063.0,2990.0,5943.0,133.0,89.0,288.0,139.0,156.0,382.0,87.0,36.0,176.0,268.0,344.0,660.0,0.0,0.0,0.0,822.0,803.0,1603.0,1931.0,1921.0,3915.0,572.0,586.0,1169.0,100.0,124.0,329.0,368.0,542.0,959.0,0.0,0.0,0.0,3156.0,3300.0,6436.0,3973.0,4086.0,8009.0,153.0,43.0,256.0,146.0,233.0,462.0,0.0,0.0,0.0,338.0,384.0,781.0,1426.0,1308.0,2776.0,13050.0,12827.0,25951.0,25951.0
Bass,673.0,670.0,1327.0,1924.0,1778.0,3695.0,303.0,305.0,738.0,272.0,261.0,564.0,2566.0,2416.0,4960.0,1217.0,1188.0,2447.0,113.0,128.0,286.0,336.0,429.0,788.0,1765.0,1836.0,3626.0,31.0,34.0,136.0,31.0,52.0,121.0,208.0,112.0,364.0,161.0,302.0,574.0,3.0,0.0,7.0,606.0,682.0,1380.0,157.0,293.0,522.0,41.0,138.0,203.0,3.0,24.0,48.0,66.0,293.0,408.0,0.0,0.0,4.0,411.0,908.0,1377.0,1037.0,1636.0,2743.0,35.0,13.0,60.0,66.0,119.0,262.0,0.0,0.0,3.0,158.0,197.0,412.0,2078.0,2207.0,4319.0,8445.0,9013.0,17437.0,17437.0
Bayswater,883.0,730.0,1598.0,2466.0,2208.0,4697.0,265.0,342.0,668.0,120.0,191.0,331.0,2933.0,2717.0,5663.0,1595.0,1472.0,3073.0,326.0,294.0,680.0,222.0,198.0,460.0,2188.0,2077.0,4216.0,107.0,98.0,261.0,75.0,128.0,239.0,226.0,65.0,381.0,302.0,429.0,846.0,0.0,0.0,0.0,828.0,974.0,1828.0,620.0,800.0,1463.0,200.0,267.0,509.0,27.0,91.0,147.0,268.0,429.0,727.0,0.0,0.0,0.0,1257.0,1690.0,2959.0,2108.0,2660.0,4792.0,68.0,68.0,196.0,130.0,240.0,438.0,0.0,0.0,0.0,301.0,375.0,696.0,1377.0,1441.0,2876.0,9850.0,10149.0,19969.0,19969.0
Bellarine,706.0,606.0,1341.0,2062.0,1904.0,3944.0,564.0,594.0,1150.0,165.0,125.0,339.0,2875.0,2696.0,5541.0,971.0,834.0,1877.0,669.0,789.0,1456.0,411.0,359.0,792.0,2156.0,2063.0,4199.0,32.0,57.0,153.0,42.0,82.0,152.0,224.0,75.0,349.0,162.0,287.0,558.0,0.0,0.0,0.0,744.0,674.0,1367.0,330.0,487.0,865.0,49.0,188.0,315.0,28.0,38.0,103.0,164.0,466.0,596.0,4.0,0.0,4.0,781.0,1275.0,2012.0,1457.0,2013.0,3408.0,23.0,34.0,81.0,57.0,148.0,277.0,0.0,0.0,0.0,121.0,210.0,422.0,1617.0,1830.0,3450.0,8920.0,9442.0,18366.0,18366.0
Benambra,705.0,704.0,1444.0,1827.0,1795.0,3554.0,775.0,693.0,1494.0,320.0,257.0,613.0,2886.0,2773.0,5685.0,1208.0,1279.0,2469.0,631.0,647.0,1330.0,290.0,277.0,671.0,2220.0,2207.0,4457.0,167.0,132.0,340.0,66.0,152.0,308.0,338.0,131.0,555.0,237.0,442.0,772.0,0.0,0.0,0.0,916.0,1101.0,2113.0,56.0,261.0,403.0,49.0,164.0,229.0,11.0,36.0,68.0,128.0,411.0,634.0,3.0,0.0,3.0,425.0,996.0,1485.0,1406.0,2173.0,3647.0,71.0,19.0,145.0,69.0,157.0,261.0,0.0,4.0,3.0,188.0,233.0,459.0,2033.0,1871.0,3869.0,9529.0,10080.0,19644.0,19644.0
Bendigo East,844.0,798.0,1652.0,2029.0,1838.0,3869.0,932.0,902.0,1868.0,244.0,256.0,551.0,3315.0,3056.0,6345.0,1539.0,1411.0,2875.0,628.0,605.0,1203.0,312.0,330.0,727.0,2553.0,2339.0,4846.0,83.0,121.0,290.0,54.0,175.0,261.0,210.0,103.0,392.0,206.0,356.0,628.0,0.0,0.0,0.0,756.0,850.0,1679.0,373.0,793.0,1261.0,85.0,208.0,396.0,30.0,45.0,127.0,111.0,441.0,712.0,0.0,0.0,4.0,825.0,1685.0,2524.0,1612.0,2618.0,4250.0,59.0,49.0,179.0,82.0,182.0,362.0,0.0,0.0,0.0,175.0,302.0,583.0,1812.0,1896.0,3799.0,10368.0,11138.0,21459.0,21459.0
Bendigo West,606.0,495.0,1136.0,1729.0,1619.0,3330.0,481.0,473.0,1065.0,152.0,125.0,278.0,2445.0,2302.0,4697.0,1219.0,1133.0,2393.0,364.0,424.0,806.0,187.0,204.0,518.0,1800.0,1857.0,3737.0,40.0,103.0,173.0,69.0,125.0,209.0,178.0,77.0,257.0,207.0,268.0,532.0,4.0,0.0,4.0,665.0,724.0,1394.0,174.0,366.0,562.0,58.0,171.0,296.0,11.0,25.0,52.0,179.0,439.0,634.0,0.0,0.0,0.0,517.0,1137.0,1701.0,1229.0,1848.0,3145.0,42.0,35.0,87.0,71.0,133.0,246.0,3.0,0.0,3.0,126.0,201.0,426.0,2520.0,2181.0,4669.0,8806.0,9031.0,17815.0,17815.0
Bentleigh,934.0,818.0,1773.0,2657.0,2397.0,5050.0,640.0,582.0,1219.0,291.0,272.0,637.0,3649.0,3289.0,6947.0,1952.0,1639.0,3643.0,627.0,661.0,1287.0,526.0,504.0,1089.0,3123.0,2892.0,6036.0,100.0,80.0,270.0,78.0,105.0,225.0,112.0,23.0,179.0,179.0,288.0,565.0,0.0,0.0,0.0,731.0,707.0,1431.0,1144.0,1180.0,2419.0,253.0,290.0,607.0,89.0,92.0,218.0,298.0,495.0,843.0,0.0,0.0,0.0,1904.0,2220.0,4177.0,2594.0,2948.0,5616.0,78.0,41.0,146.0,145.0,274.0,478.0,0.0,0.0,0.0,285.0,356.0,716.0,1161.0,1333.0,2524.0,11891.0,11706.0,23659.0,23659.0
Berwick,1116.0,1034.0,2211.0,2912.0,2785.0,5651.0,740.0,722.0,1477.0,736.0,866.0,1656.0,4386.0,4363.0,8788.0,1699.0,1562.0,3227.0,786.0,777.0,1586.0,809.0,902.0,1769.0,3361.0,3229.0,6588.0,101.0,124.0,287.0,134.0,141.0,314.0,338.0,85.0,437.0,226.0,555.0,848.0,0.0,0.0,0.0,980.0,1102.0,2081.0,848.0,1170.0,2099.0,165.0,363.0,611.0,43.0,103.0,209.0,263.0,492.0,797.0,0.0,0.0,4.0,1562.0,2273.0,3799.0,2610.0,3303.0,5854.0,109.0,119.0,276.0,222.0,252.0,548.0,0.0,0.0,0.0,387.0,451.0,872.0,1369.0,1467.0,2902.0,13353.0,13843.0,27214.0,27214.0
Box Hill,755.0,683.0,1571.0,2381.0,2157.0,4458.0,430.0,408.0,883.0,182.0,296.0,564.0,2982.0,2970.0,5999.0,1617.0,1410.0,3093.0,510.0,533.0,1130.0,702.0,881.0,1683.0,2976.0,2908.0,5882.0,184.0,110.0,345.0,295.0,336.0,644.0,172.0,45.0,289.0,385.0,496.0,898.0,0.0,0.0,0.0,1157.0,1178.0,2342.0,2067.0,2291.0,4408.0,677.0,688.0,1516.0,135.0,155.0,402.0,413.0,644.0,1085.0,0.0,0.0,0.0,3489.0,4027.0,7442.0,4608.0,5208.0,9829.0,187.0,139.0,369.0,258.0,379.0,704.0,0.0,0.0,0.0,490.0,605.0,1131.0,1631.0,1660.0,3341.0,13715.0,14141.0,27803.0,27803.0
Brighton,601.0,648.0,1212.0,1501.0,1291.0,2826.0,401.0,408.0,858.0,728.0,614.0,1321.0,2655.0,2363.0,5036.0,659.0,450.0,1117.0,277.0,473.0,819.0,1558.0,1492.0,2990.0,2564.0,2375.0,4974.0,35.0,27.0,91.0,60.0,68.0,140.0,62.0,8.0,95.0,144.0,263.0,494.0,0.0,0.0,0.0,400.0,463.0,894.0,1220.0,1147.0,2426.0,160.0,301.0,505.0,81.0,65.0,210.0,261.0,568.0,868.0,0.0,0.0,6.0,1828.0,2238.0,4135.0,2306.0,2739.0,5095.0,28.0,23.0,85.0,78.0,179.0,318.0,0.0,0.0,0.0,126.0,250.0,465.0,1290.0,1497.0,2777.0,9625.0,9955.0,19620.0,19620.0
Broadmeadows,924.0,835.0,1785.0,1852.0,1691.0,3484.0,635.0,562.0,1320.0,669.0,751.0,1480.0,3274.0,3080.0,6359.0,1213.0,1098.0,2331.0,522.0,494.0,1113.0,514.0,542.0,1094.0,2328.0,2260.0,4577.0,417.0,178.0,657.0,384.0,415.0,790.0,259.0,61.0,389.0,298.0,389.0,746.0,4.0,0.0,4.0,1467.0,1144.0,2699.0,848.0,1091.0,1903.0,514.0,465.0,1034.0,40.0,78.0,170.0,219.0,415.0,667.0,4.0,0.0,4.0,1830.0,2104.0,3916.0,3301.0,3310.0,6627.0,378.0,266.0,641.0,214.0,361.0,610.0,5.0,0.0,5.0,643.0,682.0,1313.0,3317.0,2828.0,6136.0,13908.0,13026.0,26847.0,26847.0
Brunswick,514.0,426.0,1013.0,1275.0,1246.0,2467.0,189.0,197.0,435.0,95.0,92.0,216.0,1655.0,1601.0,3245.0,896.0,724.0,1641.0,75.0,163.0,320.0,195.0,224.0,441.0,1204.0,1212.0,2509.0,90.0,92.0,212.0,153.0,197.0,420.0,65.0,41.0,152.0,321.0,350.0,683.0,0.0,0.0,0.0,758.0,861.0,1603.0,1207.0,1674.0,2828.0,835.0,1181.0,2048.0,140.0,207.0,418.0,736.0,1287.0,1989.0,0.0,0.0,9.0,2890.0,4406.0,7335.0,3691.0,5271.0,8915.0,33.0,41.0,115.0,106.0,186.0,393.0,0.0,0.0,0.0,231.0,288.0,571.0,1149.0,1163.0,2316.0,8560.0,10006.0,18566.0,18566.0
Bulleen,719.0,639.0,1387.0,1895.0,1772.0,3723.0,512.0,517.0,1000.0,182.0,209.0,462.0,2713.0,2634.0,5337.0,1510.0,1273.0,2783.0,492.0,478.0,1054.0,448.0,450.0,880.0,2487.0,2292.0,4760.0,71.0,37.0,167.0,94.0,122.0,280.0,121.0,25.0,176.0,211.0,307.0,585.0,0.0,0.0,0.0,665.0,698.0,1419.0,1276.0,1329.0,2602.0,323.0,341.0,760.0,102.0,99.0,224.0,233.0,377.0,703.0,0.0,0.0,0.0,2082.0,2326.0,4409.0,2787.0,3013.0,5859.0,64.0,78.0,183.0,166.0,277.0,509.0,6.0,0.0,6.0,280.0,430.0,717.0,1126.0,1265.0,2432.0,10192.0,10234.0,20497.0,20497.0
Bundoora,794.0,666.0,1544.0,1688.0,1579.0,3282.0,714.0,695.0,1449.0,105.0,149.0,270.0,2622.0,2430.0,5040.0,1247.0,1085.0,2302.0,762.0,741.0,1541.0,195.0,202.0,415.0,2251.0,2014.0,4259.0,127.0,95.0,255.0,90.0,114.0,263.0,195.0,59.0,356.0,218.0,275.0,534.0,0.0,0.0,0.0,823.0,773.0,1623.0,1186.0,1374.0,2590.0,523.0,445.0,1035.0,86.0,121.0,265.0,231.0,419.0,733.0,0.0,0.0,4.0,2139.0,2487.0,4725.0,2967.0,3298.0,6273.0,90.0,85.0,235.0,131.0,185.0,374.0,0.0,0.0,0.0,287.0,342.0,698.0,1302.0,1188.0,2455.0,10371.0,10035.0,20352.0,20352.0
Carrum,1004.0,989.0,2033.0,2457.0,2409.0,4917.0,494.0,439.0,919.0,227.0,259.0,512.0,3319.0,3163.0,6443.0,1524.0,1507.0,3070.0,477.0,412.0,888.0,301.0,302.0,711.0,2397.0,2269.0,4746.0,93.0,95.0,256.0,59.0,136.0,228.0,246.0,83.0,361.0,242.0,391.0,715.0,4.0,0.0,4.0,860.0,900.0,1743.0,492.0,686.0,1169.0,70.0,238.0,400.0,47.0,58.0,151.0,190.0,452.0,721.0,0.0,0.0,0.0,910.0,1622.0,2563.0,1850.0,2521.0,4357.0,56.0,72.0,179.0,109.0,219.0,468.0,0.0,0.0,0.0,235.0,360.0,688.0,1524.0,1510.0,3002.0,10352.0,10882.0,21220.0,21220.0
Caulfield,839.0,794.0,1693.0,1114.0,1095.0,2278.0,232.0,222.0,525.0,1172.0,1114.0,2341.0,2507.0,2551.0,5052.0,457.0,432.0,1002.0,197.0,253.0,450.0,1484.0,1404.0,2834.0,2204.0,2140.0,4282.0,93.0,63.0,183.0,112.0,146.0,329.0,31.0,37.0,111.0,265.0,348.0,671.0,0.0,0.0,0.0,680.0,734.0,1439.0,1283.0,1485.0,2770.0,526.0,557.0,1164.0,111.0,140.0,289.0,405.0,747.0,1198.0,0.0,0.0,0.0,2415.0,3010.0,5404.0,3144.0,3771.0,6921.0,107.0,67.0,225.0,167.0,226.0,434.0,0.0,0.0,5.0,287.0,370.0,702.0,1544.0,1571.0,3107.0,10597.0,11339.0,21862.0,21862.0
Clarinda,707.0,684.0,1365.0,1927.0,1926.0,3803.0,673.0,630.0,1308.0,163.0,151.0,378.0,2782.0,2764.0,5601.0,1514.0,1419.0,2956.0,598.0,557.0,1205.0,235.0,218.0,495.0,2400.0,2202.0,4689.0,180.0,105.0,336.0,146.0,171.0,345.0,200.0,42.0,269.0,164.0,297.0,546.0,0.0,0.0,0.0,851.0,792.0,1699.0,1057.0,1171.0,2225.0,354.0,325.0,682.0,53.0,79.0,193.0,157.0,270.0,503.0,0.0,0.0,0.0,1764.0,2090.0,3869.0,2659.0,2883.0,5507.0,160.0,144.0,344.0,166.0,299.0,517.0,3.0,0.0,3.0,351.0,504.0,915.0,1458.0,1314.0,2784.0,10518.0,10485.0,20975.0,20975.0
Cranbourne,1378.0,1225.0,2674.0,3652.0,3466.0,7026.0,659.0,583.0,1392.0,455.0,427.0,965.0,4892.0,4523.0,9434.0,1855.0,1905.0,3797.0,593.0,622.0,1273.0,288.0,294.0,675.0,2895.0,2902.0,5694.0,199.0,248.0,486.0,196.0,293.0,588.0,168.0,126.0,398.0,398.0,567.0,1039.0,0.0,0.0,0.0,1220.0,1455.0,2653.0,575.0,831.0,1424.0,193.0,337.0,652.0,38.0,57.0,115.0,149.0,448.0,648.0,0.0,0.0,0.0,1150.0,1871.0,2989.0,2326.0,3306.0,5719.0,174.0,201.0,501.0,267.0,399.0,705.0,0.0,4.0,7.0,519.0,648.0,1321.0,2216.0,2173.0,4343.0,14233.0,14813.0,29131.0,29131.0
Croydon,964.0,895.0,1931.0,2295.0,2183.0,4449.0,446.0,429.0,913.0,274.0,339.0,650.0,3092.0,2972.0,6031.0,1448.0,1325.0,2793.0,359.0,324.0,740.0,433.0,418.0,935.0,2369.0,2166.0,4517.0,59.0,86.0,228.0,64.0,108.0,218.0,327.0,88.0,488.0,269.0,402.0,748.0,0.0,0.0,0.0,950.0,887.0,1812.0,489.0,688.0,1204.0,142.0,215.0,412.0,57.0,72.0,146.0,235.0,490.0,790.0,0.0,0.0,0.0,1118.0,1624.0,2700.0,2008.0,2491.0,4536.0,46.0,47.0,107.0,117.0,263.0,441.0,0.0,0.0,6.0,214.0,351.0,612.0,1184.0,1350.0,2563.0,9945.0,10290.0,20303.0,20303.0
Dandenong,747.0,790.0,1533.0,2456.0,2367.0,4886.0,476.0,398.0,888.0,270.0,242.0,582.0,3251.0,3117.0,6421.0,2157.0,1940.0,4024.0,301.0,373.0,730.0,258.0,242.0,555.0,2771.0,2699.0,5375.0,358.0,267.0,693.0,321.0,403.0,790.0,146.0,65.0,329.0,374.0,533.0,994.0,4.0,0.0,4.0,1343.0,1512.0,2880.0,926.0,1133.0,2107.0,432.0,507.0,960.0,23.0,70.0,140.0,192.0,270.0,519.0,0.0,0.0,0.0,1760.0,2118.0,3901.0,3162.0,3675.0,6748.0,328.0,366.0,728.0,309.0,580.0,947.0,3.0,0.0,8.0,664.0,997.0,1731.0,3502.0,2958.0,6421.0,14134.0,14141.0,28280.0,28280.0
Eildon,620.0,562.0,1221.0,1898.0,1729.0,3601.0,432.0,408.0,869.0,179.0,202.0,406.0,2555.0,2422.0,4944.0,1407.0,1347.0,2702.0,228.0,288.0,608.0,352.0,450.0,892.0,2100.0,2197.0,4247.0,13.0,60.0,121.0,12.0,49.0,106.0,296.0,75.0,453.0,117.0,307.0,527.0,0.0,0.0,0.0,682.0,700.0,1398.0,179.0,334.0,554.0,26.0,128.0,174.0,24.0,42.0,85.0,109.0,371.0,510.0,0.0,0.0,0.0,424.0,1049.0,1558.0,1157.0,1757.0,2917.0,10.0,15.0,29.0,65.0,145.0,298.0,0.0,0.0,3.0,109.0,192.0,394.0,2394.0,2256.0,4670.0,9079.0,9385.0,18496.0,18496.0
Eltham,801.0,825.0,1675.0,2415.0,2286.0,4633.0,480.0,538.0,1028.0,112.0,87.0,272.0,3080.0,2920.0,5983.0,1657.0,1563.0,3231.0,563.0,681.0,1284.0,324.0,297.0,674.0,2608.0,2611.0,5195.0,57.0,69.0,153.0,17.0,31.0,103.0,273.0,46.0,405.0,169.0,218.0,506.0,0.0,0.0,0.0,777.0,542.0,1384.0,759.0,930.0,1671.0,95.0,183.0,335.0,59.0,66.0,175.0,241.0,519.0,724.0,0.0,0.0,0.0,1203.0,1811.0,3091.0,2098.0,2413.0,4500.0,10.0,20.0,47.0,97.0,177.0,319.0,0.0,0.0,0.0,123.0,241.0,401.0,810.0,825.0,1593.0,9528.0,9870.0,19419.0,19419.0
Essendon,667.0,705.0,1395.0,1373.0,1173.0,2549.0,848.0,803.0,1647.0,240.0,313.0,626.0,2563.0,2372.0,4873.0,890.0,693.0,1653.0,701.0,632.0,1352.0,434.0,586.0,1083.0,2140.0,2046.0,4099.0,118.0,115.0,271.0,98.0,188.0,315.0,144.0,26.0,258.0,217.0,285.0,552.0,0.0,0.0,4.0,783.0,725.0,1583.0,1072.0,1302.0,2402.0,400.0,538.0,1024.0,98.0,107.0,280.0,472.0,661.0,1179.0,0.0,0.0,0.0,2129.0,2756.0,4939.0,2972.0,3534.0,6555.0,73.0,77.0,243.0,108.0,232.0,441.0,0.0,3.0,8.0,263.0,386.0,658.0,1403.0,1454.0,2910.0,10067.0,10438.0,20564.0,20564.0
Eureka,863.0,874.0,1744.0,2274.0,2074.0,4405.0,673.0,752.0,1482.0,301.0,318.0,705.0,3375.0,3228.0,6574.0,1174.0,1128.0,2360.0,782.0,736.0,1574.0,471.0,479.0,992.0,2482.0,2427.0,4879.0,46.0,78.0,201.0,59.0,102.0,193.0,242.0,69.0,382.0,213.0,387.0,685.0,0.0,0.0,0.0,772.0,798.0,1587.0,409.0,644.0,1165.0,139.0,305.0,513.0,19.0,51.0,113.0,216.0,564.0,854.0,0.0,0.0,0.0,945.0,1807.0,2764.0,1741.0,2647.0,4365.0,58.0,51.0,166.0,92.0,190.0,341.0,0.0,0.0,0.0,223.0,306.0,543.0,1986.0,1924.0,3841.0,10780.0,11295.0,22039.0,22039.0
Euroa,540.0,527.0,1104.0,1545.0,1378.0,2856.0,706.0,716.0,1359.0,59.0,79.0,135.0,2298.0,2244.0,4513.0,1063.0,962.0,2098.0,588.0,559.0,1187.0,100.0,144.0,282.0,1885.0,1791.0,3695.0,92.0,66.0,171.0,18.0,65.0,105.0,195.0,75.0,325.0,108.0,333.0,522.0,4.0,0.0,4.0,592.0,647.0,1288.0,106.0,195.0,380.0,22.0,110.0,150.0,0.0,23.0,49.0,98.0,263.0,445.0,0.0,0.0,0.0,369.0,774.0,1189.0,985.0,1519.0,2509.0,54.0,35.0,100.0,58.0,121.0,196.0,7.0,4.0,11.0,143.0,192.0,379.0,3062.0,2682.0,5797.0,8946.0,9002.0,17975.0,17975.0
Evelyn,906.0,883.0,1814.0,2353.0,2126.0,4406.0,424.0,455.0,921.0,249.0,282.0,617.0,3148.0,2931.0,6062.0,1499.0,1395.0,2805.0,492.0,523.0,1081.0,445.0,417.0,920.0,2439.0,2353.0,4812.0,67.0,120.0,262.0,20.0,36.0,101.0,390.0,127.0,651.0,229.0,331.0,655.0,0.0,0.0,0.0,893.0,773.0,1761.0,391.0,626.0,1048.0,42.0,170.0,322.0,25.0,79.0,137.0,154.0,399.0,658.0,0.0,0.0,0.0,800.0,1382.0,2191.0,1687.0,2221.0,3922.0,39.0,32.0,70.0,99.0,165.0,343.0,0.0,0.0,3.0,172.0,225.0,498.0,1072.0,935.0,1943.0,9453.0,9727.0,19052.0,19052.0
Footscray,788.0,689.0,1497.0,1880.0,1730.0,3586.0,478.0,402.0,935.0,69.0,59.0,175.0,2472.0,2261.0,4729.0,1038.0,985.0,2073.0,351.0,352.0,732.0,181.0,210.0,396.0,1662.0,1657.0,3238.0,113.0,102.0,284.0,284.0,305.0,561.0,65.0,50.0,175.0,394.0,442.0,911.0,0.0,0.0,0.0,1008.0,1061.0,2057.0,986.0,1119.0,2111.0,688.0,770.0,1469.0,86.0,79.0,238.0,512.0,821.0,1393.0,0.0,0.0,0.0,2383.0,2877.0,5304.0,3455.0,3901.0,7387.0,167.0,114.0,389.0,200.0,269.0,536.0,0.0,0.0,0.0,457.0,514.0,995.0,1976.0,1698.0,3663.0,10768.0,10758.0,21536.0,21536.0
Frankston,767.0,669.0,1494.0,2110.0,1986.0,4149.0,313.0,295.0,648.0,136.0,102.0,253.0,2602.0,2507.0,5072.0,1622.0,1470.0,3057.0,164.0,181.0,398.0,158.0,190.0,414.0,2011.0,1923.0,3984.0,42.0,124.0,234.0,64.0,180.0,269.0,194.0,60.0,316.0,215.0,403.0,695.0,0.0,0.0,0.0,828.0,947.0,1767.0,415.0,598.0,1100.0,100.0,199.0,364.0,16.0,70.0,102.0,153.0,452.0,656.0,0.0,0.0,0.0,836.0,1478.0,2381.0,1642.0,2443.0,4128.0,38.0,71.0,119.0,91.0,199.0,369.0,0.0,0.0,0.0,201.0,276.0,527.0,2282.0,2290.0,4551.0,9557.0,10308.0,19777.0,19777.0
Geelong,853.0,716.0,1586.0,1685.0,1581.0,3249.0,749.0,673.0,1481.0,290.0,299.0,644.0,2796.0,2677.0,5465.0,899.0,783.0,1711.0,597.0,739.0,1420.0,511.0,491.0,1046.0,2235.0,2077.0,4270.0,57.0,78.0,227.0,52.0,129.0,262.0,213.0,118.0,350.0,296.0,371.0,711.0,0.0,0.0,0.0,828.0,842.0,1633.0,713.0,893.0,1657.0,300.0,444.0,848.0,50.0,82.0,172.0,256.0,613.0,907.0,0.0,0.0,0.0,1483.0,2203.0,3664.0,2292.0,3010.0,5340.0,47.0,52.0,147.0,72.0,164.0,324.0,0.0,0.0,0.0,195.0,224.0,509.0,1712.0,1718.0,3504.0,10178.0,10497.0,20604.0,20604.0
Gippsland East,570.0,495.0,1112.0,1565.0,1532.0,3122.0,448.0,480.0,1058.0,133.0,113.0,332.0,2249.0,2235.0,4444.0,972.0,998.0,2026.0,500.0,487.0,1005.0,80.0,111.0,298.0,1696.0,1696.0,3384.0,33.0,47.0,103.0,12.0,65.0,70.0,151.0,74.0,273.0,116.0,363.0,550.0,0.0,0.0,0.0,444.0,689.0,1169.0,28.0,105.0,168.0,17.0,71.0,120.0,5.0,17.0,25.0,41.0,297.0,401.0,0.0,0.0,5.0,171.0,695.0,911.0,590.0,1373.0,2045.0,49.0,16.0,87.0,49.0,108.0,196.0,0.0,3.0,12.0,112.0,143.0,302.0,2518.0,2480.0,5036.0,7888.0,8563.0,16386.0,16386.0
Gippsland South,602.0,506.0,1161.0,1986.0,1790.0,3807.0,331.0,334.0,789.0,169.0,151.0,363.0,2600.0,2401.0,4919.0,1245.0,1146.0,2393.0,438.0,506.0,1022.0,171.0,198.0,442.0,1909.0,1942.0,3920.0,36.0,50.0,92.0,9.0,57.0,85.0,193.0,61.0,329.0,101.0,329.0,482.0,0.0,0.0,0.0,479.0,654.0,1166.0,70.0,216.0,350.0,20.0,113.0,197.0,11.0,27.0,41.0,96.0,370.0,495.0,0.0,0.0,0.0,309.0,868.0,1252.0,819.0,1561.0,2445.0,45.0,44.0,104.0,34.0,93.0,164.0,3.0,0.0,6.0,109.0,166.0,355.0,3079.0,2285.0,5396.0,9256.0,8914.0,18216.0,18216.0
