district,M_Current_ADF_Regular_15_24_n,M_Current_ADF_Regular_25_34_n,M_Current_ADF_Regular_35_44_n,M_Current_ADF_Regular_45_54_n,M_Current_ADF_Regular_55_64_n,M_Current_ADF_Regular_65_74_n,M_Current_ADF_Regular_75_84_n,M_Current_ADF_Regular_85_ov_n,M_Current_ADF_Regular_Tot_n,M_Current_ADF_Reserves_15_24_n,M_Current_ADF_Reserves_25_34_n,M_Current_ADF_Reserves_35_44_n,M_Current_ADF_Reserves_45_54_n,M_Current_ADF_Reserves_55_64_n,M_Current_ADF_Reserves_65_74_n,M_Current_ADF_Reserves_75_84_n,M_Current_ADF_Reserves_85_ov_n,M_Current_ADF_Reserves_Tot_n,M_Prev_ADF_Ncs_15_24_n,M_Prev_ADF_Ncs_25_34_n,M_Prev_ADF_Ncs_35_44_n,M_Prev_ADF_Ncs_45_54_n,M_Prev_ADF_Ncs_55_64_n,M_Prev_ADF_Ncs_65_74_n,M_Prev_ADF_Ncs_75_84_n,M_Prev_ADF_Ncs_85_ov_n,M_Prev_ADF_Ncs_Tot_n,M_Tot_ADF_ev_ser_15_24_n,M_Tot_ADF_ev_ser_25_34_n,M_Tot_ADF_ev_ser_35_44_n,M_Tot_ADF_ev_ser_45_54_n,M_Tot_ADF_ev_ser_55_64_n,M_Tot_ADF_ev_ser_65_74_n,M_Tot_ADF_ev_ser_75_84_n,M_Tot_ADF_ev_ser_85_ov_n,M_Tot_ADF_ev_ser_Tot_n,M_never_served_15_24_n,M_never_served_25_34_n,M_never_served_35_44_n,M_never_served_45_54_n,M_never_served_55_64_n,M_never_served_65_74_n,M_never_served_75_84_n,M_never_served_85_ov_n,M_never_served_Tot_n,M_NS_15_24_n,M_NS_25_34_n,M_NS_35_44_n,M_NS_45_54_n,M_NS_55_64_n,M_NS_65_74_n,M_NS_75_84_n,M_NS_85_ov_n,M_NS_Tot_n,M_Tot_15_24_n,M_Tot_25_34_n,M_Tot_35_44_n,M_Tot_45_54_n,M_Tot_55_64_n,M_Tot_65_74_n,M_Tot_75_84_n,M_Tot_85_ov_n,M_Tot_Tot_n,F_Current_ADF_Regular_15_24_n,F_Current_ADF_Regular_25_34_n,F_Current_ADF_Regular_35_44_n,F_Current_ADF_Regular_45_54_n,F_Current_ADF_Regular_55_64_n,F_Current_ADF_Regular_65_74_n,F_Current_ADF_Regular_75_84_n,F_Current_ADF_Regular_85_ov_n,F_Current_ADF_Regular_Tot_n,F_Current_ADF_Reserves_15_24_n,F_Current_ADF_Reserves_25_34_n,F_Current_ADF_Reserves_35_44_n,F_Current_ADF_Reserves_45_54_n,F_Current_ADF_Reserves_55_64_n,F_Current_ADF_Reserves_65_74_n,F_Current_ADF_Reserves_75_84_n,F_Current_ADF_Reserves_85_ov_n,F_Current_ADF_Reserves_Tot_n,F_Prev_ADF_Ncs_15_24_n,F_Prev_ADF_Ncs_25_34_n,F_Prev_ADF_Ncs_35_44_n,F_Prev_ADF_Ncs_45_54_n,F_Prev_ADF_Ncs_55_64_n,F_Prev_ADF_Ncs_65_74_n,F_Prev_ADF_Ncs_75_84_n,F_Prev_ADF_Ncs_85_ov_n,F_Prev_ADF_Ncs_Tot_n,F_Tot_ADF_ev_ser_15_24_n,F_Tot_ADF_ev_ser_25_34_n,F_Tot_ADF_ev_ser_35_44_n,F_Tot_ADF_ev_ser_45_54_n,F_Tot_ADF_ev_ser_55_64_n,F_Tot_ADF_ev_ser_65_74_n,F_Tot_ADF_ev_ser_75_84_n,F_Tot_ADF_ev_ser_85_ov_n,F_Tot_ADF_ev_ser_Tot_n,F_never_served_15_24_n,F_never_served_25_34_n,F_never_served_35_44_n,F_never_served_45_54_n,F_never_served_55_64_n,F_never_served_65_74_n,F_never_served_75_84_n,F_never_served_85_ov_n,F_never_served_Tot_n,F_NS_15_24_n,F_NS_25_34_n,F_NS_35_44_n,F_NS_45_54_n,F_NS_55_64_n,F_NS_65_74_n,F_NS_75_84_n,F_NS_85_ov_n,F_NS_Tot_n,F_Tot_15_24_n,F_Tot_25_34_n,F_Tot_35_44_n,F_Tot_45_54_n,F_Tot_55_64_n,F_Tot_65_74_n,F_Tot_75_84_n,F_Tot_85_ov_n,F_Tot_Tot_n,P_Current_ADF_Regular_15_24_n,P_Current_ADF_Regular_25_34_n,P_Current_ADF_Regular_35_44_n,P_Current_ADF_Regular_45_54_n,P_Current_ADF_Regular_55_64_n,P_Current_ADF_Regular_65_74_n,P_Current_ADF_Regular_75_84_n,P_Current_ADF_Regular_85_ov_n,P_Current_ADF_Regular_Tot_n,P_Current_ADF_Reserves_15_24_n,P_Current_ADF_Reserves_25_34_n,P_Current_ADF_Reserves_35_44_n,P_Current_ADF_Reserves_45_54_n,P_Current_ADF_Reserves_55_64_n,P_Current_ADF_Reserves_65_74_n,P_Current_ADF_Reserves_75_84_n,P_Current_ADF_Reserves_85_ov_n,P_Current_ADF_Reserves_Tot_n,P_Prev_ADF_Ncs_15_24_n,P_Prev_ADF_Ncs_25_34_n,P_Prev_ADF_Ncs_35_44_n,P_Prev_ADF_Ncs_45_54_n,P_Prev_ADF_Ncs_55_64_n,P_Prev_ADF_Ncs_65_74_n,P_Prev_ADF_Ncs_75_84_n,P_Prev_ADF_Ncs_85_ov_n,P_Prev_ADF_Ncs_Tot_n,P_Tot_ADF_ev_ser_15_24_n,P_Tot_ADF_ev_ser_25_34_n,P_Tot_ADF_ev_ser_35_44_n,P_Tot_ADF_ev_ser_45_54_n,P_Tot_ADF_ev_ser_55_64_n,P_Tot_ADF_ev_ser_65_74_n,P_Tot_ADF_ev_ser_75_84_n,P_Tot_ADF_ev_ser_85_ov_n,P_Tot_ADF_ev_ser_Tot_n,P_never_served_15_24_n,P_never_served_25_34_n,P_never_served_35_44_n,P_never_served_45_54_n,P_never_served_55_64_n,P_never_served_65_74_n,P_never_served_75_84_n,P_never_served_85_ov_n,P_never_served_Tot_n,P_NS_15_24_n,P_NS_25_34_n,P_NS_35_44_n,P_NS_45_54_n,P_NS_55_64_n,P_NS_65_74_n,P_NS_75_84_n,P_NS_85_ov_n,P_NS_Tot_n,P_Tot_15_24_n,P_Tot_25_34_n,P_Tot_35_44_n,P_Tot_45_54_n,P_Tot_55_64_n,P_Tot_65_74_n,P_Tot_75_84_n,P_Tot_85_ov_n,P_Tot_Tot_n,P_Tot_Tot_total
Northcote,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.0,28.0,27.0,32.0,24.0,32.0,11.0,366.0,0.0,25.0,36.0,40.0,32.0,24.0,32.0,11.0,406.0,3171.0,5834.0,5198.0,4524.0,3144.0,1943.0,1120.0,420.0,25368.0,91.0,202.0,167.0,115.0,75.0,33.0,42.0,50.0,1075.0,3283.0,6176.0,5528.0,4765.0,3338.0,2089.0,1210.0,533.0,26967.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,45.0,3351.0,6941.0,5687.0,4948.0,3595.0,2396.0,1471.0,760.0,29151.0,83.0,218.0,173.0,93.0,51.0,42.0,86.0,89.0,1130.0,3467.0,7129.0,5910.0,5098.0,3679.0,2492.0,1576.0,896.0,30347.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,38.0,53.0,41.0,35.0,32.0,11.0,435.0,3.0,28.0,51.0,65.0,41.0,35.0,32.0,11.0,515.0,6498.0,12794.0,10885.0,9485.0,6747.0,4249.0,2619.0,1248.0,54541.0,229.0,446.0,431.0,253.0,225.0,132.0,149.0,140.0,2184.0,6721.0,13381.0,11417.0,9918.0,7117.0,4554.0,2870.0,1431.0,57325.0,57325.0
Oakleigh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,11.0,29.0,38.0,45.0,65.0,28.0,51.0,460.0,6.0,18.0,38.0,51.0,50.0,65.0,28.0,51.0,542.0,6891.0,9429.0,6129.0,4821.0,3840.0,2505.0,1598.0,720.0,36022.0,365.0,665.0,257.0,104.0,41.0,54.0,70.0,54.0,1998.0,7301.0,10182.0,6470.0,5027.0,4046.0,2752.0,1746.0,881.0,38686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,40.0,6479.0,8632.0,5976.0,5091.0,4188.0,3092.0,2322.0,1211.0,36873.0,318.0,399.0,175.0,94.0,61.0,50.0,92.0,134.0,1747.0,6828.0,9091.0,6252.0,5269.0,4343.0,3225.0,2459.0,1396.0,38767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,11.0,27.0,45.0,53.0,65.0,28.0,65.0,505.0,15.0,21.0,43.0,58.0,65.0,65.0,28.0,65.0,592.0,13391.0,17978.0,12139.0,9863.0,7987.0,5648.0,3888.0,1906.0,72970.0,712.0,1131.0,484.0,309.0,233.0,189.0,188.0,206.0,3785.0,14160.0,19257.0,12819.0,10304.0,8394.0,6058.0,4236.0,2280.0,77505.0,77505.0
Ovens Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,34.0,85.0,146.0,452.0,280.0,139.0,1431.0,4.0,17.0,38.0,100.0,157.0,452.0,280.0,139.0,1514.0,2896.0,2851.0,2939.0,3461.0,4001.0,3684.0,2055.0,471.0,22376.0,174.0,208.0,170.0,161.0,198.0,226.0,145.0,69.0,1760.0,3148.0,3113.0,3235.0,3787.0,4413.0,4429.0,2629.0,771.0,25688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,3.0,12.0,0.0,8.0,140.0,0.0,0.0,6.0,12.0,3.0,12.0,0.0,8.0,145.0,2707.0,2971.0,3256.0,3814.0,4411.0,4212.0,2525.0,1031.0,25013.0,167.0,144.0,133.0,178.0,212.0,182.0,219.0,125.0,1825.0,2965.0,3219.0,3471.0,4116.0,4656.0,4542.0,2852.0,1190.0,27060.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,8.0,4.0,17.0,44.0,115.0,185.0,512.0,298.0,157.0,1641.0,4.0,21.0,48.0,137.0,206.0,512.0,298.0,157.0,1716.0,5623.0,5799.0,6232.0,7307.0,8364.0,7874.0,4561.0,1576.0,47444.0,433.0,389.0,416.0,428.0,467.0,492.0,393.0,237.0,3540.0,6129.0,6283.0,6714.0,7964.0,9061.0,9014.0,5424.0,2052.0,52746.0,52746.0
Pakenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,47.0,59.0,74.0,118.0,82.0,50.0,820.0,3.0,26.0,47.0,70.0,77.0,118.0,82.0,50.0,869.0,4252.0,6171.0,5730.0,3739.0,2609.0,1812.0,995.0,177.0,25675.0,176.0,270.0,207.0,147.0,48.0,45.0,44.0,11.0,1317.0,4522.0,6596.0,6105.0,4102.0,2822.0,2156.0,1232.0,282.0,27911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,7.0,71.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,7.0,77.0,4238.0,6929.0,5932.0,4077.0,3114.0,2524.0,1290.0,399.0,28519.0,188.0,300.0,184.0,143.0,67.0,79.0,94.0,53.0,1471.0,4468.0,7254.0,6198.0,4283.0,3232.0,2681.0,1443.0,477.0,30099.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,60.0,79.0,88.0,136.0,89.0,59.0,960.0,3.0,49.0,63.0,90.0,95.0,136.0,89.0,59.0,1006.0,8534.0,13091.0,11633.0,7900.0,5684.0,4356.0,2393.0,627.0,54228.0,433.0,671.0,516.0,360.0,137.0,163.0,162.0,88.0,2813.0,8981.0,13874.0,12289.0,8449.0,6013.0,4781.0,2724.0,834.0,57990.0,57990.0
Pascoe Vale,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,5.0,10.0,30.0,18.0,22.0,23.0,20.0,18.0,420.0,8.0,26.0,43.0,26.0,26.0,23.0,20.0,18.0,488.0,3731.0,5824.0,5311.0,4242.0,3178.0,1901.0,1090.0,600.0,25969.0,134.0,269.0,170.0,153.0,67.0,65.0,61.0,42.0,1192.0,3848.0,6252.0,5651.0,4475.0,3371.0,2061.0,1283.0,721.0,27619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,3610.0,6372.0,5666.0,4635.0,3381.0,2340.0,1585.0,1164.0,28764.0,83.0,255.0,163.0,96.0,92.0,74.0,65.0,114.0,1248.0,3795.0,6669.0,5892.0,4805.0,3528.0,2475.0,1685.0,1318.0,30098.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0,5.0,23.0,41.0,27.0,36.0,26.0,20.0,22.0,479.0,8.0,32.0,56.0,31.0,48.0,26.0,20.0,22.0,554.0,7281.0,12323.0,10975.0,8820.0,6553.0,4199.0,2762.0,1859.0,54796.0,250.0,560.0,404.0,295.0,204.0,149.0,153.0,167.0,2457.0,7588.0,12949.0,11490.0,9248.0,6835.0,4506.0,2991.0,2063.0,57772.0,57772.0
Point Cook,0.0,7.0,17.0,12.0,0.0,0.0,0.0,0.0,74.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,21.0,0.0,0.0,34.0,85.0,100.0,105.0,44.0,15.0,683.0,0.0,22.0,83.0,165.0,123.0,105.0,44.0,15.0,907.0,4921.0,5662.0,8694.0,5587.0,3472.0,2265.0,781.0,161.0,31742.0,256.0,385.0,391.0,186.0,88.0,48.0,16.0,3.0,1725.0,5259.0,6086.0,9282.0,6106.0,3815.0,2564.0,938.0,214.0,34324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,12.0,14.0,0.0,9.0,0.0,72.0,0.0,3.0,9.0,19.0,17.0,0.0,9.0,0.0,134.0,4556.0,6353.0,9016.0,5732.0,3840.0,2702.0,1102.0,393.0,33913.0,163.0,312.0,377.0,152.0,95.0,53.0,19.0,13.0,1537.0,4799.0,6803.0,9453.0,6023.0,4046.0,2866.0,1175.0,421.0,35555.0,0.0,18.0,13.0,14.0,4.0,0.0,0.0,0.0,125.0,0.0,6.0,3.0,4.0,5.0,0.0,0.0,0.0,40.0,0.0,6.0,47.0,137.0,157.0,123.0,55.0,20.0,850.0,0.0,43.0,102.0,218.0,195.0,123.0,55.0,20.0,1092.0,9488.0,11978.0,17719.0,11331.0,7355.0,5063.0,2015.0,597.0,65617.0,505.0,768.0,848.0,409.0,282.0,143.0,78.0,13.0,3220.0,9987.0,12882.0,18788.0,12025.0,7898.0,5384.0,2184.0,672.0,69947.0,69947.0
Polwarth,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,35.0,58.0,93.0,354.0,192.0,97.0,1176.0,6.0,3.0,50.0,59.0,101.0,354.0,192.0,97.0,1199.0,3416.0,3309.0,3936.0,4146.0,4348.0,3878.0,1820.0,326.0,25243.0,195.0,213.0,197.0,213.0,249.0,234.0,109.0,83.0,1900.0,3615.0,3640.0,4242.0,4575.0,4813.0,4583.0,2241.0,594.0,28319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,6.0,13.0,11.0,0.0,3.0,84.0,0.0,4.0,8.0,6.0,13.0,11.0,0.0,3.0,99.0,3020.0,3482.0,4277.0,4459.0,4696.0,4243.0,2162.0,775.0,27134.0,157.0,157.0,212.0,219.0,227.0,216.0,184.0,186.0,1904.0,3250.0,3704.0,4524.0,4716.0,4969.0,4538.0,2424.0,996.0,29234.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,13.0,45.0,91.0,117.0,383.0,203.0,109.0,1318.0,6.0,20.0,64.0,98.0,125.0,383.0,203.0,109.0,1351.0,6489.0,6738.0,8163.0,8600.0,8966.0,8114.0,4033.0,1242.0,52366.0,389.0,414.0,450.0,464.0,504.0,553.0,374.0,309.0,3850.0,6945.0,7302.0,8778.0,9261.0,9721.0,9140.0,4675.0,1712.0,57551.0,57551.0
Prahran,3.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,24.0,20.0,39.0,26.0,82.0,72.0,19.0,655.0,3.0,55.0,30.0,56.0,25.0,82.0,72.0,19.0,727.0,3132.0,10456.0,6247.0,3473.0,2825.0,1972.0,1119.0,309.0,29604.0,166.0,675.0,384.0,257.0,161.0,131.0,116.0,87.0,2271.0,3344.0,11301.0,6776.0,3859.0,3139.0,2253.0,1408.0,491.0,32642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,4.0,58.0,0.0,6.0,0.0,3.0,4.0,0.0,0.0,4.0,83.0,3890.0,11496.0,5854.0,3503.0,2916.0,2500.0,1450.0,559.0,32096.0,230.0,710.0,322.0,232.0,144.0,126.0,127.0,188.0,2390.0,4148.0,12254.0,6208.0,3748.0,3137.0,2674.0,1618.0,748.0,34605.0,5.0,16.0,0.0,7.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,39.0,29.0,38.0,37.0,100.0,73.0,24.0,762.0,12.0,91.0,40.0,64.0,39.0,100.0,73.0,24.0,865.0,6992.0,21883.0,12093.0,6960.0,5742.0,4436.0,2590.0,925.0,61691.0,459.0,1402.0,763.0,498.0,340.0,277.0,238.0,291.0,4653.0,7521.0,23557.0,12955.0,7637.0,6265.0,4940.0,3049.0,1290.0,67173.0,67173.0
Preston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,4.0,25.0,51.0,67.0,29.0,19.0,445.0,0.0,21.0,16.0,25.0,51.0,67.0,29.0,19.0,460.0,3700.0,6569.0,5511.0,4460.0,3358.0,2325.0,1638.0,668.0,28215.0,185.0,345.0,244.0,157.0,137.0,119.0,82.0,117.0,1796.0,3947.0,6997.0,5881.0,4793.0,3646.0,2613.0,1819.0,884.0,30537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,17.0,3501.0,6585.0,5733.0,4540.0,3667.0,2793.0,2213.0,1130.0,30246.0,115.0,318.0,241.0,144.0,101.0,109.0,152.0,187.0,1645.0,3694.0,6944.0,5980.0,4757.0,3871.0,3016.0,2342.0,1368.0,32056.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,8.0,31.0,54.0,87.0,43.0,21.0,524.0,3.0,21.0,31.0,31.0,54.0,87.0,43.0,21.0,588.0,7267.0,13152.0,11273.0,9005.0,7078.0,5158.0,3752.0,1898.0,58481.0,343.0,732.0,519.0,388.0,316.0,311.0,273.0,326.0,3466.0,7648.0,13935.0,11851.0,9557.0,7515.0,5630.0,4110.0,2292.0,62549.0,62549.0
Richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,19.0,41.0,31.0,37.0,62.0,15.0,12.0,416.0,0.0,50.0,45.0,49.0,43.0,62.0,15.0,12.0,520.0,2811.0,9807.0,5798.0,3547.0,2849.0,1779.0,805.0,184.0,27691.0,157.0,569.0,317.0,195.0,175.0,113.0,43.0,16.0,1815.0,3011.0,10493.0,6274.0,3892.0,3155.0,2005.0,945.0,279.0,30004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0,6.0,4.0,0.0,0.0,67.0,0.0,6.0,7.0,6.0,6.0,4.0,0.0,0.0,74.0,3371.0,10340.0,5288.0,3487.0,2768.0,2085.0,1109.0,426.0,28971.0,150.0,456.0,225.0,143.0,110.0,96.0,51.0,11.0,1610.0,3560.0,10932.0,5586.0,3723.0,2958.0,2186.0,1176.0,464.0,30672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,17.0,49.0,43.0,46.0,76.0,15.0,12.0,504.0,0.0,53.0,61.0,61.0,56.0,76.0,15.0,12.0,616.0,6204.0,20181.0,11127.0,7078.0,5678.0,3887.0,1894.0,675.0,56647.0,373.0,1062.0,621.0,382.0,374.0,220.0,130.0,37.0,3449.0,6621.0,21388.0,11848.0,7590.0,6109.0,4252.0,2071.0,779.0,60726.0,60726.0
Ringwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,18.0,66.0,65.0,168.0,179.0,158.0,1101.0,5.0,17.0,57.0,80.0,68.0,168.0,179.0,158.0,1189.0,4479.0,5166.0,5767.0,4964.0,3837.0,2769.0,1595.0,490.0,29260.0,116.0,165.0,153.0,100.0,65.0,61.0,81.0,105.0,1269.0,4639.0,5441.0,6088.0,5320.0,4062.0,3155.0,1958.0,836.0,31653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,7.0,0.0,0.0,12.0,88.0,3.0,0.0,3.0,10.0,10.0,0.0,0.0,12.0,100.0,4129.0,5331.0,6249.0,5377.0,4321.0,3570.0,2450.0,1077.0,32566.0,58.0,170.0,150.0,79.0,57.0,68.0,134.0,217.0,1327.0,4272.0,5547.0,6437.0,5562.0,4462.0,3710.0,2647.0,1319.0,34115.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,15.0,37.0,84.0,95.0,177.0,192.0,174.0,1205.0,8.0,23.0,76.0,98.0,105.0,177.0,192.0,174.0,1321.0,8564.0,10560.0,12007.0,10377.0,8175.0,6400.0,4056.0,1655.0,61846.0,225.0,397.0,360.0,229.0,159.0,202.0,301.0,342.0,2565.0,8807.0,11079.0,12649.0,10832.0,8612.0,6924.0,4664.0,2253.0,65757.0,65757.0
Ripon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,129.0,182.0,425.0,248.0,112.0,1496.0,0.0,18.0,54.0,132.0,193.0,425.0,248.0,112.0,1558.0,3260.0,3117.0,3176.0,3879.0,4445.0,4008.0,2081.0,339.0,24484.0,243.0,370.0,421.0,480.0,472.0,406.0,213.0,49.0,2987.0,3527.0,3542.0,3756.0,4636.0,5159.0,5040.0,2569.0,676.0,28981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,21.0,15.0,0.0,3.0,159.0,0.0,0.0,12.0,17.0,17.0,15.0,0.0,3.0,164.0,3097.0,3279.0,3449.0,4207.0,4741.0,4325.0,2196.0,863.0,26131.0,157.0,82.0,194.0,228.0,243.0,228.0,162.0,109.0,1865.0,3310.0,3488.0,3677.0,4564.0,5064.0,4658.0,2436.0,998.0,28250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,10.0,67.0,190.0,239.0,492.0,245.0,131.0,1756.0,3.0,19.0,79.0,195.0,257.0,492.0,245.0,131.0,1832.0,6341.0,6336.0,6638.0,8168.0,9148.0,8408.0,4249.0,1269.0,50614.0,449.0,532.0,658.0,792.0,729.0,704.0,444.0,187.0,4876.0,6915.0,7013.0,7480.0,9210.0,10267.0,9694.0,5013.0,1712.0,57242.0,57242.0
Rowville,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,11.0,38.0,36.0,151.0,105.0,84.0,751.0,0.0,18.0,17.0,49.0,48.0,151.0,105.0,84.0,785.0,4872.0,3814.0,4258.0,4568.0,4713.0,3131.0,1439.0,362.0,27230.0,63.0,85.0,64.0,48.0,29.0,28.0,34.0,28.0,739.0,4991.0,3985.0,4416.0,4766.0,4933.0,3436.0,1670.0,502.0,28788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,4.0,0.0,0.0,65.0,0.0,0.0,5.0,0.0,7.0,4.0,0.0,0.0,69.0,4381.0,3859.0,4686.0,5303.0,5214.0,3514.0,1952.0,783.0,29684.0,72.0,46.0,49.0,27.0,47.0,64.0,80.0,62.0,802.0,4494.0,3973.0,4789.0,5398.0,5309.0,3584.0,2096.0,894.0,30619.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,28.0,47.0,89.0,171.0,121.0,83.0,852.0,0.0,23.0,37.0,58.0,101.0,171.0,121.0,83.0,912.0,9264.0,7675.0,8899.0,9913.0,9906.0,6609.0,3419.0,1198.0,56973.0,175.0,194.0,180.0,154.0,171.0,129.0,157.0,76.0,1546.0,9488.0,7979.0,9166.0,10188.0,10292.0,7036.0,3774.0,1445.0,59352.0,59352.0
