district,M_0_299_DS_DS_Sept_house_pc,M_0_299_DS_DS_sd_row_tce_hs_t_pc,M_0_299_DS_DS_Flat_apart_pc,M_0_299_DS_DS_Other_dwg_pc,M_0_299_DS_ns_pc,M_0_299_Tot_pc,M_300_449_DS_Separate_hse_pc,M_300_449_DS_sd_row_tc_hse_th_pc,M_300_449_DS_Flat_apart_pc,M_300_449_DS_Other_dwg_pc,M_300_449_DS_ns_pc,M_300_449_Tot_pc,M_450_599_DS_Separate_hse_pc,M_450_599_DS_sd_row_tce_hs_th_pc,M_450_599_DS_Flat_apart_pc,M_450_599_DS_Other_dwg_pc,M_450_599_DS_ns_pc,M_450_599_Tot_pc,M_600_799_DS_Separate_hse_pc,M_600_799_DS_sd_row_tc_hs_th_pc,M_600_799_DS_Flat_apart_pc,M_600_799_DS_Other_dwg_pc,M_600_799_DS_ns_pc,M_600_799_Tot_pc,M_800_999_DS_Separate_hse_pc,M_800_999_DS_sd_row_tc_hs_th_pc,M_800_999_DS_Flat_apart_pc,M_800_999_DS_Other_dwg_pc,M_800_999_DS_ns_pc,M_800_999_Tot_pc,M_1000_1399_DS_Separate_hse_pc,M_1000_1399_DS_sd_rw_tc_h_th_pc,M_1000_1399_DS_Flat_apart_pc,M_1000_1399_DS_Other_dwg_pc,M_1000_1399_DS_ns_pc,M_1000_1399_Tot_pc,M_1400_1799_DS_Separate_hse_pc,M_1400_1799_DS_sd_rw_tc_h_th_pc,M_1400_1799_DS_Flat_apart_pc,M_1400_1799_DS_Other_dwg_pc,M_1400_1799_DS_ns_pc,M_1400_1799_Tot_pc,M_1800_2399_DS_Separate_hse_pc,M_1800_2399_DS_sd_rw_tc_h_th_pc,M_1800_2399_DS_Flat_apart_pc,M_1800_2399_DS_Other_dwg_pc,M_1800_2399_DS_ns_pc,M_1800_2399_Tot_pc,M_2400_2999_DS_Separate_hse_pc,M_2400_2999_DS_sd_rw_tc_h_th_pc,M_2400_2999_DS_Flat_apart_pc,M_2400_2999_DS_Other_dwg_pc,M_2400_2999_DS_ns_pc,M_2400_2999_Tot_pc,M_3000_3999_DS_Separate_hse_pc,M_3000_3999_DS_sd_rw_tc_h_th_pc,M_3000_3999_DS_Flt_apart_pc,M_3000_3999_DS_Other_dwg_pc,M_3000_3999_DS_ns_pc,M_3000_3999_Tot_pc,M_4000_over_DS_Separate_hse_pc,M_4000_ov_DS_sd_rw_tce_hs_th_pc,M_4000_over_DS_Flat_apart_pc,M_4000_over_DS_Other_dwg_pc,M_4000_DS_over_ns_pc,M_4000_over_Tot_pc,Mort_Rpmnt_ns_DS_Separat_hs_pc,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th_pc,Mrt_Rpmt_ns_DS_Flat_apart_pc,Mort_Rpmnt_ns_DS_Other_dwg_pc,Mort_Rpmnt_ns_DS_ns_pc,Mort_Rpmnt_ns_Total_pc,Tot_DS_Separate_hse_pc,Tot_DS_sd_row_tce_hse_thse_pc,Tot_DS_Flat_apartment_pc,Tot_DS_Other_dwg_pc,Tot_DS_ns_pc,Tot_Tot_pc
Melbourne,0.0004,0.0102,0.0316,0.0,0.0,0.0454,0.0007,0.0012,0.0037,0.0,0.0,0.0076,0.0,0.0005,0.0027,0.0,0.0,0.0032,0.0006,0.0014,0.0068,0.0,0.0,0.0108,0.0,0.0031,0.0149,0.0,0.0,0.0195,0.0008,0.0116,0.0992,0.0,0.0,0.1198,0.0034,0.0144,0.1367,0.0,0.0,0.1607,0.0051,0.0305,0.1732,0.0,0.0,0.2166,0.0043,0.0191,0.0602,0.0,0.0,0.0949,0.0074,0.0355,0.0511,0.0,0.0,0.0971,0.0113,0.0453,0.0525,0.0,0.0,0.1143,0.0024,0.0089,0.0274,0.0,0.0,0.0446,0.0466,0.2167,0.7266,0.0007,0.0006,1.0
Melton,0.0308,0.0006,0.0,0.0,0.0,0.0336,0.0097,0.0006,0.0,0.0,0.0,0.0103,0.0084,0.0,0.0,0.0,0.0,0.0095,0.0211,0.0009,0.0,0.0,0.0,0.0243,0.0394,0.0017,0.0002,0.0,0.0,0.0408,0.1557,0.0103,0.001,0.0,0.0,0.1693,0.2443,0.0056,0.0002,0.0,0.0,0.2531,0.2517,0.0017,0.0,0.0,0.0005,0.2559,0.0557,0.0,0.0,0.0,0.0,0.0559,0.0386,0.0,0.0,0.0,0.0,0.0395,0.0222,0.0,0.0,0.0,0.0,0.0228,0.0534,0.0009,0.0,0.0,0.0,0.0546,0.9623,0.0337,0.0018,0.0,0.0005,1.0
Mildura,0.0463,0.0,0.0,0.0,0.0,0.0503,0.0278,0.0,0.0004,0.0,0.0,0.0305,0.0326,0.0,0.0,0.0,0.0,0.0338,0.0741,0.0004,0.0009,0.0,0.0,0.0815,0.1013,0.0008,0.0013,0.0,0.0,0.1079,0.2475,0.0022,0.0014,0.0,0.0,0.2582,0.1517,0.0013,0.0,0.0,0.0,0.1548,0.1031,0.0005,0.0,0.0,0.0,0.106,0.0249,0.0,0.0,0.0,0.0,0.0249,0.0206,0.0,0.0,0.0,0.0,0.0211,0.0111,0.0,0.0,0.0,0.0,0.0111,0.0586,0.0008,0.0,0.0,0.0,0.0635,0.9692,0.0197,0.0068,0.0,0.0,1.0
Mill Park,0.038,0.0012,0.0,0.0,0.0,0.0408,0.0107,0.0005,0.0,0.0,0.0,0.0137,0.0067,0.0,0.0004,0.0,0.0,0.0079,0.0209,0.0003,0.0,0.0,0.0,0.0254,0.0325,0.003,0.001,0.0,0.0,0.0413,0.1136,0.0166,0.0031,0.0,0.0,0.1313,0.1536,0.0212,0.0017,0.0,0.0,0.1776,0.2276,0.0236,0.0014,0.0,0.0,0.2515,0.1019,0.0027,0.0003,0.0,0.0,0.1066,0.0564,0.0019,0.0,0.0,0.0,0.061,0.0328,0.0011,0.0,0.0,0.0,0.0374,0.0652,0.0068,0.0003,0.0,0.0,0.0738,0.885,0.1086,0.0092,0.0,0.0,1.0
Monbulk,0.0431,0.0003,0.0,0.0,0.0,0.0438,0.0133,0.0,0.0,0.0,0.0,0.0139,0.0105,0.0,0.0,0.0,0.0,0.0105,0.02,0.0,0.0,0.0,0.0,0.0202,0.0341,0.0003,0.0,0.0,0.0,0.0346,0.1208,0.0024,0.0006,0.0,0.0,0.1258,0.1409,0.0027,0.0006,0.0,0.0,0.1449,0.2325,0.0022,0.0009,0.0003,0.0,0.235,0.1352,0.0,0.0,0.0,0.0,0.1373,0.0979,0.0,0.0,0.0,0.0,0.0989,0.051,0.0,0.0,0.0,0.0,0.0511,0.0559,0.0,0.0,0.0,0.0,0.057,0.9796,0.0132,0.0026,0.0008,0.0,1.0
Mordialloc,0.0296,0.0066,0.0011,0.0,0.0,0.0396,0.006,0.0006,0.0,0.0,0.0,0.0106,0.0017,0.0003,0.0003,0.0,0.0,0.0042,0.0105,0.0015,0.0,0.0,0.0,0.0141,0.0159,0.0032,0.0024,0.0,0.0,0.0322,0.0532,0.0126,0.015,0.0,0.0,0.0842,0.0665,0.0246,0.0179,0.0,0.0,0.1121,0.1353,0.0404,0.0298,0.0,0.0,0.2068,0.1013,0.0244,0.0123,0.0,0.0,0.1452,0.1281,0.0207,0.0067,0.0,0.0,0.163,0.0857,0.0133,0.0027,0.0,0.0,0.1047,0.0402,0.0074,0.006,0.0,0.0,0.0586,0.6966,0.1807,0.115,0.0003,0.0,1.0
Mornington,0.047,0.0031,0.0,0.0,0.0,0.0519,0.0081,0.001,0.0,0.0,0.0,0.0106,0.0064,0.0,0.0,0.0,0.0,0.0079,0.0139,0.0013,0.0003,0.0,0.0,0.017,0.0237,0.0014,0.0017,0.0,0.0,0.0277,0.0754,0.004,0.003,0.0,0.0,0.0815,0.0958,0.0069,0.0046,0.0,0.0,0.1101,0.1837,0.0079,0.0051,0.0,0.0,0.2017,0.1291,0.0041,0.001,0.0,0.0,0.1354,0.1406,0.0018,0.0,0.0,0.0,0.1446,0.1238,0.0012,0.0,0.0,0.0,0.1279,0.0559,0.0008,0.0,0.0,0.0,0.0604,0.9249,0.0477,0.0227,0.0,0.0,1.0
Morwell,0.0402,0.0,0.0,0.0,0.0,0.0429,0.0274,0.0005,0.0,0.0,0.0,0.0283,0.0308,0.0,0.0004,0.0,0.0,0.0336,0.0857,0.0008,0.0008,0.0,0.0,0.0894,0.1069,0.0004,0.0007,0.0,0.0,0.1101,0.2364,0.002,0.0004,0.0,0.0,0.2447,0.1631,0.0007,0.0,0.0,0.0,0.1646,0.1083,0.0,0.0,0.0,0.0,0.1096,0.0342,0.0,0.0,0.0,0.0,0.035,0.0185,0.0,0.0,0.0,0.0,0.0185,0.0125,0.0,0.0,0.0,0.0,0.0125,0.06,0.0,0.0,0.0,0.0,0.063,0.9696,0.014,0.0083,0.0005,0.0,1.0
Mulgrave,0.0507,0.0028,0.0019,0.0,0.0,0.0611,0.0112,0.0004,0.0009,0.0,0.0,0.0129,0.0061,0.0004,0.0,0.0,0.0,0.0079,0.0152,0.0015,0.0008,0.0,0.0,0.0217,0.0236,0.0013,0.003,0.0,0.0,0.0326,0.0822,0.0119,0.0093,0.0,0.0,0.1145,0.0984,0.0179,0.0101,0.0,0.0,0.1306,0.1473,0.0359,0.0093,0.0,0.0,0.1913,0.0945,0.0169,0.0008,0.0,0.0,0.1162,0.1034,0.0086,0.0,0.0,0.0,0.1204,0.0575,0.0022,0.0005,0.0,0.0,0.0658,0.0573,0.0044,0.0016,0.0,0.0,0.0674,0.8072,0.1351,0.0539,0.0,0.0,1.0
Murray Plains,0.0494,0.0,0.0,0.0,0.0,0.0503,0.0281,0.0,0.0,0.0,0.0,0.0281,0.0243,0.0,0.0,0.0,0.0,0.0242,0.0757,0.0013,0.0,0.0,0.0,0.0782,0.1024,0.0004,0.0,0.0,0.0,0.1066,0.2345,0.0029,0.0,0.0,0.0,0.2403,0.1687,0.0009,0.0,0.0,0.0,0.1702,0.1208,0.0008,0.0,0.0,0.0,0.1218,0.0246,0.0,0.0,0.0,0.0,0.0246,0.0141,0.0,0.0,0.0,0.0,0.0145,0.0168,0.0007,0.0,0.0,0.0,0.0172,0.0588,0.0004,0.0,0.0,0.0,0.0592,0.9801,0.0104,0.0013,0.0015,0.0005,1.0
Narracan,0.033,0.0,0.0005,0.0,0.0,0.0345,0.0112,0.0002,0.0,0.0,0.0,0.012,0.0149,0.0,0.0,0.0,0.0,0.0154,0.0314,0.0003,0.0,0.0,0.0,0.0316,0.0502,0.0018,0.0008,0.0,0.0,0.052,0.1575,0.0043,0.0021,0.0,0.0,0.1668,0.217,0.0003,0.0011,0.0,0.0,0.2188,0.2102,0.0012,0.0,0.0,0.0,0.2133,0.0742,0.0,0.0,0.0,0.0,0.0744,0.0551,0.0,0.0,0.0,0.0,0.0553,0.0331,0.0,0.0,0.0,0.0,0.0346,0.0573,0.0006,0.0,0.0,0.0,0.0582,0.9766,0.0125,0.0064,0.0,0.0003,1.0
Narre Warren North,0.0474,0.0017,0.0009,0.0,0.0,0.0503,0.0105,0.0004,0.0,0.0,0.0,0.0131,0.0118,0.0003,0.0,0.0,0.0,0.0134,0.0229,0.001,0.0003,0.0,0.0,0.0263,0.0316,0.0003,0.0007,0.0,0.0,0.0341,0.1086,0.0082,0.0015,0.0,0.0,0.1265,0.1492,0.0151,0.0017,0.0,0.0,0.1665,0.2308,0.0165,0.0014,0.0,0.0,0.2576,0.0949,0.0059,0.0,0.0,0.0,0.103,0.0643,0.0029,0.0,0.0,0.0,0.0688,0.0421,0.0004,0.0,0.0,0.0,0.0433,0.0728,0.004,0.0,0.0,0.0,0.0809,0.9054,0.0872,0.0075,0.0,0.0,1.0
Narre Warren South,0.0349,0.0003,0.0,0.0,0.0,0.0362,0.0108,0.0,0.0,0.0,0.0,0.0109,0.0093,0.0,0.0,0.0,0.0,0.0085,0.0212,0.0006,0.0,0.0,0.0,0.0222,0.0293,0.0002,0.0,0.0,0.0,0.0325,0.1231,0.0043,0.0006,0.0,0.0,0.1276,0.1762,0.0129,0.0011,0.0,0.0,0.1926,0.2716,0.0109,0.0002,0.0,0.0,0.288,0.0994,0.0016,0.0,0.0,0.0,0.1023,0.0497,0.0,0.0,0.0,0.0,0.0516,0.0333,0.0,0.0,0.0,0.0,0.0343,0.0643,0.0018,0.0,0.0,0.0,0.0691,0.9504,0.0488,0.0024,0.0,0.0,1.0
Nepean,0.0505,0.0027,0.0,0.0,0.0,0.0531,0.0178,0.0007,0.0,0.0,0.0,0.0183,0.0112,0.0004,0.0,0.0,0.0,0.0142,0.0192,0.0,0.0,0.0,0.0,0.0192,0.0314,0.001,0.0,0.0,0.0,0.0342,0.1035,0.0029,0.0,0.0,0.0,0.1125,0.1369,0.0034,0.0006,0.0,0.0,0.1496,0.2031,0.0056,0.0006,0.0,0.0,0.2116,0.0986,0.0011,0.0009,0.0,0.0,0.1049,0.08,0.0026,0.0,0.0,0.0,0.0833,0.0657,0.002,0.0,0.0,0.0,0.0687,0.061,0.0014,0.0,0.0,0.0,0.0651,0.9445,0.0419,0.005,0.0006,0.0,1.0
Niddrie,0.0391,0.0057,0.0,0.0,0.0,0.0543,0.0074,0.0009,0.0,0.0,0.0,0.0133,0.0048,0.0015,0.0,0.0,0.0,0.0077,0.0116,0.0023,0.0,0.0,0.0,0.0172,0.0171,0.0026,0.0,0.0,0.0,0.0205,0.066,0.0145,0.0027,0.0,0.0,0.091,0.0792,0.0261,0.0033,0.0,0.0,0.1143,0.1394,0.0444,0.0048,0.0,0.0,0.1888,0.0954,0.0294,0.0003,0.0,0.0,0.1255,0.1079,0.0214,0.0012,0.0,0.0,0.1391,0.0853,0.015,0.0003,0.0,0.0,0.1091,0.0521,0.0115,0.0007,0.0,0.0,0.0692,0.7569,0.2158,0.0204,0.0,0.0,1.0
Northcote,0.0362,0.0051,0.0038,0.0,0.0,0.0601,0.0055,0.0014,0.0008,0.0,0.0,0.0102,0.0012,0.0014,0.0008,0.0,0.0,0.0047,0.0024,0.0013,0.0015,0.0,0.0,0.01,0.0095,0.0034,0.0047,0.0,0.0,0.0237,0.0337,0.0126,0.0325,0.0,0.0,0.0961,0.0444,0.0161,0.0439,0.0,0.0,0.11,0.0821,0.0382,0.0457,0.0,0.0,0.1767,0.0569,0.0335,0.014,0.0,0.0,0.1129,0.0943,0.0373,0.0087,0.0,0.0,0.1508,0.1317,0.0275,0.0034,0.0,0.0,0.1724,0.0299,0.0066,0.0034,0.0,0.0,0.0546,0.5646,0.235,0.203,0.0017,0.0,1.0
Oakleigh,0.0327,0.0047,0.004,0.0,0.0,0.0537,0.0023,0.0006,0.0003,0.0,0.0,0.0042,0.0034,0.001,0.0005,0.0,0.0,0.0085,0.0068,0.0018,0.0013,0.0,0.0,0.0153,0.0086,0.0028,0.0051,0.0,0.0,0.0221,0.0363,0.0151,0.0347,0.0,0.0,0.0957,0.0445,0.0172,0.0458,0.0,0.0,0.1132,0.0821,0.0497,0.051,0.0006,0.0,0.1893,0.0633,0.0371,0.0141,0.0,0.0,0.1214,0.0948,0.033,0.0106,0.0,0.0,0.1496,0.0847,0.0188,0.0016,0.0,0.0,0.12,0.0347,0.0068,0.0064,0.0,0.0,0.0563,0.5517,0.2418,0.2012,0.0,0.0,1.0
Ovens Valley,0.0428,0.0,0.0,0.0,0.0,0.0451,0.0188,0.0,0.0,0.0,0.0,0.0205,0.0222,0.0,0.0,0.0,0.0,0.0238,0.0541,0.0007,0.0,0.0,0.0,0.0567,0.08,0.0017,0.0005,0.0,0.0,0.0879,0.2218,0.0038,0.0,0.0,0.0,0.2309,0.1915,0.0005,0.0,0.0,0.0,0.193,0.1401,0.0,0.0,0.0,0.0,0.1431,0.0379,0.0,0.0,0.0,0.0,0.0399,0.0297,0.0,0.0,0.0,0.0,0.03,0.0217,0.0,0.0,0.0,0.0,0.0233,0.058,0.0,0.0,0.0,0.0,0.0606,0.9689,0.0155,0.0014,0.0012,0.0004,1.0
Pakenham,0.0229,0.0002,0.0,0.0,0.0,0.024,0.0058,0.0013,0.0,0.0,0.0,0.0078,0.0062,0.0005,0.0,0.0,0.0,0.0078,0.0132,0.0,0.0,0.0,0.0,0.0145,0.0251,0.001,0.0,0.0,0.0,0.0263,0.1146,0.0087,0.0,0.0,0.0,0.1282,0.209,0.0119,0.0002,0.0,0.0,0.224,0.3074,0.0058,0.0,0.0,0.0,0.3133,0.1,0.0005,0.0,0.0,0.0,0.1007,0.0514,0.0,0.0,0.0,0.0,0.0529,0.0293,0.0,0.0,0.0,0.0,0.0297,0.0525,0.001,0.0,0.0,0.0,0.0544,0.9516,0.0457,0.0009,0.0,0.0,1.0
Pascoe Vale,0.0304,0.0073,0.0015,0.0,0.0,0.0433,0.0056,0.0004,0.0004,0.0,0.0,0.0083,0.0026,0.0003,0.0006,0.0,0.0,0.0039,0.0087,0.0038,0.0008,0.0,0.0,0.0176,0.0148,0.0023,0.0026,0.0,0.0,0.0246,0.0502,0.0183,0.0142,0.0,0.0,0.0942,0.0576,0.0345,0.0248,0.0,0.0,0.1224,0.1146,0.073,0.0158,0.0004,0.0,0.2119,0.0873,0.0355,0.0016,0.0,0.0,0.1362,0.1212,0.0239,0.0019,0.0,0.0,0.1508,0.0755,0.009,0.0004,0.0,0.0,0.0878,0.0368,0.0111,0.0025,0.0,0.0,0.0613,0.6385,0.2655,0.0894,0.0008,0.0003,1.0
Point Cook,0.0357,0.0014,0.0,0.0,0.0,0.0376,0.0043,0.0006,0.0002,0.0,0.0,0.0064,0.0041,0.0,0.0,0.0,0.0,0.0061,0.0129,0.0002,0.0,0.0,0.0,0.0139,0.0171,0.0008,0.0002,0.0,0.0,0.022,0.074,0.0066,0.0027,0.0,0.0,0.0879,0.1204,0.0123,0.0047,0.0,0.0,0.1428,0.2629,0.018,0.0019,0.0,0.0,0.289,0.1396,0.0067,0.0002,0.0,0.0,0.1481,0.0892,0.0025,0.0003,0.0,0.0,0.0949,0.0459,0.0016,0.0,0.0,0.0,0.0501,0.0618,0.0011,0.0007,0.0,0.0,0.065,0.9048,0.0806,0.0179,0.0,0.0,1.0
Polwarth,0.0473,0.001,0.0,0.0,0.0,0.0484,0.0206,0.0004,0.0,0.0,0.0,0.0221,0.0165,0.0,0.0,0.0,0.0,0.0176,0.0377,0.0007,0.0,0.0,0.0,0.0397,0.0597,0.0008,0.0,0.0,0.0,0.0626,0.1502,0.0004,0.0,0.0,0.0,0.1548,0.1444,0.0007,0.0,0.0,0.0,0.1482,0.1612,0.0031,0.0,0.0,0.0,0.1656,0.0937,0.0013,0.0,0.0,0.0,0.0971,0.0779,0.0016,0.0,0.0,0.0,0.0817,0.0564,0.0003,0.0,0.0,0.0,0.0582,0.0639,0.0,0.0,0.0,0.0,0.0658,0.9726,0.0213,0.0009,0.0003,0.0008,1.0
Prahran,0.0052,0.0045,0.0267,0.0,0.0,0.0472,0.0009,0.0,0.0029,0.0,0.0,0.0051,0.0,0.0,0.0024,0.0,0.0,0.0046,0.0004,0.0,0.007,0.0,0.0,0.0098,0.0,0.0,0.0172,0.0,0.0,0.0196,0.0028,0.0031,0.0942,0.0011,0.0,0.1112,0.0023,0.0073,0.1376,0.0,0.0,0.1501,0.0064,0.0133,0.1756,0.0,0.0,0.2047,0.0042,0.0087,0.0695,0.0,0.0,0.0893,0.0175,0.0251,0.0621,0.0,0.0,0.11,0.0418,0.0585,0.0516,0.0,0.0,0.1595,0.0031,0.0094,0.0374,0.0,0.0,0.0576,0.1086,0.1604,0.7283,0.0036,0.0,1.0
Preston,0.0257,0.006,0.0007,0.0,0.0,0.0411,0.0068,0.0008,0.0004,0.0,0.0,0.0104,0.0037,0.0,0.0004,0.0,0.0,0.0068,0.0133,0.0031,0.0005,0.0,0.0,0.0214,0.0139,0.0067,0.002,0.0,0.0,0.0332,0.0593,0.0324,0.0095,0.0,0.0,0.1099,0.0694,0.0511,0.0118,0.0,0.0,0.1451,0.1227,0.0875,0.0113,0.0005,0.0,0.2223,0.0921,0.0337,0.0007,0.0,0.0,0.132,0.0959,0.0131,0.0007,0.0,0.0,0.1221,0.0503,0.0049,0.0,0.0,0.0,0.0618,0.0462,0.0113,0.001,0.0,0.0,0.0637,0.6499,0.3018,0.0545,0.0029,0.0,1.0
Richmond,0.0067,0.0139,0.01,0.0,0.0,0.0404,0.0011,0.0009,0.0009,0.0,0.0,0.0029,0.0004,0.0,0.002,0.0,0.0,0.0032,0.0005,0.0011,0.0054,0.0,0.0,0.0111,0.0015,0.004,0.0071,0.0,0.0,0.0163,0.0062,0.0215,0.0558,0.0004,0.0,0.0912,0.0057,0.0181,0.0798,0.0007,0.0,0.1181,0.0136,0.04,0.1147,0.0019,0.0,0.1822,0.012,0.0333,0.0592,0.0015,0.0,0.1168,0.0194,0.0766,0.0515,0.0008,0.0,0.1569,0.0511,0.0948,0.0316,0.0007,0.0,0.1845,0.0029,0.0173,0.0169,0.0,0.0,0.0485,0.1545,0.3686,0.4769,0.0069,0.0001,1.0
Ringwood,0.04,0.003,0.0005,0.0,0.0,0.0524,0.0068,0.0006,0.0,0.0,0.0,0.0094,0.0059,0.0007,0.0,0.0,0.0,0.0089,0.0123,0.002,0.0004,0.0,0.0,0.016,0.0194,0.0021,0.0019,0.0,0.0,0.0245,0.0633,0.0136,0.0089,0.0,0.0,0.0895,0.0892,0.0176,0.0112,0.0,0.0,0.1267,0.1595,0.0285,0.0091,0.0,0.0,0.2033,0.1086,0.0242,0.0017,0.0,0.0,0.1386,0.1322,0.0167,0.0016,0.0,0.0,0.1502,0.0816,0.0051,0.0006,0.0,0.0,0.0898,0.0427,0.0064,0.0019,0.0,0.0,0.0556,0.7988,0.1491,0.0445,0.0,0.0,1.0
