district,Tot_P_M_pc,Tot_P_F_pc,Tot_P_P_pc,Age_0_4_yr_M_pc,Age_0_4_yr_F_pc,Age_0_4_yr_P_pc,Age_5_14_yr_M_pc,Age_5_14_yr_F_pc,Age_5_14_yr_P_pc,Age_15_19_yr_M_pc,Age_15_19_yr_F_pc,Age_15_19_yr_P_pc,Age_20_24_yr_M_pc,Age_20_24_yr_F_pc,Age_20_24_yr_P_pc,Age_25_34_yr_M_pc,Age_25_34_yr_F_pc,Age_25_34_yr_P_pc,Age_35_44_yr_M_pc,Age_35_44_yr_F_pc,Age_35_44_yr_P_pc,Age_45_54_yr_M_pc,Age_45_54_yr_F_pc,Age_45_54_yr_P_pc,Age_55_64_yr_M_pc,Age_55_64_yr_F_pc,Age_55_64_yr_P_pc,Age_65_74_yr_M_pc,Age_65_74_yr_F_pc,Age_65_74_yr_P_pc,Age_75_84_yr_M_pc,Age_75_84_yr_F_pc,Age_75_84_yr_P_pc,Age_85ov_M_pc,Age_85ov_F_pc,Age_85ov_P_pc,Counted_Census_Night_home_M_pc,Counted_Census_Night_home_F_pc,Counted_Census_Night_home_P_pc,Count_Census_Nt_Ewhere_Aust_M_pc,Count_Census_Nt_Ewhere_Aust_F_pc,Count_Census_Nt_Ewhere_Aust_P_pc,Indigenous_psns_Aboriginal_M_pc,Indigenous_psns_Aboriginal_F_pc,Indigenous_psns_Aboriginal_P_pc,Indig_psns_Torres_Strait_Is_M_pc,Indig_psns_Torres_Strait_Is_F_pc,Indig_psns_Torres_Strait_Is_P_pc,Indig_Bth_Abor_Torres_St_Is_M_pc,Indig_Bth_Abor_Torres_St_Is_F_pc,Indig_Bth_Abor_Torres_St_Is_P_pc,Indigenous_P_Tot_M_pc,Indigenous_P_Tot_F_pc,Indigenous_P_Tot_P_pc,Birthplace_Australia_M_pc,Birthplace_Australia_F_pc,Birthplace_Australia_P_pc,Birthplace_Elsewhere_M_pc,Birthplace_Elsewhere_F_pc,Birthplace_Elsewhere_P_pc,Lang_used_home_Eng_only_M_pc,Lang_used_home_Eng_only_F_pc,Lang_used_home_Eng_only_P_pc,Lang_used_home_Oth_Lang_M_pc,Lang_used_home_Oth_Lang_F_pc,Lang_used_home_Oth_Lang_P_pc,Australian_citizen_M_pc,Australian_citizen_F_pc,Australian_citizen_P_pc,Age_psns_att_educ_inst_0_4_M_pc,Age_psns_att_educ_inst_0_4_F_pc,Age_psns_att_educ_inst_0_4_P_pc,Age_psns_att_educ_inst_5_14_M_pc,Age_psns_att_educ_inst_5_14_F_pc,Age_psns_att_educ_inst_5_14_P_pc,Age_psns_att_edu_inst_15_19_M_pc,Age_psns_att_edu_inst_15_19_F_pc,Age_psns_att_edu_inst_15_19_P_pc,Age_psns_att_edu_inst_20_24_M_pc,Age_psns_att_edu_inst_20_24_F_pc,Age_psns_att_edu_inst_20_24_P_pc,Age_psns_att_edu_inst_25_ov_M_pc,Age_psns_att_edu_inst_25_ov_F_pc,Age_psns_att_edu_inst_25_ov_P_pc,High_yr_schl_comp_Yr_12_eq_M_pc,High_yr_schl_comp_Yr_12_eq_F_pc,High_yr_schl_comp_Yr_12_eq_P_pc,High_yr_schl_comp_Yr_11_eq_M_pc,High_yr_schl_comp_Yr_11_eq_F_pc,High_yr_schl_comp_Yr_11_eq_P_pc,High_yr_schl_comp_Yr_10_eq_M_pc,High_yr_schl_comp_Yr_10_eq_F_pc,High_yr_schl_comp_Yr_10_eq_P_pc,High_yr_schl_comp_Yr_9_eq_M_pc,High_yr_schl_comp_Yr_9_eq_F_pc,High_yr_schl_comp_Yr_9_eq_P_pc,High_yr_schl_comp_Yr_8_belw_M_pc,High_yr_schl_comp_Yr_8_belw_F_pc,High_yr_schl_comp_Yr_8_belw_P_pc,High_yr_schl_comp_D_n_g_sch_M_pc,High_yr_schl_comp_D_n_g_sch_F_pc,High_yr_schl_comp_D_n_g_sch_P_pc,Count_psns_occ_priv_dwgs_M_pc,Count_psns_occ_priv_dwgs_F_pc,Count_psns_occ_priv_dwgs_P_pc,Count_Persons_other_dwgs_M_pc,Count_Persons_other_dwgs_F_pc,Count_Persons_other_dwgs_P_pc,Tot_P_P_total
Gippsland South,0.5004,0.4992,1.0,0.0258,0.0241,0.049,0.0611,0.0555,0.1169,0.0281,0.027,0.0541,0.0231,0.0193,0.043,0.0522,0.0494,0.1009,0.0547,0.0538,0.1095,0.0613,0.0662,0.1263,0.0744,0.08,0.1547,0.0749,0.0736,0.1476,0.0356,0.0368,0.0725,0.0097,0.0143,0.0243,0.4743,0.4769,0.9501,0.0269,0.0227,0.0495,0.0074,0.0071,0.0149,0.0002,0.0002,0.0005,0.0001,0.0,0.0003,0.0081,0.0077,0.0163,0.4052,0.4008,0.8059,0.0573,0.0603,0.1174,0.4356,0.4429,0.8783,0.018,0.0223,0.0415,0.4379,0.4457,0.8832,0.0065,0.0057,0.0138,0.0562,0.0518,0.1069,0.0186,0.0193,0.0385,0.0036,0.0054,0.01,0.0063,0.0179,0.0252,0.1439,0.1891,0.3335,0.0725,0.0703,0.142,0.0973,0.0739,0.1717,0.0389,0.0304,0.0684,0.0234,0.0206,0.0437,0.0005,0.0011,0.0023,0.4403,0.4556,0.8962,0.0557,0.0409,0.0957,65810.0
Glen Waverley,0.4881,0.51,1.0,0.0205,0.019,0.0399,0.0645,0.0608,0.1242,0.0335,0.0308,0.0646,0.036,0.0294,0.0654,0.055,0.0512,0.1059,0.0615,0.0704,0.1319,0.0642,0.0714,0.1356,0.0566,0.0606,0.1165,0.0479,0.0565,0.1036,0.0355,0.042,0.0769,0.0138,0.0198,0.034,0.4785,0.5002,0.9788,0.0089,0.0104,0.0202,0.0005,0.0008,0.0019,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0005,0.0008,0.0021,0.2272,0.2264,0.4537,0.2461,0.2692,0.5149,0.2182,0.2191,0.4371,0.2537,0.273,0.5261,0.3722,0.3834,0.7545,0.0078,0.0074,0.0164,0.0618,0.058,0.1197,0.0309,0.0282,0.0596,0.0221,0.0184,0.0395,0.0192,0.0242,0.0436,0.2871,0.2983,0.586,0.033,0.0347,0.0673,0.033,0.0377,0.0709,0.0159,0.0172,0.0346,0.0136,0.0184,0.0314,0.0029,0.0056,0.0094,0.4676,0.4852,0.9531,0.0202,0.0245,0.045,82465.0
Greenvale,0.4967,0.5034,1.0,0.0349,0.0321,0.0665,0.0755,0.0719,0.1482,0.0381,0.0371,0.0734,0.0391,0.0384,0.0777,0.0717,0.072,0.1431,0.0646,0.0697,0.1338,0.0629,0.0707,0.1339,0.0607,0.0591,0.1185,0.0323,0.034,0.0666,0.014,0.0141,0.0286,0.0023,0.0034,0.0067,0.4889,0.4955,0.9835,0.0078,0.0073,0.0153,0.0022,0.0023,0.0055,0.0,0.0001,0.0002,0.0,0.0,0.0002,0.0024,0.0026,0.0059,0.2666,0.2699,0.5371,0.2069,0.2104,0.4173,0.19,0.1885,0.3791,0.2782,0.2852,0.5637,0.4113,0.4208,0.8327,0.0089,0.0084,0.0179,0.0694,0.0668,0.1359,0.0299,0.0314,0.0611,0.0155,0.018,0.034,0.0159,0.0253,0.0414,0.2102,0.2263,0.4364,0.0402,0.0367,0.0779,0.0494,0.0409,0.0891,0.025,0.0222,0.0478,0.0292,0.0333,0.0612,0.0111,0.0176,0.0289,0.4745,0.4818,0.9559,0.0206,0.0205,0.0419,76831.0
Hastings,0.4899,0.5098,1.0,0.0309,0.0285,0.0595,0.0642,0.0612,0.1259,0.0333,0.0294,0.062,0.0314,0.0257,0.0571,0.0613,0.0637,0.1238,0.0603,0.0646,0.1251,0.0607,0.0689,0.1294,0.0618,0.0692,0.1308,0.0514,0.0568,0.1084,0.0278,0.0315,0.06,0.0076,0.011,0.0193,0.4715,0.4936,0.9651,0.0187,0.0165,0.0346,0.0059,0.0055,0.0117,0.0002,0.0002,0.0004,0.0001,0.0002,0.0003,0.0066,0.0064,0.0129,0.3951,0.4071,0.8031,0.0732,0.0805,0.1533,0.4479,0.4645,0.9118,0.0211,0.0248,0.0446,0.4462,0.4628,0.9088,0.0095,0.0095,0.0189,0.0604,0.0579,0.1187,0.0242,0.0214,0.0456,0.0089,0.0086,0.018,0.0094,0.0197,0.0289,0.1738,0.2227,0.3961,0.0663,0.0612,0.1267,0.0855,0.0679,0.153,0.0318,0.0288,0.0607,0.0165,0.0176,0.034,0.0012,0.0009,0.0027,0.4532,0.4796,0.9331,0.0336,0.0267,0.0604,66565.0
Hawthorn,0.4759,0.5239,1.0,0.0194,0.0195,0.0392,0.0544,0.0517,0.1061,0.0325,0.0326,0.0649,0.0394,0.041,0.0808,0.0788,0.0827,0.1592,0.0611,0.0673,0.1278,0.0612,0.0701,0.1314,0.0533,0.059,0.1126,0.042,0.0502,0.0919,0.0251,0.0316,0.0574,0.01,0.018,0.0285,0.4574,0.5039,0.9616,0.0185,0.0196,0.0377,0.0008,0.0008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0008,0.0022,0.325,0.349,0.674,0.1351,0.1599,0.2945,0.3563,0.3818,0.7381,0.1034,0.1257,0.2289,0.403,0.4409,0.8438,0.0071,0.0065,0.0139,0.0522,0.0497,0.1027,0.0306,0.0306,0.0604,0.0253,0.0257,0.0509,0.0236,0.0303,0.0539,0.3217,0.3595,0.6804,0.0257,0.0298,0.0549,0.0205,0.023,0.0434,0.0093,0.0109,0.0209,0.0065,0.0092,0.0159,0.0007,0.0014,0.0025,0.4424,0.4846,0.9276,0.0239,0.0289,0.0532,70669.0
Ivanhoe,0.4843,0.5152,1.0,0.0271,0.0263,0.0528,0.0588,0.0589,0.1189,0.0281,0.0261,0.0549,0.0298,0.0301,0.0596,0.0683,0.0713,0.1397,0.0704,0.0734,0.1432,0.0637,0.0679,0.1324,0.057,0.0619,0.1194,0.0436,0.0488,0.0921,0.0254,0.0314,0.0557,0.0112,0.019,0.0301,0.4713,0.5014,0.9719,0.0141,0.0142,0.0286,0.0028,0.0023,0.006,0.0001,0.0,0.0002,0.0001,0.0,0.0001,0.0031,0.0024,0.0063,0.3384,0.3548,0.6924,0.1287,0.1435,0.2721,0.3492,0.3617,0.7113,0.1175,0.1351,0.2529,0.4219,0.4465,0.8688,0.0082,0.0085,0.0186,0.0569,0.0573,0.114,0.0243,0.0233,0.0477,0.0144,0.0175,0.0308,0.0193,0.0272,0.0463,0.2782,0.3029,0.5802,0.0357,0.0336,0.0702,0.0329,0.0346,0.0677,0.0159,0.0163,0.0327,0.0137,0.0204,0.0336,0.0026,0.0039,0.0075,0.4539,0.4866,0.9417,0.032,0.0307,0.0631,66215.0
Kalkallo,0.5032,0.4971,1.0,0.0519,0.0496,0.1014,0.0859,0.0802,0.166,0.0293,0.0278,0.056,0.033,0.0295,0.0625,0.0907,0.1016,0.1925,0.0951,0.0896,0.1845,0.0511,0.0503,0.1004,0.0365,0.038,0.0738,0.0205,0.0215,0.0422,0.0068,0.0078,0.0149,0.0011,0.0019,0.0034,0.4954,0.4901,0.9852,0.0069,0.007,0.0145,0.0035,0.0036,0.0082,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0037,0.0038,0.0085,0.2587,0.2587,0.5165,0.221,0.2165,0.4378,0.2081,0.2062,0.415,0.2658,0.2619,0.5269,0.3773,0.3719,0.7486,0.0135,0.0124,0.0254,0.0798,0.0743,0.1539,0.022,0.023,0.0453,0.0128,0.0127,0.0257,0.0196,0.0318,0.0508,0.2162,0.2327,0.449,0.034,0.0316,0.065,0.0474,0.0368,0.0851,0.0216,0.0185,0.0395,0.0174,0.0181,0.0352,0.0068,0.0101,0.0172,0.4798,0.4757,0.9562,0.0205,0.0201,0.0404,95542.0
Kew,0.4811,0.521,1.0,0.019,0.0176,0.0371,0.0649,0.0625,0.1269,0.0397,0.0367,0.0769,0.0362,0.0333,0.0685,0.0526,0.0521,0.104,0.0512,0.0629,0.1143,0.0675,0.0795,0.1472,0.0634,0.0681,0.131,0.0463,0.0527,0.0979,0.0274,0.0348,0.0624,0.0122,0.0212,0.0331,0.4651,0.504,0.9684,0.0156,0.0163,0.0318,0.0009,0.0007,0.0021,0.0001,0.0,0.0001,0.0,0.0,0.0,0.001,0.0007,0.0022,0.2964,0.3037,0.5997,0.171,0.2022,0.3727,0.2977,0.3069,0.6055,0.1684,0.198,0.3669,0.4031,0.427,0.8303,0.0074,0.0067,0.0138,0.0628,0.0598,0.1224,0.0373,0.035,0.0726,0.0232,0.0215,0.0443,0.0174,0.0234,0.0411,0.3093,0.3373,0.6469,0.0258,0.0304,0.0566,0.0225,0.0263,0.0491,0.012,0.0129,0.0256,0.0086,0.0136,0.0234,0.0017,0.0029,0.0059,0.4555,0.4927,0.9487,0.0194,0.0219,0.041,73900.0
Kororoit,0.5083,0.4923,1.0,0.0364,0.0355,0.0712,0.0786,0.0751,0.1543,0.0317,0.03,0.0617,0.0338,0.0282,0.0633,0.0808,0.0772,0.1571,0.0891,0.0855,0.1754,0.0632,0.0628,0.1272,0.044,0.0444,0.0881,0.0318,0.0354,0.0681,0.0142,0.0145,0.0285,0.0025,0.0035,0.0067,0.5008,0.4847,0.9844,0.0076,0.0073,0.0154,0.0045,0.0019,0.007,0.0001,0.0,0.0001,0.0,0.0001,0.0002,0.0047,0.0021,0.0074,0.2488,0.2288,0.4769,0.2359,0.2405,0.4763,0.1864,0.1773,0.3633,0.2719,0.283,0.5554,0.3827,0.3824,0.7655,0.0097,0.0093,0.0191,0.0733,0.0695,0.1426,0.0248,0.0255,0.0508,0.0134,0.0137,0.0273,0.0166,0.0239,0.0406,0.2249,0.2341,0.4583,0.0324,0.0284,0.0608,0.0579,0.0385,0.0968,0.0173,0.018,0.0351,0.0214,0.0261,0.0486,0.0092,0.0129,0.0215,0.464,0.4665,0.929,0.0442,0.025,0.0686,87228.0
Lara,0.4974,0.5034,1.0,0.0294,0.0287,0.0569,0.0601,0.0593,0.1186,0.0311,0.0295,0.061,0.0332,0.0306,0.0638,0.0794,0.0736,0.1527,0.063,0.0633,0.1263,0.063,0.0641,0.1265,0.0575,0.0589,0.1156,0.0456,0.0521,0.0985,0.0248,0.0299,0.0557,0.009,0.0135,0.0232,0.4816,0.4873,0.9686,0.0145,0.0149,0.0306,0.0088,0.0097,0.0189,0.0003,0.0001,0.0005,0.0001,0.0002,0.0003,0.0099,0.01,0.0198,0.3559,0.3592,0.7147,0.1125,0.113,0.2256,0.3585,0.3754,0.734,0.0934,0.0967,0.1912,0.4087,0.4319,0.8406,0.0077,0.0078,0.0151,0.0548,0.0545,0.1092,0.0229,0.0231,0.0456,0.0092,0.012,0.0205,0.0127,0.0218,0.0349,0.1663,0.1961,0.3625,0.0602,0.0546,0.1155,0.0836,0.0665,0.1504,0.0321,0.0323,0.0639,0.0267,0.0314,0.0583,0.0058,0.0067,0.0133,0.447,0.4646,0.9113,0.0467,0.0332,0.0809,70442.0
Laverton,0.5202,0.4798,1.0,0.0435,0.041,0.0842,0.0704,0.0649,0.1353,0.0232,0.0228,0.0457,0.039,0.0292,0.0687,0.1109,0.0987,0.2094,0.1016,0.0868,0.1888,0.0519,0.0477,0.1001,0.0369,0.0379,0.0746,0.0257,0.0295,0.055,0.0129,0.0153,0.0283,0.0037,0.0066,0.0108,0.5106,0.4717,0.9828,0.0091,0.0077,0.0176,0.003,0.0017,0.0054,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0032,0.002,0.0059,0.2068,0.1891,0.3969,0.2807,0.2627,0.5438,0.1595,0.1469,0.3064,0.3142,0.3016,0.6162,0.3431,0.3344,0.6783,0.0102,0.0096,0.021,0.0638,0.0586,0.1232,0.0175,0.019,0.0365,0.0181,0.0153,0.033,0.0285,0.0306,0.0601,0.2642,0.2432,0.5074,0.0256,0.0224,0.0475,0.0411,0.0299,0.0706,0.015,0.0154,0.0303,0.0178,0.0233,0.0423,0.0089,0.0116,0.0214,0.4798,0.4524,0.9327,0.0407,0.0256,0.0664,94165.0
Lowan,0.4958,0.5034,1.0,0.0264,0.0268,0.0524,0.0603,0.0549,0.1147,0.0285,0.0253,0.0531,0.0247,0.0221,0.0473,0.0545,0.0536,0.1071,0.0495,0.0524,0.1006,0.058,0.0625,0.1204,0.0755,0.076,0.1508,0.0687,0.0679,0.1353,0.0378,0.0428,0.0796,0.0122,0.0205,0.0343,0.4715,0.4832,0.9548,0.0236,0.0203,0.0438,0.0079,0.008,0.0176,0.0002,0.0,0.0004,0.0001,0.0002,0.0004,0.0088,0.0084,0.0184,0.4206,0.4242,0.8453,0.0377,0.0436,0.0796,0.4411,0.4493,0.8912,0.0198,0.021,0.0416,0.4457,0.4526,0.8984,0.0066,0.0068,0.0146,0.0554,0.0512,0.105,0.0188,0.0184,0.0374,0.0033,0.0043,0.0088,0.0065,0.0157,0.0222,0.1426,0.1794,0.3224,0.0783,0.075,0.1532,0.0835,0.0718,0.1551,0.0389,0.0316,0.0705,0.0283,0.025,0.053,0.0015,0.0014,0.0034,0.4503,0.46,0.9114,0.0421,0.0415,0.0833,68431.0
Macedon,0.493,0.5079,1.0,0.0263,0.0263,0.0524,0.0685,0.0655,0.1343,0.0315,0.0282,0.0593,0.0208,0.0179,0.0389,0.041,0.0428,0.0845,0.0586,0.0662,0.1259,0.0733,0.0794,0.1539,0.0721,0.0744,0.1465,0.0626,0.0648,0.1268,0.0319,0.0299,0.0613,0.0072,0.0108,0.0174,0.4723,0.4881,0.9605,0.0207,0.0187,0.0389,0.0048,0.0034,0.0083,0.0002,0.0001,0.0001,0.0,0.0001,0.0001,0.0051,0.0036,0.0089,0.3961,0.4099,0.8061,0.0682,0.068,0.1357,0.4434,0.4541,0.8979,0.0221,0.0254,0.0484,0.4462,0.4602,0.906,0.0077,0.0069,0.0164,0.0635,0.0624,0.1257,0.0245,0.0231,0.0475,0.0063,0.0068,0.0142,0.0101,0.02,0.0299,0.2057,0.2501,0.4553,0.0584,0.0526,0.1116,0.065,0.0503,0.1154,0.0271,0.0215,0.0491,0.0146,0.0132,0.0288,0.0004,0.0005,0.0013,0.4557,0.4708,0.9262,0.0309,0.0326,0.0635,64319.0
Malvern,0.4733,0.5275,1.0,0.0215,0.0203,0.0425,0.0501,0.049,0.0993,0.0273,0.0291,0.0555,0.0346,0.0376,0.0724,0.0755,0.0796,0.155,0.0603,0.0658,0.1262,0.0624,0.0712,0.1328,0.0528,0.062,0.1145,0.0451,0.0554,0.1016,0.0318,0.0379,0.0696,0.0119,0.0203,0.0318,0.4515,0.5023,0.9547,0.0224,0.0249,0.0459,0.0005,0.0007,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0007,0.002,0.3227,0.3532,0.6752,0.1329,0.1547,0.2872,0.3577,0.3905,0.7477,0.097,0.1173,0.2145,0.4019,0.4481,0.8503,0.008,0.006,0.0147,0.0482,0.047,0.0954,0.025,0.0269,0.0515,0.0216,0.0231,0.0453,0.0197,0.0272,0.0468,0.3199,0.3582,0.6785,0.0244,0.0322,0.057,0.0198,0.0241,0.0442,0.0088,0.0103,0.0194,0.007,0.0101,0.0177,0.0008,0.0022,0.0034,0.4405,0.4898,0.9299,0.024,0.0283,0.0534,64134.0
Melbourne,0.4967,0.5038,1.0,0.0141,0.0137,0.028,0.0196,0.0187,0.0394,0.0206,0.0257,0.0469,0.0871,0.0982,0.1849,0.1767,0.1753,0.3513,0.079,0.0694,0.1485,0.0387,0.0372,0.0756,0.0286,0.0298,0.0579,0.0197,0.0204,0.0402,0.0087,0.0088,0.0181,0.0022,0.0042,0.0075,0.4781,0.4838,0.9627,0.0183,0.0201,0.038,0.0025,0.0017,0.0042,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0026,0.0018,0.0047,0.1953,0.1799,0.3744,0.2633,0.2863,0.5495,0.235,0.2128,0.4475,0.2204,0.2521,0.4732,0.266,0.2568,0.5232,0.0028,0.0026,0.0066,0.0176,0.017,0.0353,0.0169,0.0221,0.0403,0.0571,0.0652,0.1223,0.0577,0.0693,0.1269,0.3717,0.383,0.7548,0.0201,0.0182,0.0382,0.0168,0.0142,0.0312,0.0057,0.0051,0.0114,0.004,0.0056,0.0102,0.0025,0.0041,0.0073,0.4223,0.4295,0.8514,0.0923,0.0853,0.1776,118383.0
Melton,0.4921,0.5072,1.0,0.0454,0.0448,0.0897,0.0828,0.0813,0.1628,0.0293,0.0284,0.0576,0.0307,0.0293,0.0599,0.0779,0.0871,0.1649,0.0801,0.0801,0.159,0.0552,0.0553,0.1108,0.0418,0.0452,0.0864,0.0342,0.0374,0.0707,0.0141,0.0143,0.0286,0.0022,0.004,0.0071,0.4819,0.4979,0.9798,0.0103,0.01,0.0206,0.0069,0.008,0.0152,0.0001,0.0,0.0002,0.0001,0.0002,0.0003,0.0074,0.0083,0.0158,0.3081,0.317,0.6252,0.1536,0.1586,0.3113,0.3068,0.3169,0.6241,0.1511,0.1556,0.3071,0.3949,0.4031,0.7974,0.0102,0.012,0.0227,0.075,0.0731,0.1469,0.021,0.0227,0.043,0.0081,0.0097,0.0187,0.0117,0.0246,0.0371,0.1748,0.201,0.3766,0.0465,0.0445,0.0921,0.0664,0.0583,0.1242,0.0276,0.0255,0.0532,0.0177,0.0193,0.0373,0.004,0.0057,0.0104,0.4618,0.4746,0.9359,0.0296,0.031,0.0603,82823.0
Mildura,0.4978,0.5025,1.0,0.0278,0.0274,0.0564,0.0638,0.0605,0.1248,0.0291,0.0264,0.0557,0.0283,0.0249,0.0537,0.0645,0.0655,0.1305,0.0574,0.0588,0.1166,0.0604,0.0626,0.1233,0.0674,0.068,0.1349,0.057,0.0561,0.1124,0.0295,0.033,0.064,0.0104,0.0182,0.0285,0.4756,0.4839,0.9591,0.0232,0.0182,0.0408,0.019,0.0213,0.0411,0.0004,0.0002,0.0008,0.0003,0.0006,0.0012,0.0204,0.0224,0.0435,0.3802,0.3913,0.7713,0.072,0.0702,0.1422,0.3877,0.4009,0.7893,0.0673,0.0622,0.1299,0.4115,0.4236,0.8345,0.0076,0.0066,0.0157,0.0561,0.0547,0.1114,0.0187,0.0196,0.0378,0.0046,0.0049,0.0114,0.0088,0.0177,0.0277,0.1396,0.1712,0.3101,0.0622,0.0594,0.1217,0.0846,0.0736,0.1575,0.0383,0.0346,0.0729,0.0311,0.0301,0.0607,0.0057,0.005,0.0114,0.4491,0.4547,0.9033,0.0499,0.0482,0.0979,69748.0
Mill Park,0.4946,0.5058,1.0,0.0316,0.0294,0.061,0.0662,0.0626,0.1286,0.0329,0.0302,0.0624,0.0347,0.0308,0.0666,0.0736,0.0729,0.1469,0.0719,0.0721,0.145,0.0638,0.0703,0.134,0.0585,0.065,0.123,0.0387,0.0407,0.079,0.0167,0.0198,0.0369,0.0052,0.0105,0.0163,0.4855,0.4968,0.9826,0.0081,0.0084,0.0175,0.0036,0.004,0.0093,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0036,0.0041,0.0095,0.3009,0.3063,0.6071,0.1742,0.1783,0.3524,0.264,0.2649,0.53,0.2066,0.2145,0.4214,0.4178,0.4259,0.8433,0.009,0.009,0.018,0.0628,0.0589,0.1213,0.0265,0.0262,0.0523,0.0132,0.0145,0.0284,0.0159,0.0244,0.0412,0.2294,0.2493,0.4789,0.0459,0.0429,0.0887,0.0525,0.0448,0.0984,0.0224,0.021,0.0427,0.0203,0.0253,0.0451,0.0053,0.0063,0.0121,0.4727,0.4793,0.9523,0.0187,0.0235,0.0427,68727.0
Monbulk,0.5011,0.4992,1.0,0.0279,0.0266,0.054,0.0677,0.0617,0.1301,0.0338,0.0289,0.063,0.0276,0.0236,0.0516,0.0533,0.054,0.1065,0.0655,0.0702,0.1351,0.0746,0.0775,0.1526,0.0678,0.0709,0.139,0.0525,0.0531,0.1061,0.0233,0.023,0.0462,0.0051,0.0078,0.0138,0.4839,0.4828,0.9662,0.0179,0.0167,0.0343,0.003,0.0024,0.0058,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0032,0.0025,0.0064,0.3972,0.3921,0.7899,0.0828,0.0883,0.1708,0.4474,0.4427,0.8901,0.0324,0.0377,0.07,0.4542,0.4518,0.9065,0.0081,0.0077,0.016,0.0641,0.0587,0.1239,0.0273,0.0236,0.0513,0.0098,0.0103,0.0216,0.0111,0.0231,0.0347,0.2141,0.2568,0.4716,0.0622,0.0539,0.1153,0.0681,0.0516,0.1197,0.0262,0.0204,0.0465,0.0131,0.0107,0.0234,0.0006,0.0003,0.0012,0.4723,0.4718,0.9444,0.0197,0.0194,0.0396,65940.0
Mordialloc,0.4832,0.5165,1.0,0.0298,0.0289,0.0584,0.0691,0.0658,0.1345,0.0312,0.0303,0.0626,0.0283,0.0266,0.0554,0.0551,0.0592,0.1149,0.0719,0.0797,0.1509,0.0731,0.0807,0.1523,0.0582,0.0611,0.1196,0.0389,0.0433,0.082,0.0199,0.0267,0.0475,0.0071,0.0131,0.0207,0.472,0.5037,0.9759,0.0118,0.0118,0.0243,0.0015,0.0018,0.0037,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0019,0.002,0.0039,0.3243,0.3396,0.6643,0.146,0.1631,0.309,0.3457,0.3629,0.708,0.1232,0.1379,0.2617,0.4265,0.4552,0.8826,0.0097,0.01,0.0198,0.0667,0.0635,0.1301,0.0275,0.0275,0.0552,0.0138,0.0153,0.0292,0.0143,0.0217,0.0359,0.2491,0.2832,0.5313,0.0442,0.041,0.0853,0.0439,0.0434,0.0874,0.0179,0.0185,0.0367,0.0113,0.0163,0.0282,0.0025,0.0037,0.0074,0.4655,0.4947,0.9611,0.0135,0.0161,0.0296,72354.0
Mornington,0.4758,0.5245,1.0,0.0231,0.0229,0.0453,0.068,0.0646,0.1335,0.0332,0.0321,0.0652,0.0219,0.0211,0.0426,0.0321,0.033,0.0651,0.0506,0.0592,0.1098,0.0693,0.0788,0.1484,0.0613,0.0679,0.1275,0.0578,0.0722,0.1294,0.0426,0.0521,0.0939,0.0154,0.023,0.0379,0.4551,0.5019,0.9588,0.021,0.0212,0.0425,0.0031,0.0019,0.0053,0.0001,0.0,0.0002,0.0,0.0,0.0002,0.0035,0.0023,0.0059,0.3583,0.3922,0.7506,0.099,0.1115,0.2107,0.4341,0.4734,0.9069,0.0248,0.0307,0.0557,0.4303,0.4735,0.9037,0.0089,0.0081,0.0164,0.0655,0.0622,0.1283,0.0277,0.0272,0.0545,0.0088,0.0109,0.0194,0.0084,0.017,0.0269,0.2164,0.2597,0.4762,0.0563,0.0572,0.1126,0.0587,0.0581,0.1169,0.023,0.0249,0.047,0.0112,0.0143,0.0259,0.0006,0.0007,0.0013,0.4431,0.4886,0.9308,0.0231,0.0298,0.0527,65404.0
Morwell,0.4879,0.5115,1.0,0.0282,0.027,0.0564,0.0627,0.0581,0.1213,0.0291,0.0269,0.0569,0.0279,0.0282,0.0559,0.0624,0.0658,0.1278,0.0558,0.0601,0.114,0.0584,0.0626,0.1203,0.065,0.0699,0.1344,0.0586,0.0609,0.1194,0.0312,0.035,0.0659,0.0097,0.0161,0.025,0.4673,0.4919,0.9602,0.0204,0.019,0.0402,0.0097,0.0102,0.0199,0.0001,0.0005,0.0008,0.0,0.0002,0.0002,0.0103,0.0109,0.0211,0.3883,0.403,0.7912,0.0612,0.0689,0.1296,0.4188,0.4364,0.8559,0.0318,0.037,0.0694,0.4287,0.4507,0.8794,0.0069,0.0068,0.014,0.0567,0.0526,0.1092,0.0188,0.0192,0.0393,0.0049,0.0074,0.0141,0.0096,0.0199,0.0296,0.1389,0.1719,0.311,0.0699,0.0684,0.1389,0.0872,0.0786,0.1655,0.035,0.0366,0.0712,0.026,0.0276,0.0539,0.0021,0.0024,0.0044,0.4448,0.4646,0.9093,0.0437,0.046,0.0907,71940.0
