district,Buddhism_M_n,Buddhism_M_pc,Buddhism_F_n,Buddhism_F_pc,Buddhism_P_n,Buddhism_P_pc,Christianity_Anglican_M_n,Christianity_Anglican_M_pc,Christianity_Anglican_F_n,Christianity_Anglican_F_pc,Christianity_Anglican_P_n,Christianity_Anglican_P_pc,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_M_pc,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_F_pc,Christianity_Asyrin_Apstlic_P_n,Christianity_Asyrin_Apstlic_P_pc,Christianity_Baptist_M_n,Christianity_Baptist_M_pc,Christianity_Baptist_F_n,Christianity_Baptist_F_pc,Christianity_Baptist_P_n,Christianity_Baptist_P_pc,Christianity_Brethren_M_n,Christianity_Brethren_M_pc,Christianity_Brethren_F_n,Christianity_Brethren_F_pc,Christianity_Brethren_P_n,Christianity_Brethren_P_pc,Christianity_Catholic_M_n,Christianity_Catholic_M_pc,Christianity_Catholic_F_n,Christianity_Catholic_F_pc,Christianity_Catholic_P_n,Christianity_Catholic_P_pc,Christianity_Church_Christ_M_n,Christianity_Church_Christ_M_pc,Christianity_Church_Christ_F_n,Christianity_Church_Christ_F_pc,Christianity_Church_Christ_P_n,Christianity_Church_Christ_P_pc,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_M_pc,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_F_pc,Christianity_Eastrn_Orthdox_P_n,Christianity_Eastrn_Orthdox_P_pc,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_M_pc,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_F_pc,Christinty_Jehvahs_Witnses_P_n,Christinty_Jehvahs_Witnses_P_pc,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_M_pc,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_F_pc,Christianity_Lattr_day_Snts_P_n,Christianity_Lattr_day_Snts_P_pc,Christianity_Lutheran_M_n,Christianity_Lutheran_M_pc,Christianity_Lutheran_F_n,Christianity_Lutheran_F_pc,Christianity_Lutheran_P_n,Christianity_Lutheran_P_pc,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_M_pc,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_F_pc,Christianity_Orintal_Orthdx_P_n,Christianity_Orintal_Orthdx_P_pc,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_M_pc,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_F_pc,Christianity_Othr_Protestnt_P_n,Christianity_Othr_Protestnt_P_pc,Christianity_Pentecostal_M_n,Christianity_Pentecostal_M_pc,Christianity_Pentecostal_F_n,Christianity_Pentecostal_F_pc,Christianity_Pentecostal_P_n,Christianity_Pentecostal_P_pc,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_M_pc,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_F_pc,Christinty_Prsbytrin_Refrmd_P_n,Christinty_Prsbytrin_Refrmd_P_pc,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_M_pc,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_F_pc,Christianity_Salvation_Army_P_n,Christianity_Salvation_Army_P_pc,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_M_pc,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_F_pc,Christnty_Sevnth_dy_Advntst_P_n,Christnty_Sevnth_dy_Advntst_P_pc,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_M_pc,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_F_pc,Christianity_Uniting_Church_P_n,Christianity_Uniting_Church_P_pc,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_M_pc,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_F_pc,Christianity_Christian_nfd_P_n,Christianity_Christian_nfd_P_pc,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_M_pc,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_F_pc,Christianity_Othr_Christian_P_n,Christianity_Othr_Christian_P_pc,Christianity_Tot_M_n,Christianity_Tot_M_pc,Christianity_Tot_F_n,Christianity_Tot_F_pc,Christianity_Tot_P_n,Christianity_Tot_P_pc,Hinduism_M_n,Hinduism_M_pc,Hinduism_F_n,Hinduism_F_pc,Hinduism_P_n,Hinduism_P_pc,Islam_M_n,Islam_M_pc,Islam_F_n,Islam_F_pc,Islam_P_n,Islam_P_pc,Judaism_M_n,Judaism_M_pc,Judaism_F_n,Judaism_F_pc,Judaism_P_n,Judaism_P_pc,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_M_pc,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_F_pc,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Aust_Abor_Trad_Rel_P_pc,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_M_pc,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_F_pc,Othr_Rel_Sikhism_P_n,Othr_Rel_Sikhism_P_pc,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_M_pc,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_F_pc,Othr_Reln_Other_reln_groups_P_n,Othr_Reln_Other_reln_groups_P_pc,Other_Religions_Tot_M_n,Other_Religions_Tot_M_pc,Other_Religions_Tot_F_n,Other_Religions_Tot_F_pc,Other_Religions_Tot_P_n,Other_Religions_Tot_P_pc,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_M_pc,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_F_pc,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_NR_P_pc,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_M_pc,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_F_pc,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_SB_P_pc,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_M_pc,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_F_pc,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_OSB_P_pc,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_M_pc,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_F_pc,SB_OSB_NRA_Tot_P_n,SB_OSB_NRA_Tot_P_pc,Religious_affiliation_ns_M_n,Religious_affiliation_ns_M_pc,Religious_affiliation_ns_F_n,Religious_affiliation_ns_F_pc,Religious_affiliation_ns_P_n,Religious_affiliation_ns_P_pc,Tot_M_n,Tot_M_pc,Tot_F_n,Tot_F_pc,Tot_P_n,Tot_P_pc,Tot_P_total
Brighton,301.0,0.0046,512.0,0.0078,847.0,0.0128,3070.0,0.0465,3870.0,0.0586,6945.0,0.1052,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0011,93.0,0.0014,261.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,5864.0,0.0889,7373.0,0.1117,13260.0,0.2009,12.0,0.0002,17.0,0.0003,30.0,0.0005,1307.0,0.0198,1304.0,0.0198,2589.0,0.0392,27.0,0.0004,40.0,0.0006,111.0,0.0017,0.0,0.0,0.0,0.0,11.0,0.0002,64.0,0.001,81.0,0.0012,166.0,0.0025,50.0,0.0008,32.0,0.0005,106.0,0.0016,22.0,0.0003,39.0,0.0006,100.0,0.0015,38.0,0.0006,56.0,0.0008,138.0,0.0021,312.0,0.0047,423.0,0.0064,771.0,0.0117,0.0,0.0,7.0,0.0001,10.0,0.0002,8.0,0.0001,9.0,0.0001,16.0,0.0002,603.0,0.0091,814.0,0.0123,1451.0,0.022,230.0,0.0035,424.0,0.0064,704.0,0.0107,8.0,0.0001,3.0,0.0,27.0,0.0004,12097.0,0.1833,14915.0,0.226,26927.0,0.408,258.0,0.0039,184.0,0.0028,533.0,0.0081,210.0,0.0032,162.0,0.0025,433.0,0.0066,1446.0,0.0219,1532.0,0.0232,2947.0,0.0447,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0004,16.0,0.0002,65.0,0.001,42.0,0.0006,59.0,0.0009,169.0,0.0026,87.0,0.0013,103.0,0.0016,268.0,0.0041,14917.0,0.226,14814.0,0.2245,29691.0,0.4499,74.0,0.0011,47.0,0.0007,175.0,0.0027,24.0,0.0004,90.0,0.0014,146.0,0.0022,15161.0,0.2297,14986.0,0.2271,30119.0,0.4564,1881.0,0.0285,1988.0,0.0301,3914.0,0.0593,31481.0,0.477,34511.0,0.5229,65998.0,1.0,65998.0
Broadmeadows,789.0,0.0098,974.0,0.0121,1798.0,0.0223,872.0,0.0108,1108.0,0.0138,2002.0,0.0249,313.0,0.0039,311.0,0.0039,642.0,0.008,99.0,0.0012,162.0,0.002,341.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,8797.0,0.1092,9856.0,0.1224,18680.0,0.2319,7.0,0.0001,10.0,0.0001,28.0,0.0003,1413.0,0.0175,1596.0,0.0198,3074.0,0.0382,40.0,0.0005,52.0,0.0006,120.0,0.0015,82.0,0.001,62.0,0.0008,162.0,0.002,20.0,0.0002,19.0,0.0002,73.0,0.0009,93.0,0.0012,97.0,0.0012,238.0,0.003,50.0,0.0006,82.0,0.001,176.0,0.0022,102.0,0.0013,99.0,0.0012,243.0,0.003,127.0,0.0016,201.0,0.0025,393.0,0.0049,8.0,0.0001,12.0,0.0001,32.0,0.0004,4.0,0.0,3.0,0.0,26.0,0.0003,218.0,0.0027,318.0,0.0039,591.0,0.0073,690.0,0.0086,739.0,0.0092,1394.0,0.0173,0.0,0.0,4.0,0.0,4.0,0.0,13381.0,0.1661,15185.0,0.1885,28510.0,0.354,2898.0,0.036,2199.0,0.0273,5084.0,0.0631,11952.0,0.1484,10808.0,0.1342,22779.0,0.2828,3.0,0.0,14.0,0.0002,19.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0028,159.0,0.002,418.0,0.0052,70.0,0.0009,83.0,0.001,180.0,0.0022,328.0,0.0041,275.0,0.0034,613.0,0.0076,7706.0,0.0957,7006.0,0.087,14619.0,0.1815,45.0,0.0006,18.0,0.0002,94.0,0.0012,8.0,0.0001,22.0,0.0003,46.0,0.0006,7828.0,0.0972,7056.0,0.0876,14844.0,0.1843,3748.0,0.0465,3103.0,0.0385,6831.0,0.0848,40910.0,0.508,39576.0,0.4914,80538.0,1.0,80538.0
Brunswick,446.0,0.0065,698.0,0.0102,1204.0,0.0176,862.0,0.0126,1128.0,0.0165,1927.0,0.0282,9.0,0.0001,13.0,0.0002,24.0,0.0004,54.0,0.0008,93.0,0.0014,171.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,4750.0,0.0696,5634.0,0.0826,10393.0,0.1523,3.0,0.0,0.0,0.0,5.0,0.0001,1468.0,0.0215,1754.0,0.0257,3249.0,0.0476,7.0,0.0001,10.0,0.0001,22.0,0.0003,0.0,0.0,0.0,0.0,4.0,0.0001,21.0,0.0003,23.0,0.0003,63.0,0.0009,20.0,0.0003,16.0,0.0002,46.0,0.0007,16.0,0.0002,27.0,0.0004,82.0,0.0012,60.0,0.0009,62.0,0.0009,130.0,0.0019,89.0,0.0013,77.0,0.0011,254.0,0.0037,6.0,0.0001,0.0,0.0,9.0,0.0001,0.0,0.0,5.0,0.0001,9.0,0.0001,176.0,0.0026,314.0,0.0046,525.0,0.0077,271.0,0.004,363.0,0.0053,731.0,0.0107,0.0,0.0,6.0,0.0001,13.0,0.0002,8099.0,0.1187,9840.0,0.1442,18028.0,0.2642,376.0,0.0055,361.0,0.0053,798.0,0.0117,761.0,0.0112,725.0,0.0106,1577.0,0.0231,76.0,0.0011,178.0,0.0026,323.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0003,11.0,0.0002,32.0,0.0005,68.0,0.001,79.0,0.0012,279.0,0.0041,120.0,0.0018,120.0,0.0018,358.0,0.0052,20000.0,0.2931,21542.0,0.3157,41520.0,0.6084,281.0,0.0041,269.0,0.0039,695.0,0.0102,31.0,0.0005,97.0,0.0014,172.0,0.0025,20378.0,0.2986,22000.0,0.3224,42363.0,0.6208,1856.0,0.0272,1633.0,0.0239,3479.0,0.051,32396.0,0.4747,35862.0,0.5255,68241.0,1.0,68241.0
Bulleen,1511.0,0.0203,1983.0,0.0266,3539.0,0.0475,1687.0,0.0226,2096.0,0.0281,3660.0,0.0491,4.0,0.0001,0.0,0.0,8.0,0.0001,673.0,0.009,877.0,0.0118,1543.0,0.0207,0.0,0.0,3.0,0.0,7.0,0.0001,7192.0,0.0965,8328.0,0.1117,15562.0,0.2088,14.0,0.0002,20.0,0.0003,87.0,0.0012,3704.0,0.0497,4083.0,0.0548,7840.0,0.1052,11.0,0.0001,20.0,0.0003,47.0,0.0006,21.0,0.0003,28.0,0.0004,60.0,0.0008,74.0,0.001,55.0,0.0007,182.0,0.0024,279.0,0.0037,268.0,0.0036,563.0,0.0076,171.0,0.0023,210.0,0.0028,441.0,0.0059,263.0,0.0035,318.0,0.0043,618.0,0.0083,423.0,0.0057,578.0,0.0078,1039.0,0.0139,28.0,0.0004,8.0,0.0001,41.0,0.0006,11.0,0.0001,12.0,0.0002,44.0,0.0006,641.0,0.0086,846.0,0.0114,1508.0,0.0202,968.0,0.013,1137.0,0.0153,2044.0,0.0274,4.0,0.0001,0.0,0.0,10.0,0.0001,16282.0,0.2185,19191.0,0.2575,35500.0,0.4763,745.0,0.01,677.0,0.0091,1463.0,0.0196,1321.0,0.0177,1275.0,0.0171,2593.0,0.0348,93.0,0.0012,99.0,0.0013,214.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0022,166.0,0.0022,350.0,0.0047,176.0,0.0024,200.0,0.0027,476.0,0.0064,365.0,0.0049,442.0,0.0059,871.0,0.0117,13496.0,0.1811,12882.0,0.1729,26418.0,0.3545,34.0,0.0005,18.0,0.0002,92.0,0.0012,13.0,0.0002,23.0,0.0003,79.0,0.0011,13645.0,0.1831,12966.0,0.174,26670.0,0.3579,1814.0,0.0243,1841.0,0.0247,3650.0,0.049,35992.0,0.4829,38472.0,0.5162,74527.0,1.0,74527.0
Bundoora,959.0,0.0138,1129.0,0.0162,2063.0,0.0297,1605.0,0.0231,2139.0,0.0308,3729.0,0.0536,0.0,0.0,5.0,0.0001,0.0,0.0,263.0,0.0038,267.0,0.0038,541.0,0.0078,15.0,0.0002,4.0,0.0001,22.0,0.0003,8633.0,0.1242,9575.0,0.1377,18104.0,0.2604,3.0,0.0,21.0,0.0003,40.0,0.0006,2462.0,0.0354,2504.0,0.036,4949.0,0.0712,23.0,0.0003,26.0,0.0004,81.0,0.0012,15.0,0.0002,20.0,0.0003,45.0,0.0006,50.0,0.0007,57.0,0.0008,107.0,0.0015,104.0,0.0015,92.0,0.0013,222.0,0.0032,60.0,0.0009,73.0,0.0011,172.0,0.0025,267.0,0.0038,296.0,0.0043,575.0,0.0083,412.0,0.0059,476.0,0.0068,912.0,0.0131,15.0,0.0002,23.0,0.0003,62.0,0.0009,3.0,0.0,4.0,0.0001,27.0,0.0004,408.0,0.0059,681.0,0.0098,1238.0,0.0178,929.0,0.0134,1093.0,0.0157,2062.0,0.0297,3.0,0.0,10.0,0.0001,16.0,0.0002,15530.0,0.2234,17737.0,0.2551,33202.0,0.4776,1172.0,0.0169,836.0,0.012,2085.0,0.03,1170.0,0.0168,978.0,0.0141,2226.0,0.032,6.0,0.0001,8.0,0.0001,18.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0017,125.0,0.0018,265.0,0.0038,63.0,0.0009,111.0,0.0016,227.0,0.0033,210.0,0.003,272.0,0.0039,554.0,0.008,13364.0,0.1922,11887.0,0.171,25260.0,0.3633,95.0,0.0014,44.0,0.0006,155.0,0.0022,32.0,0.0005,34.0,0.0005,75.0,0.0011,13518.0,0.1944,12044.0,0.1732,25542.0,0.3674,1965.0,0.0283,1734.0,0.0249,3665.0,0.0527,34625.0,0.498,34876.0,0.5017,69522.0,1.0,69522.0
Carrum,726.0,0.0098,955.0,0.0129,1710.0,0.0231,2511.0,0.0339,3184.0,0.0429,5689.0,0.0767,3.0,0.0,3.0,0.0,9.0,0.0001,311.0,0.0042,320.0,0.0043,667.0,0.009,0.0,0.0,0.0,0.0,3.0,0.0,6957.0,0.0938,7841.0,0.1057,14745.0,0.1989,9.0,0.0001,25.0,0.0003,39.0,0.0005,924.0,0.0125,1044.0,0.0141,1960.0,0.0264,66.0,0.0009,113.0,0.0015,236.0,0.0032,88.0,0.0012,99.0,0.0013,212.0,0.0029,59.0,0.0008,63.0,0.0008,123.0,0.0017,66.0,0.0009,65.0,0.0009,170.0,0.0023,71.0,0.001,73.0,0.001,235.0,0.0032,303.0,0.0041,427.0,0.0058,740.0,0.01,401.0,0.0054,495.0,0.0067,987.0,0.0133,9.0,0.0001,20.0,0.0003,34.0,0.0005,79.0,0.0011,64.0,0.0009,142.0,0.0019,513.0,0.0069,758.0,0.0102,1367.0,0.0184,784.0,0.0106,993.0,0.0134,1746.0,0.0235,21.0,0.0003,15.0,0.0002,52.0,0.0007,13594.0,0.1833,15931.0,0.2148,29555.0,0.3986,1162.0,0.0157,1129.0,0.0152,2349.0,0.0317,916.0,0.0124,894.0,0.0121,1837.0,0.0248,72.0,0.001,68.0,0.0009,168.0,0.0023,0.0,0.0,3.0,0.0,3.0,0.0,543.0,0.0073,494.0,0.0067,1041.0,0.014,69.0,0.0009,118.0,0.0016,265.0,0.0036,630.0,0.0085,660.0,0.0089,1307.0,0.0176,16787.0,0.2264,15877.0,0.2141,32667.0,0.4405,52.0,0.0007,54.0,0.0007,143.0,0.0019,26.0,0.0004,64.0,0.0009,116.0,0.0016,16944.0,0.2285,16028.0,0.2162,32997.0,0.445,2122.0,0.0286,2054.0,0.0277,4271.0,0.0576,36313.0,0.4897,37839.0,0.5103,74151.0,1.0,74151.0
Caulfield,412.0,0.0058,578.0,0.0081,1055.0,0.0147,1109.0,0.0155,1440.0,0.0201,2565.0,0.0359,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0008,113.0,0.0016,249.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,3875.0,0.0542,4629.0,0.0647,8527.0,0.1192,6.0,0.0001,3.0,0.0,12.0,0.0002,959.0,0.0134,1200.0,0.0168,2202.0,0.0308,11.0,0.0002,24.0,0.0003,67.0,0.0009,7.0,0.0001,3.0,0.0,11.0,0.0002,10.0,0.0001,13.0,0.0002,35.0,0.0005,20.0,0.0003,17.0,0.0002,50.0,0.0007,36.0,0.0005,40.0,0.0006,94.0,0.0013,37.0,0.0005,58.0,0.0008,111.0,0.0016,130.0,0.0018,147.0,0.0021,403.0,0.0056,0.0,0.0,0.0,0.0,4.0,0.0001,3.0,0.0,6.0,0.0001,21.0,0.0003,174.0,0.0024,341.0,0.0048,548.0,0.0077,264.0,0.0037,442.0,0.0062,709.0,0.0099,15.0,0.0002,0.0,0.0,19.0,0.0003,7180.0,0.1004,8818.0,0.1233,16010.0,0.2238,1365.0,0.0191,998.0,0.0139,2397.0,0.0335,247.0,0.0035,170.0,0.0024,438.0,0.0061,9816.0,0.1372,10611.0,0.1483,20378.0,0.2848,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0006,37.0,0.0005,101.0,0.0014,45.0,0.0006,81.0,0.0011,151.0,0.0021,133.0,0.0019,144.0,0.002,278.0,0.0039,12768.0,0.1785,12841.0,0.1795,25523.0,0.3568,89.0,0.0012,96.0,0.0013,237.0,0.0033,28.0,0.0004,34.0,0.0005,88.0,0.0012,12973.0,0.1813,13050.0,0.1824,25983.0,0.3632,2389.0,0.0334,2402.0,0.0336,4801.0,0.0671,34636.0,0.4841,37040.0,0.5177,71543.0,1.0,71543.0
Clarinda,4287.0,0.0582,4980.0,0.0677,9252.0,0.1257,1488.0,0.0202,1823.0,0.0248,3351.0,0.0455,0.0,0.0,10.0,0.0001,9.0,0.0001,213.0,0.0029,267.0,0.0036,529.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,7606.0,0.1033,8168.0,0.111,15757.0,0.2141,29.0,0.0004,19.0,0.0003,70.0,0.001,2855.0,0.0388,3142.0,0.0427,6073.0,0.0825,76.0,0.001,83.0,0.0011,254.0,0.0035,64.0,0.0009,62.0,0.0008,149.0,0.002,13.0,0.0002,40.0,0.0005,66.0,0.0009,74.0,0.001,94.0,0.0013,179.0,0.0024,66.0,0.0009,84.0,0.0011,204.0,0.0028,239.0,0.0032,279.0,0.0038,569.0,0.0077,312.0,0.0042,390.0,0.0053,738.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0002,36.0,0.0005,86.0,0.0012,429.0,0.0058,627.0,0.0085,1134.0,0.0154,700.0,0.0095,821.0,0.0112,1589.0,0.0216,14.0,0.0002,7.0,0.0001,21.0,0.0003,14656.0,0.1991,16423.0,0.2231,31062.0,0.422,1858.0,0.0252,1482.0,0.0201,3336.0,0.0453,1268.0,0.0172,1108.0,0.0151,2456.0,0.0334,304.0,0.0041,306.0,0.0042,665.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0067,382.0,0.0052,911.0,0.0124,108.0,0.0015,92.0,0.0012,246.0,0.0033,620.0,0.0084,530.0,0.0072,1206.0,0.0164,11235.0,0.1526,10096.0,0.1372,21342.0,0.29,41.0,0.0006,16.0,0.0002,78.0,0.0011,23.0,0.0003,36.0,0.0005,83.0,0.0011,11339.0,0.1541,10205.0,0.1386,21543.0,0.2927,2078.0,0.0282,1850.0,0.0251,3936.0,0.0535,36530.0,0.4963,37070.0,0.5036,73603.0,1.0,73603.0
Cranbourne,1358.0,0.0156,1551.0,0.0178,2910.0,0.0334,1988.0,0.0228,2452.0,0.0281,4493.0,0.0515,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0038,420.0,0.0048,798.0,0.0091,12.0,0.0001,18.0,0.0002,42.0,0.0005,7484.0,0.0858,8089.0,0.0927,15597.0,0.1788,34.0,0.0004,27.0,0.0003,90.0,0.001,557.0,0.0064,581.0,0.0067,1144.0,0.0131,90.0,0.001,138.0,0.0016,239.0,0.0027,272.0,0.0031,290.0,0.0033,570.0,0.0065,23.0,0.0003,36.0,0.0004,91.0,0.001,131.0,0.0015,155.0,0.0018,328.0,0.0038,154.0,0.0018,195.0,0.0022,409.0,0.0047,735.0,0.0084,824.0,0.0094,1651.0,0.0189,466.0,0.0053,521.0,0.006,1062.0,0.0122,28.0,0.0003,19.0,0.0002,50.0,0.0006,115.0,0.0013,121.0,0.0014,226.0,0.0026,427.0,0.0049,658.0,0.0075,1124.0,0.0129,1457.0,0.0167,1584.0,0.0182,3107.0,0.0356,11.0,0.0001,22.0,0.0003,39.0,0.0004,14677.0,0.1682,16689.0,0.1913,31306.0,0.3588,3419.0,0.0392,3203.0,0.0367,6589.0,0.0755,3267.0,0.0374,3137.0,0.036,6398.0,0.0733,15.0,0.0002,23.0,0.0003,65.0,0.0007,4.0,0.0,5.0,0.0001,7.0,0.0001,3119.0,0.0357,2820.0,0.0323,5924.0,0.0679,78.0,0.0009,121.0,0.0014,262.0,0.003,3242.0,0.0372,2969.0,0.034,6236.0,0.0715,14311.0,0.164,13625.0,0.1562,27946.0,0.3203,24.0,0.0003,6.0,0.0001,79.0,0.0009,20.0,0.0002,35.0,0.0004,69.0,0.0008,14387.0,0.1649,13724.0,0.1573,28169.0,0.3229,2867.0,0.0329,2710.0,0.0311,5534.0,0.0634,43301.0,0.4963,43932.0,0.5035,87250.0,1.0,87250.0
Croydon,553.0,0.0074,768.0,0.0103,1320.0,0.0177,2440.0,0.0327,3399.0,0.0456,5779.0,0.0775,0.0,0.0,0.0,0.0,0.0,0.0,1681.0,0.0226,1856.0,0.0249,3554.0,0.0477,9.0,0.0001,8.0,0.0001,17.0,0.0002,5692.0,0.0764,6782.0,0.091,12478.0,0.1674,113.0,0.0015,204.0,0.0027,337.0,0.0045,337.0,0.0045,410.0,0.0055,851.0,0.0114,53.0,0.0007,64.0,0.0009,177.0,0.0024,62.0,0.0008,70.0,0.0009,158.0,0.0021,236.0,0.0032,301.0,0.004,559.0,0.0075,20.0,0.0003,52.0,0.0007,102.0,0.0014,84.0,0.0011,134.0,0.0018,234.0,0.0031,376.0,0.005,458.0,0.0061,964.0,0.0129,511.0,0.0069,584.0,0.0078,1183.0,0.0159,44.0,0.0006,57.0,0.0008,149.0,0.002,88.0,0.0012,131.0,0.0018,262.0,0.0035,753.0,0.0101,1209.0,0.0162,1968.0,0.0264,1278.0,0.0171,1396.0,0.0187,2577.0,0.0346,41.0,0.0006,54.0,0.0007,146.0,0.002,14221.0,0.1908,17606.0,0.2362,31880.0,0.4277,589.0,0.0079,646.0,0.0087,1217.0,0.0163,231.0,0.0031,202.0,0.0027,456.0,0.0061,12.0,0.0002,13.0,0.0002,48.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0023,164.0,0.0022,352.0,0.0047,130.0,0.0017,191.0,0.0026,345.0,0.0046,340.0,0.0046,387.0,0.0052,738.0,0.0099,17575.0,0.2358,16873.0,0.2264,34527.0,0.4633,109.0,0.0015,64.0,0.0009,187.0,0.0025,18.0,0.0002,48.0,0.0006,97.0,0.0013,17792.0,0.2387,17055.0,0.2288,34948.0,0.4689,1937.0,0.026,1962.0,0.0263,3906.0,0.0524,35777.0,0.48,38785.0,0.5204,74532.0,1.0,74532.0
Dandenong,4153.0,0.0463,4787.0,0.0534,8989.0,0.1002,1086.0,0.0121,1308.0,0.0146,2339.0,0.0261,5.0,0.0001,0.0,0.0,8.0,0.0001,302.0,0.0034,335.0,0.0037,793.0,0.0088,0.0,0.0,7.0,0.0001,16.0,0.0002,7156.0,0.0798,7833.0,0.0873,15043.0,0.1677,26.0,0.0003,3.0,0.0,61.0,0.0007,2078.0,0.0232,2191.0,0.0244,4376.0,0.0488,69.0,0.0008,107.0,0.0012,245.0,0.0027,29.0,0.0003,59.0,0.0007,172.0,0.0019,12.0,0.0001,17.0,0.0002,39.0,0.0004,99.0,0.0011,132.0,0.0015,263.0,0.0029,204.0,0.0023,218.0,0.0024,434.0,0.0048,383.0,0.0043,495.0,0.0055,967.0,0.0108,323.0,0.0036,421.0,0.0047,827.0,0.0092,22.0,0.0002,27.0,0.0003,56.0,0.0006,116.0,0.0013,136.0,0.0015,294.0,0.0033,360.0,0.004,470.0,0.0052,893.0,0.01,1309.0,0.0146,1424.0,0.0159,2742.0,0.0306,7.0,0.0001,5.0,0.0001,21.0,0.0002,14116.0,0.1573,15755.0,0.1756,29927.0,0.3335,2852.0,0.0318,2311.0,0.0258,5172.0,0.0576,10333.0,0.1152,8519.0,0.0949,18815.0,0.2097,12.0,0.0001,19.0,0.0002,36.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,1338.0,0.0149,1183.0,0.0132,2624.0,0.0292,191.0,0.0021,147.0,0.0016,397.0,0.0044,1594.0,0.0178,1388.0,0.0155,3021.0,0.0337,8844.0,0.0986,7287.0,0.0812,16099.0,0.1794,33.0,0.0004,25.0,0.0003,102.0,0.0011,14.0,0.0002,24.0,0.0003,56.0,0.0006,8977.0,0.1,7452.0,0.0831,16342.0,0.1821,3995.0,0.0445,3337.0,0.0372,7350.0,0.0819,46059.0,0.5133,43666.0,0.4867,89727.0,1.0,89727.0
