district,M_15_19_yr_Married_pc,M_15_19_yr_Separated_pc,M_15_19_yr_Divorced_pc,M_15_19_yr_Widowed_pc,M_15_19_yr_Never_married_pc,M_15_19_yr_Tot_pc,M_20_24_yr_Married_pc,M_20_24_yr_Separated_pc,M_20_24_yr_Divorced_pc,M_20_24_yr_Widowed_pc,M_20_24_yr_Never_married_pc,M_20_24_yr_Tot_pc,M_25_34_yr_Married_pc,M_25_34_yr_Separated_pc,M_25_34_yr_Divorced_pc,M_25_34_yr_Widowed_pc,M_25_34_yr_Never_married_pc,M_25_34_yr_Tot_pc,M_35_44_yr_Married_pc,M_35_44_yr_Separated_pc,M_35_44_yr_Divorced_pc,M_35_44_yr_Widowed_pc,M_35_44_yr_Never_married_pc,M_35_44_yr_Tot_pc,M_45_54_yr_Married_pc,M_45_54_yr_Separated_pc,M_45_54_yr_Divorced_pc,M_45_54_yr_Widowed_pc,M_45_54_yr_Never_married_pc,M_45_54_yr_Tot_pc,M_55_64_yr_Married_pc,M_55_64_yr_Separated_pc,M_55_64_yr_Divorced_pc,M_55_64_yr_Widowed_pc,M_55_64_yr_Never_married_pc,M_55_64_yr_Tot_pc,M_65_74_yr_Married_pc,M_65_74_yr_Separated_pc,M_65_74_yr_Divorced_pc,M_65_74_yr_Widowed_pc,M_65_74_yr_Never_married_pc,M_65_74_yr_Tot_pc,M_75_84_yr_Married_pc,M_75_84_yr_Separated_pc,M_75_84_yr_Divorced_pc,M_75_84_yr_Widowed_pc,M_75_84_yr_Never_married_pc,M_75_84_yr_Tot_pc,M_85ov_Married_pc,M_85ov_Separated_pc,M_85ov_Divorced_pc,M_85ov_Widowed_pc,M_85ov_Never_married_pc,M_85ov_Tot_pc,M_Tot_Married_pc,M_Tot_Separated_pc,M_Tot_Divorced_pc,M_Tot_Widowed_pc,M_Tot_Never_married_pc,M_Tot_Tot_pc,F_15_19_yr_Married_pc,F_15_19_yr_Separated_pc,F_15_19_yr_Divorced_pc,F_15_19_yr_Widowed_pc,F_15_19_yr_Never_married_pc,F_15_19_yr_Tot_pc,F_20_24_yr_Married_pc,F_20_24_yr_Separated_pc,F_20_24_yr_Divorced_pc,F_20_24_yr_Widowed_pc,F_20_24_yr_Never_married_pc,F_20_24_yr_Tot_pc,F_25_34_yr_Married_pc,F_25_34_yr_Separated_pc,F_25_34_yr_Divorced_pc,F_25_34_yr_Widowed_pc,F_25_34_yr_Never_married_pc,F_25_34_yr_Tot_pc,F_35_44_yr_Married_pc,F_35_44_yr_Separated_pc,F_35_44_yr_Divorced_pc,F_35_44_yr_Widowed_pc,F_35_44_yr_Never_married_pc,F_35_44_yr_Tot_pc,F_45_54_yr_Married_pc,F_45_54_yr_Separated_pc,F_45_54_yr_Divorced_pc,F_45_54_yr_Widowed_pc,F_45_54_yr_Never_married_pc,F_45_54_yr_Tot_pc,F_55_64_yr_Married_pc,F_55_64_yr_Separated_pc,F_55_64_yr_Divorced_pc,F_55_64_yr_Widowed_pc,F_55_64_yr_Never_married_pc,F_55_64_yr_Tot_pc,F_65_74_yr_Married_pc,F_65_74_yr_Separated_pc,F_65_74_yr_Divorced_pc,F_65_74_yr_Widowed_pc,F_65_74_yr_Never_married_pc,F_65_74_yr_Tot_pc,F_75_84_yr_Married_pc,F_75_84_yr_Separated_pc,F_75_84_yr_Divorced_pc,F_75_84_yr_Widowed_pc,F_75_84_yr_Never_married_pc,F_75_84_yr_Tot_pc,F_85ov_Married_pc,F_85ov_Separated_pc,F_85ov_Divorced_pc,F_85ov_Widowed_pc,F_85ov_Never_married_pc,F_85ov_Tot_pc,F_Tot_Married_pc,F_Tot_Separated_pc,F_Tot_Divorced_pc,F_Tot_Widowed_pc,F_Tot_Never_married_pc,F_Tot_Tot_pc,P_15_19_yr_Married_pc,P_15_19_yr_Separated_pc,P_15_19_yr_Divorced_pc,P_15_19_yr_Widowed_pc,P_15_19_yr_Never_married_pc,P_15_19_yr_Tot_pc,P_20_24_yr_Married_pc,P_20_24_yr_Separated_pc,P_20_24_yr_Divorced_pc,P_20_24_yr_Widowed_pc,P_20_24_yr_Never_married_pc,P_20_24_yr_Tot_pc,P_25_34_yr_Married_pc,P_25_34_yr_Separated_pc,P_25_34_yr_Divorced_pc,P_25_34_yr_Widowed_pc,P_25_34_yr_Never_married_pc,P_25_34_yr_Tot_pc,P_35_44_yr_Married_pc,P_35_44_yr_Separated_pc,P_35_44_yr_Divorced_pc,P_35_44_yr_Widowed_pc,P_35_44_yr_Never_married_pc,P_35_44_yr_Tot_pc,P_45_54_yr_Married_pc,P_45_54_yr_Separated_pc,P_45_54_yr_Divorced_pc,P_45_54_yr_Widowed_pc,P_45_54_yr_Never_married_pc,P_45_54_yr_Tot_pc,P_55_64_yr_Married_pc,P_55_64_yr_Separated_pc,P_55_64_yr_Divorced_pc,P_55_64_yr_Widowed_pc,P_55_64_yr_Never_married_pc,P_55_64_yr_Tot_pc,P_65_74_yr_Married_pc,P_65_74_yr_Separated_pc,P_65_74_yr_Divorced_pc,P_65_74_yr_Widowed_pc,P_65_74_yr_Never_married_pc,P_65_74_yr_Tot_pc,P_75_84_yr_Married_pc,P_75_84_yr_Separated_pc,P_75_84_yr_Divorced_pc,P_75_84_yr_Widowed_pc,P_75_84_yr_Never_married_pc,P_75_84_yr_Tot_pc,P_85ov_Married_pc,P_85ov_Separated_pc,P_85ov_Divorced_pc,P_85ov_Widowed_pc,P_85ov_Never_married_pc,P_85ov_Tot_pc,P_Tot_Married_pc,P_Tot_Separated_pc,P_Tot_Divorced_pc,P_Tot_Widowed_pc,P_Tot_Never_married_pc,P_Tot_Tot_pc
Broadmeadows,0.0,0.0,0.0,0.0,0.0329,0.033,0.002,0.0,0.0,0.0,0.0457,0.0485,0.0446,0.0014,0.0014,0.0,0.0738,0.123,0.0609,0.0022,0.0042,0.0,0.0271,0.0952,0.0393,0.0029,0.0078,0.0001,0.0171,0.0671,0.0325,0.0028,0.0095,0.0007,0.0111,0.0579,0.024,0.0011,0.0047,0.0007,0.0037,0.0372,0.018,0.0001,0.0014,0.0025,0.0007,0.0265,0.0075,0.0001,0.0,0.004,0.0001,0.0134,0.2295,0.0158,0.0323,0.012,0.2162,0.5059,0.0,0.0,0.0,0.0,0.0294,0.0298,0.0061,0.0002,0.0002,0.0,0.0334,0.0413,0.0564,0.0015,0.002,0.0,0.0464,0.1089,0.0546,0.0039,0.0058,0.0003,0.0205,0.0866,0.0363,0.0034,0.0102,0.0004,0.0129,0.0659,0.0297,0.0031,0.0097,0.0036,0.0094,0.0591,0.021,0.001,0.0064,0.0096,0.0019,0.0438,0.0147,0.0,0.0025,0.0175,0.0005,0.0369,0.0033,0.0001,0.0006,0.0157,0.0001,0.0208,0.2237,0.0189,0.0422,0.0505,0.1581,0.4942,0.0,0.0,0.0,0.0,0.0634,0.0638,0.0096,0.0002,0.0002,0.0,0.0803,0.0908,0.1021,0.0035,0.0048,0.0,0.1204,0.2317,0.1156,0.0075,0.0111,0.0003,0.0474,0.1831,0.0746,0.008,0.0182,0.0006,0.0298,0.1332,0.0616,0.0073,0.0212,0.0048,0.0215,0.117,0.0451,0.0028,0.0128,0.0113,0.0065,0.0809,0.033,0.0007,0.0044,0.0203,0.0019,0.0639,0.0123,0.0002,0.0008,0.0207,0.0004,0.0357,0.4542,0.0351,0.0748,0.0616,0.3736,1.0
Brunswick,0.0,0.0,0.0,0.0,0.0166,0.0166,0.0,0.0,0.0,0.0,0.0407,0.0411,0.0147,0.0004,0.0005,0.0,0.13,0.1474,0.0346,0.0013,0.003,0.0,0.0537,0.0944,0.0295,0.0012,0.0056,0.0001,0.0252,0.0638,0.0233,0.0012,0.006,0.0,0.0139,0.0465,0.0175,0.0009,0.0048,0.0003,0.0057,0.0318,0.0123,0.0001,0.001,0.002,0.0019,0.0196,0.0034,0.0,0.0,0.0012,0.0006,0.0076,0.1376,0.0083,0.0263,0.006,0.291,0.4707,0.0,0.0,0.0,0.0,0.0176,0.0177,0.0003,0.0,0.0,0.0,0.0534,0.054,0.0205,0.0008,0.0006,0.0,0.1416,0.1648,0.0357,0.0016,0.0052,0.0,0.0541,0.0969,0.0299,0.0016,0.0071,0.0001,0.0242,0.0654,0.0223,0.0017,0.0094,0.0017,0.0148,0.0516,0.0175,0.0004,0.0079,0.0041,0.0075,0.0399,0.0098,0.0001,0.0038,0.0089,0.0021,0.0263,0.001,0.0,0.0005,0.0086,0.0002,0.0119,0.1372,0.0105,0.04,0.0259,0.3172,0.5296,0.0,0.0,0.0,0.0,0.0345,0.0346,0.0007,0.0,0.0,0.0,0.0944,0.0958,0.0359,0.0014,0.0017,0.0,0.2709,0.312,0.0706,0.0042,0.0094,0.0,0.1062,0.1918,0.0591,0.004,0.0133,0.0002,0.0498,0.1285,0.0459,0.0033,0.0167,0.0022,0.0293,0.0984,0.0354,0.002,0.0145,0.005,0.0145,0.0728,0.022,0.0002,0.0056,0.0109,0.0046,0.0463,0.0054,0.0,0.0008,0.0112,0.0009,0.0203,0.2749,0.0202,0.0648,0.0324,0.6076,1.0
Bulleen,0.0,0.0,0.0,0.0,0.0329,0.0329,0.0003,0.0,0.0,0.0,0.0365,0.0366,0.0203,0.0,0.0003,0.0,0.0479,0.0695,0.0496,0.0011,0.0022,0.0,0.0178,0.0726,0.0504,0.0019,0.0054,0.0,0.0113,0.0715,0.0537,0.0015,0.0065,0.0001,0.0053,0.0699,0.0452,0.0005,0.0036,0.0012,0.0015,0.0554,0.0388,0.0003,0.0012,0.0041,0.0004,0.0474,0.0141,0.0,0.0002,0.005,0.0,0.0203,0.2729,0.0101,0.024,0.0135,0.1555,0.478,0.0,0.0,0.0,0.0,0.0303,0.0303,0.0003,0.0,0.0,0.0,0.0313,0.0322,0.0274,0.0003,0.0008,0.0,0.0403,0.0695,0.0554,0.0021,0.0052,0.0001,0.014,0.0786,0.0552,0.003,0.009,0.0004,0.0098,0.0796,0.056,0.002,0.0108,0.0023,0.0049,0.0791,0.0474,0.0007,0.0068,0.009,0.0019,0.0688,0.0313,0.0001,0.003,0.0199,0.0005,0.057,0.006,0.0,0.0007,0.0185,0.0002,0.0266,0.2806,0.013,0.0411,0.0523,0.1367,0.5232,0.0,0.0,0.0,0.0,0.065,0.0651,0.0007,0.0,0.0,0.0,0.0682,0.0689,0.0474,0.0005,0.0016,0.0001,0.0873,0.1396,0.1055,0.0043,0.008,0.0001,0.0314,0.1517,0.1053,0.0065,0.0146,0.0007,0.0216,0.1506,0.1091,0.0052,0.0182,0.0027,0.0114,0.1488,0.0937,0.0021,0.0117,0.0106,0.0044,0.1238,0.0697,0.0006,0.0053,0.0247,0.0012,0.1038,0.0204,0.0001,0.001,0.0243,0.0002,0.0476,0.5534,0.0237,0.0643,0.0652,0.2928,1.0
Bundoora,0.0,0.0,0.0,0.0,0.0349,0.0349,0.0,0.0,0.0,0.0,0.0458,0.0464,0.0237,0.0003,0.0002,0.0001,0.0653,0.0899,0.0515,0.0011,0.0025,0.0,0.0247,0.0823,0.0511,0.0033,0.0062,0.0,0.0158,0.0789,0.0435,0.0019,0.0068,0.0003,0.0087,0.0641,0.04,0.0011,0.005,0.0015,0.0025,0.0523,0.0248,0.0004,0.0018,0.0027,0.0002,0.0318,0.0059,0.0,0.0001,0.0028,0.0001,0.0108,0.2398,0.0126,0.0275,0.0107,0.2019,0.4925,0.0,0.0,0.0,0.0,0.032,0.032,0.0003,0.0,0.0,0.0,0.0389,0.0401,0.0298,0.0005,0.0007,0.0001,0.0512,0.0835,0.0537,0.0018,0.0049,0.0,0.0195,0.0836,0.0508,0.0035,0.0097,0.0005,0.0149,0.0825,0.0439,0.0023,0.0118,0.0026,0.0069,0.07,0.0386,0.0013,0.0085,0.0074,0.0025,0.0613,0.0176,0.0006,0.0033,0.0138,0.0005,0.0385,0.0027,0.0,0.0005,0.012,0.0001,0.0167,0.2392,0.0151,0.0423,0.0399,0.1704,0.5072,0.0,0.0,0.0,0.0,0.0676,0.0676,0.0007,0.0,0.0,0.0,0.085,0.0864,0.0535,0.001,0.0014,0.0001,0.1157,0.173,0.1054,0.0037,0.0088,0.0001,0.0449,0.1654,0.1013,0.0078,0.0164,0.0008,0.0313,0.1601,0.0872,0.0051,0.0195,0.0037,0.0169,0.1349,0.0775,0.0032,0.0149,0.0098,0.0066,0.1146,0.0426,0.0016,0.0058,0.0175,0.0013,0.0696,0.0093,0.0,0.0008,0.0154,0.0004,0.0277,0.4791,0.0273,0.0705,0.0509,0.372,1.0
Carrum,0.0,0.0,0.0,0.0,0.0349,0.0349,0.0001,0.0,0.0,0.0,0.0321,0.0325,0.0222,0.0004,0.0003,0.0,0.0568,0.0815,0.0586,0.002,0.0042,0.0,0.0288,0.0962,0.0511,0.0042,0.0102,0.0,0.0195,0.0855,0.043,0.0032,0.0118,0.0004,0.0103,0.0711,0.0327,0.0017,0.0076,0.0012,0.0033,0.05,0.0153,0.0003,0.0031,0.0022,0.0004,0.0246,0.0029,0.0,0.0003,0.0021,0.0001,0.006,0.2277,0.0158,0.0413,0.0103,0.1892,0.4845,0.0,0.0,0.0,0.0,0.0313,0.0312,0.0004,0.0,0.0,0.0,0.031,0.0318,0.0332,0.0009,0.0006,0.0,0.0519,0.0884,0.0625,0.0031,0.0066,0.0001,0.0265,0.1001,0.0498,0.0048,0.0141,0.0007,0.0172,0.0893,0.0406,0.0047,0.0169,0.0034,0.008,0.0751,0.0298,0.0013,0.013,0.0079,0.0023,0.0582,0.0096,0.0003,0.0047,0.0105,0.0004,0.0291,0.0017,0.0,0.0007,0.0083,0.0001,0.0118,0.2294,0.0196,0.0618,0.0346,0.171,0.5159,0.0,0.0,0.0,0.0,0.0667,0.0666,0.0011,0.0,0.0,0.0,0.0643,0.0652,0.0566,0.0014,0.0012,0.0,0.1078,0.1684,0.1204,0.0069,0.0122,0.0003,0.0552,0.197,0.1007,0.0091,0.0245,0.0014,0.0366,0.1742,0.0835,0.0084,0.0296,0.0044,0.0184,0.1461,0.0631,0.0042,0.0211,0.0107,0.0067,0.1081,0.0267,0.0007,0.0089,0.013,0.001,0.0535,0.0052,0.0,0.0013,0.0107,0.0002,0.0195,0.4586,0.0355,0.1036,0.0455,0.3595,1.0
Caulfield,0.0,0.0,0.0,0.0,0.0282,0.0284,0.0006,0.0,0.0,0.0,0.0389,0.0396,0.0241,0.0001,0.0006,0.0,0.0839,0.1098,0.0486,0.0009,0.0026,0.0,0.0321,0.0859,0.0423,0.0019,0.0055,0.0001,0.0187,0.0701,0.0362,0.0009,0.0068,0.0001,0.0114,0.0579,0.0348,0.001,0.0069,0.0011,0.0058,0.0527,0.0167,0.0002,0.0021,0.0008,0.0013,0.0244,0.0052,0.0,0.0004,0.0022,0.0002,0.01,0.2105,0.0091,0.03,0.0069,0.2233,0.4795,0.0,0.0,0.0,0.0,0.0289,0.0289,0.0018,0.0,0.0,0.0,0.0394,0.0418,0.0304,0.0003,0.0012,0.0,0.0797,0.113,0.0499,0.0016,0.0052,0.0,0.0299,0.089,0.0438,0.0021,0.0083,0.0001,0.0177,0.0758,0.0354,0.0018,0.0103,0.0009,0.0105,0.0616,0.0319,0.0011,0.0118,0.006,0.0056,0.0587,0.0111,0.0002,0.0051,0.0098,0.0013,0.0308,0.0019,0.0001,0.0007,0.0141,0.0004,0.0188,0.2105,0.0112,0.046,0.0343,0.2177,0.52,0.0,0.0,0.0,0.0,0.0583,0.0584,0.0027,0.0,0.0,0.0,0.0779,0.0811,0.0538,0.0009,0.0022,0.0,0.1637,0.222,0.0985,0.0032,0.0094,0.0,0.0627,0.175,0.0867,0.0056,0.0151,0.0005,0.0382,0.1476,0.0723,0.0039,0.0185,0.0015,0.0225,0.1201,0.0666,0.003,0.0196,0.0077,0.0124,0.111,0.0287,0.0007,0.0079,0.0119,0.0036,0.0548,0.0081,0.0001,0.0013,0.0164,0.0007,0.0299,0.4202,0.0215,0.0751,0.0418,0.4407,1.0
Clarinda,0.0,0.0,0.0,0.0,0.0339,0.0339,0.0008,0.0,0.0,0.0,0.0413,0.0424,0.026,0.0005,0.0013,0.0,0.0606,0.0888,0.0524,0.002,0.0039,0.0,0.0216,0.0816,0.0495,0.0022,0.0065,0.0001,0.0158,0.0761,0.0466,0.0018,0.0089,0.0002,0.0097,0.0695,0.0413,0.0014,0.0059,0.0015,0.0034,0.0563,0.0247,0.0003,0.0022,0.0033,0.0004,0.0341,0.0066,0.0,0.0004,0.003,0.0003,0.0116,0.2481,0.0134,0.0331,0.012,0.1875,0.4932,0.0,0.0,0.0,0.0,0.0317,0.0317,0.0016,0.0,0.0001,0.0,0.0327,0.0355,0.0345,0.0011,0.0017,0.0,0.0407,0.0785,0.0568,0.0033,0.0065,0.0002,0.0172,0.0842,0.0519,0.0039,0.0118,0.0007,0.0116,0.0811,0.0444,0.0021,0.0133,0.003,0.0066,0.0731,0.0392,0.0013,0.0089,0.0108,0.0027,0.0643,0.0171,0.0003,0.0037,0.0151,0.0005,0.0397,0.0032,0.0,0.0004,0.0125,0.0004,0.0178,0.2477,0.0165,0.048,0.0461,0.1466,0.5055,0.0001,0.0,0.0,0.0,0.0656,0.0658,0.0027,0.0001,0.0001,0.0,0.0736,0.0773,0.0608,0.0019,0.0037,0.0,0.101,0.168,0.1074,0.0059,0.0107,0.0004,0.0386,0.165,0.0993,0.0081,0.0183,0.0008,0.0279,0.1565,0.0905,0.0053,0.0219,0.0042,0.0164,0.141,0.0794,0.0032,0.0162,0.0132,0.0072,0.1217,0.0431,0.001,0.0066,0.02,0.0015,0.0731,0.0108,0.0,0.0008,0.0159,0.0008,0.0302,0.4966,0.0303,0.0814,0.058,0.3339,1.0
Cranbourne,0.0,0.0,0.0,0.0,0.0383,0.0383,0.0006,0.0,0.0,0.0,0.0413,0.0427,0.045,0.0006,0.001,0.0,0.0612,0.1109,0.0876,0.0019,0.0041,0.0,0.0224,0.1187,0.048,0.0027,0.0066,0.0001,0.0124,0.071,0.0332,0.002,0.0076,0.0003,0.0048,0.0504,0.0238,0.0007,0.0042,0.001,0.0009,0.0339,0.0124,0.0002,0.0011,0.0014,0.0002,0.0173,0.0026,0.0001,0.0002,0.001,0.0001,0.0043,0.2539,0.0131,0.0298,0.0062,0.183,0.4893,0.0,0.0,0.0,0.0,0.0369,0.037,0.0027,0.0,0.0,0.0,0.0382,0.0409,0.0644,0.0022,0.0017,0.0002,0.0524,0.1239,0.0815,0.0042,0.0064,0.0004,0.0197,0.1139,0.0436,0.0046,0.0103,0.001,0.0095,0.0712,0.0295,0.0025,0.0101,0.0026,0.0031,0.0512,0.0203,0.0006,0.0073,0.0071,0.0007,0.0403,0.009,0.0003,0.0021,0.0072,0.0001,0.0208,0.0017,0.0,0.0002,0.006,0.0,0.0087,0.2544,0.0179,0.0429,0.0305,0.1638,0.5119,0.0,0.0001,0.0,0.0,0.0755,0.0758,0.004,0.0001,0.0,0.0,0.0794,0.0847,0.1098,0.0035,0.003,0.0002,0.1145,0.2338,0.1679,0.0079,0.0119,0.0006,0.0426,0.2327,0.0902,0.0089,0.0184,0.0018,0.0222,0.1427,0.0631,0.0058,0.0187,0.0036,0.0093,0.1025,0.0456,0.0017,0.0126,0.0091,0.0019,0.073,0.022,0.0005,0.004,0.0095,0.0006,0.039,0.0055,0.0001,0.0006,0.0076,0.0001,0.0144,0.5094,0.0325,0.0722,0.0375,0.3481,1.0
Croydon,0.0,0.0,0.0,0.0,0.0333,0.0333,0.0001,0.0,0.0,0.0,0.0354,0.0362,0.0258,0.0003,0.0002,0.0,0.0533,0.0819,0.0546,0.0014,0.0031,0.0,0.0248,0.0858,0.0448,0.0028,0.0077,0.0002,0.0162,0.0729,0.0433,0.0027,0.0108,0.0001,0.0091,0.0679,0.0371,0.0012,0.0071,0.0013,0.0028,0.0525,0.0219,0.0002,0.0025,0.0026,0.0004,0.0309,0.0056,0.0,0.0002,0.0032,0.0001,0.0106,0.2344,0.0132,0.0355,0.0108,0.1767,0.4717,0.0,0.0,0.0,0.0,0.0308,0.0309,0.0002,0.0,0.0,0.0,0.0326,0.0333,0.0346,0.0011,0.0012,0.0,0.0507,0.0893,0.0567,0.0033,0.0062,0.0,0.0238,0.0912,0.0444,0.0045,0.0131,0.0005,0.0152,0.0805,0.0434,0.0033,0.0187,0.0024,0.007,0.0762,0.0352,0.0021,0.0144,0.0087,0.0024,0.0647,0.018,0.0003,0.0057,0.0147,0.0007,0.0411,0.0029,0.0,0.0012,0.0148,0.0002,0.0207,0.2359,0.0192,0.0617,0.044,0.1684,0.5291,0.0,0.0,0.0,0.0,0.0648,0.065,0.0003,0.0,0.0,0.0,0.067,0.0683,0.0604,0.0022,0.0019,0.0,0.1053,0.1709,0.1114,0.006,0.0096,0.0001,0.0489,0.1759,0.0897,0.0085,0.0211,0.0007,0.0314,0.154,0.0862,0.0079,0.0279,0.0041,0.0173,0.1434,0.0716,0.0038,0.0226,0.0112,0.0061,0.1165,0.0409,0.0007,0.0092,0.0187,0.0017,0.0727,0.0088,0.0001,0.0016,0.0189,0.0003,0.0315,0.4706,0.0327,0.0969,0.0562,0.3444,1.0
Dandenong,0.0,0.0,0.0,0.0,0.0335,0.0336,0.0013,0.0,0.0,0.0,0.0413,0.044,0.0479,0.0012,0.0018,0.0,0.069,0.1195,0.0615,0.0023,0.0041,0.0,0.0245,0.0946,0.0437,0.0034,0.0074,0.0004,0.015,0.0715,0.0368,0.0027,0.0094,0.0003,0.0099,0.0619,0.0306,0.0024,0.007,0.0016,0.0035,0.0483,0.0199,0.0004,0.0031,0.0028,0.001,0.0297,0.005,0.0001,0.0002,0.0018,0.0001,0.0093,0.2488,0.0179,0.0373,0.0108,0.1999,0.5141,0.0,0.0,0.0,0.0,0.0314,0.0315,0.0058,0.0001,0.0,0.0,0.0331,0.0401,0.0539,0.0022,0.0032,0.0001,0.0401,0.1017,0.0541,0.0038,0.0079,0.0004,0.0168,0.0836,0.0354,0.0032,0.011,0.0015,0.0108,0.0642,0.033,0.0027,0.0129,0.0049,0.0052,0.0614,0.0271,0.0013,0.0089,0.0106,0.0022,0.0533,0.0132,0.0001,0.0033,0.0147,0.0004,0.0342,0.002,0.0,0.0006,0.011,0.0,0.0162,0.2272,0.0193,0.0497,0.046,0.1431,0.4863,0.0001,0.0,0.0,0.0001,0.0661,0.0665,0.0086,0.0001,0.0,0.0,0.075,0.085,0.1011,0.0042,0.0057,0.0002,0.1095,0.2215,0.1159,0.0073,0.0132,0.0009,0.0408,0.179,0.079,0.008,0.0189,0.002,0.026,0.1356,0.0705,0.0068,0.023,0.0066,0.0169,0.1231,0.0581,0.0044,0.0163,0.013,0.0068,0.1014,0.0329,0.0013,0.0071,0.0184,0.0019,0.0635,0.0081,0.0001,0.0011,0.0136,0.0002,0.0265,0.476,0.0356,0.0879,0.0561,0.3424,1.0
Eildon,0.0,0.0,0.0,0.0,0.0368,0.0367,0.0001,0.0,0.0,0.0,0.0299,0.0301,0.014,0.0002,0.0001,0.0,0.0429,0.0591,0.0345,0.0012,0.0021,0.0,0.0236,0.0641,0.0439,0.0037,0.0092,0.0001,0.0232,0.0823,0.0558,0.0036,0.016,0.0012,0.0153,0.0924,0.0535,0.0028,0.013,0.0031,0.0046,0.0813,0.0278,0.0011,0.0049,0.0033,0.0013,0.0416,0.0051,0.0001,0.0003,0.0024,0.0002,0.0097,0.2382,0.0173,0.0493,0.0133,0.1792,0.4975,0.0,0.0,0.0,0.0001,0.032,0.0321,0.0002,0.0,0.0,0.0,0.0257,0.0262,0.0195,0.0003,0.0004,0.0,0.0388,0.0598,0.0396,0.0019,0.0041,0.0001,0.0202,0.0691,0.0461,0.0043,0.0129,0.0005,0.0194,0.0853,0.0597,0.0029,0.0178,0.0031,0.0106,0.096,0.0506,0.0017,0.0156,0.0078,0.0038,0.0813,0.0191,0.0003,0.0039,0.0112,0.0011,0.0379,0.0018,0.0001,0.0006,0.0085,0.0001,0.0134,0.2376,0.0171,0.0578,0.0356,0.1548,0.5032,0.0,0.0,0.0,0.0001,0.0687,0.0689,0.0004,0.0,0.0,0.0,0.0545,0.0554,0.0342,0.001,0.0009,0.0,0.0803,0.1197,0.0743,0.0045,0.0076,0.0001,0.0449,0.1328,0.0903,0.0096,0.0218,0.0011,0.042,0.1661,0.1154,0.0078,0.0329,0.0051,0.0264,0.1898,0.1056,0.005,0.0291,0.0122,0.0099,0.1625,0.0467,0.0017,0.0095,0.0151,0.003,0.0797,0.0074,0.0001,0.001,0.0129,0.0004,0.0238,0.4752,0.034,0.1065,0.0506,0.3339,1.0
Eltham,0.0,0.0,0.0,0.0,0.0422,0.0422,0.0,0.0,0.0,0.0,0.036,0.0362,0.0148,0.0001,0.0001,0.0,0.0397,0.056,0.0518,0.0009,0.0019,0.0,0.0182,0.0755,0.0634,0.0024,0.0071,0.0001,0.0117,0.0872,0.0616,0.0013,0.0077,0.0004,0.0063,0.0804,0.0526,0.0007,0.0053,0.0016,0.0018,0.0645,0.0239,0.0002,0.002,0.0023,0.0004,0.0312,0.0038,0.0,0.0001,0.0016,0.0,0.0069,0.2737,0.0097,0.0274,0.0086,0.16,0.483,0.0,0.0,0.0,0.0,0.0385,0.0387,0.0001,0.0,0.0,0.0,0.0317,0.0319,0.0204,0.0001,0.0,0.0,0.0353,0.0576,0.0596,0.0015,0.0036,0.0001,0.0168,0.0849,0.0655,0.0036,0.0102,0.0005,0.0137,0.0949,0.0623,0.0022,0.0139,0.0024,0.0064,0.0913,0.0476,0.0008,0.0117,0.0063,0.0021,0.0721,0.0177,0.0002,0.0037,0.0084,0.0003,0.0346,0.0015,0.0,0.0007,0.008,0.0,0.0125,0.2769,0.0135,0.0478,0.0306,0.1481,0.5173,0.0,0.0,0.0,0.0,0.0807,0.0807,0.0003,0.0,0.0,0.0,0.0664,0.067,0.035,0.0002,0.0001,0.0,0.0754,0.1128,0.111,0.0038,0.0064,0.0001,0.0358,0.1598,0.1288,0.0081,0.0185,0.0006,0.0254,0.184,0.1253,0.005,0.0226,0.0034,0.0143,0.1722,0.0992,0.0019,0.0175,0.0087,0.0057,0.1358,0.0419,0.0006,0.0061,0.0125,0.0009,0.0663,0.0063,0.0,0.0009,0.0109,0.0001,0.0204,0.5503,0.0241,0.0758,0.0403,0.3077,1.0
