district,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp,Tot_P_Tot_resp_total
St Albans,2181.0,838.0,706.0,3469.0,85.0,7279.0,10.0,26.0,4.0,170.0,0.0,210.0,5866.0,44.0,91.0,62.0,23.0,6085.0,1460.0,55.0,52.0,162.0,0.0,1728.0,65.0,7.0,4.0,52.0,0.0,128.0,2696.0,455.0,396.0,2630.0,65.0,6241.0,2559.0,50.0,132.0,29.0,9.0,2779.0,91.0,3.0,0.0,3.0,5.0,102.0,436.0,44.0,16.0,234.0,0.0,731.0,1462.0,166.0,52.0,343.0,3.0,2027.0,67.0,10.0,0.0,22.0,0.0,99.0,2443.0,32.0,28.0,7.0,0.0,2510.0,260.0,94.0,68.0,788.0,3.0,1213.0,1806.0,249.0,150.0,748.0,9.0,2962.0,28.0,0.0,0.0,0.0,0.0,28.0,423.0,76.0,23.0,33.0,0.0,555.0,1391.0,73.0,38.0,90.0,4.0,1597.0,2791.0,214.0,110.0,473.0,4.0,3592.0,206.0,18.0,16.0,10.0,0.0,250.0,156.0,21.0,22.0,0.0,5.0,204.0,603.0,18.0,12.0,54.0,0.0,688.0,96.0,10.0,0.0,6.0,0.0,112.0,777.0,33.0,13.0,3.0,3.0,829.0,282.0,55.0,46.0,661.0,3.0,1047.0,755.0,42.0,10.0,25.0,3.0,835.0,16.0,0.0,0.0,0.0,0.0,16.0,342.0,3.0,10.0,7.0,0.0,362.0,255.0,0.0,0.0,0.0,0.0,255.0,17607.0,123.0,290.0,124.0,44.0,18188.0,12.0,0.0,3.0,14.0,0.0,29.0,13331.0,424.0,353.0,433.0,54.0,14595.0,2511.0,10.0,33.0,54.0,4969.0,7577.0,56614.0,2343.0,1938.0,7768.0,5513.0,74176.0,74176.0
Sunbury,725.0,2339.0,1796.0,15675.0,104.0,20639.0,4.0,27.0,14.0,566.0,4.0,615.0,742.0,25.0,55.0,72.0,0.0,894.0,512.0,60.0,44.0,176.0,0.0,792.0,301.0,106.0,44.0,353.0,0.0,804.0,3678.0,1817.0,1350.0,13490.0,126.0,20461.0,766.0,38.0,84.0,40.0,0.0,928.0,77.0,3.0,4.0,47.0,0.0,131.0,551.0,96.0,98.0,1239.0,4.0,1988.0,770.0,130.0,47.0,442.0,7.0,1396.0,113.0,7.0,17.0,31.0,3.0,171.0,1593.0,34.0,32.0,27.0,0.0,1686.0,969.0,431.0,285.0,5175.0,28.0,6888.0,2424.0,638.0,290.0,2382.0,9.0,5743.0,29.0,0.0,6.0,0.0,0.0,35.0,619.0,93.0,41.0,144.0,0.0,897.0,114.0,24.0,7.0,58.0,13.0,216.0,1046.0,253.0,154.0,799.0,0.0,2253.0,181.0,25.0,16.0,10.0,0.0,232.0,207.0,66.0,50.0,26.0,0.0,349.0,362.0,53.0,34.0,256.0,0.0,705.0,76.0,3.0,9.0,16.0,0.0,104.0,218.0,21.0,6.0,11.0,0.0,256.0,1026.0,372.0,274.0,3753.0,3.0,5428.0,164.0,12.0,9.0,21.0,3.0,209.0,88.0,28.0,0.0,21.0,0.0,137.0,147.0,21.0,10.0,29.0,6.0,213.0,268.0,9.0,7.0,35.0,0.0,319.0,191.0,11.0,10.0,3.0,5.0,220.0,89.0,14.0,3.0,106.0,0.0,212.0,5560.0,622.0,507.0,930.0,18.0,7636.0,264.0,57.0,8.0,259.0,2426.0,3015.0,20484.0,4814.0,3423.0,31710.0,2891.0,63321.0,63321.0
Sydenham,1909.0,1844.0,1119.0,8002.0,69.0,12943.0,6.0,6.0,0.0,235.0,0.0,247.0,3002.0,40.0,66.0,48.0,12.0,3168.0,1791.0,211.0,86.0,567.0,4.0,2659.0,152.0,36.0,16.0,142.0,0.0,346.0,2847.0,1025.0,789.0,5639.0,54.0,10353.0,3143.0,81.0,126.0,22.0,0.0,3372.0,101.0,10.0,10.0,34.0,0.0,155.0,415.0,86.0,83.0,525.0,0.0,1109.0,1637.0,383.0,161.0,1087.0,15.0,3283.0,167.0,9.0,8.0,29.0,0.0,213.0,5200.0,72.0,31.0,15.0,0.0,5318.0,402.0,152.0,97.0,1600.0,7.0,2258.0,3687.0,951.0,458.0,3190.0,11.0,8297.0,75.0,4.0,0.0,3.0,0.0,82.0,800.0,171.0,49.0,208.0,0.0,1229.0,2619.0,300.0,156.0,720.0,3.0,3798.0,3356.0,703.0,380.0,2298.0,17.0,6754.0,160.0,8.0,9.0,10.0,0.0,187.0,168.0,30.0,22.0,8.0,0.0,227.0,543.0,61.0,27.0,207.0,0.0,838.0,75.0,4.0,19.0,24.0,0.0,122.0,365.0,46.0,11.0,0.0,0.0,422.0,405.0,127.0,103.0,1225.0,3.0,1864.0,706.0,70.0,58.0,119.0,5.0,958.0,89.0,31.0,11.0,3.0,0.0,134.0,548.0,23.0,22.0,43.0,0.0,636.0,678.0,14.0,4.0,3.0,3.0,702.0,2937.0,66.0,66.0,36.0,3.0,3108.0,23.0,9.0,3.0,21.0,0.0,56.0,14350.0,1001.0,658.0,1080.0,39.0,17127.0,900.0,39.0,25.0,140.0,2408.0,3512.0,47161.0,5189.0,3239.0,18843.0,2850.0,77281.0,77281.0
Tarneit,2591.0,1809.0,1330.0,8340.0,83.0,14152.0,20.0,40.0,11.0,391.0,0.0,462.0,2978.0,6.0,58.0,31.0,9.0,3082.0,300.0,22.0,27.0,111.0,0.0,460.0,192.0,48.0,21.0,94.0,0.0,355.0,4700.0,1303.0,911.0,6977.0,92.0,13983.0,3509.0,27.0,190.0,24.0,5.0,3755.0,81.0,17.0,3.0,39.0,0.0,140.0,449.0,107.0,44.0,697.0,0.0,1297.0,445.0,78.0,26.0,252.0,0.0,801.0,69.0,0.0,4.0,11.0,0.0,84.0,17886.0,58.0,34.0,18.0,15.0,18011.0,545.0,211.0,101.0,2152.0,8.0,3016.0,1473.0,314.0,125.0,1166.0,14.0,3092.0,96.0,0.0,0.0,0.0,0.0,96.0,866.0,251.0,105.0,84.0,0.0,1306.0,434.0,32.0,29.0,74.0,4.0,573.0,1175.0,143.0,91.0,674.0,10.0,2093.0,1138.0,40.0,39.0,10.0,9.0,1236.0,416.0,52.0,27.0,11.0,0.0,506.0,361.0,41.0,39.0,94.0,0.0,535.0,97.0,0.0,0.0,19.0,0.0,116.0,1144.0,31.0,23.0,5.0,0.0,1204.0,680.0,246.0,161.0,1924.0,0.0,3011.0,327.0,30.0,12.0,40.0,0.0,409.0,133.0,7.0,12.0,14.0,0.0,166.0,322.0,15.0,10.0,13.0,0.0,360.0,609.0,25.0,3.0,11.0,0.0,648.0,764.0,12.0,32.0,13.0,0.0,821.0,41.0,3.0,0.0,53.0,0.0,97.0,27266.0,629.0,529.0,601.0,91.0,29115.0,1462.0,37.0,31.0,100.0,4916.0,6547.0,64406.0,3745.0,2828.0,16819.0,5377.0,93175.0,93175.0
Thomastown,2541.0,1221.0,742.0,4713.0,62.0,9278.0,3.0,35.0,8.0,403.0,6.0,456.0,3149.0,24.0,57.0,30.0,4.0,3264.0,421.0,29.0,15.0,73.0,0.0,538.0,58.0,17.0,19.0,33.0,0.0,127.0,2629.0,640.0,451.0,3847.0,77.0,7645.0,1472.0,19.0,83.0,8.0,4.0,1586.0,53.0,0.0,8.0,8.0,0.0,69.0,166.0,47.0,23.0,259.0,0.0,495.0,3147.0,382.0,178.0,769.0,17.0,4494.0,40.0,0.0,3.0,4.0,0.0,47.0,7645.0,70.0,15.0,25.0,8.0,7763.0,210.0,89.0,50.0,1137.0,6.0,1493.0,5342.0,842.0,364.0,2301.0,42.0,8891.0,34.0,0.0,0.0,0.0,0.0,34.0,1703.0,372.0,163.0,305.0,5.0,2548.0,4722.0,417.0,242.0,617.0,35.0,6034.0,597.0,90.0,36.0,283.0,3.0,1009.0,165.0,38.0,12.0,7.0,0.0,222.0,122.0,16.0,5.0,0.0,0.0,143.0,110.0,6.0,0.0,23.0,0.0,139.0,34.0,13.0,0.0,7.0,0.0,54.0,618.0,33.0,13.0,0.0,0.0,664.0,210.0,84.0,36.0,849.0,0.0,1178.0,362.0,55.0,19.0,33.0,0.0,469.0,29.0,0.0,0.0,0.0,0.0,29.0,215.0,7.0,4.0,30.0,0.0,256.0,584.0,10.0,3.0,7.0,0.0,604.0,3266.0,38.0,45.0,33.0,6.0,3388.0,6.0,0.0,0.0,23.0,0.0,29.0,21041.0,804.0,486.0,621.0,95.0,23046.0,1350.0,62.0,31.0,98.0,3314.0,4855.0,56008.0,3940.0,2279.0,11757.0,3894.0,77877.0,77877.0
Warrandyte,653.0,2347.0,1702.0,14086.0,34.0,18822.0,13.0,9.0,0.0,151.0,0.0,173.0,13002.0,167.0,284.0,160.0,31.0,13644.0,274.0,33.0,10.0,112.0,0.0,429.0,663.0,200.0,66.0,434.0,5.0,1369.0,4188.0,2109.0,1575.0,13307.0,57.0,21237.0,273.0,11.0,42.0,11.0,0.0,337.0,156.0,19.0,0.0,105.0,0.0,280.0,729.0,226.0,125.0,1281.0,3.0,2365.0,1736.0,211.0,121.0,931.0,4.0,3002.0,101.0,15.0,0.0,55.0,0.0,171.0,1509.0,69.0,34.0,25.0,0.0,1638.0,748.0,462.0,274.0,4569.0,0.0,6052.0,2458.0,568.0,201.0,2020.0,10.0,5258.0,525.0,0.0,12.0,0.0,0.0,537.0,216.0,33.0,10.0,38.0,0.0,297.0,192.0,22.0,15.0,60.0,0.0,289.0,167.0,32.0,27.0,138.0,0.0,364.0,45.0,7.0,0.0,6.0,0.0,58.0,152.0,62.0,53.0,46.0,0.0,313.0,288.0,59.0,30.0,140.0,0.0,517.0,97.0,13.0,16.0,22.0,0.0,148.0,22.0,8.0,0.0,0.0,0.0,30.0,982.0,425.0,317.0,4133.0,3.0,5861.0,82.0,11.0,3.0,11.0,0.0,107.0,376.0,39.0,23.0,14.0,0.0,453.0,94.0,0.0,24.0,32.0,0.0,150.0,270.0,26.0,9.0,32.0,0.0,337.0,327.0,10.0,29.0,17.0,0.0,383.0,92.0,10.0,0.0,92.0,0.0,194.0,6451.0,548.0,460.0,878.0,3.0,8340.0,263.0,3.0,10.0,194.0,1685.0,2156.0,33496.0,4855.0,3561.0,29765.0,2067.0,73743.0,73743.0
Wendouree,275.0,2076.0,1346.0,22560.0,294.0,26552.0,3.0,14.0,9.0,1123.0,8.0,1157.0,850.0,17.0,54.0,208.0,3.0,1132.0,125.0,19.0,7.0,86.0,0.0,237.0,563.0,246.0,109.0,770.0,0.0,1689.0,2386.0,1875.0,1261.0,22462.0,296.0,28281.0,509.0,6.0,37.0,6.0,5.0,563.0,50.0,3.0,8.0,115.0,0.0,176.0,347.0,145.0,113.0,2180.0,10.0,2794.0,73.0,9.0,3.0,141.0,0.0,226.0,53.0,0.0,0.0,20.0,0.0,73.0,1190.0,14.0,12.0,21.0,0.0,1237.0,626.0,445.0,278.0,8653.0,22.0,10025.0,279.0,128.0,31.0,1221.0,8.0,1667.0,30.0,0.0,3.0,0.0,0.0,33.0,3.0,7.0,0.0,6.0,0.0,16.0,12.0,0.0,0.0,17.0,0.0,29.0,27.0,25.0,13.0,168.0,3.0,236.0,36.0,11.0,13.0,10.0,0.0,70.0,104.0,83.0,35.0,41.0,5.0,268.0,83.0,16.0,8.0,111.0,0.0,218.0,49.0,0.0,6.0,4.0,0.0,59.0,13.0,5.0,4.0,0.0,0.0,22.0,682.0,589.0,341.0,6753.0,37.0,8402.0,42.0,4.0,4.0,15.0,0.0,65.0,52.0,16.0,20.0,6.0,3.0,97.0,63.0,0.0,3.0,53.0,0.0,119.0,63.0,0.0,10.0,7.0,0.0,80.0,146.0,3.0,9.0,9.0,0.0,167.0,60.0,23.0,11.0,181.0,4.0,279.0,2656.0,364.0,286.0,873.0,0.0,4178.0,82.0,0.0,0.0,503.0,3171.0,3756.0,10112.0,3825.0,2607.0,47824.0,3859.0,68226.0,68226.0
Werribee,1536.0,2434.0,1904.0,13927.0,146.0,19947.0,5.0,83.0,31.0,1050.0,11.0,1180.0,1963.0,12.0,42.0,53.0,11.0,2082.0,318.0,53.0,28.0,119.0,0.0,518.0,247.0,76.0,37.0,296.0,0.0,656.0,4775.0,1928.0,1453.0,11421.0,173.0,19751.0,2312.0,24.0,172.0,17.0,0.0,2525.0,79.0,3.0,0.0,39.0,0.0,121.0,547.0,135.0,64.0,1118.0,8.0,1871.0,418.0,94.0,25.0,371.0,0.0,907.0,98.0,3.0,8.0,23.0,0.0,132.0,9378.0,60.0,14.0,19.0,0.0,9471.0,883.0,333.0,242.0,3618.0,30.0,5106.0,2008.0,513.0,191.0,1857.0,19.0,4589.0,184.0,6.0,11.0,0.0,0.0,201.0,160.0,56.0,16.0,34.0,0.0,266.0,169.0,28.0,12.0,80.0,0.0,289.0,685.0,203.0,91.0,618.0,0.0,1597.0,954.0,73.0,41.0,29.0,5.0,1102.0,405.0,91.0,73.0,32.0,0.0,601.0,351.0,23.0,40.0,104.0,0.0,518.0,158.0,0.0,5.0,22.0,0.0,185.0,541.0,41.0,14.0,13.0,4.0,613.0,1118.0,469.0,343.0,2997.0,14.0,4941.0,315.0,17.0,21.0,35.0,3.0,391.0,104.0,7.0,8.0,0.0,0.0,119.0,286.0,10.0,0.0,38.0,0.0,334.0,438.0,0.0,0.0,0.0,0.0,438.0,582.0,4.0,34.0,3.0,0.0,623.0,77.0,17.0,0.0,43.0,0.0,137.0,18027.0,705.0,505.0,685.0,88.0,20010.0,745.0,10.0,7.0,141.0,4439.0,5342.0,44039.0,4855.0,3438.0,26841.0,5034.0,84206.0,84206.0
Williamstown,827.0,2724.0,2039.0,12149.0,127.0,17866.0,10.0,9.0,9.0,259.0,0.0,287.0,1892.0,47.0,168.0,96.0,14.0,2217.0,730.0,41.0,27.0,240.0,3.0,1041.0,400.0,130.0,64.0,250.0,0.0,844.0,4922.0,2198.0,1587.0,11386.0,93.0,20186.0,541.0,16.0,88.0,36.0,4.0,685.0,234.0,33.0,6.0,72.0,0.0,345.0,753.0,194.0,90.0,1205.0,0.0,2242.0,1841.0,245.0,96.0,777.0,10.0,2969.0,68.0,4.0,9.0,41.0,0.0,122.0,1021.0,53.0,29.0,17.0,0.0,1120.0,1619.0,628.0,408.0,5076.0,4.0,7735.0,2539.0,494.0,223.0,1826.0,13.0,5095.0,63.0,0.0,0.0,0.0,0.0,63.0,1267.0,294.0,164.0,232.0,6.0,1963.0,734.0,73.0,25.0,154.0,0.0,986.0,1229.0,202.0,111.0,688.0,0.0,2230.0,234.0,24.0,25.0,10.0,0.0,293.0,394.0,147.0,76.0,35.0,0.0,652.0,523.0,29.0,21.0,182.0,3.0,758.0,90.0,0.0,13.0,18.0,0.0,121.0,46.0,27.0,0.0,0.0,0.0,73.0,1438.0,539.0,423.0,3805.0,10.0,6215.0,367.0,46.0,15.0,60.0,0.0,488.0,182.0,40.0,14.0,4.0,0.0,240.0,180.0,8.0,0.0,15.0,0.0,203.0,110.0,10.0,17.0,15.0,0.0,152.0,1228.0,24.0,58.0,43.0,4.0,1357.0,190.0,34.0,26.0,110.0,0.0,360.0,5354.0,850.0,661.0,897.0,32.0,7794.0,329.0,22.0,3.0,165.0,2496.0,3015.0,26340.0,5716.0,4059.0,26890.0,2991.0,65996.0,65996.0
Yan Yean,922.0,2304.0,1565.0,17337.0,74.0,22202.0,0.0,19.0,11.0,826.0,4.0,860.0,1166.0,30.0,38.0,53.0,0.0,1287.0,277.0,46.0,24.0,114.0,0.0,461.0,288.0,50.0,27.0,277.0,0.0,642.0,3167.0,1785.0,1293.0,14508.0,93.0,20844.0,935.0,25.0,96.0,20.0,0.0,1076.0,65.0,8.0,9.0,102.0,0.0,184.0,383.0,91.0,99.0,1240.0,0.0,1813.0,956.0,274.0,83.0,771.0,0.0,2084.0,30.0,4.0,10.0,59.0,0.0,103.0,4786.0,51.0,37.0,9.0,0.0,4883.0,725.0,355.0,248.0,4633.0,19.0,5980.0,2539.0,925.0,367.0,3340.0,19.0,7189.0,130.0,3.0,13.0,0.0,0.0,146.0,306.0,116.0,44.0,104.0,0.0,570.0,965.0,218.0,88.0,545.0,11.0,1827.0,473.0,157.0,34.0,582.0,0.0,1246.0,182.0,27.0,19.0,20.0,0.0,248.0,154.0,79.0,38.0,35.0,0.0,306.0,116.0,28.0,10.0,121.0,0.0,275.0,61.0,4.0,10.0,13.0,0.0,88.0,274.0,45.0,7.0,0.0,3.0,329.0,681.0,399.0,273.0,3650.0,2.0,5004.0,156.0,28.0,8.0,39.0,0.0,231.0,148.0,27.0,8.0,4.0,0.0,188.0,203.0,16.0,19.0,70.0,0.0,308.0,559.0,23.0,18.0,24.0,0.0,624.0,190.0,9.0,20.0,5.0,0.0,224.0,70.0,15.0,6.0,89.0,0.0,180.0,9046.0,597.0,408.0,878.0,42.0,10970.0,341.0,15.0,11.0,332.0,2492.0,3191.0,26864.0,5032.0,3325.0,34517.0,2927.0,72665.0,72665.0
