district,Intct_fam_no_otr_chld_pre_Fam_n,Intct_fam_no_otr_chld_pre_Fam_pc,Step_fam_no_otr_chld_pre_Fam_n,Step_fam_no_otr_chld_pre_Fam_pc,Blnd_fam_no_otr_chld_pre_Fam_n,Blnd_fam_no_otr_chld_pre_Fam_pc,Intct_fam_othr_child_pres_Fam_n,Intct_fam_othr_child_pres_Fam_pc,Step_fam_othr_child_pres_Fam_n,Step_fam_othr_child_pres_Fam_pc,Blnd_fam_othr_child_pres_Fam_n,Blnd_fam_othr_child_pres_Fam_pc,Otr_cpl_fam_otr_chld_only_Fam_n,Otr_cpl_fam_otr_chld_only_Fam_pc,Tot_Families_n,Tot_Families_pc,Tot_Families_total
Polwarth,6945.0,0.8915,510.0,0.0655,179.0,0.023,9.0,0.0012,0.0,0.0,0.0,0.0,13.0,0.0017,7790.0,1.0,7790.0
Prahran,3479.0,0.9345,168.0,0.0451,18.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3723.0,1.0,3723.0
Preston,7375.0,0.9242,330.0,0.0414,77.0,0.0096,19.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,7980.0,1.0,7980.0
Richmond,4008.0,0.925,245.0,0.0565,32.0,0.0074,5.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,4333.0,1.0,4333.0
Ringwood,9788.0,0.9289,405.0,0.0384,105.0,0.01,10.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,10537.0,1.0,10537.0
Ripon,5823.0,0.8415,524.0,0.0757,343.0,0.0496,21.0,0.003,3.0,0.0004,0.0,0.0,17.0,0.0025,6920.0,1.0,6920.0
Rowville,10030.0,0.9175,557.0,0.051,163.0,0.0149,26.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,10932.0,1.0,10932.0
Sandringham,7615.0,0.9272,364.0,0.0443,79.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8213.0,1.0,8213.0
Shepparton,6740.0,0.8705,488.0,0.063,299.0,0.0386,28.0,0.0036,0.0,0.0,0.0,0.0,12.0,0.0015,7743.0,1.0,7743.0
South Barwon,8038.0,0.8904,589.0,0.0652,278.0,0.0308,18.0,0.002,0.0,0.0,0.0,0.0,4.0,0.0004,9027.0,1.0,9027.0
