district,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot_pc,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot_pc,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot_pc,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot_pc,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot_pc,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot_pc,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot_pc,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot_pc,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot_pc,Tot_Family_households_pc,Tot_Non_family_households_pc,Tot_Tot_pc,Tot_Tot_total
Ripon,0.0044,0.0075,0.0143,0.002,0.0024,0.007,0.0015,0.013,0.0166,0.0016,0.0265,0.0312,0.0137,0.0815,0.0947,0.0146,0.0338,0.0505,0.0614,0.0208,0.0854,0.0492,0.0279,0.0755,0.0556,0.0241,0.0833,0.0617,0.0148,0.0768,0.0405,0.0088,0.0512,0.0444,0.0073,0.0515,0.0854,0.0075,0.0971,0.0599,0.0003,0.0616,0.0392,0.001,0.0421,0.0203,0.0001,0.0216,0.0469,0.0027,0.0524,0.0464,0.0008,0.0497,0.0097,0.0173,0.0298,0.6765,0.3249,1.0,26559.0
Rowville,0.0084,0.0055,0.0155,0.0014,0.0012,0.0037,0.0014,0.0041,0.0071,0.0023,0.0089,0.0135,0.0093,0.0285,0.0408,0.008,0.0171,0.0299,0.0349,0.0113,0.0478,0.0307,0.0141,0.0465,0.0446,0.0142,0.0639,0.0539,0.0094,0.0639,0.0384,0.0101,0.0507,0.0439,0.0062,0.0519,0.1,0.0116,0.1134,0.0883,0.0007,0.0905,0.0816,0.0009,0.0858,0.0546,0.0005,0.0547,0.1518,0.0025,0.1559,0.0394,0.0002,0.0406,0.0052,0.0046,0.0126,0.8145,0.184,1.0,24388.0
Sandringham,0.0056,0.0095,0.0149,0.001,0.0027,0.0052,0.002,0.0069,0.0099,0.001,0.0158,0.0183,0.0053,0.0368,0.0453,0.0056,0.0274,0.0354,0.0182,0.0197,0.0419,0.0217,0.0225,0.0454,0.0306,0.0263,0.0584,0.0352,0.0219,0.0602,0.0254,0.0174,0.0454,0.0275,0.0152,0.0445,0.0656,0.0317,0.0957,0.0578,0.0006,0.0596,0.0584,0.0072,0.0673,0.0432,0.0006,0.0441,0.2401,0.0118,0.2531,0.0365,0.0014,0.0381,0.0037,0.0051,0.0114,0.6983,0.3019,1.0,24859.0
Shepparton,0.006,0.0072,0.0161,0.0016,0.0024,0.0057,0.0022,0.0094,0.0122,0.0026,0.0232,0.0277,0.0137,0.0568,0.0707,0.0148,0.0332,0.0512,0.052,0.0229,0.0757,0.0465,0.0291,0.0755,0.0514,0.0275,0.0818,0.0616,0.0197,0.0829,0.0426,0.0143,0.0597,0.0473,0.0084,0.0592,0.0904,0.0114,0.1063,0.0645,0.001,0.0665,0.0427,0.0016,0.0459,0.0255,0.0002,0.0261,0.0528,0.0049,0.0597,0.0421,0.0018,0.0453,0.0109,0.0133,0.027,0.6833,0.3169,1.0,27320.0
South Barwon,0.0027,0.0055,0.0098,0.0011,0.0018,0.0032,0.0005,0.0037,0.0065,0.0007,0.011,0.0136,0.0053,0.0392,0.0472,0.008,0.0272,0.036,0.0323,0.018,0.0501,0.0335,0.0202,0.0569,0.043,0.021,0.0629,0.0527,0.0176,0.071,0.04,0.017,0.0574,0.0438,0.0121,0.0572,0.1056,0.0203,0.1258,0.0899,0.0041,0.0952,0.0729,0.0033,0.0787,0.0459,0.0009,0.0477,0.1066,0.0058,0.1127,0.034,0.0043,0.0414,0.0035,0.0063,0.013,0.7302,0.2709,1.0,26029.0
South-West Coast,0.0037,0.0073,0.0147,0.0009,0.0016,0.004,0.0007,0.009,0.0109,0.0014,0.0213,0.0259,0.0119,0.057,0.0714,0.0122,0.0366,0.0517,0.0466,0.0231,0.0722,0.044,0.0295,0.0771,0.0511,0.0288,0.0783,0.0615,0.0191,0.0798,0.0426,0.0131,0.057,0.0461,0.0084,0.0552,0.0917,0.0142,0.1077,0.0672,0.001,0.0701,0.045,0.0019,0.05,0.0271,0.0,0.0274,0.0589,0.003,0.0654,0.0429,0.001,0.0471,0.0098,0.0123,0.0249,0.6822,0.3186,1.0,27297.0
St Albans,0.0164,0.0127,0.0337,0.0019,0.0012,0.0055,0.0055,0.0073,0.0146,0.0067,0.0238,0.031,0.0196,0.0505,0.0724,0.0159,0.0201,0.0378,0.0587,0.0122,0.0757,0.0534,0.0166,0.0733,0.0568,0.0192,0.0742,0.0655,0.0126,0.0798,0.0483,0.0091,0.0597,0.0427,0.0079,0.0547,0.0859,0.0104,0.1008,0.066,0.0018,0.0691,0.0456,0.0029,0.0501,0.0265,0.0001,0.028,0.0543,0.0029,0.0617,0.0421,0.0034,0.0489,0.0089,0.0058,0.0189,0.7452,0.2545,1.0,23972.0
Sunbury,0.0054,0.0086,0.0183,0.0013,0.0005,0.0032,0.001,0.0049,0.007,0.002,0.0151,0.018,0.0065,0.0406,0.0527,0.0105,0.0229,0.0353,0.0381,0.0159,0.0542,0.0383,0.0203,0.0611,0.041,0.0233,0.0675,0.0535,0.0197,0.0758,0.0456,0.0172,0.0629,0.0461,0.0106,0.0592,0.1094,0.0168,0.1292,0.0876,0.001,0.091,0.0673,0.0018,0.0713,0.0425,0.0001,0.0438,0.0842,0.0013,0.0879,0.0395,0.0012,0.0428,0.0048,0.0066,0.0153,0.7445,0.2533,1.0,23342.0
Sydenham,0.0084,0.0054,0.0163,0.002,0.0004,0.003,0.0017,0.0019,0.0053,0.0016,0.0095,0.0123,0.0089,0.0207,0.034,0.0109,0.0079,0.0219,0.0366,0.0068,0.0475,0.0332,0.0097,0.0473,0.04,0.0116,0.0554,0.0541,0.0114,0.0669,0.0453,0.0089,0.0557,0.0521,0.0063,0.0625,0.1179,0.0118,0.1345,0.0992,0.0001,0.1001,0.0838,0.0008,0.0859,0.0536,0.0004,0.0544,0.1235,0.0014,0.1251,0.0473,0.0001,0.0486,0.0079,0.0028,0.0151,0.8468,0.1526,1.0,23912.0
Tarneit,0.0074,0.0048,0.0153,0.001,0.0009,0.003,0.0014,0.0025,0.0053,0.0014,0.0077,0.0107,0.0066,0.0202,0.0298,0.0123,0.0111,0.0267,0.0357,0.0095,0.0492,0.0378,0.0155,0.0534,0.0529,0.0171,0.0732,0.0681,0.014,0.0818,0.0575,0.0117,0.0713,0.0571,0.0059,0.0676,0.1347,0.0111,0.1472,0.091,0.0016,0.0937,0.0672,0.0022,0.0706,0.0395,0.0004,0.0418,0.0791,0.0039,0.0852,0.0411,0.002,0.0464,0.0057,0.0042,0.0136,0.8189,0.1798,1.0,28016.0
Thomastown,0.0149,0.0089,0.0257,0.0022,0.0017,0.0047,0.0027,0.0065,0.0119,0.0022,0.0163,0.022,0.014,0.0412,0.058,0.0155,0.0156,0.0329,0.0582,0.0106,0.0699,0.0488,0.0195,0.0687,0.0589,0.0193,0.0781,0.0669,0.014,0.0826,0.0535,0.0116,0.0683,0.0499,0.0065,0.059,0.112,0.0109,0.1234,0.079,0.0017,0.0814,0.0534,0.0019,0.0573,0.0315,0.0004,0.0326,0.0514,0.0015,0.0542,0.0346,0.0016,0.0376,0.0099,0.0052,0.0164,0.7759,0.2243,1.0,25777.0
Warrandyte,0.0107,0.0084,0.0211,0.0025,0.0012,0.0048,0.0012,0.0036,0.0072,0.0013,0.0103,0.0123,0.0084,0.0296,0.0403,0.009,0.0157,0.0282,0.0324,0.0143,0.0477,0.0315,0.0128,0.0456,0.0412,0.0133,0.0577,0.0497,0.008,0.0614,0.0354,0.0088,0.0473,0.0394,0.0044,0.0493,0.084,0.0116,0.0995,0.0725,0.0006,0.0745,0.0707,0.0015,0.0734,0.0487,0.0001,0.0499,0.1988,0.0039,0.2057,0.044,0.0006,0.048,0.006,0.0035,0.0116,0.8117,0.1857,1.0,25092.0
Wendouree,0.0025,0.0077,0.0123,0.0006,0.0029,0.0039,0.0007,0.0084,0.0109,0.002,0.0236,0.0264,0.0111,0.0675,0.0788,0.0139,0.0434,0.0616,0.0482,0.0248,0.0739,0.0438,0.0329,0.077,0.0504,0.0373,0.0844,0.0569,0.0234,0.0825,0.0411,0.0203,0.0612,0.0426,0.0124,0.0543,0.0804,0.0175,0.0991,0.0548,0.0015,0.0587,0.0446,0.0028,0.0484,0.0249,0.0002,0.0261,0.0626,0.0048,0.0691,0.0356,0.0024,0.0388,0.0074,0.0127,0.0205,0.6345,0.3642,1.0,27646.0
Werribee,0.005,0.0061,0.0141,0.0002,0.0006,0.001,0.0012,0.0035,0.0064,0.0026,0.012,0.0165,0.0091,0.0295,0.0401,0.013,0.0214,0.0374,0.0352,0.0127,0.0507,0.0387,0.0193,0.0581,0.0482,0.0248,0.0734,0.0606,0.0171,0.0819,0.0517,0.0165,0.0693,0.051,0.0082,0.0634,0.1208,0.0163,0.1393,0.084,0.0005,0.0866,0.0646,0.0013,0.0693,0.0395,0.0,0.0396,0.0739,0.0018,0.0794,0.04,0.0012,0.0427,0.0081,0.0052,0.0176,0.7663,0.2345,1.0,28184.0
Williamstown,0.0046,0.0093,0.0177,0.0014,0.0026,0.0055,0.0018,0.0067,0.0106,0.0016,0.0171,0.0205,0.0085,0.0439,0.0508,0.007,0.0252,0.0332,0.0287,0.0168,0.0448,0.0261,0.0201,0.0455,0.028,0.0205,0.0497,0.0389,0.0193,0.0569,0.0269,0.0222,0.0495,0.0296,0.0136,0.0421,0.07,0.0323,0.1021,0.0633,0.0013,0.0656,0.0652,0.0075,0.0759,0.0506,0.0003,0.0525,0.2001,0.0106,0.2141,0.0343,0.001,0.0379,0.0035,0.0074,0.0137,0.7031,0.2933,1.0,25272.0
Yan Yean,0.0053,0.0023,0.0121,0.0011,0.001,0.003,0.0007,0.0027,0.0065,0.0015,0.0052,0.0098,0.0082,0.0202,0.031,0.0107,0.0101,0.0251,0.0314,0.0084,0.0421,0.0296,0.0144,0.0468,0.0435,0.0159,0.0627,0.0554,0.0144,0.0741,0.0493,0.0112,0.0622,0.0539,0.0065,0.0632,0.1329,0.0132,0.1506,0.1025,0.0,0.1041,0.0812,0.0018,0.0849,0.0496,0.0,0.0497,0.1027,0.001,0.1066,0.0462,0.0,0.0474,0.0077,0.0017,0.0118,0.8312,0.1658,1.0,23336.0
