district,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot_pc,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot_pc,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot_pc,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot_pc,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot_pc,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot_pc,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot_pc,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot_pc,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot_pc,Tot_Family_households_pc,Tot_Non_family_households_pc,Tot_Tot_pc,Tot_Tot_total
Croydon,0.0053,0.0089,0.0156,0.0017,0.0014,0.0043,0.001,0.0061,0.0073,0.0012,0.0144,0.019,0.0077,0.0444,0.0558,0.0104,0.0295,0.043,0.0339,0.0227,0.057,0.0344,0.0247,0.063,0.0425,0.0249,0.0695,0.0508,0.0201,0.0717,0.0401,0.017,0.0598,0.0427,0.0103,0.0544,0.101,0.0201,0.121,0.0845,0.0015,0.0876,0.064,0.0021,0.0678,0.0429,0.0001,0.0437,0.0943,0.0029,0.1,0.0371,0.0018,0.0406,0.0051,0.0074,0.0157,0.7157,0.2829,1.0,28355.0
Dandenong,0.0111,0.0123,0.0258,0.002,0.0019,0.0044,0.0038,0.0087,0.0158,0.0039,0.0218,0.0289,0.0165,0.0562,0.0727,0.0164,0.0256,0.0457,0.0532,0.0155,0.0703,0.0508,0.027,0.0782,0.0581,0.0248,0.0834,0.0644,0.0172,0.0859,0.0495,0.0136,0.0637,0.0466,0.0082,0.0571,0.0925,0.0126,0.106,0.0607,0.003,0.0657,0.0392,0.0027,0.044,0.0235,0.0015,0.0271,0.0377,0.0096,0.047,0.0395,0.0034,0.0475,0.0084,0.0085,0.0195,0.6987,0.3012,1.0,29731.0
Eildon,0.0056,0.0092,0.0162,0.0018,0.0016,0.0056,0.0011,0.0078,0.0111,0.0017,0.0187,0.0242,0.0144,0.0549,0.0668,0.0107,0.0285,0.0415,0.0433,0.0188,0.0649,0.0414,0.024,0.0656,0.052,0.0255,0.077,0.0569,0.0134,0.0735,0.0405,0.0129,0.057,0.0464,0.0084,0.0582,0.1007,0.0094,0.1088,0.066,0.0004,0.0667,0.0503,0.001,0.0539,0.0282,0.0,0.0294,0.0734,0.0026,0.0782,0.0549,0.0014,0.058,0.0094,0.0101,0.0233,0.7143,0.2833,1.0,24502.0
Eltham,0.006,0.0043,0.0131,0.0013,0.0011,0.0037,0.0013,0.0038,0.0064,0.0008,0.0067,0.0085,0.0046,0.0246,0.0332,0.0055,0.0172,0.0256,0.0238,0.0142,0.0407,0.0259,0.0138,0.043,0.0367,0.0128,0.0539,0.0466,0.0112,0.0597,0.0356,0.0099,0.0473,0.0391,0.0082,0.0499,0.0912,0.0135,0.1089,0.0825,0.0003,0.0842,0.0834,0.0017,0.0858,0.0595,0.0,0.0609,0.2023,0.003,0.2075,0.0432,0.0001,0.0454,0.0048,0.003,0.0108,0.813,0.1881,1.0,23126.0
Essendon,0.0048,0.0102,0.0157,0.0011,0.0029,0.0047,0.0019,0.0087,0.0141,0.0014,0.0201,0.0233,0.0058,0.0352,0.044,0.0061,0.0233,0.029,0.0206,0.0185,0.039,0.0195,0.0298,0.0503,0.028,0.036,0.0621,0.0295,0.0342,0.0635,0.023,0.0295,0.0561,0.027,0.0256,0.0541,0.0628,0.0441,0.1086,0.0578,0.0051,0.0631,0.0532,0.012,0.0662,0.0394,0.0017,0.0436,0.1885,0.0154,0.2048,0.0284,0.0059,0.0357,0.0047,0.0065,0.0145,0.6211,0.38,1.0,28589.0
Eureka,0.0035,0.0083,0.0148,0.0018,0.0013,0.0039,0.0011,0.0067,0.0097,0.0013,0.0179,0.0213,0.0099,0.047,0.0589,0.0127,0.0318,0.0461,0.0415,0.0201,0.0621,0.039,0.025,0.0663,0.0499,0.0255,0.0754,0.0583,0.0203,0.0779,0.0421,0.0159,0.0585,0.0443,0.0102,0.0565,0.0988,0.0176,0.1169,0.0742,0.0013,0.0773,0.0612,0.002,0.0652,0.0366,0.0,0.0372,0.0773,0.0028,0.0829,0.0402,0.0025,0.0451,0.0069,0.0073,0.0175,0.7153,0.2866,1.0,27658.0
Euroa,0.0053,0.0076,0.0171,0.0016,0.0025,0.0065,0.0012,0.0104,0.0134,0.0025,0.0234,0.0264,0.0146,0.0678,0.0831,0.0126,0.0381,0.0528,0.0553,0.0241,0.0811,0.0476,0.0272,0.0755,0.0546,0.0268,0.0799,0.0577,0.0176,0.0761,0.0396,0.0123,0.055,0.0419,0.0091,0.0514,0.0841,0.0128,0.0983,0.0581,0.0004,0.0601,0.0404,0.0008,0.0448,0.0244,0.0,0.0246,0.0498,0.0024,0.0556,0.0482,0.0008,0.0516,0.0113,0.0173,0.0324,0.6722,0.328,1.0,26067.0
Evelyn,0.0039,0.0057,0.0125,0.0012,0.0013,0.0039,0.0012,0.0039,0.0063,0.0007,0.0077,0.0099,0.007,0.0369,0.0473,0.0085,0.021,0.0313,0.0342,0.0123,0.0476,0.0366,0.0171,0.0547,0.0452,0.0176,0.0633,0.051,0.0121,0.0642,0.0403,0.0105,0.0526,0.0432,0.0063,0.0536,0.114,0.0135,0.1295,0.0944,0.0005,0.0968,0.0797,0.0007,0.0827,0.0508,0.0002,0.0514,0.1043,0.001,0.1079,0.0465,0.0011,0.0505,0.0058,0.0041,0.0132,0.79,0.2081,1.0,24141.0
Footscray,0.0037,0.0097,0.0162,0.0011,0.0019,0.0046,0.0016,0.0075,0.0102,0.0014,0.0191,0.0225,0.005,0.0331,0.0421,0.0061,0.0215,0.0318,0.022,0.0192,0.0409,0.022,0.0258,0.0495,0.0255,0.0323,0.0605,0.0347,0.0306,0.0673,0.0291,0.0289,0.0581,0.0305,0.0265,0.0563,0.0719,0.0457,0.1188,0.0648,0.0061,0.0717,0.0618,0.0118,0.0759,0.0465,0.0026,0.049,0.1518,0.0146,0.1692,0.0257,0.0089,0.0357,0.0035,0.0061,0.0107,0.6228,0.378,1.0,29149.0
Frankston,0.004,0.0106,0.0168,0.0011,0.0023,0.0043,0.0016,0.0078,0.0118,0.0025,0.0235,0.0277,0.0098,0.0611,0.0724,0.0118,0.0412,0.0559,0.0387,0.0266,0.0646,0.0367,0.0324,0.0704,0.0466,0.0303,0.0775,0.0518,0.0246,0.0769,0.0382,0.0171,0.0561,0.0401,0.0124,0.053,0.0877,0.0193,0.1085,0.0658,0.0009,0.0687,0.0509,0.0023,0.0543,0.0339,0.0001,0.035,0.0695,0.0036,0.0757,0.0359,0.0034,0.0405,0.0067,0.0112,0.0202,0.6449,0.3587,1.0,27190.0
