district,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot,Tot_Tot_total
Ivanhoe,867.0,1042.0,486.0,237.0,303.0,226.0,143.0,3432.0,257.0,337.0,149.0,70.0,120.0,71.0,28.0,1299.0,298.0,361.0,119.0,58.0,110.0,40.0,17.0,1317.0,1587.0,1651.0,986.0,712.0,959.0,526.0,314.0,6690.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,22.0,3124.0,3452.0,1858.0,1214.0,1610.0,1004.0,585.0,12775.0,46.0,71.0,47.0,21.0,86.0,33.0,23.0,578.0,20.0,32.0,23.0,0.0,23.0,18.0,0.0,226.0,0.0,19.0,8.0,0.0,0.0,10.0,3.0,129.0,98.0,166.0,116.0,107.0,153.0,41.0,17.0,1046.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,231.0,432.0,298.0,244.0,370.0,182.0,93.0,2105.0,3358.0,3804.0,2202.0,1491.0,2033.0,1272.0,717.0,14884.0,14884.0
Kalkallo,5328.0,4968.0,2297.0,1175.0,1429.0,816.0,420.0,16529.0,461.0,311.0,144.0,66.0,94.0,40.0,22.0,1386.0,347.0,284.0,104.0,11.0,46.0,28.0,6.0,1067.0,2205.0,1694.0,895.0,481.0,567.0,168.0,64.0,6311.0,19.0,18.0,6.0,5.0,0.0,0.0,0.0,79.0,8462.0,7425.0,3555.0,1916.0,2326.0,1132.0,598.0,25444.0,178.0,276.0,168.0,102.0,156.0,105.0,23.0,1404.0,55.0,68.0,26.0,3.0,15.0,4.0,9.0,377.0,6.0,53.0,17.0,12.0,18.0,0.0,0.0,198.0,326.0,496.0,214.0,127.0,227.0,46.0,11.0,1736.0,9.0,13.0,11.0,0.0,0.0,3.0,0.0,68.0,728.0,1069.0,626.0,393.0,484.0,200.0,74.0,3905.0,9272.0,8530.0,4258.0,2317.0,2872.0,1392.0,714.0,29392.0,29392.0
Kew,1025.0,1654.0,1015.0,714.0,902.0,659.0,369.0,6455.0,217.0,228.0,138.0,78.0,157.0,90.0,29.0,1277.0,246.0,292.0,159.0,121.0,185.0,109.0,36.0,1562.0,846.0,1132.0,957.0,788.0,1175.0,873.0,445.0,6303.0,11.0,6.0,10.0,0.0,0.0,0.0,0.0,57.0,2491.0,3441.0,2472.0,1840.0,2613.0,1916.0,1032.0,15639.0,28.0,207.0,195.0,153.0,281.0,203.0,91.0,1533.0,14.0,29.0,4.0,6.0,8.0,6.0,3.0,169.0,7.0,18.0,15.0,16.0,13.0,4.0,3.0,181.0,24.0,65.0,86.0,88.0,191.0,93.0,15.0,882.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,28.0,144.0,403.0,450.0,386.0,595.0,391.0,178.0,2842.0,2658.0,3840.0,2937.0,2312.0,3136.0,2303.0,1289.0,18438.0,18438.0
Kororoit,3255.0,3836.0,1993.0,1144.0,1425.0,951.0,518.0,13231.0,346.0,315.0,129.0,95.0,95.0,38.0,5.0,1393.0,365.0,331.0,112.0,63.0,64.0,13.0,0.0,1209.0,1104.0,1143.0,636.0,395.0,445.0,155.0,63.0,4198.0,11.0,19.0,3.0,0.0,0.0,0.0,0.0,67.0,5323.0,5774.0,2984.0,1811.0,2272.0,1266.0,676.0,20186.0,239.0,522.0,294.0,221.0,294.0,233.0,87.0,2159.0,27.0,73.0,24.0,16.0,31.0,0.0,0.0,335.0,40.0,31.0,12.0,16.0,31.0,0.0,0.0,279.0,139.0,190.0,99.0,102.0,125.0,27.0,10.0,992.0,29.0,34.0,3.0,5.0,3.0,0.0,4.0,147.0,600.0,1000.0,636.0,477.0,621.0,315.0,123.0,4041.0,5916.0,6809.0,3687.0,2335.0,2887.0,1659.0,916.0,24249.0,24249.0
Lara,607.0,539.0,279.0,183.0,229.0,129.0,42.0,2315.0,140.0,138.0,95.0,50.0,72.0,12.0,3.0,717.0,231.0,153.0,74.0,22.0,44.0,16.0,3.0,717.0,1876.0,1812.0,996.0,751.0,826.0,262.0,96.0,6782.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,28.0,2961.0,2813.0,1603.0,1157.0,1298.0,508.0,232.0,10656.0,47.0,75.0,48.0,44.0,52.0,35.0,13.0,546.0,20.0,46.0,13.0,8.0,18.0,4.0,0.0,264.0,7.0,16.0,8.0,0.0,11.0,0.0,0.0,148.0,538.0,694.0,487.0,321.0,435.0,81.0,21.0,2805.0,17.0,13.0,11.0,10.0,0.0,0.0,0.0,97.0,724.0,985.0,626.0,474.0,639.0,144.0,59.0,3887.0,3762.0,3772.0,2299.0,1624.0,1966.0,723.0,303.0,14547.0,14547.0
Laverton,5063.0,4625.0,2038.0,1020.0,1272.0,686.0,371.0,15188.0,402.0,265.0,66.0,41.0,67.0,3.0,12.0,1023.0,374.0,263.0,87.0,26.0,29.0,8.0,8.0,1010.0,829.0,554.0,222.0,164.0,153.0,64.0,6.0,2166.0,12.0,34.0,9.0,5.0,0.0,0.0,0.0,106.0,6768.0,5912.0,2592.0,1369.0,1619.0,884.0,453.0,19609.0,376.0,540.0,329.0,199.0,309.0,207.0,88.0,2384.0,39.0,48.0,25.0,3.0,18.0,10.0,0.0,260.0,20.0,32.0,19.0,4.0,7.0,4.0,0.0,196.0,122.0,203.0,83.0,62.0,83.0,18.0,4.0,900.0,11.0,16.0,7.0,0.0,0.0,0.0,5.0,91.0,732.0,975.0,604.0,363.0,549.0,296.0,123.0,3941.0,7458.0,6857.0,3273.0,1784.0,2141.0,1222.0,665.0,23588.0,23588.0
Lowan,197.0,222.0,63.0,38.0,45.0,12.0,6.0,728.0,54.0,28.0,13.0,5.0,11.0,0.0,0.0,241.0,97.0,93.0,32.0,15.0,25.0,0.0,0.0,466.0,2386.0,2351.0,1507.0,998.0,1245.0,172.0,8.0,8738.0,10.0,7.0,0.0,4.0,0.0,0.0,0.0,38.0,2835.0,2830.0,1728.0,1164.0,1387.0,219.0,16.0,10225.0,7.0,20.0,0.0,0.0,3.0,0.0,0.0,54.0,8.0,13.0,16.0,0.0,3.0,0.0,0.0,124.0,4.0,3.0,7.0,7.0,3.0,0.0,0.0,37.0,418.0,582.0,427.0,237.0,268.0,22.0,0.0,2296.0,3.0,10.0,0.0,4.0,0.0,0.0,0.0,34.0,495.0,690.0,491.0,334.0,355.0,43.0,0.0,2619.0,3380.0,3571.0,2253.0,1563.0,1744.0,313.0,21.0,12859.0,12859.0
Macedon,116.0,146.0,76.0,51.0,77.0,6.0,4.0,706.0,214.0,293.0,191.0,96.0,125.0,30.0,0.0,1169.0,200.0,297.0,116.0,75.0,58.0,7.0,3.0,949.0,2238.0,2704.0,1542.0,1043.0,1383.0,507.0,140.0,9554.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,38.0,2891.0,3521.0,2026.0,1348.0,1824.0,621.0,223.0,12501.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,71.0,9.0,42.0,28.0,14.0,12.0,4.0,0.0,230.0,7.0,12.0,18.0,6.0,8.0,4.0,0.0,150.0,160.0,355.0,205.0,175.0,226.0,53.0,31.0,1458.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,38.0,223.0,495.0,365.0,284.0,327.0,104.0,36.0,1990.0,3165.0,4055.0,2406.0,1588.0,2181.0,762.0,285.0,14501.0,14501.0
Malvern,545.0,544.0,215.0,100.0,161.0,143.0,63.0,2081.0,227.0,226.0,128.0,66.0,123.0,70.0,28.0,1225.0,282.0,240.0,116.0,80.0,117.0,67.0,31.0,1260.0,1267.0,1307.0,932.0,718.0,1058.0,737.0,375.0,6636.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,2359.0,2483.0,1554.0,1113.0,1617.0,1186.0,631.0,11047.0,10.0,52.0,30.0,23.0,31.0,27.0,9.0,370.0,24.0,14.0,17.0,8.0,26.0,3.0,15.0,222.0,8.0,8.0,10.0,4.0,6.0,6.0,0.0,139.0,35.0,99.0,91.0,50.0,97.0,95.0,61.0,898.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,97.0,240.0,209.0,124.0,258.0,225.0,123.0,1721.0,2543.0,2775.0,1856.0,1334.0,1943.0,1450.0,743.0,12771.0,12771.0
Melbourne,1502.0,1001.0,364.0,214.0,222.0,160.0,60.0,3767.0,176.0,108.0,72.0,20.0,41.0,3.0,0.0,598.0,342.0,170.0,61.0,19.0,39.0,9.0,0.0,820.0,520.0,421.0,198.0,122.0,162.0,98.0,39.0,1836.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,2669.0,1872.0,775.0,475.0,568.0,356.0,127.0,7207.0,124.0,208.0,109.0,70.0,166.0,164.0,104.0,1308.0,7.0,10.0,0.0,11.0,9.0,0.0,0.0,111.0,3.0,18.0,4.0,0.0,11.0,4.0,0.0,155.0,7.0,61.0,32.0,3.0,37.0,7.0,4.0,312.0,11.0,25.0,13.0,0.0,4.0,0.0,0.0,65.0,252.0,383.0,195.0,150.0,280.0,240.0,142.0,2158.0,3019.0,2255.0,1040.0,704.0,896.0,676.0,323.0,9373.0,9373.0
Melton,3004.0,2725.0,1183.0,654.0,700.0,346.0,139.0,8922.0,317.0,239.0,95.0,29.0,63.0,18.0,1.0,1026.0,251.0,312.0,96.0,51.0,67.0,3.0,0.0,1037.0,2053.0,1969.0,1036.0,678.0,740.0,203.0,89.0,6870.0,3.0,12.0,6.0,3.0,4.0,0.0,0.0,70.0,5724.0,5281.0,2548.0,1525.0,1708.0,663.0,314.0,18005.0,269.0,362.0,201.0,113.0,160.0,34.0,26.0,1431.0,66.0,100.0,33.0,32.0,35.0,4.0,0.0,441.0,34.0,33.0,8.0,1.0,15.0,0.0,0.0,240.0,704.0,849.0,457.0,211.0,325.0,49.0,10.0,2974.0,14.0,16.0,7.0,5.0,0.0,0.0,0.0,97.0,1191.0,1539.0,863.0,532.0,716.0,165.0,58.0,5237.0,6970.0,6855.0,3482.0,2154.0,2390.0,899.0,415.0,23276.0,23276.0
Mildura,408.0,366.0,155.0,99.0,150.0,18.0,6.0,1409.0,99.0,94.0,39.0,3.0,34.0,3.0,0.0,410.0,144.0,92.0,27.0,21.0,26.0,0.0,0.0,484.0,2200.0,2245.0,1490.0,946.0,1067.0,191.0,37.0,8345.0,6.0,17.0,7.0,0.0,0.0,0.0,0.0,73.0,2946.0,2936.0,1832.0,1145.0,1387.0,311.0,49.0,10689.0,29.0,22.0,15.0,3.0,12.0,0.0,3.0,187.0,21.0,37.0,7.0,8.0,4.0,0.0,0.0,166.0,7.0,13.0,9.0,7.0,8.0,0.0,0.0,79.0,473.0,773.0,480.0,325.0,344.0,38.0,0.0,2684.0,7.0,10.0,5.0,3.0,7.0,0.0,0.0,73.0,608.0,946.0,573.0,415.0,439.0,57.0,3.0,3288.0,3582.0,3882.0,2437.0,1596.0,1882.0,410.0,76.0,13971.0,13971.0
Mill Park,1624.0,1685.0,861.0,535.0,655.0,450.0,246.0,6220.0,286.0,302.0,135.0,44.0,105.0,77.0,11.0,1263.0,266.0,218.0,107.0,52.0,57.0,16.0,24.0,972.0,1338.0,1345.0,867.0,548.0,807.0,370.0,172.0,5629.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,56.0,3629.0,3663.0,2066.0,1390.0,1804.0,1083.0,590.0,14260.0,65.0,81.0,56.0,52.0,78.0,32.0,10.0,630.0,21.0,39.0,28.0,8.0,15.0,5.0,3.0,299.0,23.0,36.0,3.0,7.0,6.0,10.0,7.0,167.0,144.0,316.0,199.0,147.0,211.0,80.0,29.0,1450.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,29.0,347.0,628.0,386.0,337.0,450.0,216.0,66.0,2620.0,4002.0,4323.0,2466.0,1720.0,2310.0,1391.0,721.0,16909.0,16909.0
Monbulk,189.0,243.0,135.0,54.0,119.0,42.0,10.0,1184.0,284.0,341.0,173.0,101.0,154.0,59.0,15.0,1403.0,278.0,391.0,156.0,97.0,100.0,56.0,0.0,1382.0,2263.0,2457.0,1506.0,902.0,1186.0,495.0,165.0,9168.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,20.0,3171.0,3483.0,2101.0,1400.0,1769.0,824.0,343.0,13165.0,0.0,11.0,5.0,6.0,7.0,3.0,0.0,90.0,27.0,10.0,24.0,15.0,33.0,9.0,3.0,254.0,8.0,19.0,10.0,12.0,12.0,4.0,4.0,157.0,118.0,297.0,234.0,149.0,240.0,81.0,39.0,1471.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,35.0,210.0,403.0,375.0,249.0,423.0,113.0,54.0,2111.0,3363.0,3990.0,2506.0,1636.0,2219.0,1019.0,454.0,15225.0,15225.0
Mordialloc,1045.0,1409.0,763.0,500.0,666.0,477.0,308.0,5247.0,383.0,431.0,234.0,99.0,148.0,51.0,19.0,1656.0,446.0,424.0,166.0,110.0,135.0,44.0,19.0,1605.0,1755.0,1845.0,1109.0,760.0,1002.0,493.0,247.0,7361.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,3780.0,4134.0,2382.0,1674.0,2089.0,1224.0,655.0,15967.0,46.0,86.0,75.0,53.0,84.0,68.0,34.0,641.0,27.0,44.0,20.0,25.0,34.0,11.0,4.0,297.0,7.0,34.0,7.0,7.0,15.0,0.0,5.0,203.0,84.0,216.0,166.0,64.0,163.0,62.0,20.0,1153.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,34.0,267.0,487.0,394.0,252.0,456.0,225.0,135.0,2477.0,4105.0,4694.0,2814.0,1942.0,2564.0,1502.0,778.0,18379.0,18379.0
Mornington,167.0,298.0,192.0,183.0,249.0,104.0,44.0,1518.0,258.0,385.0,266.0,164.0,218.0,52.0,13.0,1566.0,235.0,350.0,225.0,94.0,169.0,66.0,11.0,1399.0,1802.0,2200.0,1453.0,946.0,1220.0,501.0,181.0,8430.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,26.0,2652.0,3320.0,2265.0,1553.0,1966.0,860.0,376.0,12969.0,5.0,26.0,21.0,0.0,20.0,0.0,0.0,138.0,8.0,58.0,30.0,12.0,50.0,6.0,0.0,322.0,9.0,31.0,14.0,23.0,15.0,6.0,0.0,199.0,125.0,307.0,206.0,163.0,256.0,55.0,24.0,1363.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,229.0,474.0,328.0,255.0,417.0,92.0,63.0,2112.0,2848.0,3782.0,2666.0,1835.0,2375.0,1057.0,477.0,15105.0,15105.0
Morwell,220.0,245.0,104.0,46.0,62.0,15.0,0.0,885.0,71.0,76.0,64.0,31.0,42.0,4.0,0.0,454.0,100.0,63.0,43.0,24.0,42.0,6.0,0.0,442.0,2289.0,2273.0,1356.0,923.0,1068.0,261.0,64.0,8352.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,2816.0,2733.0,1683.0,1117.0,1333.0,343.0,82.0,10248.0,27.0,17.0,12.0,12.0,16.0,0.0,0.0,174.0,35.0,26.0,18.0,11.0,22.0,0.0,0.0,219.0,10.0,33.0,7.0,4.0,15.0,9.0,0.0,137.0,753.0,969.0,567.0,342.0,406.0,72.0,0.0,3267.0,38.0,15.0,4.0,14.0,10.0,0.0,0.0,134.0,872.0,1135.0,711.0,475.0,539.0,105.0,3.0,4028.0,3705.0,3927.0,2463.0,1629.0,1842.0,532.0,129.0,14218.0,14218.0
Mulgrave,2335.0,2398.0,1244.0,765.0,953.0,868.0,504.0,9130.0,133.0,176.0,58.0,34.0,59.0,17.0,11.0,695.0,280.0,238.0,90.0,19.0,29.0,12.0,9.0,923.0,589.0,620.0,334.0,198.0,353.0,139.0,56.0,2469.0,7.0,11.0,3.0,0.0,0.0,0.0,0.0,47.0,3497.0,3543.0,1830.0,1175.0,1528.0,1073.0,605.0,13340.0,134.0,233.0,211.0,144.0,194.0,132.0,136.0,1527.0,17.0,26.0,6.0,10.0,8.0,11.0,17.0,185.0,22.0,29.0,11.0,0.0,14.0,8.0,0.0,158.0,48.0,90.0,93.0,59.0,75.0,33.0,7.0,544.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,327.0,487.0,381.0,302.0,408.0,232.0,183.0,2619.0,3888.0,4084.0,2291.0,1545.0,1958.0,1432.0,805.0,15913.0,15913.0
Murray Plains,195.0,196.0,87.0,24.0,45.0,0.0,0.0,717.0,70.0,33.0,13.0,3.0,3.0,0.0,0.0,207.0,65.0,106.0,39.0,22.0,19.0,0.0,5.0,390.0,2129.0,2286.0,1500.0,905.0,1161.0,209.0,46.0,8518.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,39.0,2514.0,2739.0,1723.0,1121.0,1279.0,249.0,58.0,9919.0,6.0,10.0,9.0,0.0,3.0,0.0,0.0,59.0,15.0,37.0,9.0,0.0,7.0,0.0,0.0,112.0,6.0,7.0,3.0,7.0,0.0,0.0,0.0,84.0,410.0,657.0,434.0,281.0,318.0,35.0,3.0,2453.0,22.0,0.0,8.0,4.0,0.0,0.0,0.0,61.0,509.0,727.0,539.0,336.0,388.0,49.0,3.0,2841.0,3195.0,3544.0,2301.0,1489.0,1737.0,339.0,62.0,12791.0,12791.0
Narracan,173.0,248.0,89.0,61.0,71.0,34.0,7.0,844.0,152.0,175.0,107.0,52.0,55.0,20.0,4.0,736.0,151.0,165.0,52.0,21.0,59.0,6.0,0.0,649.0,2723.0,2623.0,1672.0,1067.0,1285.0,386.0,107.0,9942.0,10.0,8.0,3.0,3.0,0.0,0.0,0.0,49.0,3334.0,3246.0,2008.0,1333.0,1612.0,554.0,140.0,12345.0,6.0,11.0,6.0,3.0,7.0,0.0,0.0,79.0,19.0,40.0,10.0,12.0,26.0,10.0,0.0,202.0,13.0,9.0,29.0,3.0,9.0,3.0,0.0,131.0,397.0,550.0,358.0,310.0,335.0,74.0,21.0,2269.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,48.0,517.0,693.0,469.0,382.0,451.0,119.0,25.0,2800.0,3880.0,3941.0,2563.0,1816.0,2025.0,663.0,195.0,15134.0,15134.0
Narre Warren North,2010.0,2226.0,1240.0,897.0,1138.0,808.0,515.0,8976.0,322.0,242.0,112.0,61.0,81.0,33.0,15.0,1178.0,268.0,274.0,118.0,71.0,71.0,24.0,17.0,1112.0,1278.0,1137.0,610.0,405.0,549.0,244.0,117.0,4603.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,51.0,3958.0,4005.0,2171.0,1593.0,2065.0,1203.0,802.0,15930.0,92.0,225.0,90.0,54.0,141.0,76.0,58.0,967.0,46.0,49.0,44.0,3.0,19.0,0.0,0.0,325.0,8.0,22.0,6.0,7.0,9.0,4.0,0.0,178.0,239.0,291.0,149.0,87.0,120.0,36.0,3.0,1237.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,38.0,495.0,726.0,433.0,303.0,442.0,194.0,102.0,2909.0,4486.0,4718.0,2731.0,1978.0,2444.0,1489.0,997.0,18819.0,18819.0
Narre Warren South,3614.0,3929.0,2359.0,1515.0,2001.0,1244.0,756.0,15476.0,342.0,328.0,135.0,65.0,96.0,52.0,17.0,1381.0,261.0,289.0,114.0,79.0,91.0,24.0,16.0,1133.0,1101.0,1133.0,665.0,480.0,679.0,213.0,71.0,4599.0,8.0,6.0,4.0,0.0,7.0,0.0,0.0,87.0,5392.0,5783.0,3500.0,2336.0,3037.0,1644.0,971.0,22801.0,190.0,368.0,193.0,141.0,241.0,123.0,90.0,1721.0,33.0,36.0,13.0,10.0,34.0,7.0,6.0,358.0,14.0,44.0,10.0,14.0,21.0,0.0,0.0,244.0,262.0,302.0,182.0,122.0,181.0,24.0,12.0,1456.0,0.0,14.0,3.0,12.0,4.0,0.0,0.0,69.0,626.0,948.0,584.0,503.0,612.0,268.0,139.0,3986.0,6093.0,6736.0,4129.0,2917.0,3710.0,1939.0,1146.0,26681.0,26681.0
Nepean,48.0,58.0,29.0,19.0,24.0,5.0,3.0,350.0,169.0,154.0,98.0,59.0,75.0,20.0,6.0,721.0,144.0,117.0,85.0,14.0,44.0,11.0,0.0,621.0,1597.0,1511.0,982.0,587.0,725.0,211.0,107.0,5867.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,26.0,2064.0,1947.0,1269.0,845.0,1032.0,307.0,163.0,7664.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,68.0,6.0,24.0,37.0,9.0,21.0,7.0,0.0,245.0,3.0,32.0,20.0,5.0,13.0,4.0,0.0,133.0,204.0,433.0,268.0,175.0,212.0,65.0,10.0,1654.0,9.0,7.0,3.0,0.0,10.0,3.0,0.0,58.0,279.0,603.0,392.0,261.0,362.0,104.0,20.0,2237.0,2368.0,2528.0,1672.0,1106.0,1403.0,472.0,202.0,9918.0,9918.0
Niddrie,508.0,601.0,354.0,199.0,339.0,244.0,149.0,2711.0,237.0,303.0,118.0,92.0,129.0,105.0,28.0,1278.0,307.0,298.0,115.0,46.0,91.0,29.0,30.0,1249.0,2001.0,2017.0,1160.0,798.0,1165.0,623.0,241.0,8080.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,22.0,3208.0,3399.0,1911.0,1332.0,1808.0,1169.0,594.0,13394.0,15.0,51.0,37.0,14.0,22.0,19.0,21.0,369.0,16.0,37.0,19.0,17.0,11.0,8.0,0.0,249.0,4.0,29.0,7.0,8.0,13.0,11.0,0.0,199.0,105.0,243.0,165.0,74.0,176.0,109.0,33.0,1275.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,22.0,213.0,466.0,332.0,266.0,362.0,239.0,99.0,2231.0,3396.0,3853.0,2297.0,1551.0,2224.0,1445.0,778.0,15642.0,15642.0
Northcote,457.0,296.0,130.0,57.0,71.0,30.0,25.0,1388.0,349.0,387.0,190.0,125.0,169.0,90.0,35.0,1615.0,399.0,359.0,157.0,81.0,111.0,33.0,5.0,1374.0,1673.0,1611.0,1004.0,686.0,921.0,537.0,215.0,6736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2949.0,2794.0,1597.0,1132.0,1446.0,837.0,345.0,11139.0,3.0,21.0,19.0,6.0,11.0,20.0,9.0,222.0,10.0,21.0,19.0,18.0,34.0,4.0,0.0,246.0,0.0,19.0,11.0,13.0,3.0,8.0,3.0,165.0,66.0,152.0,136.0,106.0,147.0,44.0,11.0,956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,138.0,354.0,278.0,162.0,284.0,116.0,57.0,1656.0,3169.0,3179.0,1990.0,1353.0,1765.0,1012.0,467.0,12864.0,12864.0
Oakleigh,1877.0,1690.0,639.0,307.0,437.0,245.0,170.0,5701.0,317.0,254.0,104.0,51.0,148.0,59.0,32.0,1270.0,413.0,383.0,121.0,72.0,88.0,75.0,22.0,1486.0,1165.0,1096.0,849.0,536.0,766.0,463.0,220.0,5253.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,3906.0,3588.0,1919.0,1109.0,1573.0,979.0,576.0,13773.0,53.0,143.0,76.0,25.0,90.0,85.0,28.0,765.0,15.0,14.0,11.0,4.0,13.0,0.0,3.0,252.0,8.0,11.0,13.0,4.0,13.0,3.0,0.0,149.0,28.0,111.0,65.0,69.0,81.0,52.0,10.0,779.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,19.0,180.0,447.0,272.0,228.0,306.0,250.0,96.0,2176.0,4161.0,4105.0,2194.0,1409.0,1972.0,1303.0,740.0,15935.0,15935.0
Ovens Valley,148.0,172.0,50.0,22.0,27.0,8.0,0.0,516.0,71.0,87.0,87.0,23.0,43.0,3.0,4.0,460.0,115.0,111.0,63.0,22.0,20.0,0.0,0.0,495.0,1945.0,2103.0,1359.0,987.0,1196.0,202.0,33.0,7936.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,35.0,2416.0,2572.0,1623.0,1129.0,1372.0,269.0,39.0,9540.0,3.0,3.0,7.0,6.0,7.0,0.0,0.0,54.0,7.0,14.0,4.0,3.0,3.0,0.0,0.0,76.0,0.0,21.0,10.0,2.0,12.0,0.0,0.0,78.0,292.0,570.0,346.0,247.0,263.0,36.0,7.0,2045.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,42.0,356.0,667.0,424.0,299.0,332.0,49.0,7.0,2444.0,2826.0,3251.0,2139.0,1475.0,1774.0,345.0,46.0,11951.0,11951.0
