district,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot,P_Tot_Tot_total
Melbourne,14.0,0.0,0.0,0.0,2420.0,2438.0,66.0,0.0,4.0,4.0,10131.0,10316.0,3466.0,130.0,195.0,3.0,17042.0,20921.0,3784.0,214.0,516.0,0.0,4663.0,9352.0,1902.0,195.0,533.0,7.0,1626.0,4576.0,1577.0,147.0,573.0,16.0,803.0,3383.0,1299.0,84.0,384.0,44.0,309.0,2327.0,585.0,10.0,108.0,47.0,73.0,1033.0,98.0,0.0,18.0,63.0,21.0,256.0,13045.0,1170.0,2703.0,283.0,37377.0,54581.0,6.0,0.0,0.0,0.0,3018.0,3043.0,184.0,16.0,3.0,9.0,11336.0,11625.0,4191.0,209.0,309.0,0.0,15945.0,20752.0,3281.0,229.0,731.0,9.0,3812.0,8221.0,2003.0,180.0,701.0,15.0,1336.0,4402.0,1610.0,104.0,797.0,125.0,642.0,3524.0,1066.0,73.0,499.0,223.0,264.0,2415.0,324.0,4.0,127.0,320.0,63.0,1039.0,48.0,0.0,21.0,308.0,40.0,494.0,12891.0,1147.0,3520.0,1329.0,36691.0,55702.0,20.0,0.0,0.0,0.0,5524.0,5556.0,328.0,19.0,7.0,12.0,21472.0,21894.0,7627.0,380.0,522.0,10.0,32902.0,41588.0,7031.0,518.0,1291.0,12.0,8519.0,17578.0,3917.0,461.0,1307.0,25.0,3064.0,8948.0,3198.0,297.0,1448.0,183.0,1562.0,6854.0,2417.0,155.0,999.0,334.0,631.0,4761.0,982.0,28.0,284.0,389.0,218.0,2141.0,160.0,0.0,55.0,410.0,69.0,883.0,25924.0,2320.0,6213.0,1693.0,74054.0,110285.0,110285.0
Melton,0.0,0.0,0.0,0.0,2427.0,2425.0,10.0,0.0,0.0,0.0,2460.0,2540.0,2413.0,45.0,96.0,0.0,3819.0,6453.0,4281.0,226.0,283.0,0.0,1733.0,6632.0,2675.0,223.0,576.0,13.0,1067.0,4568.0,2143.0,146.0,503.0,47.0,348.0,3459.0,1884.0,131.0,333.0,120.0,151.0,2836.0,742.0,20.0,131.0,102.0,25.0,1164.0,55.0,0.0,3.0,49.0,3.0,181.0,14338.0,1072.0,2176.0,508.0,12067.0,30226.0,0.0,0.0,0.0,0.0,2347.0,2354.0,151.0,4.0,0.0,0.0,2307.0,2430.0,3447.0,159.0,127.0,0.0,3293.0,7211.0,4023.0,353.0,442.0,18.0,1623.0,6633.0,2406.0,313.0,739.0,60.0,987.0,4581.0,2085.0,226.0,786.0,182.0,301.0,3742.0,1687.0,98.0,560.0,476.0,45.0,3101.0,383.0,14.0,111.0,429.0,8.0,1181.0,42.0,0.0,19.0,227.0,0.0,334.0,14397.0,1496.0,3080.0,1722.0,11036.0,31668.0,0.0,0.0,0.0,0.0,4771.0,4774.0,205.0,6.0,0.0,0.0,4719.0,4965.0,5907.0,276.0,274.0,0.0,7094.0,13660.0,8275.0,643.0,824.0,14.0,3324.0,13167.0,5112.0,645.0,1322.0,92.0,1938.0,9174.0,4228.0,425.0,1350.0,285.0,728.0,7152.0,3587.0,255.0,949.0,670.0,232.0,5859.0,1238.0,59.0,305.0,575.0,34.0,2365.0,127.0,0.0,36.0,302.0,3.0,592.0,28752.0,2513.0,5213.0,2239.0,23086.0,61884.0,61884.0
Mildura,0.0,0.0,0.0,0.0,2028.0,2028.0,19.0,3.0,0.0,0.0,1906.0,1975.0,1312.0,19.0,39.0,6.0,3090.0,4500.0,2204.0,157.0,175.0,0.0,1288.0,4002.0,2383.0,219.0,418.0,17.0,1052.0,4211.0,2782.0,245.0,764.0,38.0,702.0,4698.0,2546.0,140.0,626.0,133.0,352.0,3973.0,1433.0,36.0,204.0,187.0,75.0,2060.0,363.0,4.0,4.0,180.0,11.0,723.0,13174.0,1052.0,2441.0,808.0,10723.0,28245.0,0.0,0.0,0.0,0.0,1837.0,1841.0,60.0,0.0,0.0,0.0,1608.0,1734.0,1593.0,84.0,58.0,4.0,2684.0,4570.0,2300.0,186.0,245.0,5.0,1299.0,4103.0,2470.0,283.0,619.0,57.0,796.0,4363.0,2806.0,219.0,877.0,209.0,478.0,4744.0,2361.0,83.0,600.0,568.0,117.0,3912.0,1065.0,0.0,161.0,935.0,29.0,2302.0,184.0,0.0,26.0,946.0,4.0,1269.0,12884.0,1172.0,2840.0,2912.0,9044.0,28872.0,0.0,0.0,0.0,0.0,3883.0,3886.0,100.0,3.0,0.0,0.0,3598.0,3743.0,3016.0,159.0,100.0,13.0,5840.0,9102.0,4529.0,466.0,450.0,5.0,2610.0,8130.0,4857.0,565.0,1138.0,67.0,1907.0,8602.0,5551.0,497.0,1730.0,302.0,1205.0,9406.0,4916.0,271.0,1202.0,787.0,521.0,7838.0,2442.0,52.0,430.0,1196.0,134.0,4466.0,589.0,7.0,54.0,1197.0,25.0,1987.0,26072.0,2217.0,5266.0,3773.0,19816.0,57116.0,57116.0
Mill Park,0.0,0.0,0.0,0.0,2260.0,2258.0,13.0,0.0,0.0,0.0,2310.0,2385.0,1655.0,22.0,13.0,0.0,3326.0,5059.0,3368.0,100.0,148.0,0.0,1191.0,4940.0,3134.0,153.0,373.0,0.0,652.0,4384.0,2951.0,167.0,433.0,26.0,271.0,4023.0,2090.0,48.0,206.0,74.0,54.0,2662.0,828.0,16.0,49.0,103.0,20.0,1145.0,161.0,0.0,9.0,94.0,11.0,354.0,14227.0,756.0,1524.0,456.0,10229.0,27294.0,0.0,0.0,0.0,0.0,2062.0,2073.0,86.0,0.0,0.0,0.0,1999.0,2120.0,2211.0,79.0,61.0,0.0,2608.0,5010.0,3516.0,200.0,268.0,3.0,932.0,4956.0,3226.0,229.0,604.0,10.0,567.0,4829.0,2868.0,174.0,834.0,150.0,228.0,4469.0,1744.0,69.0,430.0,431.0,59.0,2800.0,541.0,19.0,87.0,567.0,7.0,1362.0,90.0,0.0,16.0,564.0,6.0,722.0,14321.0,997.0,2492.0,1943.0,8594.0,28407.0,0.0,0.0,0.0,0.0,4280.0,4291.0,123.0,0.0,0.0,0.0,4416.0,4579.0,3858.0,118.0,125.0,0.0,5954.0,10098.0,6920.0,351.0,489.0,8.0,2104.0,9966.0,6372.0,427.0,1040.0,22.0,1247.0,9211.0,5857.0,410.0,1320.0,260.0,561.0,8455.0,3701.0,193.0,670.0,582.0,136.0,5426.0,1403.0,40.0,176.0,718.0,26.0,2537.0,292.0,6.0,29.0,665.0,21.0,1122.0,28551.0,1775.0,3974.0,2503.0,18887.0,55703.0,55703.0
Monbulk,0.0,0.0,0.0,0.0,2226.0,2231.0,4.0,0.0,0.0,0.0,1801.0,1822.0,913.0,1.0,11.0,0.0,2513.0,3517.0,2570.0,48.0,151.0,0.0,1328.0,4320.0,3059.0,185.0,397.0,4.0,1184.0,4921.0,2953.0,118.0,600.0,23.0,622.0,4472.0,2396.0,77.0,498.0,86.0,243.0,3459.0,1060.0,15.0,126.0,114.0,44.0,1539.0,142.0,0.0,10.0,71.0,3.0,334.0,13247.0,711.0,2068.0,529.0,10068.0,26638.0,0.0,0.0,0.0,0.0,1897.0,1906.0,6.0,0.0,0.0,0.0,1546.0,1556.0,1270.0,32.0,15.0,0.0,2163.0,3562.0,2933.0,82.0,251.0,0.0,1248.0,4631.0,3125.0,223.0,612.0,4.0,1009.0,5112.0,2915.0,173.0,804.0,127.0,437.0,4674.0,2135.0,99.0,678.0,272.0,158.0,3500.0,676.0,5.0,211.0,438.0,11.0,1515.0,69.0,0.0,7.0,371.0,0.0,515.0,13258.0,893.0,2872.0,1491.0,8677.0,27148.0,0.0,0.0,0.0,0.0,4156.0,4157.0,20.0,0.0,0.0,0.0,3365.0,3404.0,2200.0,31.0,60.0,4.0,4629.0,7022.0,5544.0,208.0,485.0,0.0,2671.0,8909.0,6150.0,519.0,1125.0,35.0,2183.0,10061.0,5917.0,386.0,1476.0,211.0,1139.0,9167.0,4572.0,216.0,1165.0,438.0,463.0,6995.0,1763.0,22.0,407.0,592.0,68.0,3049.0,286.0,0.0,33.0,510.0,9.0,913.0,26474.0,1613.0,4945.0,2038.0,18733.0,53781.0,53781.0
Mordialloc,0.0,0.0,0.0,0.0,2249.0,2260.0,6.0,0.0,0.0,0.0,2037.0,2047.0,1087.0,18.0,19.0,0.0,2850.0,3988.0,3537.0,96.0,188.0,6.0,1261.0,5205.0,3673.0,138.0,468.0,0.0,922.0,5290.0,2899.0,136.0,526.0,19.0,514.0,4209.0,2002.0,57.0,308.0,79.0,193.0,2815.0,1008.0,4.0,136.0,118.0,48.0,1443.0,247.0,0.0,15.0,114.0,0.0,512.0,14572.0,649.0,1723.0,573.0,10126.0,27785.0,0.0,0.0,0.0,0.0,2187.0,2194.0,16.0,0.0,0.0,0.0,1875.0,1924.0,1553.0,52.0,37.0,0.0,2564.0,4286.0,3842.0,127.0,338.0,6.0,1252.0,5765.0,3742.0,269.0,706.0,54.0,894.0,5838.0,2769.0,119.0,816.0,150.0,491.0,4418.0,1807.0,86.0,588.0,371.0,169.0,3133.0,778.0,15.0,262.0,641.0,57.0,1931.0,98.0,0.0,49.0,682.0,24.0,948.0,14775.0,955.0,3003.0,2128.0,9718.0,30538.0,0.0,0.0,0.0,0.0,4514.0,4530.0,66.0,0.0,0.0,0.0,3925.0,4009.0,2674.0,76.0,75.0,0.0,5462.0,8310.0,7426.0,271.0,581.0,16.0,2569.0,10920.0,7407.0,471.0,1249.0,64.0,1817.0,11019.0,5674.0,331.0,1342.0,239.0,989.0,8651.0,3847.0,190.0,944.0,478.0,389.0,5930.0,1827.0,37.0,467.0,859.0,129.0,3439.0,421.0,0.0,87.0,892.0,38.0,1501.0,29348.0,1562.0,4821.0,2719.0,19862.0,58386.0,58386.0
Mornington,0.0,0.0,0.0,0.0,2169.0,2169.0,0.0,0.0,0.0,0.0,1443.0,1435.0,543.0,9.0,3.0,0.0,1541.0,2099.0,2239.0,74.0,79.0,0.0,797.0,3308.0,3197.0,140.0,412.0,3.0,697.0,4531.0,2804.0,123.0,479.0,13.0,364.0,4010.0,2928.0,55.0,408.0,67.0,153.0,3780.0,2093.0,6.0,199.0,249.0,50.0,2787.0,668.0,0.0,28.0,244.0,7.0,1004.0,14479.0,605.0,1845.0,772.0,7403.0,25105.0,0.0,0.0,0.0,0.0,2091.0,2097.0,0.0,0.0,0.0,0.0,1374.0,1379.0,745.0,15.0,18.0,0.0,1333.0,2161.0,2622.0,71.0,205.0,4.0,909.0,3872.0,3407.0,225.0,672.0,15.0,727.0,5155.0,2759.0,142.0,855.0,100.0,381.0,4441.0,2886.0,91.0,904.0,509.0,175.0,4720.0,1753.0,45.0,403.0,1037.0,76.0,3410.0,291.0,0.0,58.0,1034.0,33.0,1502.0,14500.0,808.0,3280.0,2866.0,7174.0,28580.0,0.0,0.0,0.0,0.0,4263.0,4264.0,11.0,0.0,0.0,0.0,2773.0,2789.0,1293.0,35.0,21.0,0.0,2812.0,4261.0,4900.0,212.0,385.0,4.0,1662.0,7183.0,6576.0,431.0,1094.0,40.0,1457.0,9709.0,5625.0,322.0,1392.0,152.0,787.0,8340.0,5768.0,207.0,1358.0,666.0,378.0,8464.0,3901.0,79.0,688.0,1320.0,136.0,6141.0,1008.0,3.0,115.0,1281.0,49.0,2482.0,28975.0,1448.0,5156.0,3640.0,14513.0,53703.0,53703.0
Morwell,0.0,0.0,0.0,4.0,2090.0,2090.0,0.0,0.0,0.0,0.0,1980.0,2004.0,1091.0,31.0,8.0,0.0,3223.0,4492.0,1947.0,179.0,212.0,0.0,1519.0,4016.0,2081.0,255.0,549.0,11.0,1147.0,4203.0,2611.0,211.0,856.0,56.0,786.0,4679.0,2640.0,152.0,791.0,157.0,356.0,4217.0,1457.0,41.0,219.0,245.0,70.0,2244.0,344.0,6.0,23.0,227.0,6.0,701.0,12172.0,1152.0,2797.0,915.0,11405.0,28549.0,0.0,0.0,0.0,0.0,1920.0,1932.0,14.0,7.0,0.0,0.0,1955.0,2027.0,1417.0,83.0,46.0,0.0,3038.0,4737.0,2081.0,255.0,377.0,13.0,1480.0,4321.0,2192.0,300.0,805.0,46.0,951.0,4507.0,2725.0,239.0,1114.0,297.0,506.0,5030.0,2481.0,175.0,811.0,734.0,153.0,4380.0,1137.0,18.0,220.0,1061.0,22.0,2521.0,135.0,0.0,18.0,875.0,34.0,1155.0,12301.0,1347.0,3502.0,3135.0,10227.0,30618.0,0.0,0.0,0.0,4.0,4095.0,4095.0,46.0,10.0,0.0,0.0,3941.0,4022.0,2539.0,164.0,96.0,0.0,6271.0,9197.0,4078.0,440.0,580.0,26.0,3071.0,8198.0,4271.0,673.0,1336.0,67.0,2241.0,8654.0,5340.0,512.0,1997.0,396.0,1351.0,9672.0,5070.0,423.0,1558.0,963.0,554.0,8592.0,2577.0,95.0,521.0,1335.0,108.0,4740.0,544.0,9.0,48.0,1150.0,35.0,1800.0,24440.0,2511.0,6345.0,4080.0,21684.0,59128.0,59128.0
Mulgrave,0.0,0.0,0.0,0.0,2014.0,2023.0,46.0,0.0,0.0,0.0,2660.0,2786.0,2073.0,65.0,67.0,0.0,4180.0,6460.0,3487.0,100.0,266.0,8.0,1394.0,5378.0,2995.0,95.0,425.0,12.0,989.0,4623.0,2651.0,177.0,453.0,30.0,527.0,4035.0,2583.0,88.0,375.0,54.0,222.0,3481.0,1884.0,36.0,126.0,270.0,48.0,2537.0,575.0,3.0,22.0,265.0,11.0,990.0,16413.0,837.0,1978.0,887.0,12200.0,32258.0,0.0,0.0,0.0,0.0,1822.0,1819.0,172.0,4.0,0.0,0.0,2081.0,2343.0,2690.0,68.0,155.0,3.0,2637.0,5610.0,3519.0,153.0,369.0,14.0,974.0,5218.0,3013.0,173.0,676.0,47.0,660.0,4682.0,2593.0,135.0,752.0,225.0,334.0,4212.0,2489.0,82.0,522.0,647.0,185.0,4138.0,1415.0,4.0,187.0,1037.0,49.0,2773.0,289.0,3.0,49.0,1160.0,25.0,1654.0,16237.0,901.0,2951.0,3330.0,8965.0,32447.0,0.0,0.0,0.0,0.0,3841.0,3840.0,277.0,4.0,0.0,0.0,4798.0,5088.0,4775.0,164.0,269.0,6.0,6831.0,12088.0,7039.0,343.0,652.0,27.0,2396.0,10574.0,5956.0,324.0,1102.0,82.0,1634.0,9294.0,5232.0,344.0,1293.0,318.0,970.0,8209.0,5112.0,213.0,961.0,773.0,424.0,7600.0,3278.0,70.0,360.0,1358.0,144.0,5335.0,909.0,13.0,77.0,1542.0,48.0,2684.0,32636.0,1828.0,4918.0,4320.0,21065.0,64739.0,64739.0
Murray Plains,0.0,0.0,0.0,0.0,1888.0,1898.0,6.0,0.0,0.0,0.0,1624.0,1638.0,948.0,12.0,5.0,0.0,2325.0,3337.0,1879.0,94.0,132.0,0.0,1057.0,3256.0,2205.0,152.0,418.0,8.0,881.0,3811.0,2841.0,140.0,725.0,51.0,679.0,4621.0,2806.0,153.0,633.0,147.0,358.0,4247.0,1792.0,43.0,240.0,304.0,60.0,2466.0,418.0,0.0,12.0,281.0,10.0,891.0,12901.0,1004.0,2393.0,944.0,8937.0,26207.0,0.0,0.0,0.0,0.0,1655.0,1656.0,36.0,0.0,0.0,0.0,1483.0,1596.0,1170.0,59.0,29.0,0.0,2134.0,3555.0,2018.0,168.0,213.0,11.0,967.0,3536.0,2377.0,242.0,538.0,17.0,730.0,3996.0,2879.0,158.0,771.0,212.0,420.0,4700.0,2579.0,94.0,628.0,550.0,116.0,4117.0,1362.0,26.0,242.0,955.0,29.0,2719.0,215.0,4.0,22.0,986.0,7.0,1305.0,12836.0,1061.0,2655.0,2931.0,7821.0,27319.0,0.0,0.0,0.0,0.0,3604.0,3613.0,92.0,0.0,0.0,0.0,3137.0,3256.0,2129.0,100.0,47.0,0.0,4500.0,6945.0,3958.0,285.0,403.0,15.0,1984.0,6807.0,4573.0,529.0,1023.0,43.0,1580.0,7880.0,5818.0,382.0,1532.0,297.0,1163.0,9328.0,5390.0,339.0,1260.0,785.0,532.0,8477.0,3072.0,75.0,518.0,1280.0,139.0,5205.0,656.0,4.0,50.0,1279.0,27.0,2168.0,25753.0,2038.0,5043.0,3960.0,16833.0,53481.0,53481.0
Narracan,0.0,0.0,0.0,0.0,1928.0,1936.0,7.0,0.0,0.0,4.0,1687.0,1729.0,1294.0,35.0,31.0,0.0,2470.0,3936.0,2312.0,80.0,172.0,0.0,1150.0,3817.0,2409.0,157.0,481.0,18.0,874.0,3968.0,2809.0,151.0,631.0,29.0,597.0,4292.0,2815.0,91.0,531.0,102.0,213.0,4043.0,1626.0,23.0,149.0,171.0,40.0,2233.0,284.0,5.0,9.0,185.0,11.0,559.0,13641.0,813.0,2214.0,706.0,9210.0,26596.0,0.0,0.0,0.0,0.0,1955.0,1951.0,40.0,0.0,0.0,0.0,1640.0,1683.0,1649.0,76.0,62.0,0.0,2542.0,4398.0,2402.0,172.0,287.0,3.0,1086.0,3949.0,2654.0,219.0,629.0,36.0,721.0,4360.0,2947.0,178.0,888.0,209.0,402.0,4736.0,2686.0,68.0,645.0,458.0,152.0,4174.0,1192.0,4.0,211.0,751.0,12.0,2292.0,83.0,3.0,19.0,644.0,9.0,886.0,13670.0,898.0,2899.0,2308.0,8639.0,28534.0,0.0,0.0,0.0,0.0,3894.0,3898.0,71.0,0.0,0.0,4.0,3345.0,3431.0,2883.0,151.0,104.0,0.0,5021.0,8262.0,4661.0,300.0,493.0,10.0,2159.0,7822.0,5005.0,481.0,1101.0,63.0,1620.0,8372.0,5798.0,380.0,1512.0,277.0,1030.0,9052.0,5410.0,233.0,1244.0,655.0,454.0,8089.0,2839.0,51.0,430.0,960.0,81.0,4549.0,434.0,10.0,46.0,856.0,12.0,1523.0,27309.0,1781.0,5079.0,3073.0,17866.0,55085.0,55085.0
Narre Warren North,0.0,0.0,0.0,0.0,2521.0,2523.0,44.0,0.0,0.0,0.0,2787.0,2860.0,1826.0,21.0,46.0,0.0,3681.0,5692.0,3450.0,87.0,215.0,0.0,1231.0,5166.0,3411.0,160.0,389.0,0.0,740.0,4837.0,3697.0,171.0,518.0,21.0,430.0,5013.0,2721.0,76.0,306.0,66.0,56.0,3449.0,1167.0,24.0,103.0,150.0,11.0,1631.0,267.0,0.0,3.0,130.0,0.0,491.0,16634.0,850.0,1885.0,623.0,11668.0,31701.0,0.0,0.0,0.0,0.0,2335.0,2352.0,98.0,5.0,0.0,0.0,2361.0,2508.0,2417.0,75.0,75.0,3.0,2812.0,5554.0,3581.0,223.0,330.0,8.0,991.0,5268.0,3607.0,175.0,710.0,27.0,704.0,5249.0,3565.0,229.0,812.0,189.0,291.0,5344.0,2256.0,77.0,484.0,533.0,63.0,3656.0,786.0,13.0,142.0,667.0,8.0,1783.0,125.0,7.0,15.0,626.0,7.0,834.0,16511.0,1026.0,2835.0,2310.0,9668.0,32431.0,0.0,0.0,0.0,0.0,4807.0,4810.0,162.0,5.0,0.0,0.0,5194.0,5421.0,4273.0,110.0,170.0,3.0,6444.0,11177.0,7055.0,370.0,628.0,8.0,2278.0,10452.0,6963.0,416.0,1062.0,44.0,1439.0,9995.0,7260.0,474.0,1328.0,305.0,799.0,10338.0,4987.0,245.0,882.0,658.0,189.0,7127.0,2001.0,49.0,311.0,884.0,33.0,3390.0,435.0,9.0,21.0,812.0,18.0,1414.0,33143.0,1921.0,4791.0,3029.0,21294.0,64193.0,64193.0
Narre Warren South,0.0,0.0,0.0,0.0,3382.0,3390.0,31.0,0.0,0.0,0.0,3470.0,3553.0,2380.0,40.0,41.0,0.0,3759.0,6289.0,5023.0,144.0,253.0,4.0,1268.0,6776.0,4558.0,115.0,456.0,11.0,711.0,5980.0,3486.0,169.0,545.0,34.0,328.0,4696.0,1913.0,50.0,237.0,89.0,61.0,2530.0,717.0,26.0,60.0,78.0,7.0,1076.0,79.0,0.0,0.0,33.0,5.0,169.0,18293.0,855.0,1802.0,390.0,13124.0,34505.0,0.0,0.0,0.0,0.0,3295.0,3301.0,205.0,0.0,0.0,0.0,2951.0,3222.0,3425.0,109.0,103.0,0.0,2776.0,6532.0,5083.0,247.0,397.0,10.0,996.0,6920.0,4301.0,261.0,790.0,99.0,593.0,6171.0,3050.0,191.0,730.0,252.0,205.0,4682.0,1495.0,54.0,366.0,482.0,48.0,2558.0,430.0,6.0,60.0,434.0,7.0,1117.0,13.0,0.0,13.0,208.0,0.0,314.0,18058.0,1182.0,2693.0,1847.0,11074.0,34895.0,5.0,0.0,0.0,0.0,6688.0,6727.0,297.0,0.0,0.0,0.0,6408.0,6790.0,5734.0,198.0,230.0,3.0,6530.0,12800.0,10027.0,481.0,762.0,21.0,2318.0,13672.0,8822.0,488.0,1264.0,131.0,1380.0,12236.0,6441.0,369.0,1299.0,356.0,644.0,9326.0,3365.0,159.0,676.0,608.0,139.0,5065.0,1219.0,32.0,161.0,602.0,10.0,2213.0,172.0,0.0,16.0,266.0,6.0,638.0,36328.0,2028.0,4531.0,2265.0,24153.0,69416.0,69416.0
Nepean,0.0,0.0,0.0,0.0,1444.0,1442.0,0.0,0.0,0.0,0.0,1171.0,1180.0,533.0,7.0,6.0,0.0,1907.0,2488.0,1368.0,72.0,117.0,0.0,1092.0,2823.0,1910.0,241.0,514.0,8.0,1124.0,3802.0,2634.0,191.0,741.0,23.0,674.0,4394.0,3662.0,218.0,783.0,147.0,327.0,5182.0,2349.0,47.0,327.0,324.0,75.0,3265.0,672.0,18.0,38.0,318.0,4.0,1148.0,13211.0,993.0,2678.0,997.0,7857.0,25768.0,0.0,0.0,0.0,0.0,1330.0,1330.0,14.0,0.0,0.0,0.0,1170.0,1203.0,747.0,24.0,26.0,0.0,1785.0,2643.0,1645.0,120.0,178.0,6.0,1008.0,3083.0,2013.0,234.0,677.0,6.0,963.0,4021.0,2926.0,245.0,1066.0,139.0,548.0,4974.0,3544.0,122.0,998.0,578.0,210.0,5491.0,1913.0,33.0,441.0,1018.0,98.0,3593.0,304.0,3.0,47.0,950.0,23.0,1463.0,13117.0,1019.0,3524.0,2853.0,7250.0,27818.0,0.0,0.0,0.0,0.0,2792.0,2795.0,17.0,0.0,0.0,0.0,2347.0,2357.0,1324.0,43.0,38.0,0.0,3712.0,5213.0,3011.0,219.0,386.0,12.0,2095.0,5858.0,3902.0,521.0,1194.0,30.0,2045.0,7799.0,5612.0,437.0,1766.0,199.0,1257.0,9358.0,7189.0,378.0,1777.0,775.0,601.0,10756.0,4187.0,131.0,835.0,1402.0,181.0,6791.0,994.0,32.0,106.0,1310.0,41.0,2595.0,26283.0,2006.0,6234.0,3881.0,15126.0,53651.0,53651.0
