district,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Narre Warren South,88.0,87.0,88.0,87.0,88.0,87.0,88.0,88.0,82.0,76.0,84.0,79.0,88.0,88.0,88.0,86.0,79.0,59.0,80.0,68.0,85.0,81.0,87.0,86.0,85.0,80.0,86.0,81.0,73.0,57.0,73.0,58.0,85.0,65.0,84.0,72.0,84.0,68.0,84.0,70.0,5.0,2.0,6.0,2.0,82.0,80.0,87.0,82.0,84.0,65.0,76.0,48.0,72.0,44.0,78.0,55.0,86.0,80.0,85.0,77.0,68.0,36.0,77.0,50.0,78.0,30.0,82.0,50.0,84.0,73.0,83.0,73.0,58.0,18.0,58.0,22.0,76.0,22.0,79.0,43.0,71.0,29.0,76.0,41.0,52.0,28.0,60.0,25.0,85.0,2.0,86.0,59.0,86.0
Nepean,30.0,41.0,17.0,26.0,7.0,11.0,6.0,6.0,3.0,3.0,3.0,4.0,24.0,31.0,29.0,37.0,2.0,1.0,3.0,3.0,4.0,4.0,6.0,5.0,8.0,12.0,8.0,12.0,7.0,20.0,7.0,24.0,9.0,28.0,8.0,22.0,16.0,43.0,15.0,43.0,82.0,83.0,82.0,83.0,14.0,16.0,37.0,42.0,19.0,43.0,13.0,29.0,34.0,64.0,34.0,57.0,47.0,57.0,39.0,54.0,38.0,66.0,37.0,60.0,32.0,73.0,24.0,59.0,15.0,17.0,19.0,28.0,17.0,44.0,25.0,63.0,31.0,72.0,31.0,69.0,39.0,72.0,31.0,68.0,25.0,49.0,10.0,28.0,7.0,83.0,4.0,60.0,4.0
Niddrie,26.0,23.0,23.0,21.0,60.0,63.0,55.0,58.0,46.0,31.0,47.0,29.0,28.0,26.0,25.0,24.0,44.0,36.0,44.0,34.0,53.0,62.0,54.0,60.0,72.0,77.0,74.0,79.0,68.0,69.0,68.0,67.0,74.0,78.0,74.0,78.0,76.0,79.0,76.0,80.0,32.0,32.0,31.0,31.0,15.0,17.0,25.0,26.0,40.0,37.0,34.0,28.0,22.0,15.0,23.0,20.0,29.0,28.0,34.0,33.0,12.0,7.0,16.0,12.0,47.0,53.0,47.0,46.0,80.0,86.0,64.0,72.0,43.0,45.0,54.0,52.0,72.0,76.0,67.0,76.0,73.0,75.0,73.0,77.0,41.0,47.0,52.0,55.0,50.0,32.0,49.0,61.0,49.0
Northcote,7.0,8.0,8.0,10.0,32.0,56.0,21.0,42.0,27.0,66.0,22.0,49.0,8.0,8.0,7.0,7.0,38.0,68.0,30.0,67.0,25.0,49.0,23.0,37.0,27.0,39.0,25.0,34.0,58.0,73.0,57.0,72.0,26.0,48.0,28.0,48.0,9.0,15.0,8.0,15.0,36.0,60.0,34.0,60.0,16.0,18.0,3.0,5.0,9.0,17.0,8.0,16.0,5.0,20.0,8.0,16.0,5.0,5.0,9.0,10.0,13.0,35.0,7.0,18.0,8.0,27.0,8.0,17.0,19.0,26.0,10.0,16.0,46.0,62.0,32.0,62.0,18.0,48.0,18.0,39.0,21.0,44.0,20.0,42.0,48.0,63.0,50.0,68.0,6.0,66.0,10.0,62.0,10.0
Oakleigh,8.0,7.0,9.0,6.0,41.0,18.0,35.0,13.0,65.0,62.0,59.0,39.0,17.0,18.0,17.0,17.0,72.0,67.0,66.0,63.0,57.0,44.0,52.0,33.0,45.0,42.0,46.0,43.0,71.0,66.0,72.0,69.0,60.0,55.0,59.0,52.0,46.0,29.0,47.0,33.0,81.0,56.0,83.0,58.0,25.0,19.0,5.0,3.0,30.0,18.0,19.0,7.0,26.0,11.0,18.0,6.0,16.0,12.0,12.0,11.0,30.0,11.0,19.0,10.0,42.0,29.0,38.0,21.0,30.0,18.0,39.0,29.0,79.0,71.0,77.0,68.0,62.0,57.0,61.0,59.0,65.0,57.0,63.0,58.0,87.0,84.0,87.0,84.0,78.0,67.0,64.0,63.0,64.0
Ovens Valley,35.0,42.0,26.0,40.0,9.0,13.0,15.0,29.0,9.0,12.0,10.0,12.0,34.0,43.0,39.0,55.0,6.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,14.0,23.0,15.0,22.0,12.0,25.0,6.0,17.0,7.0,16.0,7.0,14.0,13.0,31.0,13.0,27.0,74.0,81.0,74.0,81.0,26.0,44.0,43.0,51.0,24.0,49.0,33.0,62.0,51.0,74.0,49.0,71.0,56.0,67.0,44.0,57.0,53.0,73.0,47.0,71.0,25.0,59.0,22.0,54.0,1.0,1.0,3.0,1.0,10.0,20.0,2.0,8.0,9.0,23.0,5.0,13.0,24.0,49.0,17.0,43.0,7.0,15.0,9.0,15.0,8.0,80.0,9.0,64.0,9.0
Pakenham,73.0,73.0,71.0,72.0,63.0,55.0,59.0,51.0,77.0,81.0,77.0,80.0,83.0,84.0,79.0,75.0,78.0,80.0,77.0,81.0,66.0,52.0,66.0,64.0,36.0,27.0,38.0,26.0,25.0,10.0,27.0,14.0,24.0,7.0,27.0,6.0,18.0,7.0,25.0,7.0,17.0,18.0,18.0,17.0,79.0,81.0,77.0,76.0,80.0,78.0,81.0,78.0,84.0,78.0,84.0,77.0,77.0,75.0,63.0,56.0,85.0,81.0,85.0,80.0,76.0,66.0,76.0,76.0,82.0,84.0,75.0,74.0,45.0,32.0,40.0,28.0,54.0,31.0,52.0,37.0,40.0,22.0,53.0,32.0,51.0,48.0,43.0,35.0,64.0,17.0,71.0,65.0,71.0
Pascoe Vale,53.0,55.0,32.0,33.0,25.0,30.0,17.0,18.0,47.0,69.0,41.0,62.0,16.0,21.0,15.0,18.0,52.0,71.0,49.0,69.0,43.0,51.0,38.0,48.0,46.0,54.0,39.0,48.0,44.0,52.0,49.0,59.0,38.0,50.0,40.0,53.0,34.0,47.0,36.0,51.0,27.0,44.0,26.0,45.0,17.0,20.0,20.0,23.0,20.0,23.0,9.0,8.0,24.0,37.0,14.0,24.0,19.0,24.0,11.0,13.0,31.0,44.0,18.0,30.0,31.0,43.0,19.0,36.0,32.0,37.0,40.0,45.0,37.0,55.0,35.0,51.0,40.0,58.0,45.0,66.0,48.0,65.0,47.0,64.0,72.0,74.0,70.0,74.0,22.0,54.0,27.0,66.0,27.0
Point Cook,69.0,51.0,73.0,48.0,83.0,70.0,80.0,65.0,87.0,87.0,87.0,85.0,78.0,56.0,72.0,43.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,82.0,61.0,40.0,64.0,37.0,72.0,49.0,70.0,50.0,67.0,29.0,67.0,36.0,61.0,16.0,61.0,16.0,29.0,7.0,27.0,7.0,18.0,21.0,67.0,48.0,75.0,50.0,77.0,49.0,75.0,45.0,72.0,46.0,32.0,25.0,64.0,41.0,80.0,49.0,75.0,46.0,69.0,14.0,70.0,29.0,55.0,38.0,68.0,42.0,65.0,30.0,69.0,30.0,55.0,4.0,56.0,8.0,46.0,5.0,54.0,10.0,47.0,22.0,56.0,20.0,88.0,11.0,87.0,67.0,87.0
Polwarth,41.0,47.0,53.0,51.0,51.0,60.0,49.0,63.0,40.0,47.0,45.0,60.0,58.0,61.0,50.0,51.0,36.0,44.0,38.0,53.0,32.0,30.0,30.0,31.0,25.0,29.0,24.0,23.0,34.0,42.0,34.0,40.0,21.0,23.0,22.0,23.0,20.0,26.0,19.0,24.0,77.0,71.0,75.0,71.0,27.0,45.0,26.0,28.0,16.0,16.0,27.0,31.0,28.0,34.0,29.0,36.0,27.0,29.0,27.0,28.0,34.0,41.0,36.0,41.0,13.0,12.0,14.0,16.0,23.0,19.0,22.0,20.0,4.0,2.0,9.0,10.0,5.0,6.0,10.0,3.0,15.0,18.0,12.0,15.0,17.0,19.0,11.0,13.0,39.0,59.0,38.0,68.0,38.0
Prahran,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,16.0,2.0,28.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,87.0,88.0,87.0,88.0,19.0,22.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,7.0,6.0,6.0,1.0,5.0,1.0,23.0,1.0,11.0,1.0,17.0,1.0,4.0,5.0,8.0,1.0,2.0,60.0,80.0,52.0,83.0,1.0,20.0,1.0,18.0,1.0,15.0,1.0,5.0,84.0,87.0,79.0,87.0,3.0,88.0,1.0,69.0,1.0
Preston,37.0,37.0,29.0,28.0,12.0,9.0,12.0,10.0,39.0,38.0,33.0,28.0,29.0,32.0,28.0,29.0,48.0,61.0,42.0,51.0,34.0,31.0,29.0,26.0,38.0,43.0,41.0,46.0,28.0,31.0,33.0,35.0,32.0,42.0,38.0,43.0,42.0,49.0,41.0,55.0,49.0,49.0,49.0,50.0,28.0,46.0,39.0,39.0,26.0,30.0,17.0,19.0,39.0,47.0,38.0,42.0,28.0,30.0,35.0,35.0,46.0,55.0,43.0,49.0,59.0,77.0,57.0,71.0,47.0,52.0,50.0,64.0,39.0,48.0,46.0,49.0,81.0,85.0,76.0,83.0,84.0,86.0,82.0,84.0,85.0,83.0,84.0,83.0,46.0,61.0,41.0,70.0,41.0
Richmond,4.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,2.0,3.0,12.0,14.0,6.0,9.0,3.0,17.0,2.0,7.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,13.0,43.0,13.0,41.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,83.0,86.0,81.0,86.0,29.0,47.0,15.0,29.0,5.0,24.0,4.0,12.0,6.0,48.0,9.0,37.0,39.0,49.0,19.0,29.0,10.0,52.0,8.0,44.0,3.0,41.0,5.0,35.0,2.0,2.0,2.0,4.0,26.0,69.0,23.0,66.0,2.0,43.0,2.0,38.0,5.0,31.0,7.0,31.0,78.0,86.0,77.0,86.0,1.0,85.0,2.0,71.0,2.0
Ringwood,44.0,38.0,47.0,34.0,67.0,59.0,62.0,56.0,73.0,74.0,71.0,70.0,23.0,23.0,26.0,23.0,75.0,78.0,75.0,74.0,67.0,68.0,65.0,62.0,68.0,63.0,61.0,56.0,70.0,65.0,69.0,64.0,58.0,49.0,60.0,50.0,40.0,20.0,44.0,29.0,60.0,35.0,63.0,34.0,30.0,23.0,22.0,18.0,23.0,9.0,38.0,20.0,32.0,12.0,27.0,13.0,9.0,7.0,21.0,21.0,29.0,9.0,30.0,14.0,53.0,34.0,45.0,26.0,72.0,69.0,63.0,61.0,76.0,66.0,80.0,71.0,68.0,62.0,64.0,60.0,62.0,50.0,59.0,48.0,61.0,52.0,64.0,57.0,73.0,35.0,68.0,72.0,68.0
Ripon,40.0,43.0,51.0,58.0,29.0,41.0,31.0,43.0,19.0,16.0,20.0,24.0,65.0,80.0,66.0,80.0,13.0,9.0,18.0,15.0,18.0,17.0,19.0,19.0,18.0,18.0,19.0,19.0,8.0,11.0,18.0,19.0,22.0,35.0,20.0,28.0,37.0,52.0,38.0,52.0,75.0,75.0,76.0,74.0,52.0,61.0,48.0,57.0,32.0,44.0,29.0,37.0,58.0,71.0,57.0,69.0,60.0,68.0,62.0,76.0,58.0,69.0,61.0,72.0,37.0,57.0,40.0,55.0,14.0,14.0,18.0,17.0,8.0,11.0,5.0,3.0,25.0,34.0,24.0,27.0,33.0,54.0,38.0,57.0,15.0,20.0,31.0,42.0,33.0,69.0,24.0,73.0,24.0
Rowville,52.0,44.0,50.0,41.0,69.0,61.0,65.0,60.0,52.0,26.0,54.0,26.0,42.0,37.0,52.0,39.0,47.0,21.0,50.0,22.0,71.0,82.0,70.0,78.0,86.0,87.0,85.0,86.0,82.0,79.0,81.0,79.0,88.0,88.0,87.0,88.0,87.0,88.0,86.0,88.0,33.0,24.0,33.0,23.0,20.0,24.0,27.0,24.0,41.0,33.0,21.0,9.0,9.0,2.0,15.0,4.0,11.0,13.0,25.0,25.0,4.0,2.0,9.0,2.0,24.0,5.0,29.0,11.0,54.0,53.0,52.0,51.0,53.0,46.0,56.0,47.0,45.0,27.0,48.0,41.0,47.0,34.0,49.0,33.0,12.0,6.0,24.0,16.0,62.0,22.0,65.0,74.0,65.0
Sandringham,22.0,24.0,12.0,17.0,55.0,75.0,53.0,72.0,30.0,54.0,30.0,46.0,11.0,12.0,11.0,13.0,33.0,53.0,29.0,48.0,42.0,58.0,42.0,58.0,54.0,66.0,48.0,62.0,77.0,81.0,76.0,82.0,53.0,67.0,54.0,70.0,22.0,33.0,21.0,31.0,39.0,51.0,36.0,51.0,21.0,25.0,9.0,10.0,49.0,67.0,22.0,34.0,8.0,14.0,6.0,8.0,12.0,14.0,3.0,1.0,7.0,12.0,5.0,7.0,10.0,11.0,9.0,10.0,34.0,39.0,36.0,43.0,78.0,79.0,74.0,78.0,26.0,41.0,22.0,28.0,11.0,16.0,9.0,11.0,11.0,13.0,3.0,7.0,12.0,46.0,21.0,75.0,21.0
Shepparton,71.0,74.0,72.0,77.0,35.0,35.0,47.0,52.0,38.0,27.0,46.0,42.0,67.0,76.0,73.0,84.0,31.0,24.0,36.0,30.0,29.0,21.0,36.0,25.0,22.0,16.0,34.0,32.0,17.0,12.0,17.0,8.0,30.0,26.0,29.0,29.0,44.0,44.0,42.0,45.0,63.0,55.0,60.0,55.0,64.0,66.0,71.0,70.0,76.0,81.0,74.0,80.0,77.0,80.0,77.0,82.0,83.0,83.0,82.0,84.0,78.0,80.0,80.0,81.0,66.0,78.0,69.0,77.0,41.0,44.0,41.0,44.0,11.0,12.0,15.0,15.0,37.0,38.0,39.0,40.0,56.0,60.0,45.0,52.0,33.0,33.0,40.0,47.0,45.0,38.0,47.0,76.0,47.0
South Barwon,21.0,20.0,25.0,24.0,46.0,50.0,41.0,35.0,62.0,72.0,63.0,75.0,51.0,46.0,46.0,44.0,67.0,77.0,68.0,76.0,50.0,50.0,51.0,53.0,39.0,37.0,36.0,33.0,53.0,55.0,53.0,54.0,39.0,38.0,34.0,37.0,26.0,22.0,26.0,17.0,51.0,45.0,50.0,44.0,42.0,48.0,52.0,52.0,60.0,68.0,64.0,65.0,54.0,54.0,47.0,45.0,43.0,47.0,47.0,47.0,44.0,45.0,42.0,43.0,30.0,23.0,32.0,23.0,33.0,32.0,29.0,23.0,44.0,47.0,30.0,37.0,16.0,8.0,17.0,9.0,13.0,11.0,13.0,13.0,32.0,34.0,26.0,29.0,49.0,36.0,48.0,77.0,48.0
South-West Coast,58.0,62.0,59.0,65.0,26.0,31.0,19.0,19.0,22.0,21.0,23.0,23.0,48.0,49.0,58.0,67.0,21.0,18.0,22.0,20.0,23.0,20.0,24.0,20.0,19.0,17.0,20.0,15.0,19.0,22.0,23.0,30.0,28.0,40.0,25.0,32.0,39.0,53.0,39.0,50.0,76.0,72.0,77.0,72.0,31.0,49.0,49.0,54.0,43.0,54.0,53.0,66.0,64.0,75.0,61.0,73.0,45.0,48.0,61.0,70.0,63.0,75.0,64.0,74.0,45.0,63.0,48.0,60.0,9.0,9.0,15.0,10.0,21.0,33.0,8.0,5.0,32.0,45.0,27.0,31.0,44.0,58.0,39.0,54.0,35.0,43.0,41.0,52.0,42.0,74.0,34.0,78.0,34.0
St Albans,67.0,66.0,69.0,71.0,36.0,28.0,48.0,41.0,24.0,7.0,32.0,11.0,70.0,77.0,68.0,66.0,22.0,5.0,23.0,6.0,46.0,29.0,48.0,34.0,67.0,70.0,66.0,70.0,49.0,48.0,52.0,51.0,68.0,75.0,69.0,75.0,78.0,81.0,78.0,82.0,7.0,16.0,7.0,16.0,77.0,82.0,80.0,87.0,87.0,88.0,87.0,88.0,73.0,76.0,76.0,80.0,70.0,76.0,78.0,80.0,69.0,74.0,70.0,75.0,86.0,85.0,86.0,88.0,88.0,88.0,86.0,88.0,80.0,76.0,83.0,81.0,87.0,88.0,87.0,88.0,86.0,88.0,86.0,88.0,77.0,79.0,82.0,80.0,44.0,20.0,51.0,79.0,51.0
Sunbury,63.0,68.0,46.0,45.0,18.0,14.0,24.0,22.0,32.0,40.0,31.0,38.0,56.0,62.0,51.0,56.0,35.0,46.0,33.0,44.0,38.0,43.0,39.0,42.0,51.0,59.0,51.0,64.0,29.0,38.0,30.0,38.0,51.0,62.0,50.0,61.0,64.0,75.0,64.0,76.0,15.0,34.0,15.0,35.0,58.0,62.0,58.0,63.0,37.0,51.0,35.0,42.0,47.0,59.0,50.0,58.0,38.0,40.0,38.0,45.0,51.0,59.0,50.0,59.0,50.0,70.0,54.0,72.0,67.0,79.0,55.0,75.0,33.0,49.0,28.0,46.0,56.0,77.0,58.0,77.0,67.0,77.0,66.0,75.0,42.0,53.0,36.0,48.0,17.0,39.0,31.0,80.0,31.0
Sydenham,80.0,79.0,78.0,78.0,84.0,84.0,84.0,84.0,75.0,65.0,74.0,68.0,80.0,70.0,78.0,61.0,69.0,41.0,72.0,47.0,81.0,85.0,81.0,85.0,87.0,86.0,87.0,87.0,78.0,70.0,78.0,70.0,87.0,87.0,88.0,87.0,88.0,85.0,87.0,86.0,2.0,5.0,2.0,5.0,81.0,83.0,78.0,77.0,71.0,61.0,66.0,43.0,52.0,28.0,59.0,39.0,40.0,36.0,55.0,43.0,45.0,19.0,48.0,32.0,57.0,26.0,64.0,42.0,87.0,87.0,85.0,85.0,34.0,21.0,59.0,39.0,63.0,36.0,71.0,51.0,61.0,33.0,64.0,44.0,27.0,16.0,25.0,12.0,68.0,6.0,79.0,81.0,79.0
Tarneit,82.0,80.0,83.0,80.0,80.0,67.0,81.0,70.0,86.0,86.0,86.0,87.0,72.0,50.0,80.0,52.0,86.0,86.0,86.0,86.0,86.0,84.0,85.0,84.0,64.0,44.0,70.0,45.0,64.0,44.0,60.0,42.0,63.0,19.0,64.0,30.0,60.0,17.0,62.0,20.0,11.0,6.0,14.0,6.0,76.0,67.0,81.0,78.0,81.0,62.0,85.0,64.0,74.0,46.0,75.0,53.0,52.0,41.0,59.0,40.0,71.0,38.0,74.0,47.0,63.0,7.0,71.0,32.0,62.0,45.0,82.0,70.0,35.0,13.0,55.0,17.0,46.0,3.0,50.0,5.0,35.0,4.0,50.0,7.0,71.0,54.0,74.0,58.0,86.0,4.0,85.0,82.0,85.0
Thomastown,72.0,69.0,75.0,75.0,59.0,46.0,63.0,53.0,76.0,77.0,76.0,76.0,63.0,53.0,59.0,45.0,76.0,75.0,76.0,77.0,70.0,65.0,71.0,67.0,56.0,51.0,58.0,50.0,32.0,17.0,32.0,16.0,55.0,43.0,58.0,44.0,71.0,64.0,71.0,63.0,12.0,15.0,11.0,15.0,65.0,68.0,73.0,69.0,42.0,31.0,65.0,51.0,63.0,49.0,63.0,50.0,63.0,58.0,71.0,61.0,62.0,46.0,63.0,52.0,75.0,61.0,75.0,74.0,81.0,80.0,78.0,77.0,30.0,22.0,45.0,29.0,84.0,73.0,85.0,79.0,85.0,76.0,85.0,82.0,69.0,59.0,73.0,69.0,66.0,13.0,73.0,83.0,73.0
Warrandyte,45.0,39.0,49.0,36.0,77.0,80.0,77.0,81.0,66.0,53.0,64.0,55.0,32.0,27.0,30.0,28.0,61.0,40.0,62.0,42.0,74.0,77.0,73.0,77.0,84.0,85.0,83.0,84.0,84.0,80.0,83.0,80.0,83.0,84.0,83.0,83.0,79.0,78.0,79.0,77.0,47.0,27.0,47.0,27.0,22.0,26.0,23.0,19.0,25.0,10.0,40.0,21.0,11.0,1.0,17.0,3.0,23.0,26.0,31.0,26.0,5.0,1.0,11.0,1.0,23.0,3.0,28.0,6.0,52.0,50.0,65.0,65.0,50.0,36.0,65.0,55.0,44.0,17.0,47.0,29.0,30.0,14.0,34.0,18.0,4.0,3.0,7.0,3.0,67.0,21.0,70.0,84.0,70.0
Wendouree,24.0,30.0,31.0,37.0,17.0,20.0,20.0,26.0,18.0,22.0,17.0,20.0,55.0,63.0,43.0,48.0,19.0,26.0,19.0,23.0,14.0,15.0,14.0,13.0,9.0,8.0,7.0,6.0,26.0,36.0,25.0,34.0,10.0,13.0,10.0,9.0,14.0,25.0,12.0,14.0,43.0,57.0,41.0,56.0,67.0,74.0,66.0,71.0,79.0,84.0,67.0,84.0,85.0,88.0,83.0,88.0,80.0,86.0,79.0,85.0,84.0,88.0,84.0,88.0,77.0,87.0,72.0,85.0,46.0,58.0,38.0,46.0,61.0,72.0,47.0,64.0,57.0,82.0,54.0,78.0,63.0,78.0,60.0,76.0,38.0,56.0,51.0,64.0,16.0,70.0,15.0,85.0,15.0
Werribee,79.0,81.0,76.0,74.0,61.0,39.0,64.0,34.0,80.0,80.0,80.0,77.0,76.0,64.0,70.0,50.0,82.0,81.0,81.0,80.0,77.0,63.0,77.0,66.0,43.0,32.0,53.0,39.0,40.0,26.0,41.0,26.0,47.0,15.0,45.0,19.0,49.0,18.0,53.0,23.0,18.0,13.0,19.0,14.0,86.0,86.0,79.0,80.0,72.0,63.0,79.0,70.0,87.0,77.0,87.0,78.0,81.0,77.0,86.0,81.0,87.0,78.0,87.0,79.0,85.0,74.0,85.0,78.0,65.0,59.0,72.0,62.0,42.0,25.0,62.0,40.0,67.0,51.0,74.0,53.0,68.0,46.0,71.0,56.0,67.0,55.0,68.0,59.0,80.0,18.0,80.0,86.0,80.0
Williamstown,25.0,31.0,33.0,30.0,37.0,51.0,32.0,38.0,56.0,73.0,53.0,71.0,18.0,22.0,24.0,27.0,62.0,79.0,60.0,75.0,45.0,56.0,45.0,55.0,31.0,38.0,29.0,38.0,50.0,58.0,54.0,62.0,29.0,41.0,31.0,41.0,17.0,21.0,17.0,21.0,25.0,42.0,23.0,39.0,32.0,50.0,30.0,32.0,46.0,57.0,36.0,44.0,31.0,41.0,26.0,32.0,25.0,31.0,29.0,30.0,32.0,42.0,26.0,35.0,28.0,39.0,23.0,34.0,24.0,27.0,30.0,33.0,49.0,58.0,48.0,56.0,36.0,55.0,34.0,47.0,37.0,52.0,33.0,49.0,62.0,67.0,55.0,62.0,27.0,42.0,36.0,87.0,36.0
Yan Yean,64.0,59.0,67.0,61.0,73.0,71.0,73.0,71.0,79.0,83.0,79.0,83.0,73.0,71.0,75.0,69.0,80.0,83.0,79.0,83.0,75.0,83.0,76.0,81.0,59.0,55.0,57.0,52.0,39.0,32.0,43.0,33.0,45.0,24.0,46.0,38.0,45.0,27.0,50.0,32.0,3.0,10.0,4.0,10.0,59.0,63.0,53.0,44.0,82.0,80.0,78.0,77.0,66.0,61.0,68.0,60.0,68.0,60.0,68.0,58.0,65.0,57.0,65.0,57.0,55.0,37.0,59.0,44.0,77.0,74.0,53.0,48.0,51.0,37.0,31.0,23.0,34.0,11.0,37.0,11.0,28.0,13.0,29.0,17.0,13.0,8.0,12.0,8.0,57.0,10.0,67.0,88.0,67.0
