district,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Hawthorn,7606.0,0.1465,15157.0,0.2919,7.0,0.0001,253.0,0.0049,1053.0,0.0203,4850.0,0.0934,3.0,0.0001,223.0,0.0043,4048.0,0.0779,15492.0,0.2983,5209.0,0.1003,20743.0,0.3994,510.0,0.0098,2139.0,0.0412,1362.0,0.0262,5000.0,0.0963,1082.0,0.0208,3462.0,0.0667,2988.0,0.0575,10553.0,0.2032,8154.0,0.157,31267.0,0.6021,0.0,0.0,44.0,0.0008,98.0,0.0019,494.0,0.0095,0.0,0.0,54.0,0.001,634.0,0.0122,1546.0,0.0298,829.0,0.016,2159.0,0.0416,50.0,0.001,343.0,0.0066,366.0,0.007,984.0,0.0189,665.0,0.0128,1362.0,0.0262,1113.0,0.0214,2580.0,0.0497,1984.0,0.0382,4758.0,0.0916,320.0,0.0062,781.0,0.015,18157.0,0.3496,51932.0,1.0,51932.0
Ivanhoe,6535.0,0.1258,13084.0,0.2519,30.0,0.0006,444.0,0.0085,801.0,0.0154,3630.0,0.0699,31.0,0.0006,387.0,0.0075,4610.0,0.0888,17704.0,0.3409,5596.0,0.1078,22192.0,0.4273,422.0,0.0081,1949.0,0.0375,923.0,0.0178,3453.0,0.0665,1346.0,0.0259,4427.0,0.0852,2774.0,0.0534,9853.0,0.1897,8399.0,0.1617,32034.0,0.6169,6.0,0.0001,111.0,0.0021,92.0,0.0018,489.0,0.0094,0.0,0.0,68.0,0.0013,795.0,0.0153,1946.0,0.0375,1022.0,0.0197,2649.0,0.051,92.0,0.0018,435.0,0.0084,366.0,0.007,867.0,0.0167,1043.0,0.0201,2314.0,0.0446,1596.0,0.0307,3595.0,0.0692,2599.0,0.05,6236.0,0.1201,283.0,0.0054,540.0,0.0104,17735.0,0.3415,51931.0,1.0,51931.0
Kalkallo,5914.0,0.0702,12152.0,0.1441,244.0,0.0029,1972.0,0.0234,1422.0,0.0169,6663.0,0.079,273.0,0.0032,1637.0,0.0194,10094.0,0.1197,39452.0,0.468,12108.0,0.1436,49765.0,0.5903,632.0,0.0075,3057.0,0.0363,706.0,0.0084,2539.0,0.0301,1767.0,0.021,6095.0,0.0723,3187.0,0.0378,11786.0,0.1398,15234.0,0.1807,61517.0,0.7297,20.0,0.0002,315.0,0.0037,197.0,0.0023,947.0,0.0112,74.0,0.0009,506.0,0.006,1362.0,0.0162,3932.0,0.0466,1822.0,0.0216,5729.0,0.068,132.0,0.0016,611.0,0.0072,227.0,0.0027,680.0,0.0081,1210.0,0.0144,2826.0,0.0335,1618.0,0.0192,4156.0,0.0493,3554.0,0.0422,9935.0,0.1178,282.0,0.0033,692.0,0.0082,25061.0,0.2973,84304.0,1.0,84304.0
Kew,6661.0,0.1103,13399.0,0.2219,19.0,0.0003,393.0,0.0065,1429.0,0.0237,6403.0,0.106,45.0,0.0007,352.0,0.0058,4467.0,0.074,17401.0,0.2882,6075.0,0.1006,24541.0,0.4064,703.0,0.0116,3153.0,0.0522,1767.0,0.0293,6175.0,0.1023,1706.0,0.0283,5465.0,0.0905,4190.0,0.0694,14810.0,0.2453,10232.0,0.1695,39277.0,0.6505,0.0,0.0,60.0,0.001,293.0,0.0049,1058.0,0.0175,0.0,0.0,89.0,0.0015,801.0,0.0133,2033.0,0.0337,1165.0,0.0193,3222.0,0.0534,91.0,0.0015,510.0,0.0084,624.0,0.0103,1514.0,0.0251,838.0,0.0139,1915.0,0.0317,1665.0,0.0276,3947.0,0.0654,2881.0,0.0477,7092.0,0.1175,237.0,0.0039,637.0,0.0106,20070.0,0.3324,60379.0,1.0,60379.0
Kororoit,5602.0,0.0761,11442.0,0.1554,162.0,0.0022,1589.0,0.0216,1337.0,0.0182,6492.0,0.0882,195.0,0.0026,1359.0,0.0185,7130.0,0.0969,28134.0,0.3822,8991.0,0.1221,37501.0,0.5094,618.0,0.0084,2893.0,0.0393,861.0,0.0117,3354.0,0.0456,2049.0,0.0278,6937.0,0.0942,3590.0,0.0488,13158.0,0.1788,12605.0,0.1712,50613.0,0.6876,34.0,0.0005,468.0,0.0064,270.0,0.0037,1158.0,0.0157,64.0,0.0009,531.0,0.0072,1205.0,0.0164,3549.0,0.0482,1716.0,0.0233,5785.0,0.0786,176.0,0.0024,809.0,0.011,328.0,0.0045,905.0,0.0123,1399.0,0.019,3273.0,0.0445,1983.0,0.0269,5047.0,0.0686,3752.0,0.051,10798.0,0.1467,330.0,0.0045,784.0,0.0107,22327.0,0.3033,73611.0,1.0,73611.0
Lara,6536.0,0.1237,13264.0,0.2511,84.0,0.0016,853.0,0.0161,619.0,0.0117,3171.0,0.06,157.0,0.003,1029.0,0.0195,3769.0,0.0714,14725.0,0.2788,4795.0,0.0908,19666.0,0.3723,319.0,0.006,1632.0,0.0309,513.0,0.0097,1786.0,0.0338,1592.0,0.0301,5293.0,0.1002,2496.0,0.0473,8682.0,0.1644,7333.0,0.1388,28359.0,0.5369,25.0,0.0005,284.0,0.0054,216.0,0.0041,964.0,0.0182,114.0,0.0022,634.0,0.012,1404.0,0.0266,3874.0,0.0733,1899.0,0.036,5793.0,0.1097,121.0,0.0023,588.0,0.0111,264.0,0.005,741.0,0.014,1506.0,0.0285,3475.0,0.0658,1990.0,0.0377,4699.0,0.089,3901.0,0.0739,10462.0,0.1981,310.0,0.0059,758.0,0.0143,18228.0,0.3451,52823.0,1.0,52823.0
Laverton,6561.0,0.0889,13524.0,0.1832,132.0,0.0018,1245.0,0.0169,951.0,0.0129,4757.0,0.0644,102.0,0.0014,982.0,0.0133,8363.0,0.1133,32159.0,0.4356,9673.0,0.131,39145.0,0.5303,348.0,0.0047,1765.0,0.0239,686.0,0.0093,2414.0,0.0327,1469.0,0.0199,4874.0,0.066,2488.0,0.0337,9089.0,0.1231,12252.0,0.166,48260.0,0.6537,37.0,0.0005,484.0,0.0066,224.0,0.003,1064.0,0.0144,47.0,0.0006,430.0,0.0058,1331.0,0.018,3713.0,0.0503,1801.0,0.0244,5747.0,0.0778,125.0,0.0017,689.0,0.0093,297.0,0.004,831.0,0.0113,1527.0,0.0207,3494.0,0.0473,2019.0,0.0273,5038.0,0.0682,3873.0,0.0525,10779.0,0.146,586.0,0.0079,1359.0,0.0184,23267.0,0.3152,73823.0,1.0,73823.0
Lowan,8768.0,0.1756,17436.0,0.3492,56.0,0.0011,600.0,0.012,642.0,0.0129,3315.0,0.0664,83.0,0.0017,669.0,0.0134,3543.0,0.071,14145.0,0.2833,4510.0,0.0903,18675.0,0.374,194.0,0.0039,1161.0,0.0232,418.0,0.0084,1538.0,0.0308,1322.0,0.0265,4041.0,0.0809,2078.0,0.0416,6653.0,0.1332,6542.0,0.131,25371.0,0.5081,7.0,0.0001,123.0,0.0025,137.0,0.0027,643.0,0.0129,54.0,0.0011,382.0,0.0076,985.0,0.0197,2808.0,0.0562,1299.0,0.026,3948.0,0.0791,26.0,0.0005,275.0,0.0055,119.0,0.0024,418.0,0.0084,892.0,0.0179,1982.0,0.0397,1192.0,0.0239,2729.0,0.0546,2526.0,0.0506,6582.0,0.1318,184.0,0.0037,530.0,0.0106,18101.0,0.3625,49936.0,1.0,49936.0
Macedon,7737.0,0.1492,15435.0,0.2977,49.0,0.0009,580.0,0.0112,786.0,0.0152,3806.0,0.0734,107.0,0.0021,751.0,0.0145,4239.0,0.0817,16799.0,0.324,5370.0,0.1036,21888.0,0.4221,368.0,0.0071,1688.0,0.0326,763.0,0.0147,2587.0,0.0499,1414.0,0.0273,4432.0,0.0855,2526.0,0.0487,8737.0,0.1685,7892.0,0.1522,30692.0,0.5919,10.0,0.0002,115.0,0.0022,137.0,0.0026,559.0,0.0108,37.0,0.0007,189.0,0.0036,735.0,0.0142,1981.0,0.0382,1039.0,0.02,2869.0,0.0553,56.0,0.0011,277.0,0.0053,204.0,0.0039,518.0,0.01,848.0,0.0164,1801.0,0.0347,1153.0,0.0222,2601.0,0.0502,2212.0,0.0427,5455.0,0.1052,69.0,0.0013,275.0,0.0053,17991.0,0.347,51854.0,1.0,51854.0
Malvern,7108.0,0.153,14223.0,0.3061,0.0,0.0,242.0,0.0052,800.0,0.0172,3681.0,0.0792,3.0,0.0001,149.0,0.0032,3575.0,0.0769,13687.0,0.2945,4464.0,0.0961,17693.0,0.3807,415.0,0.0089,1831.0,0.0394,1181.0,0.0254,4261.0,0.0917,961.0,0.0207,3121.0,0.0672,2593.0,0.0558,9192.0,0.1978,7088.0,0.1525,26870.0,0.5782,0.0,0.0,44.0,0.0009,94.0,0.002,468.0,0.0101,0.0,0.0,53.0,0.0011,659.0,0.0142,1454.0,0.0313,850.0,0.0183,1962.0,0.0422,49.0,0.0011,294.0,0.0063,328.0,0.0071,868.0,0.0187,654.0,0.0141,1499.0,0.0323,1194.0,0.0257,2740.0,0.059,1974.0,0.0425,4635.0,0.0997,297.0,0.0064,647.0,0.0139,16513.0,0.3553,46472.0,1.0,46472.0
Melbourne,14152.0,0.2564,28384.0,0.5142,20.0,0.0004,222.0,0.004,257.0,0.0047,1512.0,0.0274,10.0,0.0002,129.0,0.0023,3719.0,0.0674,12807.0,0.232,4106.0,0.0744,14705.0,0.2664,83.0,0.0015,543.0,0.0098,407.0,0.0074,1541.0,0.0279,383.0,0.0069,1411.0,0.0256,994.0,0.018,3542.0,0.0642,5131.0,0.093,18124.0,0.3283,5.0,0.0001,80.0,0.0014,103.0,0.0019,480.0,0.0087,24.0,0.0004,121.0,0.0022,829.0,0.015,2044.0,0.037,1044.0,0.0189,2696.0,0.0488,25.0,0.0005,258.0,0.0047,489.0,0.0089,1064.0,0.0193,707.0,0.0128,1578.0,0.0286,1349.0,0.0244,2928.0,0.053,2421.0,0.0439,5612.0,0.1017,1382.0,0.025,3045.0,0.0552,23233.0,0.4209,55198.0,1.0,55198.0
Melton,6031.0,0.0879,12383.0,0.1805,165.0,0.0024,1609.0,0.0234,917.0,0.0134,4738.0,0.069,266.0,0.0039,1568.0,0.0229,6637.0,0.0967,26520.0,0.3865,8068.0,0.1176,34318.0,0.5001,359.0,0.0052,1866.0,0.0272,527.0,0.0077,1895.0,0.0276,1540.0,0.0224,5011.0,0.073,2489.0,0.0363,8824.0,0.1286,10652.0,0.1552,43176.0,0.6292,37.0,0.0005,606.0,0.0088,320.0,0.0047,1321.0,0.0193,117.0,0.0017,667.0,0.0097,1828.0,0.0266,5321.0,0.0775,2492.0,0.0363,7995.0,0.1165,75.0,0.0011,495.0,0.0072,244.0,0.0036,597.0,0.0087,1452.0,0.0212,3195.0,0.0466,1871.0,0.0273,4426.0,0.0645,4370.0,0.0637,12418.0,0.181,263.0,0.0038,729.0,0.0106,21390.0,0.3117,68621.0,1.0,68621.0
Mildura,7693.0,0.1515,15327.0,0.3018,73.0,0.0014,826.0,0.0163,677.0,0.0133,3430.0,0.0675,158.0,0.0031,974.0,0.0192,3605.0,0.071,14494.0,0.2854,4661.0,0.0918,19711.0,0.3881,262.0,0.0052,1241.0,0.0244,457.0,0.009,1468.0,0.0289,1320.0,0.026,4204.0,0.0828,2049.0,0.0403,6879.0,0.1354,6763.0,0.1331,26625.0,0.5242,12.0,0.0002,189.0,0.0037,166.0,0.0033,764.0,0.015,87.0,0.0017,530.0,0.0104,1261.0,0.0248,3487.0,0.0687,1703.0,0.0335,5058.0,0.0996,54.0,0.0011,321.0,0.0063,147.0,0.0029,471.0,0.0093,1074.0,0.0211,2426.0,0.0478,1373.0,0.027,3201.0,0.063,3092.0,0.0609,8257.0,0.1626,251.0,0.0049,674.0,0.0133,17878.0,0.352,50793.0,1.0,50793.0
Mill Park,5486.0,0.0931,11061.0,0.1876,85.0,0.0014,848.0,0.0144,953.0,0.0162,4637.0,0.0787,176.0,0.003,994.0,0.0169,4899.0,0.0831,18866.0,0.32,6210.0,0.1053,25329.0,0.4297,731.0,0.0124,3188.0,0.0541,828.0,0.014,2999.0,0.0509,2314.0,0.0393,7780.0,0.132,3916.0,0.0664,14044.0,0.2382,10052.0,0.1705,39334.0,0.6673,7.0,0.0001,187.0,0.0032,133.0,0.0023,617.0,0.0105,70.0,0.0012,328.0,0.0056,890.0,0.0151,2385.0,0.0405,1235.0,0.021,3699.0,0.0628,113.0,0.0019,663.0,0.0112,289.0,0.0049,739.0,0.0125,1279.0,0.0217,2998.0,0.0509,1805.0,0.0306,4322.0,0.0733,3026.0,0.0513,8021.0,0.1361,191.0,0.0032,574.0,0.0097,18842.0,0.3196,58948.0,1.0,58948.0
Monbulk,6895.0,0.1252,13966.0,0.2537,53.0,0.001,760.0,0.0138,810.0,0.0147,3879.0,0.0705,129.0,0.0023,811.0,0.0147,4612.0,0.0838,17861.0,0.3244,5762.0,0.1047,23289.0,0.423,565.0,0.0103,2585.0,0.047,787.0,0.0143,2639.0,0.0479,1855.0,0.0337,5921.0,0.1075,3178.0,0.0577,11169.0,0.2029,8949.0,0.1625,34489.0,0.6264,0.0,0.0,86.0,0.0016,108.0,0.002,578.0,0.0105,28.0,0.0005,247.0,0.0045,754.0,0.0137,1988.0,0.0361,1021.0,0.0185,2866.0,0.0521,109.0,0.002,482.0,0.0088,280.0,0.0051,643.0,0.0117,1015.0,0.0184,2243.0,0.0407,1474.0,0.0268,3434.0,0.0624,2527.0,0.0459,6311.0,0.1146,120.0,0.0022,317.0,0.0058,18657.0,0.3389,55057.0,1.0,55057.0
Mordialloc,6282.0,0.1031,12707.0,0.2086,70.0,0.0011,643.0,0.0106,1114.0,0.0183,5031.0,0.0826,121.0,0.002,692.0,0.0114,5644.0,0.0926,21690.0,0.356,7008.0,0.115,28034.0,0.4602,646.0,0.0106,2814.0,0.0462,1154.0,0.0189,4110.0,0.0675,1743.0,0.0286,5601.0,0.0919,3514.0,0.0577,12557.0,0.2061,10554.0,0.1732,40624.0,0.6669,6.0,0.0001,142.0,0.0023,179.0,0.0029,690.0,0.0113,19.0,0.0003,142.0,0.0023,894.0,0.0147,2240.0,0.0368,1185.0,0.0195,3170.0,0.052,102.0,0.0017,521.0,0.0086,374.0,0.0061,1018.0,0.0167,1149.0,0.0189,2471.0,0.0406,1670.0,0.0274,3921.0,0.0644,2899.0,0.0476,7134.0,0.1171,200.0,0.0033,504.0,0.0083,19951.0,0.3275,60919.0,1.0,60919.0
Mornington,7555.0,0.1424,15157.0,0.2857,57.0,0.0011,542.0,0.0102,921.0,0.0174,4288.0,0.0808,102.0,0.0019,713.0,0.0134,4141.0,0.078,16559.0,0.3121,5402.0,0.1018,22031.0,0.4152,509.0,0.0096,2262.0,0.0426,882.0,0.0166,3112.0,0.0586,1387.0,0.0261,4333.0,0.0817,2834.0,0.0534,9790.0,0.1845,8190.0,0.1544,31833.0,0.5999,0.0,0.0,110.0,0.0021,139.0,0.0026,682.0,0.0129,29.0,0.0005,237.0,0.0045,769.0,0.0145,1900.0,0.0358,1039.0,0.0196,2951.0,0.0556,72.0,0.0014,345.0,0.0065,260.0,0.0049,660.0,0.0124,879.0,0.0166,1918.0,0.0361,1326.0,0.025,2980.0,0.0562,2348.0,0.0443,5848.0,0.1102,101.0,0.0019,279.0,0.0053,18268.0,0.3443,53061.0,1.0,53061.0
Morwell,7731.0,0.1473,15445.0,0.2942,85.0,0.0016,784.0,0.0149,625.0,0.0119,2922.0,0.0557,143.0,0.0027,952.0,0.0181,3667.0,0.0698,14319.0,0.2727,4625.0,0.0881,18844.0,0.3589,296.0,0.0056,1353.0,0.0258,383.0,0.0073,1555.0,0.0296,1447.0,0.0276,4577.0,0.0872,2255.0,0.043,7494.0,0.1427,6850.0,0.1305,26406.0,0.503,31.0,0.0006,268.0,0.0051,144.0,0.0027,758.0,0.0144,106.0,0.002,573.0,0.0109,1595.0,0.0304,4390.0,0.0836,2055.0,0.0391,6073.0,0.1157,62.0,0.0012,389.0,0.0074,239.0,0.0046,631.0,0.012,1422.0,0.0271,2953.0,0.0562,1788.0,0.0341,3964.0,0.0755,3778.0,0.072,10110.0,0.1926,219.0,0.0042,573.0,0.0109,18753.0,0.3572,52501.0,1.0,52501.0
Mulgrave,7066.0,0.116,14379.0,0.2361,52.0,0.0009,663.0,0.0109,849.0,0.0139,4023.0,0.066,114.0,0.0019,765.0,0.0126,4808.0,0.0789,18566.0,0.3048,5906.0,0.097,23953.0,0.3932,541.0,0.0089,2529.0,0.0415,953.0,0.0156,3359.0,0.0551,2040.0,0.0335,6709.0,0.1101,3535.0,0.058,12603.0,0.2069,9528.0,0.1564,36639.0,0.6015,10.0,0.0002,131.0,0.0022,172.0,0.0028,796.0,0.0131,53.0,0.0009,280.0,0.0046,825.0,0.0135,2247.0,0.0369,1126.0,0.0185,3459.0,0.0568,126.0,0.0021,644.0,0.0106,362.0,0.0059,979.0,0.0161,1578.0,0.0259,3613.0,0.0593,2144.0,0.0352,5195.0,0.0853,3338.0,0.0548,8664.0,0.1422,498.0,0.0082,1177.0,0.0193,20418.0,0.3352,60915.0,1.0,60915.0
Murray Plains,8000.0,0.1656,16022.0,0.3316,74.0,0.0015,661.0,0.0137,619.0,0.0128,3206.0,0.0664,117.0,0.0024,761.0,0.0157,3320.0,0.0687,13238.0,0.274,4255.0,0.0881,17968.0,0.3719,233.0,0.0048,1187.0,0.0246,437.0,0.009,1505.0,0.0311,1358.0,0.0281,4319.0,0.0894,2058.0,0.0426,6959.0,0.144,6358.0,0.1316,24886.0,0.515,7.0,0.0001,167.0,0.0035,173.0,0.0036,750.0,0.0155,51.0,0.0011,350.0,0.0072,1091.0,0.0226,2975.0,0.0616,1371.0,0.0284,4292.0,0.0888,45.0,0.0009,216.0,0.0045,137.0,0.0028,446.0,0.0092,948.0,0.0196,2006.0,0.0415,1212.0,0.0251,2658.0,0.055,2685.0,0.0556,6975.0,0.1444,192.0,0.004,524.0,0.0108,17255.0,0.3571,48319.0,1.0,48319.0
Narracan,7995.0,0.1476,16066.0,0.2966,137.0,0.0025,1024.0,0.0189,705.0,0.013,3699.0,0.0683,147.0,0.0027,949.0,0.0175,4156.0,0.0767,16396.0,0.3027,5266.0,0.0972,22162.0,0.4092,370.0,0.0068,1727.0,0.0319,511.0,0.0094,1823.0,0.0337,1551.0,0.0286,4865.0,0.0898,2480.0,0.0458,8449.0,0.156,7751.0,0.1431,30628.0,0.5655,20.0,0.0004,239.0,0.0044,158.0,0.0029,723.0,0.0133,36.0,0.0007,288.0,0.0053,1026.0,0.0189,2823.0,0.0521,1336.0,0.0247,4109.0,0.0759,54.0,0.001,327.0,0.006,207.0,0.0038,583.0,0.0108,919.0,0.017,2048.0,0.0378,1304.0,0.0241,2973.0,0.0549,2649.0,0.0489,7028.0,0.1298,138.0,0.0025,422.0,0.0078,18618.0,0.3438,54160.0,1.0,54160.0
Narre Warren North,6879.0,0.103,13777.0,0.2063,192.0,0.0029,1638.0,0.0245,1087.0,0.0163,5407.0,0.081,190.0,0.0028,1331.0,0.0199,4993.0,0.0748,19597.0,0.2934,6630.0,0.0993,27999.0,0.4192,788.0,0.0118,3483.0,0.0521,899.0,0.0135,3337.0,0.05,2601.0,0.0389,8669.0,0.1298,4310.0,0.0645,15504.0,0.2321,10949.0,0.1639,43581.0,0.6525,9.0,0.0001,267.0,0.004,102.0,0.0015,665.0,0.01,75.0,0.0011,424.0,0.0063,1023.0,0.0153,2838.0,0.0425,1414.0,0.0212,4157.0,0.0622,132.0,0.002,625.0,0.0094,206.0,0.0031,681.0,0.0102,1466.0,0.0219,3279.0,0.0491,1904.0,0.0285,4593.0,0.0688,3310.0,0.0496,8767.0,0.1313,246.0,0.0037,676.0,0.0101,21329.0,0.3193,66794.0,1.0,66794.0
Narre Warren South,5550.0,0.0696,11463.0,0.1439,372.0,0.0047,2768.0,0.0347,1734.0,0.0218,8565.0,0.1075,326.0,0.0041,1709.0,0.0214,6799.0,0.0853,27345.0,0.3432,9344.0,0.1173,40400.0,0.507,905.0,0.0114,4153.0,0.0521,1114.0,0.014,4030.0,0.0506,2401.0,0.0301,8315.0,0.1043,4484.0,0.0563,16481.0,0.2068,13837.0,0.1736,56859.0,0.7135,36.0,0.0005,511.0,0.0064,250.0,0.0031,992.0,0.0124,113.0,0.0014,618.0,0.0078,1250.0,0.0157,3654.0,0.0459,1753.0,0.022,5708.0,0.0716,168.0,0.0021,796.0,0.01,290.0,0.0036,821.0,0.0103,1420.0,0.0178,3313.0,0.0416,2003.0,0.0251,4952.0,0.0621,3750.0,0.0471,10596.0,0.133,272.0,0.0034,706.0,0.0089,23559.0,0.2956,79686.0,1.0,79686.0
Nepean,8846.0,0.1973,17662.0,0.394,52.0,0.0012,430.0,0.0096,528.0,0.0118,2267.0,0.0506,64.0,0.0014,575.0,0.0128,2761.0,0.0616,10805.0,0.241,3455.0,0.0771,14058.0,0.3136,210.0,0.0047,1076.0,0.024,418.0,0.0093,1523.0,0.034,1181.0,0.0263,3773.0,0.0842,1915.0,0.0427,6335.0,0.1413,5354.0,0.1194,20344.0,0.4538,0.0,0.0,123.0,0.0027,115.0,0.0026,496.0,0.0111,42.0,0.0009,277.0,0.0062,901.0,0.0201,2320.0,0.0518,1178.0,0.0263,3228.0,0.072,42.0,0.0009,290.0,0.0065,205.0,0.0046,640.0,0.0143,1077.0,0.024,2276.0,0.0508,1410.0,0.0315,3219.0,0.0718,2633.0,0.0587,6409.0,0.143,191.0,0.0043,407.0,0.0091,17044.0,0.3802,44827.0,1.0,44827.0
Niddrie,6753.0,0.1165,13606.0,0.2348,48.0,0.0008,516.0,0.0089,931.0,0.0161,4239.0,0.0731,73.0,0.0013,508.0,0.0088,4587.0,0.0791,17586.0,0.3034,5710.0,0.0985,22916.0,0.3954,611.0,0.0105,2818.0,0.0486,993.0,0.0171,3509.0,0.0605,2091.0,0.0361,6935.0,0.1197,3729.0,0.0643,13309.0,0.2296,9438.0,0.1628,36202.0,0.6246,0.0,0.0,107.0,0.0018,145.0,0.0025,631.0,0.0109,21.0,0.0004,226.0,0.0039,728.0,0.0126,1940.0,0.0335,1068.0,0.0184,2924.0,0.0505,148.0,0.0026,576.0,0.0099,266.0,0.0046,769.0,0.0133,1423.0,0.0246,3251.0,0.0561,1953.0,0.0337,4532.0,0.0782,2992.0,0.0516,7538.0,0.1301,241.0,0.0042,666.0,0.0115,19502.0,0.3365,57958.0,1.0,57958.0
Northcote,6893.0,0.1454,13738.0,0.2898,9.0,0.0002,261.0,0.0055,716.0,0.0151,3168.0,0.0668,12.0,0.0003,202.0,0.0043,4360.0,0.092,16235.0,0.3425,5176.0,0.1092,19862.0,0.419,319.0,0.0067,1460.0,0.0308,844.0,0.0178,3085.0,0.0651,1020.0,0.0215,3344.0,0.0706,2265.0,0.0478,7915.0,0.167,7443.0,0.157,27760.0,0.5857,0.0,0.0,37.0,0.0008,98.0,0.0021,473.0,0.01,0.0,0.0,76.0,0.0016,732.0,0.0154,1677.0,0.0354,877.0,0.0185,2293.0,0.0484,47.0,0.001,255.0,0.0054,273.0,0.0058,673.0,0.0142,908.0,0.0192,1977.0,0.0417,1293.0,0.0273,2920.0,0.0616,2198.0,0.0464,5187.0,0.1094,262.0,0.0055,659.0,0.0139,16865.0,0.3558,47398.0,1.0,47398.0
