district,Neg_Nil_inc_fam_households,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot,Negative_Nil_income_Tot_pc,HI_1_149_Family_households,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot,HI_1_149_Tot_pc,HI_150_299_Family_households,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot,HI_150_299_Tot_pc,HI_300_399_Family_households,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot,HI_300_399_Tot_pc,HI_400_499_Family_households,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot,HI_400_499_Tot_pc,HI_500_649_Family_households,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot,HI_500_649_Tot_pc,HI_650_799_Family_households,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot,HI_650_799_Tot_pc,HI_800_999_Fam_households,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot,HI_800_999_Tot_pc,HI_1000_1249_Fam_households,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot,All_incomes_not_stated_Tot_pc,Tot_Family_households,Tot_Family_households_pc,Tot_Non_family_households,Tot_Non_family_households_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Gippsland East,164.0,0.0064,207.0,0.0081,457.0,0.0179,57.0,0.0022,81.0,0.0032,164.0,0.0064,61.0,0.0024,268.0,0.0105,362.0,0.0142,74.0,0.0029,610.0,0.0239,696.0,0.0273,358.0,0.014,1901.0,0.0745,2222.0,0.087,408.0,0.016,1034.0,0.0405,1574.0,0.0617,1780.0,0.0697,646.0,0.0253,2415.0,0.0946,1375.0,0.0539,791.0,0.031,2268.0,0.0888,1519.0,0.0595,629.0,0.0246,2189.0,0.0857,1641.0,0.0643,435.0,0.017,2112.0,0.0827,1010.0,0.0396,252.0,0.0099,1360.0,0.0533,1147.0,0.0449,182.0,0.0071,1357.0,0.0532,1988.0,0.0779,179.0,0.007,2294.0,0.0899,1333.0,0.0522,4.0,0.0002,1371.0,0.0537,808.0,0.0316,18.0,0.0007,844.0,0.0331,441.0,0.0173,4.0,0.0002,444.0,0.0174,973.0,0.0381,68.0,0.0027,1079.0,0.0423,1189.0,0.0466,44.0,0.0017,1292.0,0.0506,334.0,0.0131,351.0,0.0137,730.0,0.0286,17122.0,0.6706,8422.0,0.3299,25531.0,1.0,25531.0
Gippsland South,201.0,0.0079,259.0,0.0101,527.0,0.0206,66.0,0.0026,45.0,0.0018,204.0,0.008,75.0,0.0029,233.0,0.0091,358.0,0.014,55.0,0.0022,600.0,0.0235,722.0,0.0282,369.0,0.0144,1723.0,0.0674,2103.0,0.0823,372.0,0.0146,998.0,0.039,1336.0,0.0523,1380.0,0.054,553.0,0.0216,2026.0,0.0793,1233.0,0.0482,759.0,0.0297,2037.0,0.0797,1407.0,0.055,642.0,0.0251,2038.0,0.0797,1575.0,0.0616,374.0,0.0146,1973.0,0.0772,963.0,0.0377,354.0,0.0138,1383.0,0.0541,1064.0,0.0416,225.0,0.0088,1358.0,0.0531,2056.0,0.0804,351.0,0.0137,2484.0,0.0972,1339.0,0.0524,9.0,0.0004,1377.0,0.0539,1071.0,0.0419,39.0,0.0015,1163.0,0.0455,554.0,0.0217,3.0,0.0001,569.0,0.0223,1445.0,0.0565,104.0,0.0041,1599.0,0.0626,1220.0,0.0477,24.0,0.0009,1287.0,0.0504,252.0,0.0099,379.0,0.0148,726.0,0.0284,17272.0,0.6757,8305.0,0.3249,25560.0,1.0,25560.0
Glen Waverley,422.0,0.0149,272.0,0.0096,836.0,0.0295,113.0,0.004,71.0,0.0025,196.0,0.0069,93.0,0.0033,164.0,0.0058,369.0,0.013,84.0,0.003,300.0,0.0106,450.0,0.0159,334.0,0.0118,954.0,0.0337,1373.0,0.0485,330.0,0.0117,564.0,0.0199,956.0,0.0338,1006.0,0.0355,426.0,0.0151,1455.0,0.0514,1065.0,0.0376,419.0,0.0148,1491.0,0.0527,1226.0,0.0433,408.0,0.0144,1687.0,0.0596,1500.0,0.053,290.0,0.0102,1836.0,0.0649,1010.0,0.0357,218.0,0.0077,1333.0,0.0471,1113.0,0.0393,162.0,0.0057,1336.0,0.0472,2510.0,0.0887,414.0,0.0146,2918.0,0.1031,2004.0,0.0708,34.0,0.0012,2051.0,0.0725,1814.0,0.0641,80.0,0.0028,1944.0,0.0687,1242.0,0.0439,15.0,0.0005,1266.0,0.0447,4365.0,0.1542,162.0,0.0057,4577.0,0.1617,1204.0,0.0425,36.0,0.0013,1287.0,0.0455,158.0,0.0056,164.0,0.0058,365.0,0.0129,22226.0,0.7852,6132.0,0.2166,28305.0,1.0,28305.0
Greenvale,292.0,0.0132,111.0,0.005,505.0,0.0228,31.0,0.0014,8.0,0.0004,68.0,0.0031,79.0,0.0036,83.0,0.0037,197.0,0.0089,80.0,0.0036,212.0,0.0096,376.0,0.0169,302.0,0.0136,487.0,0.022,846.0,0.0381,455.0,0.0205,169.0,0.0076,689.0,0.0311,1129.0,0.0509,170.0,0.0077,1298.0,0.0585,1100.0,0.0496,242.0,0.0109,1428.0,0.0644,1315.0,0.0593,284.0,0.0128,1652.0,0.0745,1564.0,0.0705,165.0,0.0074,1757.0,0.0792,1253.0,0.0565,193.0,0.0087,1451.0,0.0654,1171.0,0.0528,94.0,0.0042,1343.0,0.0605,2440.0,0.11,114.0,0.0051,2651.0,0.1195,1820.0,0.082,0.0,0.0,1842.0,0.083,1444.0,0.0651,15.0,0.0007,1509.0,0.068,890.0,0.0401,3.0,0.0001,916.0,0.0413,1912.0,0.0862,9.0,0.0004,1966.0,0.0886,1068.0,0.0481,5.0,0.0002,1082.0,0.0488,255.0,0.0115,64.0,0.0029,343.0,0.0155,18984.0,0.8558,3246.0,0.1463,22184.0,1.0,22184.0
Hastings,131.0,0.0054,191.0,0.0078,369.0,0.0151,31.0,0.0013,33.0,0.0013,92.0,0.0038,28.0,0.0011,155.0,0.0063,222.0,0.0091,22.0,0.0009,325.0,0.0133,383.0,0.0157,232.0,0.0095,1074.0,0.0439,1320.0,0.054,257.0,0.0105,893.0,0.0365,1175.0,0.0481,1012.0,0.0414,459.0,0.0188,1491.0,0.061,920.0,0.0376,608.0,0.0249,1518.0,0.0621,1197.0,0.049,649.0,0.0265,1822.0,0.0745,1293.0,0.0529,431.0,0.0176,1751.0,0.0716,990.0,0.0405,381.0,0.0156,1379.0,0.0564,1093.0,0.0447,228.0,0.0093,1375.0,0.0562,2658.0,0.1087,354.0,0.0145,2974.0,0.1216,2016.0,0.0825,20.0,0.0008,2067.0,0.0845,1535.0,0.0628,34.0,0.0014,1583.0,0.0647,975.0,0.0399,0.0,0.0,1001.0,0.0409,2014.0,0.0824,45.0,0.0018,2160.0,0.0883,1028.0,0.042,23.0,0.0009,1067.0,0.0436,201.0,0.0082,176.0,0.0072,460.0,0.0188,17877.0,0.7311,6555.0,0.2681,24451.0,1.0,24451.0
Hawthorn,165.0,0.0059,286.0,0.0102,538.0,0.0191,49.0,0.0017,54.0,0.0019,167.0,0.0059,29.0,0.001,172.0,0.0061,254.0,0.009,38.0,0.0013,297.0,0.0105,406.0,0.0144,108.0,0.0038,635.0,0.0225,786.0,0.0279,142.0,0.005,694.0,0.0246,885.0,0.0314,319.0,0.0113,561.0,0.0199,1039.0,0.0369,347.0,0.0123,682.0,0.0242,1121.0,0.0398,553.0,0.0196,875.0,0.0311,1476.0,0.0524,772.0,0.0274,922.0,0.0327,1738.0,0.0617,576.0,0.0204,837.0,0.0297,1449.0,0.0514,697.0,0.0247,745.0,0.0264,1460.0,0.0518,1657.0,0.0588,1357.0,0.0482,3057.0,0.1085,1432.0,0.0508,131.0,0.0046,1565.0,0.0555,1360.0,0.0483,293.0,0.0104,1758.0,0.0624,985.0,0.035,53.0,0.0019,1122.0,0.0398,7129.0,0.253,704.0,0.025,7791.0,0.2765,1016.0,0.0361,163.0,0.0058,1226.0,0.0435,81.0,0.0029,99.0,0.0035,242.0,0.0086,17947.0,0.637,10251.0,0.3639,28173.0,1.0,28173.0
Ivanhoe,121.0,0.0048,241.0,0.0095,456.0,0.018,37.0,0.0015,32.0,0.0013,103.0,0.0041,29.0,0.0011,210.0,0.0083,302.0,0.0119,28.0,0.0011,431.0,0.017,500.0,0.0198,180.0,0.0071,962.0,0.038,1213.0,0.0479,180.0,0.0071,655.0,0.0259,946.0,0.0374,604.0,0.0239,468.0,0.0185,1199.0,0.0474,629.0,0.0248,584.0,0.0231,1182.0,0.0467,810.0,0.032,618.0,0.0244,1530.0,0.0604,927.0,0.0366,541.0,0.0214,1463.0,0.0578,758.0,0.0299,568.0,0.0224,1336.0,0.0528,887.0,0.035,411.0,0.0162,1289.0,0.0509,1938.0,0.0766,798.0,0.0315,2725.0,0.1077,1642.0,0.0649,61.0,0.0024,1728.0,0.0683,1610.0,0.0636,151.0,0.006,1807.0,0.0714,1237.0,0.0489,19.0,0.0008,1255.0,0.0496,4569.0,0.1805,213.0,0.0084,4911.0,0.194,854.0,0.0337,51.0,0.002,1019.0,0.0403,123.0,0.0049,144.0,0.0057,300.0,0.0119,17486.0,0.6908,7784.0,0.3075,25313.0,1.0,25313.0
Kalkallo,172.0,0.0061,122.0,0.0043,395.0,0.0141,26.0,0.0009,0.0,0.0,51.0,0.0018,54.0,0.0019,30.0,0.0011,96.0,0.0034,80.0,0.0028,128.0,0.0046,248.0,0.0088,280.0,0.01,350.0,0.0125,721.0,0.0257,430.0,0.0153,200.0,0.0071,724.0,0.0258,1026.0,0.0365,177.0,0.0063,1239.0,0.0441,1154.0,0.0411,377.0,0.0134,1561.0,0.0555,1610.0,0.0573,488.0,0.0174,2148.0,0.0764,1939.0,0.069,293.0,0.0104,2393.0,0.0852,1681.0,0.0598,334.0,0.0119,2086.0,0.0742,1754.0,0.0624,152.0,0.0054,2007.0,0.0714,3916.0,0.1393,332.0,0.0118,4337.0,0.1543,2764.0,0.0984,36.0,0.0013,2809.0,0.1,1891.0,0.0673,37.0,0.0013,1948.0,0.0693,1124.0,0.04,0.0,0.0,1126.0,0.0401,2069.0,0.0736,40.0,0.0014,2130.0,0.0758,1241.0,0.0442,20.0,0.0007,1307.0,0.0465,220.0,0.0078,56.0,0.002,308.0,0.011,23848.0,0.8486,4228.0,0.1505,28102.0,1.0,28102.0
Kew,353.0,0.0133,257.0,0.0097,705.0,0.0266,100.0,0.0038,58.0,0.0022,173.0,0.0065,89.0,0.0034,186.0,0.007,317.0,0.0119,63.0,0.0024,220.0,0.0083,354.0,0.0133,206.0,0.0078,580.0,0.0219,823.0,0.031,162.0,0.0061,470.0,0.0177,740.0,0.0279,544.0,0.0205,395.0,0.0149,956.0,0.036,516.0,0.0194,496.0,0.0187,1066.0,0.0402,745.0,0.0281,565.0,0.0213,1356.0,0.0511,902.0,0.034,479.0,0.018,1466.0,0.0552,711.0,0.0268,457.0,0.0172,1204.0,0.0454,803.0,0.0303,327.0,0.0123,1182.0,0.0445,1842.0,0.0694,703.0,0.0265,2633.0,0.0992,1422.0,0.0536,55.0,0.0021,1508.0,0.0568,1444.0,0.0544,172.0,0.0065,1685.0,0.0635,1076.0,0.0405,17.0,0.0006,1146.0,0.0432,6701.0,0.2525,470.0,0.0177,7284.0,0.2744,1229.0,0.0463,92.0,0.0035,1378.0,0.0519,89.0,0.0034,104.0,0.0039,251.0,0.0095,19652.0,0.7404,6860.0,0.2585,26541.0,1.0,26541.0
Kororoit,282.0,0.0109,178.0,0.0069,537.0,0.0208,49.0,0.0019,28.0,0.0011,84.0,0.0033,86.0,0.0033,112.0,0.0043,233.0,0.009,108.0,0.0042,286.0,0.0111,426.0,0.0165,295.0,0.0114,668.0,0.0259,1046.0,0.0406,427.0,0.0166,259.0,0.01,737.0,0.0286,1176.0,0.0456,239.0,0.0093,1436.0,0.0557,1079.0,0.0419,357.0,0.0138,1416.0,0.0549,1252.0,0.0486,388.0,0.0151,1697.0,0.0658,1533.0,0.0595,253.0,0.0098,1860.0,0.0721,1362.0,0.0528,254.0,0.0099,1648.0,0.0639,1449.0,0.0562,139.0,0.0054,1600.0,0.0621,3005.0,0.1166,289.0,0.0112,3316.0,0.1286,2227.0,0.0864,24.0,0.0009,2277.0,0.0883,1706.0,0.0662,17.0,0.0007,1782.0,0.0691,1124.0,0.0436,9.0,0.0003,1154.0,0.0448,2356.0,0.0914,35.0,0.0014,2465.0,0.0956,1135.0,0.044,34.0,0.0013,1231.0,0.0478,192.0,0.0074,120.0,0.0047,372.0,0.0144,21175.0,0.8214,4625.0,0.1794,25780.0,1.0,25780.0
Lara,120.0,0.0046,213.0,0.0081,405.0,0.0155,19.0,0.0007,25.0,0.001,78.0,0.003,34.0,0.0013,243.0,0.0093,365.0,0.014,69.0,0.0026,578.0,0.0221,657.0,0.0251,339.0,0.013,1622.0,0.062,1997.0,0.0763,406.0,0.0155,953.0,0.0364,1384.0,0.0529,1315.0,0.0503,521.0,0.0199,1880.0,0.0719,1150.0,0.044,701.0,0.0268,1801.0,0.0688,1307.0,0.05,715.0,0.0273,2107.0,0.0805,1450.0,0.0554,536.0,0.0205,1975.0,0.0755,1146.0,0.0438,345.0,0.0132,1577.0,0.0603,1007.0,0.0385,316.0,0.0121,1319.0,0.0504,2363.0,0.0903,445.0,0.017,2922.0,0.1117,1606.0,0.0614,35.0,0.0013,1681.0,0.0643,1221.0,0.0467,48.0,0.0018,1339.0,0.0512,771.0,0.0295,7.0,0.0003,813.0,0.0311,1599.0,0.0611,57.0,0.0022,1712.0,0.0654,1009.0,0.0386,77.0,0.0029,1138.0,0.0435,218.0,0.0083,329.0,0.0126,693.0,0.0265,17680.0,0.6758,8394.0,0.3209,26160.0,1.0,26160.0
Laverton,262.0,0.0088,244.0,0.0082,621.0,0.0209,41.0,0.0014,24.0,0.0008,107.0,0.0036,84.0,0.0028,214.0,0.0072,334.0,0.0112,121.0,0.0041,450.0,0.0151,662.0,0.0223,348.0,0.0117,928.0,0.0312,1328.0,0.0446,443.0,0.0149,485.0,0.0163,948.0,0.0319,1094.0,0.0368,355.0,0.0119,1491.0,0.0501,1113.0,0.0374,637.0,0.0214,1767.0,0.0594,1306.0,0.0439,569.0,0.0191,1881.0,0.0632,1772.0,0.0596,554.0,0.0186,2339.0,0.0786,1499.0,0.0504,416.0,0.014,1965.0,0.0661,1453.0,0.0489,291.0,0.0098,1798.0,0.0605,3055.0,0.1027,548.0,0.0184,3664.0,0.1232,2342.0,0.0787,115.0,0.0039,2513.0,0.0845,1857.0,0.0624,133.0,0.0045,2057.0,0.0692,1181.0,0.0397,62.0,0.0021,1268.0,0.0426,2514.0,0.0845,222.0,0.0075,2816.0,0.0947,1158.0,0.0389,185.0,0.0062,1406.0,0.0473,233.0,0.0078,193.0,0.0065,497.0,0.0167,22303.0,0.7499,7442.0,0.2502,29743.0,1.0,29743.0
Lowan,104.0,0.0037,230.0,0.0082,403.0,0.0144,32.0,0.0011,94.0,0.0034,189.0,0.0068,28.0,0.001,273.0,0.0098,406.0,0.0145,42.0,0.0015,663.0,0.0237,817.0,0.0292,349.0,0.0125,2083.0,0.0746,2485.0,0.089,406.0,0.0145,1161.0,0.0416,1555.0,0.0557,1475.0,0.0528,736.0,0.0263,2269.0,0.0812,1273.0,0.0456,920.0,0.0329,2209.0,0.0791,1411.0,0.0505,892.0,0.0319,2337.0,0.0837,1712.0,0.0613,568.0,0.0203,2271.0,0.0813,1102.0,0.0395,435.0,0.0156,1611.0,0.0577,1140.0,0.0408,181.0,0.0065,1530.0,0.0548,2378.0,0.0851,292.0,0.0105,2788.0,0.0998,1565.0,0.056,16.0,0.0006,1609.0,0.0576,1004.0,0.0359,17.0,0.0006,1112.0,0.0398,579.0,0.0207,0.0,0.0,585.0,0.0209,1272.0,0.0455,126.0,0.0045,1418.0,0.0508,1141.0,0.0408,49.0,0.0018,1217.0,0.0436,290.0,0.0104,485.0,0.0174,855.0,0.0306,17905.0,0.641,10009.0,0.3583,27932.0,1.0,27932.0
Macedon,133.0,0.0057,163.0,0.007,366.0,0.0157,41.0,0.0018,41.0,0.0018,121.0,0.0052,36.0,0.0015,157.0,0.0067,251.0,0.0108,45.0,0.0019,264.0,0.0113,333.0,0.0143,191.0,0.0082,985.0,0.0422,1252.0,0.0536,236.0,0.0101,571.0,0.0245,788.0,0.0338,819.0,0.0351,399.0,0.0171,1263.0,0.0541,763.0,0.0327,425.0,0.0182,1255.0,0.0538,1054.0,0.0452,477.0,0.0204,1558.0,0.0668,1221.0,0.0523,320.0,0.0137,1562.0,0.0669,910.0,0.039,319.0,0.0137,1276.0,0.0547,1027.0,0.044,175.0,0.0075,1217.0,0.0521,2077.0,0.089,462.0,0.0198,2472.0,0.1059,1641.0,0.0703,6.0,0.0003,1682.0,0.0721,1557.0,0.0667,41.0,0.0018,1650.0,0.0707,1065.0,0.0456,0.0,0.0,1072.0,0.0459,3233.0,0.1385,151.0,0.0065,3384.0,0.145,1153.0,0.0494,18.0,0.0008,1216.0,0.0521,144.0,0.0062,161.0,0.0069,348.0,0.0149,17650.0,0.7562,5675.0,0.2431,23340.0,1.0,23340.0
Malvern,139.0,0.0053,373.0,0.0142,565.0,0.0215,18.0,0.0007,70.0,0.0027,154.0,0.0059,20.0,0.0008,160.0,0.0061,202.0,0.0077,24.0,0.0009,291.0,0.0111,383.0,0.0146,104.0,0.004,700.0,0.0266,866.0,0.0329,88.0,0.0033,601.0,0.0229,747.0,0.0284,335.0,0.0127,474.0,0.018,839.0,0.0319,350.0,0.0133,563.0,0.0214,1072.0,0.0408,485.0,0.0184,801.0,0.0305,1309.0,0.0498,602.0,0.0229,788.0,0.03,1467.0,0.0558,506.0,0.0192,803.0,0.0305,1281.0,0.0487,623.0,0.0237,683.0,0.026,1343.0,0.0511,1443.0,0.0549,1250.0,0.0475,2696.0,0.1025,1223.0,0.0465,114.0,0.0043,1415.0,0.0538,1223.0,0.0465,357.0,0.0136,1629.0,0.062,870.0,0.0331,44.0,0.0017,950.0,0.0361,6876.0,0.2615,905.0,0.0344,7775.0,0.2957,911.0,0.0346,126.0,0.0048,1099.0,0.0418,109.0,0.0041,220.0,0.0084,386.0,0.0147,16369.0,0.6226,9929.0,0.3776,26293.0,1.0,26293.0
Melbourne,598.0,0.0109,2788.0,0.0509,3432.0,0.0627,110.0,0.002,418.0,0.0076,575.0,0.0105,162.0,0.003,942.0,0.0172,1210.0,0.0221,142.0,0.0026,1442.0,0.0263,1567.0,0.0286,276.0,0.005,1546.0,0.0282,1915.0,0.035,370.0,0.0068,1715.0,0.0313,2178.0,0.0398,665.0,0.0121,1682.0,0.0307,2450.0,0.0448,816.0,0.0149,2184.0,0.0399,3047.0,0.0557,1190.0,0.0217,2998.0,0.0548,4232.0,0.0773,1468.0,0.0268,2717.0,0.0496,4248.0,0.0776,1197.0,0.0219,2383.0,0.0435,3532.0,0.0645,1319.0,0.0241,1988.0,0.0363,3296.0,0.0602,2919.0,0.0533,3759.0,0.0687,6656.0,0.1216,2121.0,0.0387,590.0,0.0108,2751.0,0.0502,1858.0,0.0339,1012.0,0.0185,2857.0,0.0522,1295.0,0.0237,200.0,0.0037,1554.0,0.0284,4867.0,0.0889,1620.0,0.0296,6485.0,0.1185,877.0,0.016,877.0,0.016,1836.0,0.0335,69.0,0.0013,328.0,0.006,453.0,0.0083,23045.0,0.4209,31696.0,0.579,54747.0,1.0,54747.0
Melton,197.0,0.0074,232.0,0.0087,478.0,0.0179,40.0,0.0015,12.0,0.0005,88.0,0.0033,42.0,0.0016,124.0,0.0047,212.0,0.008,75.0,0.0028,328.0,0.0123,470.0,0.0176,274.0,0.0103,867.0,0.0325,1259.0,0.0472,488.0,0.0183,534.0,0.02,1060.0,0.0398,1299.0,0.0487,348.0,0.0131,1685.0,0.0632,1242.0,0.0466,603.0,0.0226,1882.0,0.0706,1519.0,0.057,679.0,0.0255,2145.0,0.0805,1858.0,0.0697,500.0,0.0188,2381.0,0.0893,1470.0,0.0551,332.0,0.0125,1882.0,0.0706,1514.0,0.0568,211.0,0.0079,1798.0,0.0674,3055.0,0.1146,268.0,0.0101,3438.0,0.129,2155.0,0.0808,19.0,0.0007,2194.0,0.0823,1343.0,0.0504,25.0,0.0009,1412.0,0.053,734.0,0.0275,0.0,0.0,743.0,0.0279,1481.0,0.0556,7.0,0.0003,1521.0,0.0571,1128.0,0.0423,19.0,0.0007,1210.0,0.0454,218.0,0.0082,170.0,0.0064,437.0,0.0164,20616.0,0.7733,6045.0,0.2268,26659.0,1.0,26659.0
Mildura,143.0,0.0055,227.0,0.0087,447.0,0.0172,16.0,0.0006,56.0,0.0022,104.0,0.004,23.0,0.0009,239.0,0.0092,349.0,0.0134,67.0,0.0026,602.0,0.0232,745.0,0.0287,383.0,0.0147,1667.0,0.0642,2056.0,0.0792,347.0,0.0134,891.0,0.0343,1340.0,0.0516,1401.0,0.054,559.0,0.0215,2034.0,0.0783,1205.0,0.0464,779.0,0.03,2015.0,0.0776,1408.0,0.0542,758.0,0.0292,2222.0,0.0856,1548.0,0.0596,453.0,0.0174,2046.0,0.0788,1089.0,0.0419,358.0,0.0138,1469.0,0.0566,1200.0,0.0462,255.0,0.0098,1501.0,0.0578,2292.0,0.0883,308.0,0.0119,2671.0,0.1029,1569.0,0.0604,22.0,0.0008,1630.0,0.0628,1033.0,0.0398,28.0,0.0011,1120.0,0.0431,568.0,0.0219,13.0,0.0005,610.0,0.0235,1167.0,0.0449,40.0,0.0015,1348.0,0.0519,1224.0,0.0471,47.0,0.0018,1299.0,0.05,349.0,0.0134,526.0,0.0203,926.0,0.0357,17436.0,0.6714,8577.0,0.3303,25968.0,1.0,25968.0
Mill Park,185.0,0.0081,142.0,0.0062,424.0,0.0187,42.0,0.0018,22.0,0.001,80.0,0.0035,27.0,0.0012,52.0,0.0023,133.0,0.0059,56.0,0.0025,225.0,0.0099,359.0,0.0158,172.0,0.0076,613.0,0.027,895.0,0.0394,289.0,0.0127,317.0,0.014,673.0,0.0296,1011.0,0.0445,208.0,0.0092,1279.0,0.0563,858.0,0.0378,395.0,0.0174,1241.0,0.0546,1107.0,0.0487,392.0,0.0173,1579.0,0.0695,1379.0,0.0607,392.0,0.0173,1836.0,0.0808,1172.0,0.0516,266.0,0.0117,1471.0,0.0647,1276.0,0.0562,164.0,0.0072,1443.0,0.0635,2642.0,0.1163,263.0,0.0116,2916.0,0.1283,2098.0,0.0923,13.0,0.0006,2159.0,0.095,1576.0,0.0694,36.0,0.0016,1653.0,0.0727,1023.0,0.045,0.0,0.0,1053.0,0.0463,1907.0,0.0839,19.0,0.0008,1960.0,0.0863,930.0,0.0409,22.0,0.001,979.0,0.0431,164.0,0.0072,104.0,0.0046,328.0,0.0144,18183.0,0.8002,4503.0,0.1982,22722.0,1.0,22722.0
Monbulk,100.0,0.0043,110.0,0.0047,272.0,0.0117,28.0,0.0012,17.0,0.0007,88.0,0.0038,6.0,0.0003,68.0,0.0029,134.0,0.0057,15.0,0.0006,244.0,0.0105,320.0,0.0137,111.0,0.0048,853.0,0.0366,1044.0,0.0448,174.0,0.0075,455.0,0.0195,699.0,0.03,686.0,0.0294,305.0,0.0131,1058.0,0.0454,692.0,0.0297,454.0,0.0195,1235.0,0.053,994.0,0.0426,556.0,0.0239,1543.0,0.0662,1248.0,0.0535,303.0,0.013,1600.0,0.0686,944.0,0.0405,294.0,0.0126,1254.0,0.0538,958.0,0.0411,167.0,0.0072,1257.0,0.0539,2402.0,0.1031,294.0,0.0126,2797.0,0.12,2192.0,0.094,10.0,0.0004,2221.0,0.0953,1769.0,0.0759,53.0,0.0023,1874.0,0.0804,1232.0,0.0529,5.0,0.0002,1244.0,0.0534,2947.0,0.1264,55.0,0.0024,3100.0,0.133,1037.0,0.0445,20.0,0.0009,1081.0,0.0464,113.0,0.0048,86.0,0.0037,272.0,0.0117,18096.0,0.7764,5214.0,0.2237,23309.0,1.0,23309.0
Mordialloc,131.0,0.005,213.0,0.0082,401.0,0.0154,21.0,0.0008,28.0,0.0011,90.0,0.0035,38.0,0.0015,162.0,0.0062,212.0,0.0081,32.0,0.0012,326.0,0.0125,407.0,0.0156,145.0,0.0056,950.0,0.0364,1172.0,0.0449,188.0,0.0072,570.0,0.0219,788.0,0.0302,678.0,0.026,466.0,0.0179,1138.0,0.0436,683.0,0.0262,552.0,0.0212,1227.0,0.047,959.0,0.0368,584.0,0.0224,1489.0,0.0571,1113.0,0.0427,447.0,0.0171,1553.0,0.0595,883.0,0.0339,429.0,0.0164,1345.0,0.0516,991.0,0.038,344.0,0.0132,1353.0,0.0519,2324.0,0.0891,551.0,0.0211,2888.0,0.1107,2171.0,0.0832,26.0,0.001,2223.0,0.0852,1944.0,0.0745,116.0,0.0044,2081.0,0.0798,1417.0,0.0543,0.0,0.0,1443.0,0.0553,4357.0,0.167,150.0,0.0058,4584.0,0.1757,883.0,0.0339,25.0,0.001,952.0,0.0365,117.0,0.0045,187.0,0.0072,362.0,0.0139,19512.0,0.748,6635.0,0.2544,26084.0,1.0,26084.0
