district,Aust_BP_B_OS_pc,Aust_FO_B_OS_pc,Aust_MO_B_OS_pc,Aust_Both_parents_born_Aust_pc,Aust_Birthplace_not_stated_pc,Aust_Tot_resp_pc,Aust_Abor_BP_B_OS_pc,Aust_Abor_FO_B_OS_pc,Aust_Abor_MO_B_OS_pc,Aust_Abor_BP_B_Aus_pc,Aust_Abor_BP_NS_pc,Aust_Abor_Tot_resp_pc,Chinese_BP_B_OS_pc,Chinese_FO_B_OS_pc,Chinese_MO_B_OS_pc,Chinese_BP_B_Aus_pc,Chinese_BP_NS_pc,Chinese_Tot_resp_pc,Croatian_BP_B_OS_pc,Croatian_FO_B_OS_pc,Croatian_MO_B_OS_pc,Croatian_BP_B_Aus_pc,Croatian_BP_NS_pc,Croatian_Tot_resp_pc,Dutch_BP_B_OS_pc,Dutch_FO_B_OS_pc,Dutch_MO_B_OS_pc,Dutch_BP_B_Aus_pc,Dutch_BP_NS_pc,Dutch_Tot_resp_pc,English_BP_B_OS_pc,English_FO_B_OS_pc,English_MO_B_OS_pc,English_BP_B_Aus_pc,English_BP_NS_pc,English_Tot_resp_pc,Filipino_BP_B_OS_pc,Filipino_FO_B_OS_pc,Filipino_MO_B_OS_pc,Filipino_BP_B_Aus_pc,Filipino_BP_NS_pc,Filipino_Tot_resp_pc,French_BP_B_OS_pc,French_FO_B_OS_pc,French_MO_B_OS_pc,French_BP_B_Aus_pc,French_BP_NS_pc,French_Tot_resp_pc,German_BP_B_OS_pc,German_FO_B_OS_pc,German_MO_B_OS_pc,German_BP_B_Aus_pc,German_BP_NS_pc,German_Tot_resp_pc,Greek_BP_B_OS_pc,Greek_FO_B_OS_pc,Greek_MO_B_OS_pc,Greek_BP_B_Aus_pc,Greek_BP_NS_pc,Greek_Tot_resp_pc,Hungarian_BP_B_OS_pc,Hungarian_FO_B_OS_pc,Hungarian_MO_B_OS_pc,Hungarian_BP_B_Aus_pc,Hungarian_BP_NS_pc,Hungarian_Tot_resp_pc,Indian_BP_B_OS_pc,Indian_FO_B_OS_pc,Indian_MO_B_OS_pc,Indian_BP_B_Aus_pc,Indian_BP_NS_pc,Indian_Tot_resp_pc,Irish_BP_B_OS_pc,Irish_FO_B_OS_pc,Irish_MO_B_OS_pc,Irish_BP_B_Aus_pc,Irish_BP_NS_pc,Irish_Tot_resp_pc,Italian_BP_B_OS_pc,Italian_FO_B_OS_pc,Italian_MO_B_OS_pc,Italian_BP_B_Aus_pc,Italian_BP_NS_pc,Italian_Tot_resp_pc,Korean_BP_B_OS_pc,Korean_FO_B_OS_pc,Korean_MO_B_OS_pc,Korean_BP_B_Aus_pc,Korean_BP_NS_pc,Korean_Tot_resp_pc,Lebanese_BP_B_OS_pc,Lebanese_FO_B_OS_pc,Lebanese_MO_B_OS_pc,Lebanese_BP_B_Aus_pc,Lebanese_BP_NS_pc,Lebanese_Tot_resp_pc,Macedonian_BP_B_OS_pc,Macdonian_FO_B_OS_pc,Macdonian_MO_B_OS_pc,Macdonian_BP_B_Aus_pc,Macdonian_BP_NS_pc,Macedonian_Tot_resp_pc,Maltese_BP_B_OS_pc,Maltese_FO_B_OS_pc,Maltese_MO_B_OS_pc,Maltese_BP_B_Aus_pc,Maltese_BP_NS_pc,Maltese_Tot_resp_pc,Maori_BP_B_OS_pc,Maori_FO_B_OS_pc,Maori_MO_B_OS_pc,Maori_BP_B_Aus_pc,Maori_BP_NS_pc,Maori_Tot_resp_pc,NZ_BP_B_OS_pc,NZ_FO_B_OS_pc,NZ_MO_B_OS_pc,NZ_BP_B_Aus_pc,NZ_BP_NS_pc,NZ_Tot_resp_pc,Polish_BP_B_OS_pc,Polish_FO_B_OS_pc,Polish_MO_B_OS_pc,Polish_BP_B_Aus_pc,Polish_BP_NS_pc,Polish_Tot_resp_pc,Russian_BP_B_OS_pc,Russian_FO_B_OS_pc,Russian_MO_B_OS_pc,Russian_BP_B_Aus_pc,Russian_BP_NS_pc,Russian_Tot_resp_pc,Samoan_BP_B_OS_pc,Samoan_FO_B_OS_pc,Samoan_MO_B_OS_pc,Samoan_BP_B_Aus_pc,Samoan_BP_NS_pc,Samoan_Tot_resp_pc,Scottish_BP_B_OS_pc,Scottish_FO_B_OS_pc,Scottish_MO_B_OS_pc,Scottish_BP_B_Aus_pc,Scottish_BP_NS_pc,Scottish_Tot_resp_pc,Serbian_BP_B_OS_pc,Serbian_FO_B_OS_pc,Serbian_MO_B_OS_pc,Serbian_BP_B_Aus_pc,Serbian_BP_NS_pc,Serbian_Tot_resp_pc,Sth_African_BP_B_OS_pc,Sth_African_FO_B_OS_pc,Sth_African_MO_B_OS_pc,Sth_Afrcan_BP_B_Aus_pc,Sth_African_BP_NS_pc,Sth_African_Tot_resp_pc,Spanish_BP_B_OS_pc,Spanish_FO_B_OS_pc,Spanish_MO_B_OS_pc,Spanish_BP_B_Aus_pc,Spanish_BP_NS_pc,Spanish_Tot_resp_pc,Sri_Lankan_BP_B_OS_pc,Sri_Lankan_FO_B_OS_pc,Sri_Lankan_MO_B_OS_pc,Sri_Lankan_BP_B_Aus_pc,Sri_Lankan_BP_NS_pc,Sri_Lankan_Tot_resp_pc,Vietnamese_BP_B_OS_pc,Vietnamese_FO_B_OS_pc,Vietnamese_MO_B_OS_pc,Vietnamese_BP_B_Aus_pc,Vietnamese_BP_NS_pc,Vietnamese_Tot_resp_pc,Welsh_BP_B_OS_pc,Welsh_FO_B_OS_pc,Welsh_MO_B_OS_pc,Welsh_BP_B_Aus_pc,Welsh_BP_NS_pc,Welsh_Tot_resp_pc,Other_BP_B_OS_pc,Other_FO_B_OS_pc,Other_MO_B_OS_pc,Other_BP_B_Aus_pc,Other_BP_NS_pc,Other_Tot_resp_pc,Ancestry_NS_BP_B_OS_pc,Ancestry_NS_FO_B_OS_pc,Ancestry_NS_MO_B_OS_pc,Ancestry_NS_BP_B_Aus_pc,Ancestry_NS_BP_NS_pc,Ancestry_NS_Tot_resp_pc,Tot_P_BP_B_OS_pc,Tot_P_FO_B_OS_pc,Tot_P_MO_B_OS_pc,Tot_P_BP_B_Aus_pc,Tot_P_BP_NS_pc,Tot_P_Tot_resp_pc
Melton,0.0207,0.0304,0.0202,0.1933,0.0022,0.2667,0.0001,0.0006,0.0001,0.0141,0.0,0.0149,0.0136,0.0002,0.0004,0.0006,0.0,0.0149,0.0051,0.0004,0.0004,0.002,0.0,0.0079,0.0038,0.0009,0.0002,0.0031,0.0,0.0081,0.0524,0.0235,0.0174,0.1585,0.0019,0.2538,0.0297,0.0003,0.0019,0.0002,0.0,0.0322,0.0011,0.0001,0.0,0.0005,0.0,0.0018,0.008,0.0019,0.0011,0.0144,0.0,0.0255,0.0051,0.0014,0.0007,0.0036,0.0,0.0108,0.0009,0.0,0.0,0.0004,0.0,0.0014,0.0615,0.0008,0.0003,0.0003,0.0001,0.063,0.0091,0.004,0.0024,0.0427,0.0002,0.0584,0.0124,0.0047,0.002,0.0179,0.0002,0.0372,0.0009,0.0,0.0,0.0,0.0,0.0009,0.0022,0.0004,0.0002,0.0006,0.0,0.0035,0.0046,0.0007,0.0003,0.0011,0.0001,0.0068,0.023,0.0056,0.0034,0.018,0.0002,0.0502,0.0066,0.0005,0.0007,0.0002,0.0,0.0079,0.0041,0.0009,0.0008,0.0004,0.0,0.0062,0.0042,0.0005,0.0003,0.0023,0.0,0.0074,0.0005,0.0,0.0001,0.0002,0.0,0.0007,0.019,0.0007,0.0003,0.0001,0.0001,0.0203,0.0122,0.004,0.0037,0.0366,0.0,0.0565,0.0056,0.0007,0.0002,0.0007,0.0,0.0072,0.0013,0.0001,0.0001,0.0,0.0001,0.0017,0.004,0.0002,0.0,0.0004,0.0,0.0047,0.0041,0.0002,0.0,0.0001,0.0,0.0044,0.0087,0.0001,0.0005,0.0002,0.0,0.0095,0.0009,0.0,0.0001,0.0012,0.0,0.0021,0.1931,0.0091,0.006,0.0097,0.0006,0.2184,0.0105,0.0004,0.0003,0.0033,0.0597,0.0743,0.4575,0.0616,0.0435,0.3698,0.0677,1.0
Mildura,0.0071,0.0199,0.0138,0.3177,0.0043,0.3628,0.0001,0.0011,0.0003,0.0369,0.0007,0.0391,0.0203,0.0001,0.0004,0.0008,0.0001,0.0217,0.0023,0.0002,0.0,0.0016,0.0,0.0042,0.0026,0.0004,0.0004,0.0025,0.0,0.0059,0.0298,0.0182,0.013,0.2927,0.0043,0.358,0.0068,0.0,0.0006,0.0001,0.0,0.0075,0.0008,0.0,0.0001,0.001,0.0,0.002,0.0045,0.0012,0.0005,0.0397,0.0001,0.0461,0.0043,0.0008,0.0002,0.0038,0.0001,0.0092,0.0005,0.0,0.0,0.0005,0.0,0.001,0.0086,0.0,0.0001,0.0,0.0,0.0087,0.0041,0.0027,0.0017,0.0813,0.0003,0.0902,0.0233,0.0066,0.0019,0.0361,0.0003,0.0682,0.0008,0.0,0.0,0.0,0.0,0.0009,0.0,0.0001,0.0,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0006,0.0,0.0009,0.0007,0.0001,0.0001,0.0003,0.0,0.0012,0.001,0.0005,0.0003,0.0002,0.0,0.002,0.0006,0.0002,0.0001,0.001,0.0,0.0019,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0022,0.0002,0.0001,0.0001,0.0,0.0026,0.0057,0.0034,0.0024,0.0761,0.0005,0.0881,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0009,0.0,0.0001,0.0001,0.0,0.0011,0.0002,0.0001,0.0001,0.0003,0.0,0.0007,0.0005,0.0,0.0,0.0001,0.0,0.0006,0.0074,0.0,0.0,0.0001,0.0001,0.0077,0.0003,0.0002,0.0001,0.0015,0.0,0.0021,0.0687,0.005,0.0036,0.0099,0.0008,0.0879,0.0045,0.0002,0.0002,0.0088,0.0738,0.0875,0.1893,0.042,0.0267,0.6541,0.0878,1.0
Mill Park,0.0203,0.0237,0.016,0.1327,0.0013,0.194,0.0001,0.0003,0.0002,0.008,0.0,0.0086,0.0387,0.0003,0.0006,0.0005,0.0,0.0401,0.0054,0.0006,0.0003,0.0018,0.0,0.0081,0.0019,0.0003,0.0003,0.0015,0.0,0.0042,0.0333,0.0148,0.0114,0.1056,0.0007,0.1657,0.0171,0.0005,0.0007,0.0006,0.0001,0.019,0.0011,0.0,0.0001,0.0007,0.0,0.0019,0.0042,0.0007,0.0007,0.0091,0.0,0.0148,0.0339,0.0057,0.0027,0.0163,0.0001,0.0588,0.0006,0.0,0.0,0.0002,0.0,0.0008,0.0651,0.0008,0.0003,0.0003,0.0,0.0665,0.0061,0.0028,0.0022,0.0355,0.0001,0.0466,0.0728,0.0165,0.0073,0.0517,0.0004,0.1488,0.0016,0.0001,0.0003,0.0,0.0,0.0019,0.016,0.0033,0.0014,0.0032,0.0,0.024,0.0506,0.0059,0.0031,0.0109,0.0001,0.0706,0.0096,0.0019,0.0009,0.0069,0.0001,0.0193,0.0019,0.0002,0.0003,0.0001,0.0,0.0025,0.0015,0.0003,0.0003,0.0004,0.0,0.0025,0.0027,0.0002,0.0003,0.0012,0.0,0.0044,0.0009,0.0001,0.0001,0.0003,0.0,0.0014,0.0052,0.0005,0.0002,0.0002,0.0,0.0061,0.0059,0.0024,0.0016,0.0266,0.0,0.0365,0.0053,0.0004,0.0003,0.0005,0.0,0.0064,0.0009,0.0004,0.0002,0.0001,0.0,0.0015,0.0031,0.0002,0.0002,0.0007,0.0,0.0041,0.009,0.0002,0.0,0.0002,0.0,0.0096,0.0122,0.0001,0.0004,0.0002,0.0,0.0129,0.0004,0.0001,0.0,0.0004,0.0,0.0009,0.1725,0.0092,0.0057,0.0095,0.0005,0.1973,0.0096,0.0008,0.0003,0.0022,0.041,0.0539,0.5502,0.0642,0.0401,0.2984,0.047,1.0
Monbulk,0.0058,0.0538,0.0403,0.283,0.0014,0.3842,0.0,0.0003,0.0001,0.0059,0.0002,0.0065,0.0123,0.0004,0.001,0.0013,0.0,0.015,0.002,0.0003,0.0001,0.0009,0.0,0.0034,0.0211,0.0062,0.0032,0.0136,0.0,0.044,0.0922,0.0489,0.0337,0.2566,0.002,0.4333,0.0025,0.0001,0.0008,0.0001,0.0,0.0034,0.003,0.0005,0.0006,0.0015,0.0,0.0055,0.0176,0.0049,0.004,0.0273,0.0001,0.0539,0.0042,0.0009,0.0002,0.0045,0.0,0.0098,0.0024,0.0002,0.0001,0.0012,0.0,0.0039,0.0059,0.0003,0.0004,0.0004,0.0,0.0069,0.0187,0.0105,0.0065,0.0857,0.0004,0.1218,0.0132,0.0052,0.0023,0.018,0.0,0.0387,0.0008,0.0,0.0003,0.0,0.0,0.0011,0.0002,0.0002,0.0,0.0002,0.0,0.0005,0.0002,0.0,0.0,0.0005,0.0,0.0007,0.0012,0.0004,0.0003,0.0019,0.0,0.0039,0.0011,0.0004,0.0001,0.0003,0.0,0.002,0.0033,0.001,0.0011,0.0007,0.0,0.0062,0.0065,0.0007,0.0007,0.0024,0.0,0.0103,0.0023,0.0001,0.0003,0.0006,0.0,0.0033,0.0003,0.0,0.0,0.0,0.0,0.0003,0.02,0.0119,0.0086,0.0791,0.0002,0.1197,0.001,0.0003,0.0002,0.0001,0.0,0.0017,0.0023,0.0004,0.0006,0.0,0.0,0.0033,0.0011,0.0002,0.0002,0.0004,0.0,0.002,0.0025,0.0005,0.0003,0.0005,0.0,0.0038,0.0014,0.0,0.0001,0.0001,0.0,0.0016,0.0029,0.0005,0.0002,0.0027,0.0,0.0063,0.043,0.0109,0.0103,0.0147,0.0002,0.079,0.0008,0.0002,0.0001,0.0035,0.035,0.0397,0.24,0.0969,0.0693,0.5526,0.0412,1.0
Mordialloc,0.0128,0.0383,0.0304,0.1919,0.0014,0.2749,0.0,0.0001,0.0003,0.0033,0.0,0.0037,0.073,0.0007,0.0019,0.0015,0.0001,0.0773,0.0038,0.0003,0.0005,0.0012,0.0001,0.0059,0.0069,0.0018,0.0009,0.0044,0.0,0.0141,0.0748,0.0317,0.0238,0.1764,0.0013,0.3079,0.0111,0.0003,0.0013,0.0002,0.0001,0.013,0.0042,0.0005,0.0003,0.0012,0.0,0.0063,0.0102,0.0023,0.0021,0.0155,0.0,0.0301,0.0196,0.0033,0.0019,0.0104,0.0,0.0351,0.0017,0.0004,0.0001,0.001,0.0,0.0032,0.0354,0.0009,0.0008,0.0006,0.0,0.0377,0.021,0.0085,0.0052,0.0725,0.0001,0.1073,0.0214,0.0067,0.0025,0.0211,0.0001,0.0518,0.0014,0.0,0.0001,0.0001,0.0,0.0015,0.0018,0.0005,0.0002,0.0007,0.0,0.0033,0.0008,0.0002,0.0,0.0003,0.0,0.0014,0.0018,0.0002,0.0002,0.0016,0.0,0.0038,0.002,0.0004,0.0004,0.0,0.0,0.0028,0.0032,0.0015,0.0011,0.0003,0.0,0.0061,0.007,0.0006,0.0008,0.0017,0.0,0.0101,0.0068,0.0001,0.0002,0.0002,0.0,0.0073,0.0007,0.0001,0.0,0.0,0.0,0.0008,0.0195,0.0069,0.0057,0.052,0.0,0.0841,0.0052,0.0002,0.0003,0.0007,0.0,0.0063,0.0059,0.0007,0.0006,0.0001,0.0,0.0073,0.0027,0.0001,0.0002,0.0002,0.0,0.0032,0.011,0.0006,0.0006,0.0007,0.0001,0.013,0.0234,0.0005,0.0009,0.0006,0.0001,0.0256,0.0023,0.0002,0.0002,0.0015,0.0,0.0041,0.1201,0.011,0.0102,0.0137,0.0002,0.1553,0.0052,0.0003,0.0,0.0027,0.0253,0.0336,0.4398,0.0726,0.058,0.4,0.0296,1.0
Mornington,0.0066,0.0484,0.038,0.2626,0.003,0.3586,0.0,0.0002,0.0,0.0041,0.0,0.0044,0.0074,0.0004,0.0007,0.0009,0.0,0.0095,0.0028,0.0002,0.0003,0.0008,0.0,0.0041,0.0111,0.0032,0.0017,0.0064,0.0,0.0224,0.1276,0.0471,0.0359,0.2553,0.0029,0.4688,0.0023,0.0001,0.0004,0.0,0.0,0.0028,0.0029,0.0004,0.0001,0.002,0.0001,0.0054,0.0122,0.0033,0.0028,0.02,0.0,0.0383,0.0078,0.0016,0.0007,0.004,0.0,0.0142,0.0012,0.0002,0.0001,0.0004,0.0,0.0018,0.0037,0.0003,0.0002,0.0003,0.0,0.0046,0.0277,0.01,0.0062,0.0853,0.0005,0.1297,0.0162,0.0048,0.0023,0.0201,0.0001,0.0435,0.0002,0.0,0.0001,0.0,0.0,0.0003,0.0005,0.0001,0.0,0.0004,0.0,0.001,0.0005,0.0001,0.0,0.0006,0.0,0.0012,0.0021,0.0004,0.0004,0.0017,0.0,0.0046,0.0008,0.0004,0.0001,0.0002,0.0,0.0015,0.0027,0.0023,0.0011,0.0005,0.0,0.0066,0.0043,0.0003,0.0005,0.0013,0.0,0.0064,0.0019,0.0002,0.0001,0.0003,0.0,0.0025,0.0002,0.0,0.0001,0.0,0.0,0.0003,0.0312,0.0115,0.0083,0.0776,0.0002,0.1289,0.0008,0.0001,0.0001,0.0002,0.0,0.0012,0.0034,0.0004,0.0003,0.0002,0.0,0.0044,0.0014,0.0001,0.0001,0.0007,0.0,0.0023,0.0011,0.0005,0.0001,0.0005,0.0,0.0022,0.001,0.0,0.0,0.0,0.0,0.001,0.0047,0.0006,0.0003,0.0023,0.0,0.0079,0.035,0.009,0.0076,0.0123,0.0004,0.0642,0.0012,0.0003,0.0001,0.0046,0.0339,0.0402,0.2668,0.0879,0.0652,0.5371,0.0431,1.0
Morwell,0.0067,0.0324,0.0233,0.3237,0.0054,0.3914,0.0,0.0003,0.0001,0.0185,0.0003,0.0192,0.0067,0.0001,0.0003,0.0006,0.0,0.0078,0.002,0.0002,0.0,0.0005,0.0,0.0027,0.0149,0.005,0.0027,0.0137,0.0,0.0364,0.05,0.031,0.0224,0.2801,0.0057,0.3891,0.0084,0.0004,0.0013,0.0005,0.0,0.0106,0.0005,0.0001,0.0,0.0009,0.0,0.0014,0.0096,0.0031,0.0019,0.0252,0.0003,0.04,0.0031,0.0003,0.0002,0.0024,0.0,0.006,0.0009,0.0002,0.0,0.0005,0.0,0.0016,0.0067,0.0001,0.0,0.0001,0.0,0.0069,0.0103,0.0061,0.003,0.073,0.0007,0.093,0.0169,0.0034,0.0014,0.0209,0.0004,0.0429,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0086,0.0019,0.0004,0.0084,0.0,0.0193,0.0016,0.0001,0.0005,0.0004,0.0,0.0025,0.0013,0.0011,0.0004,0.0004,0.0,0.0032,0.0041,0.0003,0.0,0.0025,0.0,0.0069,0.0007,0.0001,0.0001,0.0001,0.0,0.001,0.0009,0.0001,0.0,0.0001,0.0,0.001,0.0165,0.0078,0.0064,0.0734,0.0008,0.1049,0.0008,0.0001,0.0,0.0003,0.0,0.0013,0.0006,0.0003,0.0002,0.0,0.0,0.0012,0.0015,0.0002,0.0,0.0007,0.0,0.0024,0.0008,0.0,0.0,0.0001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0003,0.0004,0.0015,0.0,0.0031,0.0375,0.0049,0.0029,0.0118,0.0005,0.0576,0.0021,0.0002,0.0001,0.0092,0.0696,0.0812,0.1897,0.0628,0.0433,0.6202,0.084,1.0
Mulgrave,0.0218,0.0143,0.0119,0.0688,0.0015,0.1182,0.0001,0.0001,0.0001,0.0021,0.0,0.0024,0.1652,0.0013,0.0024,0.0014,0.0008,0.171,0.007,0.0002,0.0001,0.0007,0.0,0.0081,0.004,0.0006,0.0002,0.0011,0.0,0.0059,0.0456,0.0106,0.0076,0.0619,0.0011,0.1268,0.0162,0.0001,0.001,0.0002,0.0,0.0175,0.0027,0.0001,0.0001,0.0003,0.0,0.0031,0.0053,0.0007,0.0004,0.0055,0.0001,0.0119,0.0376,0.0038,0.0022,0.0115,0.0004,0.0555,0.0024,0.0002,0.0001,0.0003,0.0,0.003,0.0627,0.0004,0.0005,0.0001,0.0,0.0637,0.0059,0.0021,0.0015,0.021,0.0001,0.0306,0.0283,0.0042,0.0016,0.0108,0.0002,0.0451,0.0089,0.0,0.0001,0.0,0.0,0.009,0.0036,0.0006,0.0003,0.0004,0.0,0.0048,0.0027,0.0002,0.0001,0.0004,0.0,0.0033,0.0024,0.0002,0.0001,0.0005,0.0001,0.0032,0.0019,0.0001,0.0001,0.0001,0.0,0.0022,0.0014,0.0005,0.0002,0.0,0.0,0.0021,0.0055,0.0002,0.0004,0.0004,0.0,0.0065,0.0027,0.0,0.0002,0.0,0.0,0.0028,0.0018,0.0003,0.0001,0.0,0.0,0.0022,0.007,0.0017,0.0015,0.0181,0.0002,0.0284,0.0081,0.0003,0.0002,0.0002,0.0002,0.009,0.0018,0.0004,0.0001,0.0001,0.0,0.0024,0.0032,0.0001,0.0001,0.0001,0.0,0.0036,0.0199,0.0004,0.0005,0.0001,0.0001,0.021,0.0985,0.0009,0.0015,0.0002,0.0002,0.1012,0.0005,0.0001,0.0001,0.0005,0.0,0.0012,0.2267,0.0058,0.0054,0.0071,0.001,0.246,0.0156,0.0002,0.0002,0.0014,0.0426,0.06,0.7331,0.0346,0.0282,0.1532,0.0509,1.0
Murray Plains,0.0031,0.02,0.0152,0.3801,0.0054,0.4237,0.0,0.0004,0.0002,0.0272,0.0003,0.028,0.0055,0.0,0.0002,0.001,0.0,0.0068,0.0003,0.0,0.0,0.0002,0.0,0.0005,0.0037,0.0009,0.0008,0.004,0.0,0.0094,0.0286,0.0202,0.0156,0.3398,0.0063,0.4106,0.0092,0.0,0.0006,0.0001,0.0001,0.0099,0.0003,0.0,0.0,0.0009,0.0,0.0012,0.0032,0.0008,0.0008,0.0313,0.0001,0.0363,0.0006,0.0001,0.0,0.0007,0.0,0.0015,0.0004,0.0,0.0001,0.0004,0.0,0.0009,0.0053,0.0002,0.0,0.0,0.0,0.0055,0.005,0.0031,0.0018,0.1022,0.0009,0.113,0.0115,0.0026,0.0005,0.0219,0.0002,0.0367,0.0002,0.0,0.0,0.0001,0.0,0.0003,0.0002,0.0,0.0001,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0008,0.0,0.0014,0.0012,0.0002,0.0001,0.0002,0.0,0.0017,0.0011,0.0004,0.0002,0.0003,0.0,0.0021,0.0004,0.0001,0.0001,0.0006,0.0,0.0012,0.0003,0.0,0.0,0.0,0.0,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0061,0.0039,0.0031,0.0901,0.0004,0.1036,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0008,0.0001,0.0001,0.0,0.0,0.001,0.0003,0.0001,0.0,0.0002,0.0,0.0006,0.0006,0.0,0.0,0.0001,0.0,0.0007,0.0028,0.0,0.0,0.0,0.0,0.0029,0.0002,0.0001,0.0001,0.0015,0.0,0.0019,0.0245,0.0022,0.0018,0.0084,0.0002,0.0371,0.0016,0.0002,0.0,0.0085,0.0653,0.0756,0.1096,0.0386,0.0283,0.7447,0.0787,1.0
Narracan,0.005,0.0385,0.0281,0.3488,0.0033,0.4236,0.0001,0.0004,0.0001,0.0112,0.0,0.0119,0.005,0.0001,0.0004,0.0008,0.0,0.0064,0.0018,0.0004,0.0001,0.0003,0.0,0.0026,0.0148,0.0045,0.0024,0.0138,0.0002,0.0357,0.0597,0.0354,0.0263,0.3001,0.0042,0.4258,0.0031,0.0002,0.0012,0.0002,0.0,0.0048,0.0007,0.0,0.0001,0.0014,0.0,0.0022,0.0099,0.0023,0.0018,0.0258,0.0002,0.0401,0.0018,0.0001,0.0,0.0017,0.0,0.0036,0.0016,0.0,0.0,0.0006,0.0,0.0022,0.0054,0.0006,0.0,0.0003,0.0,0.0064,0.0119,0.0078,0.0047,0.0889,0.0007,0.114,0.0103,0.0038,0.0012,0.0191,0.0,0.0345,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0003,0.0018,0.0007,0.0001,0.0018,0.0,0.0044,0.0012,0.0004,0.0001,0.0002,0.0,0.002,0.0025,0.0011,0.001,0.0006,0.0,0.0053,0.0028,0.0003,0.0001,0.0015,0.0,0.0047,0.0008,0.0001,0.0,0.0002,0.0,0.0012,0.0003,0.0,0.0,0.0,0.0,0.0004,0.0143,0.0086,0.0065,0.0795,0.0004,0.1093,0.0007,0.0001,0.0,0.0001,0.0,0.001,0.0016,0.0002,0.0003,0.0002,0.0,0.0023,0.0008,0.0001,0.0,0.0006,0.0001,0.0016,0.0012,0.0001,0.0,0.0001,0.0,0.0015,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0015,0.0003,0.0002,0.0015,0.0,0.0034,0.03,0.0047,0.0044,0.0129,0.0002,0.0523,0.0017,0.0002,0.0003,0.0082,0.0518,0.0622,0.1651,0.069,0.0497,0.6539,0.0623,1.0
Narre Warren North,0.0219,0.0259,0.0198,0.1301,0.0011,0.1988,0.0,0.0001,0.0,0.0041,0.0,0.0042,0.0602,0.0006,0.0011,0.0009,0.0002,0.0628,0.0105,0.0007,0.0004,0.0017,0.0,0.0134,0.0085,0.0019,0.0009,0.0043,0.0001,0.0155,0.0567,0.0199,0.0142,0.1054,0.0011,0.1974,0.0148,0.0003,0.001,0.0003,0.0,0.0164,0.0045,0.0002,0.0001,0.0006,0.0,0.0053,0.0093,0.0014,0.0008,0.0093,0.0,0.0207,0.0129,0.0016,0.0013,0.007,0.0,0.0228,0.0065,0.0002,0.0002,0.0009,0.0,0.0079,0.0505,0.0009,0.0005,0.0005,0.0,0.0524,0.0101,0.0037,0.0019,0.0313,0.0,0.047,0.0225,0.0043,0.0018,0.016,0.0001,0.0447,0.0032,0.0,0.0,0.0,0.0,0.0032,0.0062,0.0011,0.0004,0.0003,0.0,0.0079,0.0023,0.0002,0.0002,0.0004,0.0,0.0031,0.0023,0.0006,0.0002,0.0023,0.0,0.0054,0.0046,0.0003,0.0002,0.0003,0.0,0.0055,0.0029,0.0011,0.0006,0.0003,0.0,0.0048,0.0106,0.0005,0.0003,0.0004,0.0,0.0117,0.0051,0.0001,0.0,0.0002,0.0001,0.0055,0.0079,0.0004,0.0,0.0002,0.0,0.0086,0.0121,0.0039,0.0024,0.0274,0.0001,0.046,0.0174,0.0008,0.0009,0.0007,0.0002,0.0201,0.0037,0.0006,0.0004,0.0002,0.0,0.005,0.0043,0.0002,0.0001,0.0001,0.0,0.0047,0.0252,0.0008,0.0005,0.0005,0.0,0.027,0.0098,0.0001,0.0003,0.0001,0.0001,0.0104,0.0009,0.0001,0.0001,0.0004,0.0,0.0014,0.267,0.0108,0.0085,0.0103,0.0006,0.2972,0.0103,0.0004,0.0002,0.0018,0.0464,0.0591,0.6011,0.0558,0.0396,0.2518,0.0516,1.0
