district,Num_MVs_NS,Num_MVs_NS_pc,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_0_MVs_pc,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_1_MVs_pc,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_2_MVs_pc,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_3_MVs_pc,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_4mo_MVs_pc,Num_MVs_per_dweling_Tot,Num_MVs_per_dweling_Tot_pc,Total_dwelings,Total_dwelings_pc,Total_dwelings_total
Murray Plains,80.0,83.0,43.0,47.0,20.0,25.0,17.0,29.0,64.0,70.0,72.0,70.0,18.0,10.0,21.0,56.0,21.0
Narracan,37.0,46.0,16.0,17.0,15.0,15.0,34.0,45.0,74.0,77.0,81.0,81.0,16.0,31.0,17.0,57.0,17.0
Narre Warren North,38.0,43.0,24.0,24.0,14.0,12.0,58.0,65.0,81.0,79.0,76.0,74.0,29.0,28.0,32.0,58.0,32.0
Narre Warren South,36.0,38.0,10.0,9.0,10.0,2.0,75.0,81.0,88.0,85.0,78.0,75.0,44.0,73.0,42.0,59.0,42.0
Nepean,61.0,70.0,25.0,27.0,44.0,55.0,50.0,56.0,27.0,36.0,29.0,38.0,20.0,23.0,20.0,60.0,20.0
Niddrie,31.0,32.0,45.0,49.0,34.0,39.0,54.0,62.0,32.0,42.0,42.0,49.0,31.0,69.0,28.0,61.0,28.0
Northcote,8.0,3.0,81.0,83.0,81.0,83.0,6.0,7.0,6.0,6.0,7.0,7.0,63.0,79.0,62.0,62.0,62.0
Oakleigh,59.0,39.0,83.0,78.0,83.0,77.0,69.0,14.0,19.0,10.0,19.0,9.0,85.0,61.0,85.0,63.0,85.0
Ovens Valley,83.0,88.0,37.0,40.0,29.0,36.0,21.0,34.0,50.0,53.0,64.0,68.0,15.0,1.0,15.0,64.0,15.0
Pakenham,40.0,47.0,15.0,14.0,36.0,42.0,70.0,76.0,41.0,46.0,44.0,50.0,37.0,67.0,35.0,65.0,35.0
Pascoe Vale,32.0,28.0,76.0,77.0,74.0,81.0,9.0,10.0,9.0,11.0,10.0,12.0,49.0,48.0,49.0,66.0,49.0
Point Cook,42.0,35.0,26.0,18.0,62.0,50.0,88.0,80.0,53.0,35.0,33.0,27.0,80.0,44.0,80.0,67.0,80.0
Polwarth,63.0,66.0,22.0,20.0,21.0,19.0,65.0,63.0,67.0,62.0,70.0,69.0,40.0,25.0,43.0,68.0,43.0
Prahran,71.0,52.0,87.0,87.0,87.0,88.0,2.0,2.0,2.0,2.0,3.0,2.0,87.0,64.0,87.0,69.0,87.0
Preston,79.0,74.0,79.0,80.0,78.0,78.0,13.0,9.0,14.0,12.0,16.0,13.0,76.0,18.0,77.0,70.0,77.0
Richmond,58.0,48.0,85.0,85.0,85.0,87.0,3.0,4.0,4.0,4.0,2.0,4.0,83.0,50.0,83.0,71.0,83.0
Ringwood,57.0,49.0,63.0,59.0,75.0,72.0,79.0,42.0,23.0,17.0,24.0,21.0,82.0,62.0,82.0,72.0,82.0
Ripon,72.0,75.0,33.0,30.0,22.0,16.0,35.0,30.0,87.0,80.0,87.0,84.0,46.0,29.0,47.0,73.0,47.0
Rowville,3.0,4.0,12.0,13.0,8.0,8.0,62.0,82.0,77.0,81.0,68.0,71.0,14.0,80.0,12.0,74.0,12.0
Sandringham,6.0,8.0,52.0,55.0,57.0,68.0,36.0,47.0,15.0,21.0,15.0,20.0,19.0,76.0,16.0,75.0,16.0
Shepparton,84.0,85.0,47.0,46.0,43.0,37.0,46.0,28.0,80.0,67.0,71.0,65.0,52.0,5.0,56.0,76.0,56.0
South Barwon,10.0,13.0,23.0,22.0,27.0,23.0,80.0,83.0,46.0,48.0,48.0,51.0,39.0,77.0,37.0,77.0,37.0
South-West Coast,65.0,62.0,44.0,42.0,41.0,35.0,56.0,43.0,68.0,55.0,67.0,62.0,55.0,22.0,54.0,78.0,54.0
St Albans,75.0,81.0,64.0,71.0,32.0,49.0,7.0,17.0,44.0,54.0,39.0,48.0,8.0,3.0,9.0,79.0,9.0
Sunbury,16.0,23.0,27.0,36.0,16.0,31.0,25.0,57.0,42.0,59.0,52.0,57.0,6.0,65.0,7.0,80.0,7.0
Sydenham,25.0,29.0,8.0,11.0,2.0,1.0,38.0,66.0,85.0,88.0,80.0,83.0,9.0,58.0,8.0,81.0,8.0
Tarneit,66.0,63.0,29.0,25.0,51.0,43.0,81.0,68.0,55.0,44.0,51.0,45.0,64.0,26.0,64.0,82.0,64.0
Thomastown,48.0,55.0,58.0,60.0,47.0,52.0,48.0,46.0,29.0,33.0,23.0,28.0,33.0,20.0,33.0,83.0,33.0
Warrandyte,4.0,6.0,13.0,12.0,13.0,11.0,66.0,79.0,69.0,73.0,77.0,78.0,21.0,66.0,19.0,84.0,19.0
Wendouree,60.0,60.0,65.0,62.0,68.0,69.0,45.0,25.0,24.0,25.0,22.0,24.0,60.0,45.0,60.0,85.0,60.0
Werribee,56.0,54.0,51.0,50.0,65.0,62.0,64.0,41.0,31.0,28.0,30.0,29.0,66.0,37.0,67.0,86.0,67.0
Williamstown,29.0,33.0,67.0,69.0,60.0,71.0,26.0,36.0,12.0,16.0,9.0,15.0,24.0,63.0,22.0,87.0,22.0
Yan Yean,18.0,25.0,1.0,1.0,7.0,10.0,63.0,87.0,51.0,68.0,58.0,66.0,4.0,52.0,5.0,88.0,5.0
