district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,Total_Total_total
Hawthorn,Null,8680.0,8680.0,8507.0,1040.0,9554.0,3488.0,284.0,3776.0,4161.0,61.0,4263.0,1517.0,11.0,1579.0,352.0,8.0,379.0,17947.0,10251.0,28173.0,28173.0
Ivanhoe,Null,6871.0,6871.0,7587.0,578.0,8192.0,3894.0,159.0,4129.0,4200.0,59.0,4268.0,1354.0,8.0,1360.0,416.0,0.0,429.0,17486.0,7784.0,25313.0,25313.0
Kalkallo,Null,3645.0,3645.0,5999.0,389.0,6432.0,5714.0,50.0,5848.0,6799.0,26.0,6826.0,3142.0,4.0,3167.0,2138.0,4.0,2143.0,23848.0,4228.0,28102.0,28102.0
Kew,Null,5999.0,5999.0,7581.0,421.0,8094.0,4397.0,145.0,4550.0,5149.0,48.0,5202.0,1930.0,17.0,1962.0,619.0,0.0,646.0,19652.0,6860.0,26541.0,26541.0
Kororoit,Null,3960.0,3960.0,5868.0,324.0,6272.0,4974.0,70.0,5088.0,5945.0,31.0,6023.0,2635.0,0.0,2693.0,1816.0,0.0,1838.0,21175.0,4625.0,25780.0,25780.0
Lara,Null,7525.0,7525.0,7812.0,636.0,8498.0,4160.0,122.0,4331.0,3495.0,29.0,3553.0,1489.0,4.0,1515.0,812.0,0.0,799.0,17680.0,8394.0,26160.0,26160.0
Laverton,Null,5713.0,5713.0,6871.0,865.0,7750.0,5819.0,327.0,6133.0,5520.0,210.0,5824.0,2394.0,70.0,2513.0,1787.0,52.0,1879.0,22303.0,7442.0,29743.0,29743.0
Lowan,Null,9314.0,9314.0,9691.0,500.0,10323.0,3336.0,36.0,3402.0,2794.0,4.0,2823.0,1427.0,0.0,1438.0,530.0,0.0,536.0,17905.0,10009.0,27932.0,27932.0
Macedon,Null,5241.0,5241.0,8214.0,344.0,8612.0,3342.0,13.0,3403.0,3883.0,0.0,3886.0,1581.0,3.0,1597.0,557.0,0.0,565.0,17650.0,5675.0,23340.0,23340.0
Malvern,Null,8522.0,8522.0,8022.0,890.0,8907.0,3185.0,277.0,3491.0,3503.0,65.0,3582.0,1330.0,12.0,1369.0,224.0,4.0,231.0,16369.0,9929.0,26293.0,26293.0
