district,M_0_149_CFNC_pc,M_0_149_CF_C_und15_pc,M_0_149_CFNC_und15_pc,M_0_149_1PF_C_und15_pc,M_0_149_1PFNC_und15_pc,M_0_149_OthF_pc,M_0_149_Tot_pc,M_150_299_CFNC_pc,M_150_299_CF_C_und15_pc,M_150_299_CFNC_und15_pc,M_150_299_1PF_C_und15_pc,M_150_299_1PFNC_und15_pc,M_150_299_OthF_pc,M_150_299_Tot_pc,M_300_449_CFNC_pc,M_300_449_CF_C_und15_pc,M_300_449_CFNC_und15_pc,M_300_449_1PF_C_und15_pc,M_300_449_1PFNC_und15_pc,M_300_449_OthF_pc,M_300_449_Tot_pc,M_450_599_CFNC_pc,M_450_599_CF_C_und15_pc,M_450_599_CFNC_und15_pc,M_450_599_1PF_C_und15_pc,M_450_599_1PFNC_und15_pc,M_450_599_OthF_pc,M_450_599_Tot_pc,M_600_799_CFNC_pc,M_600_799_CF_C_und15_pc,M_600_799_CFNC_und15_pc,M_600_799_1PF_C_und15_pc,M_600_799_1PFNC_und15_pc,M_600_799_OthF_pc,M_600_799_Tot_pc,M_800_999_CFNC_pc,M_800_999_CF_C_und15_pc,M_800_999_CFNC_und15_pc,M_800_999_1PF_C_und15_pc,M_800_999_1PFNC_und15_pc,M_800_999_OthF_pc,M_800_999_Tot_pc,M_1000_1199_CFNC_pc,M_1000_1199_CF_C_und15_pc,M_1000_1199_CFNC_und15_pc,M_1000_1199_1PF_C_und15_pc,M_1000_1199_1PFNC_und15_pc,M_1000_1199_OthF_pc,M_1000_1199_Tot_pc,M_1200_1399_CFNC_pc,M_1200_1399_CF_C_und15_pc,M_1200_1399_CFNC_und15_pc,M_1200_1399_1PF_C_und15_pc,M_1200_1399_1PFNC_und15_pc,M_1200_1399_OthF_pc,M_1200_1399_Tot_pc,M_1400_1599_CFNC_pc,M_1400_1599_CF_C_und15_pc,M_1400_1599_CFNC_und15_pc,M_1400_1599_1PF_C_und15_pc,M_1400_1599_1PFNC_und15_pc,M_1400_1599_OthF_pc,M_1400_1599_Tot_pc,M_1600_1799_CFNC_pc,M_1600_1799_CF_C_und15_pc,M_1600_1799_CFNC_und15_pc,M_1600_1799_1PF_C_und15_pc,M_1600_1799_1PFNC_und15_pc,M_1600_1799_OthF_pc,M_1600_1799_Tot_pc,M_1800_1999_CFNC_pc,M_1800_1999_CF_C_und15_pc,M_1800_1999_CFNC_und15_pc,M_1800_1999_1PF_C_und15_pc,M_1800_1999_1PFNC_und15_pc,M_1800_1999_OthF_pc,M_1800_1999_Tot_pc,M_2000_2199_CFNC_pc,M_2000_2199_CF_C_und15_pc,M_2000_2199_CFNC_und15_pc,M_2000_2199_1PF_C_und15_pc,M_2000_2199_1PFNC_und15_pc,M_2000_2199_OthF_pc,M_2000_2199_Tot_pc,M_2200_2399_CFNC_pc,M_2200_2399_CF_C_und15_pc,M_2200_2399_CFNC_und15_pc,M_2200_2399_1PF_C_und15_pc,M_2200_2399_1PFNC_und15_pc,M_2200_2399_OthF_pc,M_2200_2399_Tot_pc,M_2400_2599_CFNC_pc,M_2400_2599_CF_C_und15_pc,M_2400_2599_CFNC_und15_pc,M_2400_2599_1PF_C_und15_pc,M_2400_2599_1PFNC_und15_pc,M_2400_2599_OthF_pc,M_2400_2599_Tot_pc,M_2600_2999_CFNC_pc,M_2600_2999_CF_C_und15_pc,M_2600_2999_CFNC_und15_pc,M_2600_2999_1PF_C_und15_pc,M_2600_2999_1PFNC_und15_pc,M_2600_2999_OthF_pc,M_2600_2999_Tot_pc,M_3000_3999_CFNC_pc,M_3000_3999_CF_C_und15_pc,M_3000_3999_CFNC_und15_pc,M_3000_3999_1PF_C_und15_pc,M_3000_3999_1PFNC_und15_pc,M_3000_3999_OthF_pc,M_3000_3999_Tot_pc,M_4000_4999_CFNC_pc,M_4000_4999_CF_C_und15_pc,M_4000_4999_CFNC_und15_pc,M_4000_4999_1PF_C_und15_pc,M_4000_4999_1PFNC_und15_pc,M_4000_4999_OthF_pc,M_4000_4999_Tot_pc,M_5000over_CFNC_pc,M_5000over_CF_C_und15_pc,M_5000over_CFNC_und15_pc,M_5000over_1PF_C_und15_pc,M_5000over_1PFNC_und15_pc,M_5000over_OthF_pc,M_5000over_Tot_pc,M_NS_CFNC_pc,M_NS_CF_C_und15_pc,M_NS_CFNC_und15_pc,M_NS_1PF_C_und15_pc,M_NS_1PFNC_und15_pc,M_NS_OthF_pc,M_NS_Tot_pc,Tot_CFNC_pc,Tot_CF_C_und15_pc,Tot_CFNC_und15_pc,Tot_1PF_C_und15_pc,Tot_1PFNC_und15_pc,Tot_OthF_pc,Tot_Tot_pc
Oakleigh,0.0042,0.0124,0.0037,0.0006,0.0,0.0,0.0367,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0011,0.0,0.0,0.0,0.0,0.0057,0.0034,0.0008,0.0013,0.0,0.0009,0.0,0.0142,0.0,0.0034,0.0023,0.0,0.0,0.0,0.0198,0.0056,0.0024,0.002,0.0006,0.0014,0.0,0.0313,0.0061,0.0052,0.0013,0.0,0.0006,0.0,0.0356,0.0066,0.0104,0.0008,0.0,0.0,0.0004,0.0337,0.0082,0.0117,0.0015,0.0009,0.0008,0.0,0.0479,0.011,0.009,0.0023,0.0004,0.0008,0.0,0.0419,0.0148,0.0307,0.0079,0.0006,0.001,0.0,0.0834,0.0056,0.0181,0.0011,0.0004,0.0,0.0,0.0409,0.0111,0.0196,0.0022,0.0,0.0008,0.0005,0.0469,0.0187,0.0275,0.0032,0.0005,0.0019,0.0,0.075,0.0438,0.086,0.0133,0.0004,0.0005,0.0,0.1677,0.0108,0.0416,0.0052,0.0,0.0,0.0,0.0766,0.0056,0.0355,0.0015,0.0,0.0004,0.0,0.0588,0.0091,0.0208,0.0035,0.0004,0.001,0.0005,0.0562,0.2715,0.4527,0.1514,0.0371,0.0466,0.0047,1.0
Ovens Valley,0.008,0.0005,0.0021,0.0,0.0,0.0,0.0269,0.0011,0.0,0.0,0.0,0.0005,0.0,0.0045,0.0064,0.0011,0.0005,0.0,0.0,0.0,0.0189,0.0043,0.0014,0.0,0.0,0.0,0.0,0.0181,0.0056,0.0053,0.0024,0.0037,0.0021,0.0,0.046,0.0194,0.0187,0.0037,0.0018,0.0032,0.0,0.0812,0.0194,0.0271,0.0066,0.0034,0.0008,0.0,0.0993,0.0239,0.0415,0.008,0.0051,0.0029,0.0,0.1099,0.025,0.041,0.0054,0.0038,0.0,0.0005,0.1022,0.0229,0.0391,0.0053,0.0043,0.0005,0.0,0.0955,0.0077,0.0221,0.0019,0.0014,0.0,0.0,0.046,0.0213,0.036,0.0046,0.001,0.001,0.0,0.0822,0.0021,0.0075,0.0,0.0,0.0,0.0,0.0135,0.0,0.0014,0.0,0.0,0.0,0.0,0.004,0.0066,0.0133,0.0027,0.0,0.0008,0.0,0.0319,0.0078,0.0119,0.0014,0.0,0.0005,0.0,0.0356,0.0016,0.0022,0.0,0.0,0.0,0.0,0.0138,0.0005,0.0032,0.0008,0.0,0.0,0.0,0.0077,0.0119,0.0111,0.0038,0.0,0.0011,0.0,0.053,0.3266,0.4118,0.1477,0.066,0.0439,0.0016,1.0
Pakenham,0.0035,0.0011,0.0012,0.0004,0.0003,0.0,0.0146,0.0004,0.0003,0.0,0.0,0.0,0.0,0.0022,0.001,0.0005,0.0007,0.0,0.0,0.0,0.0061,0.0,0.0004,0.0006,0.0,0.0,0.0,0.0056,0.0005,0.0007,0.0006,0.0,0.0004,0.0,0.0093,0.0031,0.0032,0.0017,0.0006,0.0027,0.0,0.0213,0.0039,0.0116,0.003,0.0023,0.0018,0.0,0.0383,0.0127,0.0308,0.0038,0.0025,0.0056,0.0,0.0687,0.0168,0.0447,0.0061,0.0045,0.0037,0.0,0.0917,0.0272,0.0647,0.0055,0.0043,0.0038,0.0,0.1192,0.0252,0.061,0.0061,0.0018,0.0017,0.0,0.109,0.0318,0.0781,0.0113,0.0023,0.0011,0.0,0.1452,0.0169,0.0396,0.005,0.0004,0.0007,0.0,0.0752,0.008,0.0225,0.0018,0.001,0.0,0.0,0.043,0.0098,0.0318,0.007,0.0003,0.0004,0.0,0.0597,0.011,0.0271,0.0048,0.0007,0.0009,0.0,0.0535,0.0015,0.0045,0.0007,0.0004,0.0,0.0,0.0137,0.0007,0.0045,0.0004,0.0,0.0,0.0,0.0119,0.0096,0.023,0.0035,0.0005,0.0006,0.0004,0.0561,0.2516,0.5003,0.1217,0.0549,0.0565,0.0028,1.0
Pascoe Vale,0.003,0.0042,0.0052,0.0,0.0012,0.0,0.0307,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0012,0.0,0.0,0.0,0.0004,0.0,0.0061,0.0,0.0005,0.0004,0.0,0.0,0.0,0.0049,0.0015,0.0014,0.0016,0.0,0.0,0.0,0.0127,0.0011,0.0049,0.0046,0.0,0.0015,0.0,0.0214,0.0015,0.0071,0.0023,0.0018,0.0007,0.0,0.032,0.0068,0.0096,0.0026,0.0004,0.0007,0.0,0.0399,0.0064,0.0113,0.0038,0.0005,0.0,0.0,0.0486,0.0108,0.0171,0.0034,0.0004,0.0008,0.0,0.0503,0.0109,0.0163,0.0026,0.0011,0.0,0.0,0.0444,0.0242,0.048,0.0053,0.0029,0.0016,0.0,0.1066,0.0105,0.0204,0.0012,0.0005,0.0,0.0,0.0466,0.015,0.0194,0.0,0.0,0.0,0.0,0.0485,0.0195,0.0454,0.0048,0.0004,0.0,0.0,0.0932,0.0433,0.1026,0.0081,0.0005,0.0015,0.0,0.174,0.0107,0.0387,0.0026,0.0004,0.0005,0.0,0.0638,0.0036,0.0187,0.0022,0.0,0.0,0.0,0.037,0.0074,0.0156,0.006,0.0004,0.0,0.0,0.0549,0.2727,0.4883,0.1286,0.0478,0.0444,0.0022,1.0
Point Cook,0.0044,0.0093,0.0045,0.0,0.0006,0.0,0.03,0.0004,0.0,0.0006,0.0004,0.0,0.0,0.0022,0.0005,0.0004,0.0013,0.0,0.0,0.0,0.0064,0.0009,0.0006,0.0,0.0,0.0,0.0,0.005,0.0014,0.0025,0.0006,0.0,0.0,0.0,0.0131,0.0019,0.0045,0.0014,0.0,0.001,0.0,0.0194,0.0022,0.0118,0.0023,0.0003,0.001,0.0,0.0301,0.0042,0.018,0.0034,0.0,0.0005,0.0,0.0412,0.0053,0.0289,0.0045,0.0017,0.001,0.0,0.0578,0.0081,0.0402,0.0057,0.0012,0.0011,0.0,0.0719,0.0092,0.0486,0.0016,0.0005,0.0008,0.0,0.0754,0.0227,0.082,0.0116,0.0018,0.002,0.0,0.1392,0.0106,0.0476,0.002,0.0003,0.0,0.0,0.0749,0.008,0.0421,0.0025,0.0,0.0,0.0,0.0701,0.011,0.0533,0.0052,0.0,0.0006,0.0,0.0911,0.0153,0.0638,0.0095,0.0002,0.0012,0.0003,0.1051,0.0024,0.0132,0.001,0.0,0.0,0.0,0.0244,0.0018,0.013,0.001,0.0002,0.0,0.0,0.0226,0.0083,0.0315,0.0069,0.0003,0.0007,0.0,0.0615,0.1948,0.5715,0.1333,0.0403,0.0433,0.0039,1.0
Polwarth,0.0068,0.0057,0.0025,0.0,0.0,0.0,0.0304,0.0016,0.0,0.0,0.0,0.0,0.0,0.0053,0.0041,0.0016,0.0,0.0,0.0,0.0,0.0178,0.0031,0.0028,0.0,0.0,0.0,0.0,0.0157,0.0088,0.0046,0.0015,0.0012,0.0004,0.0,0.0252,0.0113,0.0133,0.007,0.0,0.002,0.0,0.0569,0.0122,0.0214,0.0036,0.0,0.0013,0.0005,0.0731,0.0135,0.0321,0.0062,0.0008,0.0028,0.0,0.0756,0.0142,0.0248,0.0024,0.0016,0.0019,0.0,0.0687,0.0149,0.0332,0.0052,0.0009,0.0004,0.0,0.0778,0.005,0.023,0.0021,0.0,0.0005,0.0,0.0492,0.0145,0.0434,0.0049,0.0,0.0,0.0,0.0839,0.0049,0.0191,0.0027,0.0,0.0,0.0,0.0307,0.0065,0.0178,0.0023,0.0005,0.0,0.0,0.0332,0.0126,0.0431,0.0029,0.0025,0.0,0.0,0.0699,0.0183,0.0464,0.0093,0.0008,0.0005,0.0,0.0873,0.0052,0.0126,0.0016,0.0004,0.0,0.0,0.0299,0.0048,0.0141,0.0003,0.0,0.0,0.0,0.0264,0.011,0.018,0.0038,0.0,0.0027,0.0,0.0527,0.2841,0.48,0.1498,0.0425,0.0431,0.0005,1.0
Prahran,0.0087,0.0033,0.0007,0.0007,0.0,0.0,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0016,0.0009,0.0,0.0,0.0,0.0,0.003,0.0023,0.0,0.0,0.0,0.0007,0.0,0.0051,0.0077,0.0,0.0,0.0,0.0007,0.0,0.0131,0.0173,0.0028,0.0,0.0,0.0,0.0007,0.0248,0.0199,0.0009,0.0,0.0014,0.0,0.0,0.0334,0.0199,0.0061,0.0,0.0,0.0,0.0,0.0451,0.025,0.003,0.0,0.0,0.0,0.0,0.036,0.0414,0.0084,0.0012,0.0019,0.0,0.0007,0.0802,0.0189,0.003,0.0,0.0,0.0,0.0,0.032,0.0131,0.0028,0.0,0.0,0.0,0.0,0.029,0.0264,0.007,0.0,0.0014,0.0,0.0,0.0552,0.0519,0.033,0.0044,0.0,0.0,0.0,0.134,0.0231,0.0208,0.0021,0.0,0.0,0.0,0.0811,0.0341,0.0561,0.0068,0.0028,0.0,0.0,0.1358,0.014,0.0054,0.0028,0.0,0.0007,0.0,0.0477,0.5296,0.2796,0.072,0.0306,0.033,0.007,1.0
Preston,0.002,0.0052,0.0012,0.0,0.0006,0.0,0.0237,0.0,0.0,0.0006,0.0,0.0,0.0,0.0029,0.0009,0.0,0.0006,0.0,0.0,0.0,0.007,0.0,0.0,0.0005,0.0,0.0,0.0,0.0049,0.0005,0.0041,0.0014,0.0,0.0015,0.0,0.0143,0.0032,0.0035,0.0021,0.0,0.0,0.0,0.0256,0.0027,0.0085,0.0039,0.0006,0.002,0.0,0.037,0.0109,0.0134,0.0038,0.0,0.0018,0.0,0.044,0.009,0.0167,0.0011,0.0012,0.0015,0.0,0.0537,0.0138,0.0202,0.0015,0.0017,0.0,0.0,0.0648,0.0147,0.0146,0.0023,0.0009,0.0,0.0,0.0504,0.0325,0.0393,0.0085,0.0,0.0006,0.0,0.1018,0.014,0.02,0.0,0.0,0.0006,0.0,0.0516,0.0118,0.0199,0.0023,0.0,0.0005,0.0,0.0534,0.025,0.0401,0.0015,0.0006,0.0006,0.0,0.0932,0.0276,0.0657,0.0061,0.0006,0.0012,0.0,0.1332,0.0052,0.0175,0.0011,0.0,0.0,0.0,0.0387,0.0029,0.0094,0.0005,0.0,0.0,0.0,0.0287,0.0086,0.0234,0.0061,0.0,0.0006,0.0,0.0633,0.293,0.4514,0.1337,0.0434,0.0593,0.0017,1.0
Richmond,0.0057,0.0043,0.0006,0.0,0.0,0.0,0.0248,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0012,0.0008,0.001,0.0,0.0,0.0,0.0037,0.0012,0.0,0.0,0.0008,0.0,0.0,0.0055,0.0031,0.0006,0.0006,0.0,0.0,0.0,0.0112,0.0089,0.0012,0.0006,0.0,0.0,0.0,0.0218,0.0089,0.0033,0.001,0.0,0.0,0.0,0.0272,0.0104,0.0018,0.0,0.0,0.0,0.0,0.0238,0.0159,0.0028,0.0006,0.0,0.0,0.0,0.0342,0.0185,0.0022,0.0,0.0,0.0,0.0,0.0321,0.0356,0.0126,0.0033,0.0,0.0014,0.0,0.0791,0.0128,0.0077,0.0,0.0014,0.0006,0.0,0.0309,0.0165,0.0073,0.0,0.0,0.0,0.0,0.0403,0.0356,0.0195,0.0012,0.0,0.0,0.0,0.0691,0.0817,0.0693,0.0071,0.0018,0.0006,0.0,0.1946,0.0468,0.0466,0.0024,0.0018,0.0,0.0,0.1131,0.0364,0.0573,0.0069,0.001,0.0,0.0,0.1194,0.0114,0.0092,0.0012,0.0,0.0008,0.0,0.05,0.4762,0.3444,0.086,0.0388,0.0301,0.0055,1.0
Ringwood,0.0065,0.0092,0.0031,0.0,0.001,0.0,0.034,0.001,0.0003,0.0005,0.0,0.0,0.0,0.006,0.0016,0.0,0.0,0.0,0.0,0.0,0.0097,0.0003,0.0,0.001,0.0,0.0,0.0,0.0079,0.0018,0.0025,0.0017,0.0003,0.0001,0.0,0.0139,0.0021,0.0013,0.0011,0.0004,0.0004,0.0,0.0209,0.0049,0.0065,0.003,0.0004,0.001,0.0003,0.0363,0.0052,0.0099,0.0057,0.0003,0.0009,0.0,0.0389,0.0073,0.0182,0.003,0.0003,0.0,0.0,0.0495,0.0067,0.0219,0.0067,0.0007,0.0003,0.0,0.0593,0.0033,0.0188,0.0016,0.0,0.0,0.0,0.0444,0.0211,0.0473,0.0121,0.0006,0.0027,0.0,0.1027,0.0087,0.0248,0.0006,0.0,0.0004,0.0,0.0493,0.0078,0.0282,0.003,0.0003,0.0003,0.0,0.0545,0.0137,0.0487,0.0032,0.0,0.001,0.0,0.0943,0.0316,0.0999,0.0117,0.0003,0.0012,0.0,0.1677,0.0081,0.0299,0.0066,0.0,0.0,0.0,0.0578,0.005,0.0219,0.002,0.0,0.0004,0.0,0.0399,0.0086,0.0181,0.0057,0.0007,0.0003,0.0,0.0479,0.2427,0.5058,0.152,0.0325,0.0491,0.0035,1.0
Ripon,0.0092,0.005,0.0018,0.0004,0.0009,0.0,0.0264,0.0014,0.0004,0.0004,0.0,0.0,0.0,0.0059,0.005,0.0035,0.0019,0.0,0.0004,0.0,0.0286,0.0046,0.0009,0.0008,0.0005,0.0015,0.0,0.0223,0.0132,0.014,0.0046,0.0031,0.0028,0.0,0.0726,0.0184,0.0281,0.0064,0.0033,0.0032,0.0,0.0906,0.0206,0.0302,0.0073,0.0041,0.0029,0.0,0.089,0.0268,0.0436,0.0088,0.0044,0.0012,0.0,0.1111,0.0213,0.0405,0.0083,0.0008,0.0,0.0,0.0879,0.0204,0.0445,0.006,0.0018,0.0013,0.0,0.0942,0.0076,0.0274,0.0012,0.0004,0.0006,0.0,0.0491,0.0132,0.0287,0.0083,0.0009,0.0,0.0,0.0696,0.0032,0.0092,0.0009,0.0,0.0,0.0,0.0191,0.0015,0.0058,0.0013,0.0,0.0,0.0,0.0132,0.0061,0.0163,0.0024,0.0,0.0,0.0,0.0337,0.0054,0.015,0.0029,0.0,0.0,0.0,0.0286,0.0,0.0027,0.0,0.0,0.0,0.0,0.0061,0.0009,0.0013,0.0004,0.0,0.0,0.0,0.0045,0.0109,0.0135,0.0047,0.0,0.0018,0.0,0.0501,0.3035,0.4131,0.1426,0.0623,0.0532,0.0022,1.0
Rowville,0.0077,0.0052,0.0096,0.0005,0.0,0.0,0.0383,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0028,0.0012,0.0003,0.0023,0.0004,0.0005,0.0,0.0098,0.0009,0.0,0.0021,0.0,0.0006,0.0,0.0082,0.0014,0.0022,0.0054,0.0,0.0017,0.0,0.0183,0.0015,0.0026,0.005,0.0,0.0004,0.0,0.0287,0.0048,0.0067,0.0089,0.0003,0.0008,0.0,0.038,0.0063,0.0151,0.012,0.0006,0.0019,0.0,0.0531,0.0068,0.0119,0.01,0.0,0.0018,0.0,0.0474,0.0049,0.0163,0.0088,0.0003,0.0,0.0,0.0551,0.0034,0.0151,0.0063,0.0004,0.0006,0.0,0.0379,0.0154,0.0487,0.0156,0.0,0.0018,0.0,0.103,0.0088,0.0258,0.006,0.0,0.0,0.0,0.0466,0.0059,0.0225,0.006,0.0004,0.0,0.0,0.0518,0.0149,0.0443,0.0104,0.0,0.0003,0.0,0.0856,0.0261,0.086,0.0216,0.0004,0.0003,0.0,0.159,0.0037,0.0155,0.0058,0.0004,0.0007,0.0,0.0429,0.0012,0.0121,0.0046,0.0,0.0,0.0,0.0311,0.0084,0.0187,0.0135,0.0,0.0018,0.0,0.0602,0.2121,0.4356,0.2595,0.0254,0.0592,0.0004,1.0
Sandringham,0.008,0.0032,0.0063,0.0,0.0006,0.0,0.0369,0.001,0.0,0.0,0.0,0.0,0.0,0.0017,0.0011,0.0003,0.0008,0.0,0.0,0.0,0.0055,0.0,0.0004,0.0008,0.0,0.0004,0.0,0.004,0.0022,0.0007,0.0,0.0,0.0014,0.0,0.0091,0.001,0.0015,0.0011,0.0,0.0,0.0,0.0121,0.0051,0.004,0.0032,0.0,0.0004,0.0,0.0286,0.003,0.0059,0.0019,0.0008,0.001,0.0,0.022,0.0054,0.0062,0.0006,0.0,0.0011,0.0,0.0228,0.0081,0.0062,0.003,0.0,0.0008,0.0,0.0363,0.0061,0.0062,0.0023,0.0004,0.0004,0.0,0.0285,0.0179,0.0296,0.0103,0.0011,0.0008,0.0,0.0806,0.0055,0.0096,0.0017,0.0004,0.0003,0.0,0.0307,0.0044,0.0162,0.0011,0.0,0.0,0.0,0.0367,0.0135,0.0344,0.0058,0.0,0.0,0.0001,0.0624,0.0373,0.1015,0.0237,0.0019,0.0015,0.0004,0.1736,0.0143,0.0649,0.0128,0.0004,0.001,0.0,0.1187,0.016,0.0901,0.0285,0.0018,0.0,0.0,0.1575,0.0078,0.0187,0.0058,0.0,0.0012,0.0,0.056,0.251,0.4667,0.1842,0.0349,0.049,0.0011,1.0
Shepparton,0.0074,0.0045,0.0012,0.0004,0.0,0.0,0.0257,0.0005,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0017,0.0012,0.0,0.0,0.0,0.0174,0.003,0.0025,0.0013,0.0004,0.0,0.0,0.0222,0.0088,0.0094,0.0021,0.0049,0.0017,0.0,0.0451,0.0237,0.0235,0.0053,0.0033,0.0016,0.0,0.0963,0.027,0.0429,0.0112,0.0061,0.0034,0.0,0.1165,0.036,0.0583,0.0123,0.0061,0.0038,0.0005,0.1357,0.019,0.052,0.0061,0.0038,0.0018,0.0,0.1047,0.0211,0.0393,0.0078,0.0005,0.0008,0.0,0.0859,0.0066,0.0256,0.0041,0.0007,0.0005,0.0,0.0532,0.0113,0.0376,0.0079,0.0008,0.0004,0.0,0.0724,0.0008,0.0066,0.0,0.0009,0.0,0.0,0.0121,0.0004,0.004,0.0,0.0,0.0,0.0,0.0065,0.0046,0.0103,0.002,0.0,0.0,0.0,0.0224,0.0029,0.0112,0.0021,0.0,0.0,0.0,0.0286,0.0012,0.0051,0.0,0.0,0.0,0.0,0.0092,0.0004,0.0032,0.0008,0.0,0.0,0.0,0.0073,0.0099,0.0179,0.0032,0.0016,0.0005,0.0,0.0495,0.2738,0.4311,0.1575,0.0682,0.0507,0.0015,1.0
South Barwon,0.0039,0.0034,0.0008,0.0,0.0003,0.0,0.0224,0.0011,0.0,0.0005,0.0,0.0,0.0,0.0041,0.0004,0.0008,0.0004,0.0005,0.0,0.0,0.0067,0.001,0.0011,0.0008,0.0,0.0,0.0,0.0052,0.0028,0.004,0.0024,0.0,0.0024,0.0,0.0218,0.0046,0.0078,0.0022,0.0006,0.0,0.0,0.0287,0.0048,0.0179,0.0034,0.0,0.0015,0.0,0.0514,0.0097,0.029,0.0047,0.004,0.0023,0.0,0.0724,0.0196,0.0303,0.0039,0.0025,0.0017,0.0004,0.0791,0.0301,0.0512,0.0092,0.0025,0.0012,0.0,0.1111,0.0225,0.0501,0.0022,0.002,0.0006,0.0,0.0927,0.0348,0.0697,0.0095,0.0015,0.0008,0.0,0.1313,0.0095,0.0313,0.0023,0.0,0.0,0.0,0.0596,0.0054,0.0181,0.0019,0.0004,0.0,0.0,0.0335,0.0102,0.0364,0.0043,0.0,0.0,0.0,0.0661,0.01,0.0358,0.0065,0.0003,0.0,0.0,0.0686,0.0009,0.0097,0.0009,0.0,0.0003,0.0,0.0218,0.0003,0.0055,0.0016,0.0,0.0,0.0,0.0129,0.0085,0.0152,0.002,0.0,0.0012,0.0,0.0412,0.2649,0.4993,0.1365,0.0496,0.0438,0.004,1.0
South-West Coast,0.004,0.0032,0.0008,0.0,0.0,0.0,0.0245,0.0015,0.0,0.001,0.0,0.0,0.0,0.0045,0.0053,0.0004,0.0005,0.0,0.0005,0.0,0.0153,0.0026,0.0011,0.001,0.0004,0.0,0.0,0.0168,0.0084,0.0097,0.0007,0.0026,0.001,0.0,0.0448,0.0141,0.0208,0.009,0.0015,0.0014,0.0,0.077,0.021,0.0314,0.007,0.004,0.004,0.0,0.1079,0.0279,0.0485,0.0078,0.0037,0.0023,0.0,0.1153,0.02,0.0403,0.0068,0.0022,0.0014,0.0,0.1009,0.0231,0.041,0.0052,0.0018,0.0,0.0,0.0962,0.0052,0.0264,0.0041,0.0015,0.0014,0.0,0.0497,0.0111,0.0326,0.0064,0.0,0.0005,0.0,0.0742,0.0015,0.0074,0.0,0.0,0.0,0.0,0.0204,0.0011,0.004,0.0,0.0,0.0,0.0,0.0097,0.0038,0.0137,0.0008,0.0,0.0,0.0,0.0286,0.006,0.0116,0.0004,0.0,0.0,0.0,0.0264,0.0007,0.0042,0.0,0.0,0.0,0.0,0.0075,0.0007,0.0025,0.0014,0.0,0.0,0.0,0.0073,0.0122,0.0145,0.0018,0.0008,0.0007,0.0,0.0545,0.3022,0.4217,0.1497,0.0568,0.0456,0.0016,1.0
St Albans,0.008,0.0064,0.0115,0.0021,0.0043,0.0,0.0548,0.0,0.0,0.0005,0.0,0.0,0.0,0.0041,0.0017,0.0005,0.0012,0.0005,0.0006,0.0,0.0178,0.0018,0.0014,0.0011,0.0006,0.0005,0.0,0.0138,0.0024,0.0009,0.0028,0.0009,0.0005,0.0,0.0252,0.0038,0.0021,0.0038,0.0009,0.0009,0.0,0.0367,0.0072,0.0176,0.0063,0.0041,0.0049,0.0,0.0578,0.0115,0.0165,0.0109,0.0006,0.0047,0.0,0.0793,0.0159,0.0199,0.0041,0.0047,0.0046,0.0,0.0771,0.0107,0.028,0.0046,0.004,0.0021,0.0005,0.088,0.007,0.019,0.006,0.0026,0.0,0.0005,0.0607,0.0181,0.0386,0.0106,0.0063,0.0043,0.0,0.1088,0.0066,0.0132,0.002,0.0009,0.0,0.0,0.0335,0.004,0.0136,0.0005,0.0,0.0,0.0,0.0249,0.0049,0.0174,0.0014,0.0014,0.0009,0.0,0.0424,0.0057,0.0243,0.0046,0.0005,0.0015,0.0,0.0546,0.002,0.0028,0.0024,0.0,0.0005,0.0,0.0138,0.0009,0.0014,0.0012,0.0006,0.0,0.0,0.009,0.0089,0.0199,0.0116,0.0021,0.0049,0.0,0.0725,0.22,0.3599,0.1911,0.0881,0.1137,0.0093,1.0
