district,SH_FHs_CF_no_C_pc,SH_FHs_CF_C_pc,SH_FHs_OnePF_pc,SH_FHs_Oth_fam_pc,SH_FHs_Tot_pc,SH_Lone_P_H_pc,SH_Group_H_pc,SH_Tot_pc,SDRTHT_1_S_FHs_CF_no_C_pc,SDRTHT_1_S_FHs_CF_C_pc,SDRTHT_1_S_FHs_OnePF_pc,SDRTHT_1_S_FHs_Oth_fam_pc,SDRTHT_1_S_FHs_Tot_pc,SDRTHT_1_S_Lone_P_H_pc,SDRTHT_1_S_Group_H_pc,SDRTHT_1_S_Tot_pc,SDRTHT_2more_S_FHs_CF_no_C_pc,SDRTHT_2more_S_FHs_CF_C_pc,SDRTHT_2more_S_FHs_OnePF_pc,SDRTHT_2more_S_FHs_Oth_fam_pc,SDRTHT_2more_S_FHs_Tot_pc,SDRTHT_2more_S_Lone_P_H_pc,SDRTHT_2more_S_Group_H_pc,SDRTHT_2more_S_Tot_pc,SDRTHT_Tot_FHs_CF_no_C_pc,SDRTHT_Tot_FHs_CF_C_pc,SDRTHT_Tot_FHs_OnePF_pc,SDRTHT_Tot_FHs_Oth_fam_pc,SDRTHT_Tot_FHs_Tot_pc,SDRTHT_Tot_Lone_P_H_pc,SDRTHT_Tot_Group_H_pc,SDRTHT_Tot_Tot_pc,FoA_1_or_2_SB_FHs_CF_no_C_pc,FoA_1_or_2_SB_FHs_CF_C_pc,FoA_1_or_2_SB_FHs_OnePF_pc,FoA_1_or_2_SB_FHs_Oth_fam_pc,FoA_1_or_2_SB_FHs_Tot_pc,FoA_1_or_2_SB_Lone_P_H_pc,FoA_1_or_2_SB_Group_H_pc,FoA_1_or_2_SB_Tot_pc,FoA_3SB_FHs_CF_no_C_pc,FoA_3SB_FHs_CF_C_pc,FoA_3SB_FHs_OnePF_pc,FoA_3SB_FHs_Oth_fam_pc,FoA_3SB_FHs_Tot_pc,FoA_3SB_Lone_P_H_pc,FoA_3SB_Group_H_pc,FoA_3SB_Tot_pc,FoA_4_to_8_SB_FHs_CF_no_C_pc,FoA_4_to_8_SB_FHs_CF_C_pc,FoA_4_to_8_SB_FHs_OnePF_pc,FoA_4_to_8_SB_FHs_Oth_fam_pc,FoA_4_to_8_SB_FHs_Tot_pc,FoA_4_to_8_SB_Lone_P_H_pc,FoA_4_to_8_SB_Group_H_pc,FoA_4_to_8_SB_Tot_pc,FoA_9moSB_FHs_CF_no_C_pc,FoA_9moSB_FHs_CF_C_pc,FoA_9moSB_FHs_OnePF_pc,FoA_9moSB_FHs_Oth_fam_pc,FoA_9moSB_FHs_Tot_pc,FoA_9moSB_Lone_P_H_pc,FoA_9moSB_Group_H_pc,FoA_9moSB_Tot_pc,FoA_Att_to_hous_FHs_CF_no_C_pc,FoA_Att_to_hous_FHs_CF_C_pc,FoA_Att_to_hous_FHs_OnePF_pc,FoA_Att_to_hous_FHs_Oth_fam_pc,FoA_Att_to_hous_FHs_Tot_pc,FoA_Att_to_hous_Lone_P_H_pc,FoA_Att_to_hous_Group_H_pc,FoA_Att_to_hous_Tot_pc,FoA_Tot_FHs_CF_no_C_pc,FoA_Tot_FHs_CF_C_pc,FoA_Tot_FHs_OnePF_pc,FoA_Tot_FHs_Oth_fam_pc,FoA_Tot_FHs_Tot_pc,FoA_Tot_Lone_P_H_pc,FoA_Tot_Group_H_pc,FoA_Tot_Tot_pc,OD_C_FHs_CF_no_C_pc,OD_C_FHs_CF_C_pc,OD_C_FHs_OnePF_pc,OD_C_FHs_Oth_fam_pc,OD_C_FHs_Tot_pc,OD_C_Lone_P_H_pc,OD_C_Group_H_pc,OD_C_Tot_pc,OD_CH_FHs_CF_no_C_pc,OD_CH_FHs_CF_C_pc,OD_CH_FHs_OnePF_pc,OD_CH_FHs_Oth_fam_pc,OD_CH_FHs_Tot_pc,OD_CH_Lone_P_H_pc,OD_CH_Group_H_pc,OD_CH_Tot_pc,OD_Imp_home_T_SO_FHs_CF_no_C_pc,OD_Imp_home_T_SO_FHs_CF_C_pc,OD_Imp_home_T_SO_FHs_OnePF_pc,OD_Imp_home_T_SO_FHs_Oth_fam_pc,OD_Imp_home_T_SO_FHs_Tot_pc,OD_Imp_home_T_SO_Lone_P_H_pc,OD_Imp_home_T_SO_Group_H_pc,OD_Imp_home_T_SO_Tot_pc,OD_HorF_at_to_S_O_FHs_CF_no_C_pc,OD_HorF_at_to_S_O_FHs_CF_C_pc,OD_HorF_at_to_S_O_FHs_OnePF_pc,OD_HorF_at_to_S_O_FHs_Oth_fam_pc,OD_HorF_at_to_S_O_FHs_Tot_pc,OD_HorF_at_to_S_O_Lone_P_H_pc,OD_HorF_at_to_S_O_Group_H_pc,OD_HorF_at_to_S_O_Tot_pc,OD_Tot_FHs_CF_no_C_pc,OD_Tot_FHs_CF_C_pc,OD_Tot_FHs_OnePF_pc,OD_Tot_FHs_Oth_fam_pc,OD_Tot_FHs_Tot_pc,OD_Tot_Lone_P_H_pc,OD_Tot_Group_H_pc,OD_Tot_Tot_pc,DS_NS_FHs_CF_no_C_pc,DS_NS_FHs_CF_C_pc,DS_NS_FHs_OnePF_pc,DS_NS_FHs_Oth_fam_pc,DS_NS_FHs_Tot_pc,DS_NS_Lone_P_H_pc,DS_NS_Group_H_pc,DS_NS_Tot_pc,Tot_FHs_CF_no_C_pc,Tot_FHs_CF_C_pc,Tot_FHs_OnePF_pc,Tot_FHs_Oth_fam_pc,Tot_FHs_Tot_pc,Tot_Lone_P_H_pc,Tot_Group_H_pc,Tot_Tot_pc
Caulfield,0.0893,0.1554,0.0252,0.0016,0.2752,0.051,0.0113,0.3378,0.0379,0.0401,0.0117,0.0005,0.0936,0.0475,0.0062,0.1484,0.0285,0.0316,0.0091,0.0001,0.0717,0.0208,0.0062,0.1015,0.0668,0.0712,0.0202,0.0008,0.165,0.0725,0.013,0.2521,0.0422,0.0195,0.0106,0.0008,0.0763,0.1013,0.0159,0.1953,0.037,0.011,0.0057,0.0017,0.0594,0.0672,0.0125,0.1387,0.0166,0.0036,0.0022,0.0008,0.023,0.0235,0.0051,0.0513,0.0041,0.0005,0.0003,0.0003,0.0056,0.0071,0.0013,0.0137,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0005,0.1005,0.0356,0.0204,0.0045,0.1629,0.2003,0.0354,0.4002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0001,0.0003,0.0,0.0017,0.0025,0.0004,0.0053,0.0012,0.0001,0.0003,0.0,0.0017,0.0025,0.0004,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2608,0.266,0.0706,0.0095,0.6037,0.3247,0.0661,1.0
Clarinda,0.1797,0.3184,0.1012,0.0098,0.6141,0.1265,0.0216,0.7607,0.0239,0.0231,0.012,0.0005,0.0657,0.0457,0.0047,0.1184,0.0132,0.0193,0.0059,0.0007,0.0408,0.0064,0.0034,0.0542,0.0384,0.0431,0.0189,0.0018,0.105,0.0544,0.0088,0.1727,0.0086,0.009,0.0046,0.0005,0.0246,0.0175,0.0025,0.0464,0.0021,0.0011,0.0004,0.0002,0.0039,0.0028,0.0007,0.0073,0.0021,0.0007,0.0009,0.0,0.0041,0.0038,0.0006,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129,0.0112,0.0061,0.0005,0.0331,0.0242,0.0039,0.0622,0.0,0.0,0.0,0.0,0.0004,0.0015,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0003,0.0005,0.0,0.0011,0.0003,0.0,0.0,0.0,0.0006,0.0028,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.2343,0.3775,0.1269,0.0145,0.7558,0.2066,0.0364,1.0
Cranbourne,0.1752,0.4264,0.1116,0.0087,0.7205,0.1179,0.0198,0.8614,0.0238,0.0231,0.011,0.0007,0.06,0.0354,0.0011,0.0994,0.0039,0.0048,0.0032,0.0,0.0127,0.0047,0.001,0.0202,0.0282,0.0283,0.0145,0.0007,0.0742,0.0408,0.0022,0.1192,0.0058,0.001,0.0017,0.0001,0.0088,0.0079,0.0007,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.001,0.0017,0.0001,0.0088,0.0079,0.0007,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0003,0.0,0.0,0.0004,0.0,0.0,0.0006,0.2118,0.4574,0.1279,0.0102,0.8056,0.1672,0.0229,1.0
Croydon,0.2261,0.3075,0.1041,0.0062,0.6459,0.1953,0.0184,0.8619,0.0145,0.0125,0.0073,0.0004,0.037,0.0374,0.0014,0.0786,0.0065,0.0066,0.0057,0.0001,0.0219,0.0097,0.0006,0.0327,0.022,0.0195,0.0128,0.0006,0.0588,0.0475,0.0021,0.1107,0.002,0.001,0.0014,0.0,0.0046,0.0052,0.0,0.0103,0.0014,0.0007,0.0015,0.0,0.0037,0.0061,0.0004,0.0096,0.0008,0.0001,0.0004,0.0,0.0015,0.0023,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0018,0.0033,0.0,0.0096,0.0133,0.0005,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.2554,0.3293,0.1225,0.008,0.7157,0.2588,0.0234,1.0
Dandenong,0.1428,0.2536,0.1011,0.0113,0.509,0.1256,0.0365,0.6716,0.0251,0.0336,0.0176,0.0019,0.0797,0.0581,0.0068,0.1459,0.0164,0.0256,0.0095,0.0012,0.0565,0.0125,0.0048,0.0755,0.0416,0.0609,0.0274,0.0038,0.1372,0.0729,0.0136,0.2232,0.0144,0.0142,0.0085,0.0008,0.0398,0.0309,0.0044,0.0765,0.0021,0.0014,0.0009,0.0,0.0055,0.0056,0.0005,0.0113,0.0027,0.0015,0.0017,0.0001,0.0057,0.0057,0.0008,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0189,0.0177,0.011,0.0012,0.052,0.0416,0.0058,0.1004,0.0001,0.0,0.0,0.0,0.0002,0.0007,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0002,0.0,0.0006,0.0001,0.0001,0.0002,0.0,0.0005,0.0015,0.0,0.002,0.0,0.0001,0.0001,0.0,0.0002,0.0003,0.0,0.0008,0.206,0.3339,0.1398,0.019,0.6987,0.2443,0.0548,1.0
Eildon,0.3072,0.2843,0.0981,0.0038,0.696,0.2287,0.0205,0.9507,0.0042,0.0012,0.0027,0.0,0.0087,0.0178,0.0001,0.0279,0.0005,0.0001,0.0003,0.0,0.0013,0.0008,0.0,0.0023,0.0046,0.0018,0.0037,0.0,0.0106,0.0192,0.0003,0.0307,0.0,0.0002,0.0,0.0,0.0009,0.0025,0.0,0.0033,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0004,0.0,0.0,0.0014,0.0027,0.0,0.0042,0.0001,0.0,0.0,0.0,0.0001,0.0019,0.0,0.0018,0.0014,0.0,0.0,0.0,0.002,0.0065,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0013,0.0003,0.0,0.0,0.0021,0.0086,0.0,0.0107,0.0003,0.0,0.0,0.0,0.0007,0.0002,0.0,0.0009,0.3154,0.2884,0.103,0.0042,0.7143,0.2583,0.0214,1.0
Eltham,0.2523,0.4119,0.0847,0.0036,0.7553,0.1306,0.0071,0.8909,0.0081,0.0045,0.0049,0.0,0.018,0.0234,0.0005,0.0421,0.0064,0.0079,0.005,0.0002,0.0224,0.009,0.0003,0.0324,0.0153,0.0128,0.0107,0.0002,0.0418,0.0315,0.0008,0.0742,0.0048,0.0033,0.0037,0.0003,0.0127,0.0118,0.0,0.0244,0.0002,0.0,0.0001,0.0,0.0008,0.0026,0.0,0.0035,0.0004,0.0,0.0002,0.0,0.0005,0.0008,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0035,0.0042,0.0003,0.0141,0.0157,0.0,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0002,0.2734,0.4296,0.1,0.0043,0.813,0.1775,0.0091,1.0
Essendon,0.1079,0.2018,0.0366,0.0038,0.3545,0.0742,0.0138,0.4457,0.0235,0.0201,0.0061,0.0004,0.0515,0.0273,0.0038,0.0829,0.0295,0.0279,0.0088,0.0006,0.0708,0.0282,0.0075,0.1075,0.0517,0.0498,0.0156,0.0013,0.1216,0.0576,0.013,0.193,0.0211,0.0102,0.0068,0.0015,0.0414,0.0512,0.0055,0.1012,0.016,0.0054,0.007,0.0009,0.0313,0.0555,0.0064,0.0947,0.0349,0.008,0.0052,0.0021,0.0518,0.068,0.0076,0.1282,0.0051,0.004,0.0064,0.0011,0.0175,0.0184,0.0019,0.0379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787,0.0306,0.0263,0.0064,0.143,0.193,0.0211,0.3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0013,0.001,0.0003,0.0028,0.0003,0.0,0.0,0.0,0.0013,0.001,0.0003,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2414,0.2828,0.0816,0.0144,0.6211,0.3286,0.0516,1.0
Eureka,0.2644,0.303,0.105,0.0051,0.6793,0.205,0.0263,0.9086,0.0112,0.0048,0.0056,0.0003,0.0252,0.036,0.0019,0.0651,0.0013,0.0003,0.0014,0.0001,0.0039,0.0034,0.0001,0.0081,0.0137,0.006,0.0074,0.0004,0.0287,0.0386,0.0022,0.0738,0.0017,0.0,0.0009,0.0001,0.0025,0.008,0.0003,0.011,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0009,0.0001,0.0025,0.0091,0.0003,0.0123,0.0001,0.0,0.0,0.0,0.0003,0.0005,0.0,0.001,0.0003,0.0,0.0,0.0,0.0004,0.0005,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0006,0.0,0.0,0.0001,0.0007,0.001,0.0,0.0026,0.0,0.0001,0.0,0.0,0.0003,0.0001,0.0,0.0006,0.2797,0.3101,0.1127,0.0069,0.7153,0.2562,0.0297,1.0
Euroa,0.3022,0.2337,0.1029,0.0067,0.6497,0.2535,0.0219,0.924,0.0102,0.0014,0.0033,0.0,0.0171,0.0401,0.0007,0.0594,0.0007,0.0,0.0002,0.0,0.001,0.0004,0.0,0.0016,0.0107,0.0014,0.0036,0.0,0.0187,0.0405,0.0007,0.061,0.0002,0.0,0.0004,0.0,0.0008,0.0009,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0004,0.0,0.0009,0.0009,0.0,0.0018,0.0003,0.0,0.0,0.0,0.0007,0.003,0.0003,0.0048,0.0005,0.0,0.0,0.0,0.001,0.0023,0.0,0.0031,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0,0.0002,0.0001,0.0,0.001,0.0011,0.0004,0.0,0.0,0.0024,0.0059,0.0003,0.009,0.0,0.0,0.0,0.0,0.0002,0.0003,0.0,0.0005,0.3173,0.237,0.107,0.0066,0.6722,0.3015,0.0249,1.0
Evelyn,0.2601,0.3909,0.0988,0.0058,0.7585,0.1519,0.016,0.9269,0.0077,0.0021,0.0036,0.0001,0.0154,0.0255,0.0006,0.0429,0.007,0.0018,0.0024,0.0002,0.0113,0.0072,0.0004,0.0186,0.0145,0.0043,0.0059,0.0001,0.0275,0.0327,0.0013,0.0617,0.0009,0.0005,0.0,0.0,0.0013,0.0027,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0008,0.0011,0.0005,0.0,0.0,0.0015,0.0031,0.0,0.0048,0.0005,0.0,0.0,0.0,0.0006,0.0019,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0005,0.0001,0.0,0.0,0.0008,0.0019,0.0,0.0026,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0005,0.2775,0.3961,0.1084,0.007,0.79,0.1915,0.0176,1.0
Footscray,0.1243,0.1834,0.0504,0.008,0.3642,0.0917,0.0353,0.4937,0.0125,0.0074,0.0043,0.0003,0.0289,0.0264,0.0035,0.058,0.0452,0.0405,0.0146,0.0014,0.107,0.0343,0.0106,0.1564,0.0594,0.0501,0.0196,0.0022,0.1375,0.0598,0.0156,0.2159,0.019,0.0101,0.0064,0.0012,0.0397,0.0485,0.0078,0.0973,0.0145,0.0051,0.0025,0.0011,0.0231,0.0296,0.0048,0.0585,0.0205,0.0061,0.0037,0.0012,0.0327,0.0401,0.0048,0.0783,0.0133,0.0032,0.0022,0.0011,0.0196,0.0259,0.0032,0.0491,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0007,0.068,0.0259,0.0152,0.0054,0.1175,0.1458,0.0219,0.2859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0005,0.0003,0.0,0.0027,0.0016,0.0003,0.0051,0.0012,0.0005,0.0003,0.0,0.0027,0.0016,0.0003,0.0051,0.0001,0.0,0.0,0.0,0.0003,0.0003,0.0,0.001,0.2522,0.2638,0.0901,0.0175,0.6228,0.3015,0.0741,1.0
Frankston,0.1914,0.2351,0.1174,0.0082,0.5536,0.1851,0.0259,0.765,0.0236,0.0072,0.014,0.0008,0.0495,0.0872,0.0036,0.1422,0.0085,0.0065,0.0062,0.0001,0.024,0.0163,0.0015,0.0462,0.034,0.0147,0.0222,0.0016,0.0726,0.1053,0.0057,0.1876,0.0049,0.0016,0.003,0.0002,0.0095,0.0211,0.0011,0.0325,0.001,0.0003,0.0005,0.0,0.0017,0.0029,0.0003,0.0048,0.0008,0.0,0.0004,0.0,0.0015,0.0022,0.0001,0.0043,0.0,0.0,0.0002,0.0,0.0001,0.0008,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0021,0.0042,0.0002,0.0126,0.027,0.0016,0.0424,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0002,0.0021,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0005,0.0026,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0007,0.2344,0.2519,0.1443,0.011,0.6449,0.3224,0.0335,1.0
Geelong,0.2125,0.2442,0.0868,0.0052,0.5537,0.1942,0.0322,0.7788,0.0177,0.0072,0.0064,0.0004,0.0373,0.071,0.0041,0.1126,0.0067,0.0037,0.0027,0.0002,0.0169,0.0109,0.0028,0.0318,0.0266,0.0117,0.0093,0.0008,0.055,0.0817,0.0072,0.1438,0.0074,0.002,0.0017,0.0,0.0138,0.0275,0.0015,0.0434,0.0005,0.0,0.0001,0.0,0.0015,0.0035,0.0004,0.005,0.0023,0.0006,0.0005,0.0001,0.0032,0.0063,0.0007,0.0102,0.002,0.0001,0.0001,0.0002,0.0023,0.002,0.0002,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0127,0.0031,0.0024,0.0004,0.0204,0.0391,0.0027,0.0636,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0003,0.0008,0.0,0.0003,0.0,0.0015,0.0046,0.0002,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0003,0.0004,0.0014,0.001,0.0001,0.0003,0.0,0.002,0.0053,0.0006,0.0087,0.0002,0.0,0.0,0.0,0.0006,0.0008,0.0002,0.0014,0.2551,0.2608,0.1058,0.0081,0.6303,0.3252,0.0457,1.0
Gippsland East,0.3301,0.2162,0.0904,0.0043,0.6424,0.2541,0.0195,0.9188,0.0076,0.0016,0.0018,0.0,0.0136,0.0313,0.0007,0.0481,0.001,0.0004,0.0002,0.0,0.0019,0.0017,0.0002,0.0045,0.0088,0.0018,0.0027,0.0,0.0152,0.0332,0.0009,0.0528,0.0017,0.0,0.0004,0.0,0.0029,0.0101,0.0,0.0137,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.002,0.0,0.0004,0.0,0.0033,0.0107,0.0,0.0143,0.0005,0.0,0.0,0.0,0.0006,0.0025,0.0,0.0038,0.0016,0.0,0.0002,0.0,0.0022,0.0038,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0004,0.0006,0.0,0.0013,0.0027,0.0003,0.0003,0.0,0.0038,0.0071,0.0001,0.0119,0.0005,0.0003,0.0002,0.0,0.0009,0.0005,0.0,0.0014,0.3473,0.2209,0.0957,0.0046,0.6706,0.3083,0.0214,1.0
Gippsland South,0.3126,0.2448,0.0898,0.0058,0.6554,0.2578,0.0184,0.93,0.0051,0.0012,0.002,0.0,0.0103,0.0212,0.0007,0.031,0.0004,0.0001,0.0002,0.0,0.0015,0.0027,0.0,0.0046,0.0058,0.0013,0.0023,0.0,0.0122,0.0236,0.0008,0.0356,0.002,0.0004,0.0009,0.0,0.0038,0.0163,0.0006,0.0207,0.0003,0.0002,0.0002,0.0,0.0006,0.0003,0.0001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0023,0.0005,0.0011,0.0,0.0044,0.0167,0.0007,0.0217,0.0001,0.0,0.0,0.0,0.0002,0.0021,0.0,0.0026,0.0002,0.0,0.0001,0.0,0.0007,0.0014,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0002,0.0,0.0015,0.0009,0.0,0.0001,0.0,0.0017,0.004,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.3257,0.2479,0.0939,0.0066,0.6757,0.3031,0.0205,1.0
Glen Waverley,0.2095,0.3611,0.088,0.0064,0.6689,0.1268,0.0226,0.8187,0.0177,0.0171,0.0061,0.0001,0.045,0.0339,0.0016,0.0827,0.0068,0.0189,0.0027,0.0004,0.033,0.0048,0.0006,0.0401,0.0277,0.039,0.0106,0.0007,0.0796,0.0383,0.0029,0.1241,0.0054,0.0106,0.0027,0.0,0.0192,0.0075,0.0006,0.0271,0.0017,0.0013,0.0007,0.0,0.0045,0.0029,0.0002,0.0081,0.0031,0.0005,0.0007,0.0001,0.0043,0.0033,0.0002,0.0085,0.0039,0.0019,0.0018,0.0002,0.008,0.0052,0.0007,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0141,0.0146,0.0063,0.0004,0.0362,0.0188,0.0019,0.0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0003,0.2535,0.4146,0.1043,0.0084,0.7852,0.1877,0.029,1.0
Greenvale,0.1695,0.4777,0.1264,0.0069,0.7871,0.1031,0.0124,0.9039,0.0083,0.0179,0.0103,0.0009,0.0391,0.0135,0.0004,0.0572,0.005,0.0096,0.0052,0.0,0.0234,0.006,0.0005,0.0318,0.0143,0.027,0.016,0.0012,0.0638,0.0212,0.0012,0.0888,0.0011,0.0008,0.0005,0.0,0.003,0.0011,0.0002,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0001,0.0,0.0,0.0011,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0001,0.0015,0.0011,0.0008,0.0,0.0043,0.0023,0.0002,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0005,0.188,0.51,0.1467,0.0084,0.8558,0.1281,0.0156,1.0
