district,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot,P_Tot_Tot_total
Melbourne,49.0,2165.0,148.0,2438.0,135.0,9168.0,803.0,10316.0,650.0,18379.0,1890.0,20921.0,511.0,7841.0,819.0,9352.0,384.0,3569.0,407.0,4576.0,345.0,2581.0,241.0,3383.0,190.0,1853.0,145.0,2327.0,83.0,803.0,66.0,1033.0,11.0,219.0,11.0,256.0,2993.0,46715.0,4973.0,54581.0,51.0,2703.0,186.0,3043.0,279.0,10447.0,862.0,11625.0,730.0,18125.0,1737.0,20752.0,610.0,6906.0,631.0,8221.0,640.0,3369.0,297.0,4402.0,589.0,2555.0,197.0,3524.0,341.0,1806.0,135.0,2415.0,74.0,848.0,61.0,1039.0,8.0,415.0,12.0,494.0,3839.0,47279.0,4581.0,55702.0,133.0,4931.0,389.0,5556.0,511.0,19537.0,1691.0,21894.0,1467.0,36510.0,3654.0,41588.0,1257.0,14695.0,1550.0,17578.0,1147.0,6947.0,805.0,8948.0,1062.0,5199.0,525.0,6854.0,608.0,3648.0,320.0,4761.0,190.0,1658.0,136.0,2141.0,24.0,720.0,25.0,883.0,6790.0,93962.0,9540.0,110285.0,110285.0
Melton,65.0,2112.0,151.0,2425.0,111.0,2190.0,176.0,2540.0,454.0,5422.0,527.0,6453.0,718.0,5338.0,467.0,6632.0,536.0,3668.0,285.0,4568.0,394.0,2791.0,165.0,3459.0,303.0,2271.0,120.0,2836.0,109.0,891.0,49.0,1164.0,10.0,134.0,8.0,181.0,2997.0,24911.0,2372.0,30226.0,142.0,1994.0,174.0,2354.0,144.0,2004.0,143.0,2430.0,812.0,5829.0,533.0,7211.0,1112.0,4959.0,439.0,6633.0,989.0,3260.0,288.0,4581.0,731.0,2800.0,157.0,3742.0,522.0,2431.0,139.0,3101.0,105.0,937.0,68.0,1181.0,3.0,265.0,16.0,334.0,4834.0,24490.0,2345.0,31668.0,273.0,4054.0,382.0,4774.0,273.0,4206.0,394.0,4965.0,1327.0,11283.0,1129.0,13660.0,1828.0,10261.0,1013.0,13167.0,1515.0,6976.0,663.0,9174.0,1163.0,5498.0,399.0,7152.0,844.0,4639.0,293.0,5859.0,250.0,1832.0,157.0,2365.0,14.0,487.0,25.0,592.0,7793.0,49337.0,4734.0,61884.0,61884.0
Mildura,37.0,1694.0,178.0,2028.0,57.0,1681.0,109.0,1975.0,247.0,3793.0,449.0,4500.0,337.0,3155.0,392.0,4002.0,532.0,3246.0,399.0,4211.0,680.0,3591.0,392.0,4698.0,435.0,3120.0,292.0,3973.0,176.0,1628.0,175.0,2060.0,36.0,551.0,85.0,723.0,2867.0,22482.0,2862.0,28245.0,62.0,1515.0,145.0,1841.0,95.0,1435.0,115.0,1734.0,501.0,3611.0,390.0,4570.0,704.0,2957.0,365.0,4103.0,965.0,3046.0,269.0,4363.0,1095.0,3237.0,296.0,4744.0,631.0,2906.0,291.0,3912.0,212.0,1746.0,238.0,2302.0,23.0,1003.0,144.0,1269.0,4581.0,21572.0,2607.0,28872.0,140.0,3237.0,406.0,3886.0,208.0,3149.0,276.0,3743.0,789.0,7421.0,887.0,9102.0,1087.0,6159.0,759.0,8130.0,1537.0,6328.0,742.0,8602.0,1782.0,6831.0,718.0,9406.0,1101.0,6028.0,619.0,7838.0,486.0,3417.0,478.0,4466.0,84.0,1544.0,282.0,1987.0,7516.0,44113.0,5580.0,57116.0,57116.0
Mill Park,28.0,2086.0,64.0,2258.0,84.0,2171.0,71.0,2385.0,313.0,4401.0,234.0,5059.0,475.0,4206.0,219.0,4940.0,599.0,3536.0,136.0,4384.0,673.0,3153.0,123.0,4023.0,350.0,2134.0,96.0,2662.0,92.0,862.0,113.0,1145.0,0.0,212.0,90.0,354.0,2920.0,22812.0,1572.0,27294.0,62.0,1840.0,46.0,2073.0,105.0,1877.0,35.0,2120.0,467.0,4298.0,186.0,5010.0,780.0,3966.0,165.0,4956.0,1114.0,3461.0,130.0,4829.0,1044.0,3196.0,120.0,4469.0,459.0,2133.0,120.0,2800.0,82.0,1031.0,162.0,1362.0,0.0,444.0,234.0,722.0,4427.0,22339.0,1578.0,28407.0,149.0,3882.0,176.0,4291.0,248.0,4062.0,141.0,4579.0,814.0,8695.0,482.0,10098.0,1318.0,8139.0,454.0,9966.0,1804.0,7059.0,341.0,9211.0,1731.0,6369.0,299.0,8455.0,823.0,4271.0,269.0,5426.0,260.0,1952.0,326.0,2537.0,9.0,730.0,314.0,1122.0,7323.0,45177.0,3170.0,55703.0,55703.0
Monbulk,35.0,2049.0,52.0,2231.0,47.0,1647.0,47.0,1822.0,148.0,3037.0,140.0,3517.0,376.0,3711.0,132.0,4320.0,714.0,4055.0,157.0,4921.0,802.0,3496.0,120.0,4472.0,414.0,2867.0,97.0,3459.0,116.0,1254.0,42.0,1539.0,8.0,266.0,15.0,334.0,3130.0,22333.0,1219.0,26638.0,70.0,1763.0,43.0,1906.0,69.0,1402.0,28.0,1556.0,351.0,2991.0,96.0,3562.0,731.0,3701.0,122.0,4631.0,1257.0,3684.0,160.0,5112.0,1296.0,3203.0,111.0,4674.0,740.0,2625.0,91.0,3500.0,143.0,1271.0,55.0,1515.0,12.0,449.0,27.0,515.0,4915.0,21105.0,1188.0,27148.0,139.0,3722.0,145.0,4157.0,178.0,2968.0,119.0,3404.0,607.0,6056.0,329.0,7022.0,1215.0,7373.0,314.0,8909.0,2030.0,7636.0,380.0,10061.0,2040.0,6753.0,324.0,9167.0,1228.0,5524.0,203.0,6995.0,317.0,2548.0,151.0,3049.0,34.0,740.0,58.0,913.0,8046.0,43439.0,2329.0,53781.0,53781.0
Mordialloc,47.0,2122.0,22.0,2260.0,59.0,1902.0,40.0,2047.0,204.0,3590.0,111.0,3988.0,481.0,4523.0,140.0,5205.0,748.0,4329.0,101.0,5290.0,707.0,3312.0,99.0,4209.0,408.0,2275.0,53.0,2815.0,156.0,1255.0,36.0,1443.0,32.0,415.0,7.0,512.0,3110.0,23714.0,987.0,27785.0,80.0,2000.0,25.0,2194.0,105.0,1748.0,27.0,1924.0,369.0,3700.0,125.0,4286.0,728.0,4793.0,138.0,5765.0,1328.0,4300.0,94.0,5838.0,1124.0,3199.0,65.0,4418.0,602.0,2412.0,116.0,3133.0,144.0,1623.0,80.0,1931.0,23.0,837.0,34.0,948.0,4728.0,24743.0,1055.0,30538.0,155.0,4183.0,96.0,4530.0,197.0,3624.0,90.0,4009.0,618.0,7353.0,291.0,8310.0,1272.0,9259.0,340.0,10920.0,2110.0,8583.0,259.0,11019.0,1833.0,6520.0,199.0,8651.0,962.0,4728.0,204.0,5930.0,342.0,2806.0,165.0,3439.0,87.0,1322.0,68.0,1501.0,7933.0,48442.0,2040.0,58386.0,58386.0
Mornington,71.0,1983.0,65.0,2169.0,25.0,1275.0,22.0,1435.0,112.0,1858.0,52.0,2099.0,279.0,2827.0,100.0,3308.0,607.0,3714.0,150.0,4531.0,725.0,3090.0,114.0,4010.0,503.0,3054.0,120.0,3780.0,326.0,2258.0,132.0,2787.0,60.0,757.0,128.0,1004.0,2983.0,20956.0,1226.0,25105.0,62.0,1846.0,56.0,2097.0,38.0,1253.0,19.0,1379.0,159.0,1818.0,63.0,2161.0,578.0,3118.0,81.0,3872.0,1113.0,3890.0,107.0,5155.0,1236.0,3034.0,76.0,4441.0,858.0,3646.0,155.0,4720.0,358.0,2753.0,216.0,3410.0,33.0,1131.0,235.0,1502.0,4785.0,22430.0,1490.0,28580.0,177.0,3827.0,148.0,4264.0,104.0,2592.0,55.0,2789.0,337.0,3708.0,144.0,4261.0,903.0,5982.0,234.0,7183.0,1763.0,7525.0,356.0,9709.0,1915.0,6083.0,237.0,8340.0,1396.0,6700.0,345.0,8464.0,730.0,5015.0,409.0,6141.0,150.0,1921.0,393.0,2482.0,7714.0,43380.0,2620.0,53703.0,53703.0
Morwell,36.0,1830.0,168.0,2090.0,74.0,1735.0,114.0,2004.0,261.0,3771.0,353.0,4492.0,415.0,3155.0,303.0,4016.0,562.0,3213.0,291.0,4203.0,695.0,3606.0,285.0,4679.0,494.0,3307.0,255.0,4217.0,234.0,1723.0,174.0,2244.0,20.0,512.0,80.0,701.0,3253.0,22814.0,2494.0,28549.0,71.0,1686.0,142.0,1932.0,108.0,1672.0,132.0,2027.0,576.0,3706.0,294.0,4737.0,790.0,3053.0,338.0,4321.0,1081.0,3149.0,253.0,4507.0,1152.0,3436.0,276.0,5030.0,722.0,3315.0,268.0,4380.0,285.0,1864.0,223.0,2521.0,10.0,936.0,151.0,1155.0,5026.0,23034.0,2553.0,30618.0,145.0,3479.0,348.0,4095.0,272.0,3369.0,317.0,4022.0,926.0,7584.0,764.0,9197.0,1286.0,6247.0,642.0,8198.0,1685.0,6293.0,618.0,8654.0,1928.0,7073.0,643.0,9672.0,1330.0,6665.0,568.0,8592.0,589.0,3678.0,466.0,4740.0,64.0,1409.0,272.0,1800.0,8286.0,45869.0,4959.0,59128.0,59128.0
Mulgrave,36.0,1856.0,64.0,2023.0,95.0,2454.0,161.0,2786.0,343.0,5583.0,540.0,6460.0,451.0,4486.0,270.0,5378.0,671.0,3727.0,205.0,4623.0,518.0,3253.0,173.0,4035.0,412.0,2919.0,114.0,3481.0,248.0,2092.0,155.0,2537.0,22.0,761.0,74.0,990.0,3068.0,27029.0,2135.0,32258.0,39.0,1680.0,66.0,1819.0,109.0,2057.0,86.0,2343.0,475.0,4741.0,410.0,5610.0,723.0,4226.0,243.0,5218.0,908.0,3556.0,180.0,4682.0,834.0,3157.0,149.0,4212.0,701.0,3177.0,136.0,4138.0,265.0,2253.0,190.0,2773.0,6.0,1342.0,204.0,1654.0,4244.0,26111.0,2076.0,32447.0,107.0,3499.0,131.0,3840.0,290.0,4500.0,317.0,5088.0,884.0,10241.0,988.0,12088.0,1259.0,8661.0,608.0,10574.0,1577.0,7243.0,467.0,9294.0,1354.0,6424.0,382.0,8209.0,1083.0,6046.0,333.0,7600.0,590.0,4350.0,364.0,5335.0,92.0,2200.0,317.0,2684.0,7407.0,53195.0,4204.0,64739.0,64739.0
Murray Plains,36.0,1655.0,109.0,1898.0,60.0,1377.0,62.0,1638.0,173.0,2850.0,244.0,3337.0,319.0,2655.0,234.0,3256.0,523.0,2975.0,304.0,3811.0,690.0,3544.0,301.0,4621.0,554.0,3372.0,300.0,4247.0,198.0,1922.0,222.0,2466.0,30.0,629.0,111.0,891.0,2938.0,21001.0,2267.0,26207.0,49.0,1386.0,138.0,1656.0,93.0,1335.0,54.0,1596.0,390.0,2869.0,177.0,3555.0,591.0,2609.0,201.0,3536.0,944.0,2808.0,206.0,3996.0,1203.0,3234.0,260.0,4700.0,803.0,3092.0,259.0,4117.0,250.0,2046.0,273.0,2719.0,25.0,971.0,212.0,1305.0,4589.0,20425.0,2325.0,27319.0,157.0,3034.0,307.0,3613.0,197.0,2717.0,209.0,3256.0,617.0,5661.0,504.0,6945.0,961.0,5249.0,520.0,6807.0,1502.0,5708.0,534.0,7880.0,1947.0,6799.0,617.0,9328.0,1313.0,6450.0,650.0,8477.0,518.0,4047.0,555.0,5205.0,78.0,1639.0,365.0,2168.0,7489.0,41450.0,4620.0,53481.0,53481.0
Narracan,35.0,1767.0,82.0,1936.0,70.0,1515.0,68.0,1729.0,204.0,3438.0,197.0,3936.0,360.0,3102.0,243.0,3817.0,491.0,3164.0,238.0,3968.0,701.0,3306.0,216.0,4292.0,434.0,3263.0,188.0,4043.0,221.0,1735.0,117.0,2233.0,24.0,442.0,48.0,559.0,3004.0,21824.0,1806.0,26596.0,66.0,1693.0,130.0,1951.0,90.0,1454.0,36.0,1683.0,467.0,3621.0,288.0,4398.0,741.0,2998.0,229.0,3949.0,1053.0,3075.0,224.0,4360.0,1226.0,3232.0,216.0,4736.0,670.0,3177.0,201.0,4174.0,227.0,1844.0,154.0,2292.0,7.0,741.0,92.0,886.0,4792.0,21805.0,1880.0,28534.0,123.0,3411.0,287.0,3898.0,246.0,2948.0,159.0,3431.0,738.0,7011.0,517.0,8262.0,1164.0,6072.0,546.0,7822.0,1543.0,6282.0,495.0,8372.0,1990.0,6522.0,496.0,9052.0,1162.0,6461.0,453.0,8089.0,528.0,3625.0,369.0,4549.0,60.0,1242.0,167.0,1523.0,7803.0,43671.0,3697.0,55085.0,55085.0
Narre Warren North,36.0,2272.0,103.0,2523.0,92.0,2483.0,128.0,2860.0,354.0,4777.0,427.0,5692.0,516.0,4350.0,290.0,5166.0,668.0,3859.0,243.0,4837.0,732.0,4043.0,154.0,5013.0,406.0,2839.0,111.0,3449.0,133.0,1329.0,75.0,1631.0,20.0,374.0,26.0,491.0,3322.0,26434.0,1998.0,31701.0,64.0,1984.0,88.0,2352.0,174.0,2090.0,96.0,2508.0,613.0,4576.0,289.0,5554.0,825.0,4057.0,270.0,5268.0,1149.0,3780.0,262.0,5249.0,1170.0,3921.0,210.0,5344.0,559.0,2833.0,92.0,3656.0,112.0,1454.0,84.0,1783.0,10.0,707.0,98.0,834.0,5010.0,25484.0,1891.0,32431.0,177.0,4271.0,245.0,4810.0,346.0,4658.0,299.0,5421.0,1106.0,9382.0,784.0,11177.0,1348.0,8397.0,619.0,10452.0,1803.0,7626.0,533.0,9995.0,1864.0,7938.0,486.0,10338.0,964.0,5666.0,295.0,7127.0,297.0,2753.0,209.0,3390.0,23.0,1154.0,140.0,1414.0,8318.0,51944.0,3961.0,64193.0,64193.0
Narre Warren South,83.0,3107.0,126.0,3390.0,149.0,3144.0,159.0,3553.0,423.0,5349.0,458.0,6289.0,650.0,5705.0,332.0,6776.0,727.0,4974.0,218.0,5980.0,517.0,3848.0,130.0,4696.0,306.0,2024.0,64.0,2530.0,69.0,859.0,32.0,1076.0,4.0,124.0,0.0,169.0,3299.0,29344.0,1926.0,34505.0,101.0,2980.0,124.0,3301.0,204.0,2800.0,159.0,3222.0,699.0,5337.0,371.0,6532.0,1058.0,5478.0,275.0,6920.0,1130.0,4768.0,228.0,6171.0,905.0,3514.0,131.0,4682.0,363.0,1986.0,81.0,2558.0,66.0,943.0,27.0,1117.0,0.0,272.0,6.0,314.0,4884.0,28304.0,1775.0,34895.0,215.0,6110.0,330.0,6727.0,440.0,5931.0,335.0,6790.0,1223.0,10643.0,864.0,12800.0,1717.0,11198.0,669.0,13672.0,1897.0,9805.0,484.0,12236.0,1485.0,7434.0,347.0,9326.0,720.0,4088.0,184.0,5065.0,187.0,1914.0,89.0,2213.0,11.0,513.0,23.0,638.0,8177.0,57545.0,3717.0,69416.0,69416.0
Nepean,28.0,1232.0,111.0,1442.0,19.0,1041.0,64.0,1180.0,81.0,2141.0,201.0,2488.0,291.0,2231.0,198.0,2823.0,553.0,2873.0,302.0,3802.0,771.0,3266.0,283.0,4394.0,668.0,4197.0,308.0,5182.0,337.0,2619.0,292.0,3265.0,75.0,860.0,152.0,1148.0,3069.0,20506.0,2240.0,25768.0,31.0,1119.0,103.0,1330.0,75.0,976.0,56.0,1203.0,254.0,2152.0,181.0,2643.0,570.0,2280.0,211.0,3083.0,929.0,2789.0,265.0,4021.0,1325.0,3302.0,304.0,4974.0,955.0,4133.0,385.0,5491.0,385.0,2739.0,348.0,3593.0,32.0,1113.0,214.0,1463.0,4742.0,20762.0,2325.0,27818.0,107.0,2345.0,271.0,2795.0,113.0,2032.0,186.0,2357.0,423.0,4377.0,421.0,5213.0,860.0,4507.0,498.0,5858.0,1474.0,5743.0,658.0,7799.0,2100.0,6667.0,614.0,9358.0,1647.0,8331.0,771.0,10756.0,740.0,5382.0,655.0,6791.0,152.0,1952.0,344.0,2595.0,7756.0,41314.0,4546.0,53651.0,53651.0
Niddrie,36.0,1853.0,29.0,2001.0,77.0,1865.0,47.0,2049.0,227.0,3432.0,211.0,3981.0,520.0,3718.0,121.0,4425.0,867.0,3643.0,129.0,4649.0,831.0,3028.0,77.0,3947.0,463.0,2624.0,68.0,3174.0,232.0,1965.0,81.0,2370.0,53.0,689.0,40.0,887.0,3578.0,22794.0,1152.0,27570.0,51.0,1786.0,25.0,1912.0,145.0,1527.0,35.0,1794.0,381.0,3356.0,128.0,3921.0,834.0,3676.0,147.0,4707.0,1424.0,3410.0,115.0,4975.0,1330.0,2864.0,82.0,4360.0,783.0,2931.0,101.0,3870.0,379.0,2370.0,114.0,2900.0,26.0,1139.0,59.0,1293.0,5490.0,23129.0,1224.0,29759.0,124.0,3672.0,73.0,3955.0,256.0,3408.0,106.0,3788.0,650.0,6871.0,379.0,7909.0,1380.0,7421.0,353.0,9164.0,2286.0,7063.0,316.0,9636.0,2145.0,5922.0,193.0,8298.0,1346.0,5491.0,214.0,7055.0,667.0,4255.0,276.0,5281.0,137.0,1900.0,129.0,2236.0,9066.0,45928.0,2432.0,57378.0,57378.0
Northcote,19.0,1429.0,11.0,1496.0,76.0,1529.0,61.0,1762.0,342.0,5481.0,207.0,6176.0,468.0,4744.0,189.0,5528.0,788.0,3794.0,135.0,4765.0,678.0,2480.0,86.0,3338.0,234.0,1700.0,49.0,2089.0,84.0,1030.0,49.0,1210.0,24.0,387.0,49.0,533.0,3023.0,22724.0,1241.0,26967.0,41.0,1441.0,30.0,1576.0,110.0,1688.0,38.0,1880.0,522.0,6340.0,212.0,7129.0,779.0,4948.0,191.0,5910.0,1298.0,3699.0,106.0,5098.0,1114.0,2547.0,64.0,3679.0,532.0,1847.0,50.0,2492.0,148.0,1259.0,81.0,1576.0,32.0,721.0,89.0,896.0,4717.0,24391.0,1203.0,30347.0,85.0,2823.0,67.0,3073.0,227.0,3276.0,129.0,3667.0,890.0,11871.0,489.0,13381.0,1241.0,9745.0,469.0,11417.0,2084.0,7463.0,282.0,9918.0,1783.0,4976.0,239.0,7117.0,817.0,3559.0,164.0,4554.0,316.0,2257.0,173.0,2870.0,90.0,1131.0,137.0,1431.0,7730.0,47173.0,2470.0,57325.0,57325.0
Oakleigh,65.0,1985.0,43.0,2161.0,128.0,4590.0,318.0,5083.0,370.0,8922.0,744.0,10182.0,556.0,5594.0,275.0,6470.0,874.0,3996.0,145.0,5027.0,710.0,3121.0,70.0,4046.0,304.0,2333.0,81.0,2752.0,185.0,1412.0,73.0,1746.0,39.0,675.0,63.0,881.0,3672.0,32701.0,2309.0,38686.0,56.0,2004.0,49.0,2195.0,137.0,4119.0,252.0,4645.0,500.0,7994.0,464.0,9091.0,760.0,5190.0,224.0,6252.0,1243.0,3781.0,115.0,5269.0,1139.0,3009.0,86.0,4343.0,544.0,2500.0,83.0,3225.0,251.0,1952.0,100.0,2459.0,21.0,1128.0,161.0,1396.0,5054.0,31763.0,2006.0,38767.0,182.0,4015.0,125.0,4399.0,369.0,8721.0,608.0,9827.0,972.0,16914.0,1302.0,19257.0,1343.0,10821.0,555.0,12819.0,2136.0,7716.0,354.0,10304.0,1892.0,6169.0,244.0,8394.0,944.0,4827.0,262.0,6058.0,559.0,3399.0,215.0,4236.0,94.0,1834.0,251.0,2280.0,8702.0,64446.0,4329.0,77505.0,77505.0
Ovens Valley,37.0,1577.0,90.0,1808.0,22.0,1144.0,54.0,1343.0,210.0,2610.0,226.0,3113.0,340.0,2622.0,183.0,3235.0,542.0,3060.0,161.0,3787.0,685.0,3374.0,226.0,4413.0,487.0,3683.0,261.0,4429.0,236.0,2049.0,217.0,2629.0,44.0,601.0,94.0,771.0,2960.0,20787.0,1957.0,25688.0,46.0,1427.0,105.0,1634.0,52.0,1126.0,54.0,1327.0,336.0,2608.0,172.0,3219.0,595.0,2646.0,142.0,3471.0,959.0,2985.0,196.0,4116.0,1154.0,3235.0,198.0,4656.0,748.0,3436.0,224.0,4542.0,305.0,2140.0,249.0,2852.0,17.0,1011.0,143.0,1190.0,4418.0,20613.0,1979.0,27060.0,90.0,3028.0,232.0,3476.0,141.0,2260.0,195.0,2640.0,594.0,5190.0,416.0,6283.0,985.0,5314.0,454.0,6714.0,1456.0,6043.0,488.0,7964.0,1885.0,6717.0,520.0,9061.0,1271.0,7075.0,543.0,9014.0,625.0,4206.0,519.0,5424.0,92.0,1650.0,283.0,2052.0,7368.0,41448.0,3935.0,52746.0,52746.0
Pakenham,33.0,1975.0,114.0,2269.0,70.0,2036.0,61.0,2319.0,369.0,5823.0,373.0,6596.0,561.0,5171.0,269.0,6105.0,456.0,3382.0,176.0,4102.0,304.0,2349.0,74.0,2822.0,250.0,1686.0,63.0,2156.0,92.0,1013.0,67.0,1232.0,10.0,196.0,38.0,282.0,2529.0,23752.0,1590.0,27911.0,49.0,1869.0,64.0,2100.0,99.0,2086.0,78.0,2418.0,700.0,6104.0,346.0,7254.0,975.0,4859.0,237.0,6198.0,864.0,3237.0,153.0,4283.0,742.0,2342.0,96.0,3232.0,360.0,2054.0,99.0,2681.0,83.0,1142.0,106.0,1443.0,7.0,380.0,69.0,477.0,4217.0,24157.0,1683.0,30099.0,157.0,3865.0,218.0,4345.0,246.0,4098.0,200.0,4652.0,1144.0,11945.0,812.0,13874.0,1639.0,9996.0,626.0,12289.0,1380.0,6586.0,370.0,8449.0,1085.0,4700.0,190.0,6013.0,718.0,3823.0,192.0,4781.0,261.0,2194.0,198.0,2724.0,24.0,643.0,138.0,834.0,6773.0,47976.0,3283.0,57990.0,57990.0
Pascoe Vale,19.0,1472.0,33.0,1638.0,84.0,2004.0,81.0,2246.0,328.0,5505.0,299.0,6252.0,506.0,4880.0,235.0,5651.0,826.0,3423.0,179.0,4475.0,688.0,2531.0,78.0,3371.0,287.0,1657.0,67.0,2061.0,108.0,995.0,47.0,1283.0,57.0,563.0,45.0,721.0,3205.0,23141.0,1379.0,27619.0,48.0,1380.0,22.0,1604.0,121.0,1876.0,83.0,2150.0,491.0,5820.0,300.0,6669.0,837.0,4842.0,155.0,5892.0,1358.0,3313.0,126.0,4805.0,1071.0,2345.0,79.0,3528.0,466.0,1903.0,73.0,2475.0,168.0,1376.0,66.0,1685.0,31.0,1088.0,114.0,1318.0,4865.0,23865.0,1400.0,30098.0,128.0,2873.0,78.0,3196.0,255.0,3938.0,154.0,4406.0,898.0,11395.0,614.0,12949.0,1334.0,9686.0,441.0,11490.0,2167.0,6726.0,373.0,9248.0,1736.0,4851.0,212.0,6835.0,833.0,3468.0,172.0,4506.0,320.0,2387.0,160.0,2991.0,119.0,1738.0,175.0,2063.0,8043.0,47015.0,2706.0,57772.0,57772.0
Point Cook,50.0,2515.0,119.0,2827.0,73.0,2132.0,170.0,2387.0,310.0,5317.0,434.0,6086.0,780.0,7987.0,485.0,9282.0,733.0,5047.0,195.0,6106.0,519.0,3111.0,111.0,3815.0,234.0,2174.0,64.0,2564.0,90.0,781.0,14.0,938.0,3.0,173.0,3.0,214.0,3159.0,29217.0,1992.0,34324.0,46.0,2164.0,80.0,2451.0,91.0,2030.0,87.0,2344.0,570.0,5762.0,374.0,6803.0,1220.0,7809.0,433.0,9453.0,1144.0,4616.0,201.0,6023.0,807.0,3062.0,102.0,4046.0,417.0,2242.0,80.0,2866.0,47.0,989.0,38.0,1175.0,0.0,381.0,10.0,421.0,4672.0,29198.0,1779.0,35555.0,121.0,4772.0,275.0,5228.0,226.0,4166.0,303.0,4794.0,944.0,11017.0,918.0,12882.0,2009.0,15737.0,976.0,18788.0,1886.0,9571.0,477.0,12025.0,1347.0,6116.0,339.0,7898.0,718.0,4388.0,193.0,5384.0,201.0,1802.0,92.0,2184.0,24.0,584.0,13.0,672.0,7796.0,58287.0,3820.0,69947.0,69947.0
