district,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,Tot_Tot_total
Eureka,97.0,230.0,410.0,51.0,36.0,109.0,30.0,185.0,267.0,37.0,495.0,589.0,273.0,1300.0,1629.0,352.0,879.0,1275.0,1147.0,557.0,1717.0,1078.0,691.0,1833.0,1379.0,704.0,2085.0,1612.0,562.0,2155.0,1164.0,439.0,1618.0,1224.0,281.0,1562.0,2733.0,488.0,3233.0,2052.0,36.0,2138.0,1693.0,55.0,1803.0,1011.0,0.0,1030.0,2138.0,78.0,2292.0,1113.0,69.0,1247.0,190.0,203.0,485.0,19785.0,7927.0,27658.0,27658.0
Euroa,139.0,197.0,445.0,41.0,66.0,169.0,32.0,272.0,348.0,66.0,609.0,689.0,380.0,1767.0,2165.0,328.0,993.0,1377.0,1441.0,627.0,2114.0,1241.0,708.0,1967.0,1424.0,699.0,2084.0,1503.0,459.0,1984.0,1032.0,320.0,1433.0,1092.0,237.0,1341.0,2193.0,333.0,2563.0,1514.0,10.0,1566.0,1052.0,22.0,1167.0,637.0,0.0,642.0,1298.0,63.0,1450.0,1256.0,22.0,1344.0,295.0,450.0,845.0,17523.0,8549.0,26067.0,26067.0
Evelyn,95.0,138.0,301.0,30.0,32.0,95.0,29.0,93.0,151.0,16.0,185.0,240.0,170.0,891.0,1141.0,204.0,506.0,756.0,826.0,297.0,1150.0,883.0,413.0,1320.0,1092.0,424.0,1527.0,1231.0,293.0,1551.0,973.0,253.0,1270.0,1042.0,152.0,1293.0,2753.0,326.0,3126.0,2279.0,11.0,2338.0,1924.0,18.0,1997.0,1227.0,4.0,1240.0,2518.0,23.0,2605.0,1123.0,26.0,1219.0,141.0,100.0,319.0,19072.0,5024.0,24141.0,24141.0
Footscray,108.0,283.0,472.0,33.0,54.0,134.0,47.0,219.0,298.0,40.0,557.0,656.0,145.0,966.0,1226.0,179.0,628.0,926.0,640.0,561.0,1193.0,642.0,751.0,1442.0,742.0,941.0,1763.0,1012.0,893.0,1962.0,848.0,841.0,1693.0,889.0,772.0,1642.0,2095.0,1333.0,3462.0,1888.0,177.0,2090.0,1800.0,343.0,2213.0,1355.0,75.0,1429.0,4424.0,426.0,4932.0,750.0,260.0,1042.0,101.0,178.0,312.0,18153.0,11019.0,29149.0,29149.0
Frankston,110.0,287.0,456.0,29.0,62.0,117.0,44.0,212.0,321.0,69.0,639.0,753.0,267.0,1662.0,1969.0,320.0,1120.0,1521.0,1052.0,724.0,1757.0,997.0,882.0,1915.0,1268.0,825.0,2108.0,1409.0,668.0,2090.0,1039.0,464.0,1525.0,1090.0,337.0,1441.0,2384.0,524.0,2950.0,1790.0,25.0,1867.0,1383.0,63.0,1477.0,923.0,4.0,951.0,1891.0,98.0,2057.0,976.0,93.0,1101.0,183.0,304.0,548.0,17536.0,9754.0,27190.0,27190.0
Geelong,58.0,219.0,380.0,44.0,87.0,164.0,24.0,295.0,343.0,30.0,624.0,697.0,219.0,1603.0,1948.0,345.0,1209.0,1588.0,1046.0,703.0,1797.0,943.0,920.0,1876.0,1204.0,954.0,2127.0,1403.0,753.0,2158.0,913.0,666.0,1573.0,984.0,461.0,1519.0,2272.0,760.0,2964.0,1797.0,60.0,1930.0,1559.0,115.0,1793.0,957.0,15.0,1003.0,2865.0,221.0,3101.0,975.0,139.0,1157.0,161.0,312.0,531.0,18332.0,10773.0,29086.0,29086.0
Gippsland East,164.0,207.0,457.0,57.0,81.0,164.0,61.0,268.0,362.0,74.0,610.0,696.0,358.0,1901.0,2222.0,408.0,1034.0,1574.0,1780.0,646.0,2415.0,1375.0,791.0,2268.0,1519.0,629.0,2189.0,1641.0,435.0,2112.0,1010.0,252.0,1360.0,1147.0,182.0,1357.0,1988.0,179.0,2294.0,1333.0,4.0,1371.0,808.0,18.0,844.0,441.0,4.0,444.0,973.0,68.0,1079.0,1189.0,44.0,1292.0,334.0,351.0,730.0,17122.0,8422.0,25531.0,25531.0
Gippsland South,201.0,259.0,527.0,66.0,45.0,204.0,75.0,233.0,358.0,55.0,600.0,722.0,369.0,1723.0,2103.0,372.0,998.0,1336.0,1380.0,553.0,2026.0,1233.0,759.0,2037.0,1407.0,642.0,2038.0,1575.0,374.0,1973.0,963.0,354.0,1383.0,1064.0,225.0,1358.0,2056.0,351.0,2484.0,1339.0,9.0,1377.0,1071.0,39.0,1163.0,554.0,3.0,569.0,1445.0,104.0,1599.0,1220.0,24.0,1287.0,252.0,379.0,726.0,17272.0,8305.0,25560.0,25560.0
Glen Waverley,422.0,272.0,836.0,113.0,71.0,196.0,93.0,164.0,369.0,84.0,300.0,450.0,334.0,954.0,1373.0,330.0,564.0,956.0,1006.0,426.0,1455.0,1065.0,419.0,1491.0,1226.0,408.0,1687.0,1500.0,290.0,1836.0,1010.0,218.0,1333.0,1113.0,162.0,1336.0,2510.0,414.0,2918.0,2004.0,34.0,2051.0,1814.0,80.0,1944.0,1242.0,15.0,1266.0,4365.0,162.0,4577.0,1204.0,36.0,1287.0,158.0,164.0,365.0,22226.0,6132.0,28305.0,28305.0
Greenvale,292.0,111.0,505.0,31.0,8.0,68.0,79.0,83.0,197.0,80.0,212.0,376.0,302.0,487.0,846.0,455.0,169.0,689.0,1129.0,170.0,1298.0,1100.0,242.0,1428.0,1315.0,284.0,1652.0,1564.0,165.0,1757.0,1253.0,193.0,1451.0,1171.0,94.0,1343.0,2440.0,114.0,2651.0,1820.0,0.0,1842.0,1444.0,15.0,1509.0,890.0,3.0,916.0,1912.0,9.0,1966.0,1068.0,5.0,1082.0,255.0,64.0,343.0,18984.0,3246.0,22184.0,22184.0
Hastings,131.0,191.0,369.0,31.0,33.0,92.0,28.0,155.0,222.0,22.0,325.0,383.0,232.0,1074.0,1320.0,257.0,893.0,1175.0,1012.0,459.0,1491.0,920.0,608.0,1518.0,1197.0,649.0,1822.0,1293.0,431.0,1751.0,990.0,381.0,1379.0,1093.0,228.0,1375.0,2658.0,354.0,2974.0,2016.0,20.0,2067.0,1535.0,34.0,1583.0,975.0,0.0,1001.0,2014.0,45.0,2160.0,1028.0,23.0,1067.0,201.0,176.0,460.0,17877.0,6555.0,24451.0,24451.0
Hawthorn,165.0,286.0,538.0,49.0,54.0,167.0,29.0,172.0,254.0,38.0,297.0,406.0,108.0,635.0,786.0,142.0,694.0,885.0,319.0,561.0,1039.0,347.0,682.0,1121.0,553.0,875.0,1476.0,772.0,922.0,1738.0,576.0,837.0,1449.0,697.0,745.0,1460.0,1657.0,1357.0,3057.0,1432.0,131.0,1565.0,1360.0,293.0,1758.0,985.0,53.0,1122.0,7129.0,704.0,7791.0,1016.0,163.0,1226.0,81.0,99.0,242.0,17947.0,10251.0,28173.0,28173.0
Ivanhoe,121.0,241.0,456.0,37.0,32.0,103.0,29.0,210.0,302.0,28.0,431.0,500.0,180.0,962.0,1213.0,180.0,655.0,946.0,604.0,468.0,1199.0,629.0,584.0,1182.0,810.0,618.0,1530.0,927.0,541.0,1463.0,758.0,568.0,1336.0,887.0,411.0,1289.0,1938.0,798.0,2725.0,1642.0,61.0,1728.0,1610.0,151.0,1807.0,1237.0,19.0,1255.0,4569.0,213.0,4911.0,854.0,51.0,1019.0,123.0,144.0,300.0,17486.0,7784.0,25313.0,25313.0
