district,CF_C_BPBO_DC_0_4_pc,CF_C_BPBO_DC_5_9_pc,CF_C_BPBO_DC_10_12_pc,CF_C_BPBO_DC_13_14_pc,CF_C_BPBO_DC_15_17_pc,CF_C_BPBO_DC_18_20_pc,CF_C_BPBO_DC_21_24_pc,CF_C_BPBO_Tot_pc,CF_C_FBO_DC_0_4_pc,CF_C_FBO_DC_5_9_pc,CF_C_FBO_DC_10_12_pc,CF_C_FBO_DC_13_14_pc,CF_C_FBO_DC_15_17_pc,CF_C_FBO_DC_18_20_pc,CF_C_FBO_DC_21_24_pc,CF_C_FBO_Tot_pc,CF_C_MBO_DC_0_4_pc,CF_C_MBO_DC_5_9_pc,CF_C_MBO_DC_10_12_pc,CF_C_MBO_DC_13_14_pc,CF_C_MBO_DC_15_17_pc,CF_C_MBO_DC_18_20_pc,CF_C_MBO_DC_21_24_pc,CF_C_MBO_Tot_pc,CF_C_BPBAu_DC_0_4_pc,CF_C_BPBAu_DC_5_9_pc,CF_C_BPBAu_DC_10_12_pc,CF_C_BPBAu_DC_13_14_pc,CF_C_BPBAu_DC_15_17_pc,CF_C_BPBAu_DC_18_20_pc,CF_C_BPBAu_DC_21_24_pc,CF_C_BPBAu_Tot_pc,CF_C_BP_NS_DC_0_4_pc,CF_C_BP_NS_DC_5_9_pc,CF_C_BP_NS_DC_10_12_pc,CF_C_BP_NS_DC_13_14_pc,CF_C_BP_NS_DC_15_17_pc,CF_C_BP_NS_DC_18_20_pc,CF_C_BP_NS_DC_21_24_pc,CF_C_BP_NS_Tot_pc,CF_C_Tot_DC_0_4_pc,CF_C_Tot_DC_5_9_pc,CF_C_Tot_DC_10_12_pc,CF_C_Tot_DC_13_14_pc,CF_C_Tot_DC_15_17_pc,CF_C_Tot_DC_18_20_pc,CF_C_Tot_DC_21_24_pc,CF_C_Tot_Tot_pc,One_PF_BPBO_DC_0_4_pc,One_PF_BPBO_DC_5_9_pc,One_PF_BPBO_DC_10_12_pc,One_PF_BPBO_DC_13_14_pc,One_PF_BPBO_DC_15_17_pc,One_PF_BPBO_DC_18_20_pc,One_PF_BPBO_DC_21_24_pc,One_PF_BPBO_Tot_pc,One_PF_FBO_DC_0_4_pc,One_PF_FBO_DC_5_9_pc,One_PF_FBO_DC_10_12_pc,One_PF_FBO_DC_13_14_pc,One_PF_FBO_DC_15_17_pc,One_PF_FBO_DC_18_20_pc,One_PF_FBO_DC_21_24_pc,One_PF_FBO_Tot_pc,One_PF_MBO_DC_0_4_pc,One_PF_MBO_DC_5_9_pc,One_PF_MBO_DC_10_12_pc,One_PF_MBO_DC_13_14_pc,One_PF_MBO_DC_15_17_pc,One_PF_MBO_DC_18_20_pc,One_PF_MBO_DC_21_24_pc,One_PF_MBO_Tot_pc,One_PF_BPBAu_DC_0_4_pc,One_PF_BPBAu_DC_5_9_pc,One_PF_BPBAu_DC_10_12_pc,One_PF_BPBAu_DC_13_14_pc,One_PF_BPBAu_DC_15_17_pc,One_PF_BPBAu_DC_18_20_pc,One_PF_BPBAu_DC_21_24_pc,One_PF_BPBAu_Tot_pc,One_PF_BP_NS_DC_0_4_pc,One_PF_BP_NS_DC_5_9_pc,One_PF_BP_NS_DC_10_12_pc,One_PF_BP_NS_DC_13_14_pc,One_PF_BP_NS_DC_15_17_pc,One_PF_BP_NS_DC_18_20_pc,One_PF_BP_NS_DC_21_24_pc,One_PF_BP_NS_Tot_pc,One_PF_Tot_DC_0_4_pc,One_PF_Tot_DC_5_9_pc,One_PF_Tot_DC_10_12_pc,One_PF_Tot_DC_13_14_pc,One_PF_Tot_DC_15_17_pc,One_PF_Tot_DC_18_20_pc,One_PF_Tot_DC_21_24_pc,One_PF_Tot_Tot_pc,Tot_DC_0_4_pc,Tot_DC_5_9_pc,Tot_DC_10_12_pc,Tot_DC_13_14_pc,Tot_DC_15_17_pc,Tot_DC_18_20_pc,Tot_DC_21_24_pc,Tot_Tot_pc
Mildura,0.0292,0.0262,0.0111,0.0071,0.0107,0.0013,0.0004,0.1009,0.0071,0.0067,0.0028,0.0002,0.0024,0.0002,0.0,0.0293,0.0103,0.0066,0.0019,0.0015,0.0019,0.0,0.0,0.0346,0.1575,0.1607,0.1066,0.0677,0.0764,0.0137,0.0026,0.5973,0.0004,0.0012,0.0005,0.0,0.0,0.0,0.0,0.0052,0.2109,0.2101,0.1311,0.082,0.0993,0.0223,0.0035,0.7651,0.0021,0.0016,0.0011,0.0002,0.0009,0.0,0.0002,0.0134,0.0015,0.0026,0.0005,0.0006,0.0003,0.0,0.0,0.0119,0.0005,0.0009,0.0006,0.0005,0.0006,0.0,0.0,0.0057,0.0339,0.0553,0.0344,0.0233,0.0246,0.0027,0.0,0.1921,0.0005,0.0007,0.0004,0.0002,0.0005,0.0,0.0,0.0052,0.0435,0.0677,0.041,0.0297,0.0314,0.0041,0.0002,0.2353,0.2564,0.2779,0.1744,0.1142,0.1347,0.0293,0.0054,1.0
Mill Park,0.096,0.0997,0.0509,0.0316,0.0387,0.0266,0.0145,0.3679,0.0169,0.0179,0.008,0.0026,0.0062,0.0046,0.0007,0.0747,0.0157,0.0129,0.0063,0.0031,0.0034,0.0009,0.0014,0.0575,0.0791,0.0795,0.0513,0.0324,0.0477,0.0219,0.0102,0.3329,0.0,0.0003,0.0,0.0,0.0002,0.0,0.0,0.0033,0.2146,0.2166,0.1222,0.0822,0.1067,0.064,0.0349,0.8433,0.0038,0.0048,0.0033,0.0031,0.0046,0.0019,0.0006,0.0373,0.0012,0.0023,0.0017,0.0005,0.0009,0.0003,0.0002,0.0177,0.0014,0.0021,0.0002,0.0004,0.0004,0.0006,0.0004,0.0099,0.0085,0.0187,0.0118,0.0087,0.0125,0.0047,0.0017,0.0858,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0017,0.0205,0.0371,0.0228,0.0199,0.0266,0.0128,0.0039,0.1549,0.2367,0.2557,0.1458,0.1017,0.1366,0.0823,0.0426,1.0
Monbulk,0.0124,0.016,0.0089,0.0035,0.0078,0.0028,0.0007,0.0778,0.0187,0.0224,0.0114,0.0066,0.0101,0.0039,0.001,0.0922,0.0183,0.0257,0.0102,0.0064,0.0066,0.0037,0.0,0.0908,0.1486,0.1614,0.0989,0.0592,0.0779,0.0325,0.0108,0.6022,0.0,0.0005,0.0003,0.0,0.0,0.0,0.0,0.0013,0.2083,0.2288,0.138,0.092,0.1162,0.0541,0.0225,0.8647,0.0,0.0007,0.0003,0.0004,0.0005,0.0002,0.0,0.0059,0.0018,0.0007,0.0016,0.001,0.0022,0.0006,0.0002,0.0167,0.0005,0.0012,0.0007,0.0008,0.0008,0.0003,0.0003,0.0103,0.0078,0.0195,0.0154,0.0098,0.0158,0.0053,0.0026,0.0966,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0023,0.0138,0.0265,0.0246,0.0164,0.0278,0.0074,0.0035,0.1387,0.2209,0.2621,0.1646,0.1075,0.1457,0.0669,0.0298,1.0
Mordialloc,0.0569,0.0767,0.0415,0.0272,0.0362,0.026,0.0168,0.2855,0.0208,0.0235,0.0127,0.0054,0.0081,0.0028,0.001,0.0901,0.0243,0.0231,0.009,0.006,0.0073,0.0024,0.001,0.0873,0.0955,0.1004,0.0603,0.0414,0.0545,0.0268,0.0134,0.4005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0011,0.2057,0.2249,0.1296,0.0911,0.1137,0.0666,0.0356,0.8688,0.0025,0.0047,0.0041,0.0029,0.0046,0.0037,0.0018,0.0349,0.0015,0.0024,0.0011,0.0014,0.0018,0.0006,0.0002,0.0162,0.0004,0.0018,0.0004,0.0004,0.0008,0.0,0.0003,0.011,0.0046,0.0118,0.009,0.0035,0.0089,0.0034,0.0011,0.0627,0.0002,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0018,0.0145,0.0265,0.0214,0.0137,0.0248,0.0122,0.0073,0.1348,0.2234,0.2554,0.1531,0.1057,0.1395,0.0817,0.0423,1.0
Mornington,0.0111,0.0197,0.0127,0.0121,0.0165,0.0069,0.0029,0.1005,0.0171,0.0255,0.0176,0.0109,0.0144,0.0034,0.0009,0.1037,0.0156,0.0232,0.0149,0.0062,0.0112,0.0044,0.0007,0.0926,0.1193,0.1456,0.0962,0.0626,0.0808,0.0332,0.012,0.5581,0.0002,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0017,0.1756,0.2198,0.15,0.1028,0.1302,0.0569,0.0249,0.8586,0.0003,0.0017,0.0014,0.0,0.0013,0.0,0.0,0.0091,0.0005,0.0038,0.002,0.0008,0.0033,0.0004,0.0,0.0213,0.0006,0.0021,0.0009,0.0015,0.001,0.0004,0.0,0.0132,0.0083,0.0203,0.0136,0.0108,0.0169,0.0036,0.0016,0.0902,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0012,0.0152,0.0314,0.0217,0.0169,0.0276,0.0061,0.0042,0.1398,0.1885,0.2504,0.1765,0.1215,0.1572,0.07,0.0316,1.0
Morwell,0.0155,0.0172,0.0073,0.0032,0.0044,0.0011,0.0,0.0622,0.005,0.0053,0.0045,0.0022,0.003,0.0003,0.0,0.0319,0.007,0.0044,0.003,0.0017,0.003,0.0004,0.0,0.0311,0.161,0.1599,0.0954,0.0649,0.0751,0.0184,0.0045,0.5874,0.0006,0.0002,0.0,0.0,0.0,0.0,0.0,0.0015,0.1981,0.1922,0.1184,0.0786,0.0938,0.0241,0.0058,0.7208,0.0019,0.0012,0.0008,0.0008,0.0011,0.0,0.0,0.0122,0.0025,0.0018,0.0013,0.0008,0.0015,0.0,0.0,0.0154,0.0007,0.0023,0.0005,0.0003,0.0011,0.0006,0.0,0.0096,0.053,0.0682,0.0399,0.0241,0.0286,0.0051,0.0,0.2298,0.0027,0.0011,0.0003,0.001,0.0007,0.0,0.0,0.0094,0.0613,0.0798,0.05,0.0334,0.0379,0.0074,0.0002,0.2833,0.2606,0.2762,0.1732,0.1146,0.1296,0.0374,0.0091,1.0
Mulgrave,0.1467,0.1507,0.0782,0.0481,0.0599,0.0545,0.0317,0.5737,0.0084,0.0111,0.0036,0.0021,0.0037,0.0011,0.0007,0.0437,0.0176,0.015,0.0057,0.0012,0.0018,0.0008,0.0006,0.058,0.037,0.039,0.021,0.0124,0.0222,0.0087,0.0035,0.1552,0.0004,0.0007,0.0002,0.0,0.0,0.0,0.0,0.003,0.2198,0.2226,0.115,0.0738,0.096,0.0674,0.038,0.8383,0.0084,0.0146,0.0133,0.009,0.0122,0.0083,0.0085,0.096,0.0011,0.0016,0.0004,0.0006,0.0005,0.0007,0.0011,0.0116,0.0014,0.0018,0.0007,0.0,0.0009,0.0005,0.0,0.0099,0.003,0.0057,0.0058,0.0037,0.0047,0.0021,0.0004,0.0342,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0009,0.0205,0.0306,0.0239,0.019,0.0256,0.0146,0.0115,0.1646,0.2443,0.2566,0.144,0.0971,0.123,0.09,0.0506,1.0
Murray Plains,0.0152,0.0153,0.0068,0.0019,0.0035,0.0,0.0,0.0561,0.0055,0.0026,0.001,0.0002,0.0002,0.0,0.0,0.0162,0.0051,0.0083,0.003,0.0017,0.0015,0.0,0.0004,0.0305,0.1664,0.1787,0.1173,0.0708,0.0908,0.0163,0.0036,0.6659,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0,0.003,0.1965,0.2141,0.1347,0.0876,0.1,0.0195,0.0045,0.7755,0.0005,0.0008,0.0007,0.0,0.0002,0.0,0.0,0.0046,0.0012,0.0029,0.0007,0.0,0.0005,0.0,0.0,0.0088,0.0005,0.0005,0.0002,0.0005,0.0,0.0,0.0,0.0066,0.0321,0.0514,0.0339,0.022,0.0249,0.0027,0.0002,0.1918,0.0017,0.0,0.0006,0.0003,0.0,0.0,0.0,0.0048,0.0398,0.0568,0.0421,0.0263,0.0303,0.0038,0.0002,0.2221,0.2498,0.2771,0.1799,0.1164,0.1358,0.0265,0.0048,1.0
Narracan,0.0114,0.0164,0.0059,0.004,0.0047,0.0022,0.0005,0.0558,0.01,0.0116,0.0071,0.0034,0.0036,0.0013,0.0003,0.0486,0.01,0.0109,0.0034,0.0014,0.0039,0.0004,0.0,0.0429,0.1799,0.1733,0.1105,0.0705,0.0849,0.0255,0.0071,0.6569,0.0007,0.0005,0.0002,0.0002,0.0,0.0,0.0,0.0032,0.2203,0.2145,0.1327,0.0881,0.1065,0.0366,0.0093,0.8157,0.0004,0.0007,0.0004,0.0002,0.0005,0.0,0.0,0.0052,0.0013,0.0026,0.0007,0.0008,0.0017,0.0007,0.0,0.0133,0.0009,0.0006,0.0019,0.0002,0.0006,0.0002,0.0,0.0087,0.0262,0.0363,0.0237,0.0205,0.0221,0.0049,0.0014,0.1499,0.0005,0.0006,0.0,0.0,0.0,0.0,0.0,0.0032,0.0342,0.0458,0.031,0.0252,0.0298,0.0079,0.0017,0.185,0.2564,0.2604,0.1694,0.12,0.1338,0.0438,0.0129,1.0
Narre Warren North,0.1068,0.1183,0.0659,0.0477,0.0605,0.0429,0.0274,0.477,0.0171,0.0129,0.006,0.0032,0.0043,0.0018,0.0008,0.0626,0.0142,0.0146,0.0063,0.0038,0.0038,0.0013,0.0009,0.0591,0.0679,0.0604,0.0324,0.0215,0.0292,0.013,0.0062,0.2446,0.0002,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0027,0.2103,0.2128,0.1154,0.0846,0.1097,0.0639,0.0426,0.8465,0.0049,0.012,0.0048,0.0029,0.0075,0.004,0.0031,0.0514,0.0024,0.0026,0.0023,0.0002,0.001,0.0,0.0,0.0173,0.0004,0.0012,0.0003,0.0004,0.0005,0.0002,0.0,0.0095,0.0127,0.0155,0.0079,0.0046,0.0064,0.0019,0.0002,0.0657,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.002,0.0263,0.0386,0.023,0.0161,0.0235,0.0103,0.0054,0.1546,0.2384,0.2507,0.1451,0.1051,0.1299,0.0791,0.053,1.0
Narre Warren South,0.1355,0.1473,0.0884,0.0568,0.075,0.0466,0.0283,0.58,0.0128,0.0123,0.0051,0.0024,0.0036,0.0019,0.0006,0.0518,0.0098,0.0108,0.0043,0.003,0.0034,0.0009,0.0006,0.0425,0.0413,0.0425,0.0249,0.018,0.0254,0.008,0.0027,0.1724,0.0003,0.0002,0.0001,0.0,0.0003,0.0,0.0,0.0033,0.2021,0.2167,0.1312,0.0876,0.1138,0.0616,0.0364,0.8546,0.0071,0.0138,0.0072,0.0053,0.009,0.0046,0.0034,0.0645,0.0012,0.0013,0.0005,0.0004,0.0013,0.0003,0.0002,0.0134,0.0005,0.0016,0.0004,0.0005,0.0008,0.0,0.0,0.0091,0.0098,0.0113,0.0068,0.0046,0.0068,0.0009,0.0004,0.0546,0.0,0.0005,0.0001,0.0004,0.0001,0.0,0.0,0.0026,0.0235,0.0355,0.0219,0.0189,0.0229,0.01,0.0052,0.1494,0.2284,0.2525,0.1548,0.1093,0.1391,0.0727,0.043,1.0
Nepean,0.0048,0.0058,0.0029,0.0019,0.0024,0.0005,0.0003,0.0353,0.017,0.0155,0.0099,0.0059,0.0076,0.002,0.0006,0.0727,0.0145,0.0118,0.0086,0.0014,0.0044,0.0011,0.0,0.0626,0.161,0.1523,0.099,0.0592,0.0731,0.0213,0.0108,0.5916,0.0007,0.0003,0.0,0.0,0.0003,0.0,0.0,0.0026,0.2081,0.1963,0.1279,0.0852,0.1041,0.031,0.0164,0.7727,0.0,0.0004,0.0,0.0,0.0011,0.0,0.0,0.0069,0.0006,0.0024,0.0037,0.0009,0.0021,0.0007,0.0,0.0247,0.0003,0.0032,0.002,0.0005,0.0013,0.0004,0.0,0.0134,0.0206,0.0437,0.027,0.0176,0.0214,0.0066,0.001,0.1668,0.0009,0.0007,0.0003,0.0,0.001,0.0003,0.0,0.0058,0.0281,0.0608,0.0395,0.0263,0.0365,0.0105,0.002,0.2255,0.2388,0.2549,0.1686,0.1115,0.1415,0.0476,0.0204,1.0
Niddrie,0.0325,0.0384,0.0226,0.0127,0.0217,0.0156,0.0095,0.1733,0.0152,0.0194,0.0075,0.0059,0.0082,0.0067,0.0018,0.0817,0.0196,0.0191,0.0074,0.0029,0.0058,0.0019,0.0019,0.0798,0.1279,0.1289,0.0742,0.051,0.0745,0.0398,0.0154,0.5166,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0014,0.2051,0.2173,0.1222,0.0852,0.1156,0.0747,0.038,0.8563,0.001,0.0033,0.0024,0.0009,0.0014,0.0012,0.0013,0.0236,0.001,0.0024,0.0012,0.0011,0.0007,0.0005,0.0,0.0159,0.0003,0.0019,0.0004,0.0005,0.0008,0.0007,0.0,0.0127,0.0067,0.0155,0.0105,0.0047,0.0113,0.007,0.0021,0.0815,0.0002,0.0,0.0003,0.0,0.0,0.0,0.0,0.0014,0.0136,0.0298,0.0212,0.017,0.0231,0.0153,0.0063,0.1426,0.2171,0.2463,0.1468,0.0992,0.1422,0.0924,0.0497,1.0
Northcote,0.0355,0.023,0.0101,0.0044,0.0055,0.0023,0.0019,0.1079,0.0271,0.0301,0.0148,0.0097,0.0131,0.007,0.0027,0.1255,0.031,0.0279,0.0122,0.0063,0.0086,0.0026,0.0004,0.1068,0.1301,0.1252,0.078,0.0533,0.0716,0.0417,0.0167,0.5236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.2292,0.2172,0.1241,0.088,0.1124,0.0651,0.0268,0.8659,0.0002,0.0016,0.0015,0.0005,0.0009,0.0016,0.0007,0.0173,0.0008,0.0016,0.0015,0.0014,0.0026,0.0003,0.0,0.0191,0.0,0.0015,0.0009,0.001,0.0002,0.0006,0.0002,0.0128,0.0051,0.0118,0.0106,0.0082,0.0114,0.0034,0.0009,0.0743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0107,0.0275,0.0216,0.0126,0.0221,0.009,0.0044,0.1287,0.2463,0.2471,0.1547,0.1052,0.1372,0.0787,0.0363,1.0
Oakleigh,0.1178,0.1061,0.0401,0.0193,0.0274,0.0154,0.0107,0.3578,0.0199,0.0159,0.0065,0.0032,0.0093,0.0037,0.002,0.0797,0.0259,0.024,0.0076,0.0045,0.0055,0.0047,0.0014,0.0933,0.0731,0.0688,0.0533,0.0336,0.0481,0.0291,0.0138,0.3297,0.0003,0.0004,0.0,0.0,0.0,0.0,0.0,0.0015,0.2451,0.2252,0.1204,0.0696,0.0987,0.0614,0.0361,0.8643,0.0033,0.009,0.0048,0.0016,0.0056,0.0053,0.0018,0.048,0.0009,0.0009,0.0007,0.0003,0.0008,0.0,0.0002,0.0158,0.0005,0.0007,0.0008,0.0003,0.0008,0.0002,0.0,0.0094,0.0018,0.007,0.0041,0.0043,0.0051,0.0033,0.0006,0.0489,0.0003,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0012,0.0113,0.0281,0.0171,0.0143,0.0192,0.0157,0.006,0.1366,0.2611,0.2576,0.1377,0.0884,0.1238,0.0818,0.0464,1.0
Ovens Valley,0.0124,0.0144,0.0042,0.0018,0.0023,0.0007,0.0,0.0432,0.0059,0.0073,0.0073,0.0019,0.0036,0.0003,0.0003,0.0385,0.0096,0.0093,0.0053,0.0018,0.0017,0.0,0.0,0.0414,0.1627,0.176,0.1137,0.0826,0.1001,0.0169,0.0028,0.664,0.0003,0.0011,0.0,0.0,0.0,0.0,0.0,0.0029,0.2022,0.2152,0.1358,0.0945,0.1148,0.0225,0.0033,0.7983,0.0003,0.0003,0.0006,0.0005,0.0006,0.0,0.0,0.0045,0.0006,0.0012,0.0003,0.0003,0.0003,0.0,0.0,0.0064,0.0,0.0018,0.0008,0.0002,0.001,0.0,0.0,0.0065,0.0244,0.0477,0.029,0.0207,0.022,0.003,0.0006,0.1711,0.0,0.0003,0.0005,0.0,0.0,0.0,0.0,0.0035,0.0298,0.0558,0.0355,0.025,0.0278,0.0041,0.0006,0.2045,0.2365,0.272,0.179,0.1234,0.1484,0.0289,0.0038,1.0
Pakenham,0.1003,0.0947,0.0428,0.0252,0.0278,0.0139,0.0054,0.3183,0.0178,0.0165,0.0075,0.0035,0.0033,0.0013,0.0,0.0604,0.0159,0.0112,0.005,0.002,0.0029,0.0003,0.0003,0.0449,0.1244,0.1091,0.054,0.0306,0.0386,0.0094,0.0035,0.3797,0.0006,0.0005,0.0,0.0,0.0,0.0,0.0001,0.0034,0.263,0.2369,0.1153,0.0646,0.0798,0.0305,0.0126,0.8061,0.0045,0.0088,0.0035,0.0026,0.0049,0.0015,0.0008,0.0359,0.0021,0.0041,0.0021,0.0011,0.0017,0.0003,0.0,0.0208,0.001,0.0017,0.0002,0.0001,0.0009,0.0,0.0,0.0092,0.021,0.0361,0.0192,0.011,0.0138,0.0056,0.0022,0.121,0.0005,0.0004,0.0,0.0,0.0,0.0,0.0,0.002,0.0373,0.0559,0.0293,0.0203,0.0269,0.0105,0.0045,0.197,0.2991,0.293,0.1462,0.0894,0.1063,0.0442,0.0198,1.0
Pascoe Vale,0.0506,0.0488,0.0234,0.0091,0.0128,0.0092,0.0039,0.1732,0.0263,0.0291,0.0128,0.0045,0.0099,0.0053,0.0011,0.1074,0.0301,0.0251,0.0115,0.004,0.0072,0.0021,0.0006,0.1004,0.1314,0.1253,0.0661,0.0466,0.0572,0.0319,0.0108,0.4752,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.2436,0.23,0.1207,0.0758,0.0967,0.058,0.0257,0.8587,0.0015,0.002,0.0016,0.0012,0.003,0.0017,0.0006,0.0249,0.0021,0.0059,0.003,0.0013,0.0018,0.0003,0.0005,0.0227,0.0,0.0021,0.0014,0.0002,0.0,0.0004,0.0002,0.0111,0.0075,0.0131,0.0078,0.0057,0.0104,0.0031,0.0013,0.0713,0.0003,0.0003,0.0003,0.0005,0.0,0.0,0.0,0.0011,0.0141,0.0289,0.0209,0.0136,0.0225,0.0104,0.0043,0.1402,0.262,0.2595,0.1455,0.094,0.1211,0.0742,0.0344,1.0
Point Cook,0.1491,0.1808,0.083,0.041,0.0436,0.0245,0.0107,0.5348,0.0163,0.0138,0.0073,0.0042,0.0061,0.0008,0.0001,0.0596,0.0147,0.0146,0.0064,0.0036,0.0038,0.0019,0.0006,0.0575,0.0495,0.0527,0.0333,0.0201,0.0255,0.0102,0.0028,0.2056,0.0012,0.0006,0.0,0.0,0.0,0.0,0.0,0.0026,0.2339,0.266,0.1367,0.0747,0.0866,0.044,0.0207,0.8599,0.0075,0.0141,0.0066,0.0051,0.0069,0.0029,0.0019,0.0582,0.0021,0.0016,0.0008,0.0006,0.0014,0.0,0.0001,0.0137,0.001,0.002,0.0006,0.0,0.0004,0.0,0.0,0.0095,0.007,0.0099,0.0068,0.0052,0.0051,0.0021,0.0002,0.0518,0.0003,0.0011,0.0,0.0,0.0,0.0,0.0,0.0025,0.0228,0.0369,0.0213,0.0153,0.0213,0.0085,0.0033,0.141,0.2573,0.3002,0.1587,0.0906,0.1082,0.0557,0.0266,1.0
Polwarth,0.0103,0.0125,0.0056,0.0025,0.003,0.0024,0.0002,0.046,0.0144,0.0166,0.006,0.0027,0.0041,0.0002,0.0001,0.0545,0.0174,0.019,0.0063,0.0022,0.005,0.002,0.0,0.0645,0.169,0.186,0.1091,0.0807,0.0949,0.0267,0.0062,0.6824,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.002,0.2228,0.2341,0.1402,0.0941,0.1116,0.0351,0.008,0.853,0.0,0.0013,0.0007,0.0,0.0003,0.0,0.0,0.0043,0.0005,0.0016,0.0004,0.0011,0.0014,0.0003,0.0,0.0109,0.0002,0.0008,0.0008,0.0,0.0005,0.0,0.0,0.007,0.0154,0.0283,0.0207,0.0136,0.0182,0.0032,0.0007,0.1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0195,0.0354,0.0241,0.0213,0.0237,0.0046,0.001,0.1488,0.2436,0.2745,0.1673,0.1156,0.1432,0.0439,0.0107,1.0
Prahran,0.0985,0.0739,0.0191,0.0062,0.0108,0.0043,0.0017,0.2515,0.0239,0.0141,0.0043,0.0011,0.0044,0.0027,0.0006,0.0878,0.0448,0.022,0.0047,0.0019,0.004,0.0006,0.0,0.1079,0.1212,0.0732,0.0269,0.0201,0.032,0.018,0.0062,0.3334,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0025,0.31,0.1961,0.0894,0.0465,0.0658,0.0403,0.0172,0.7928,0.0043,0.0068,0.0043,0.0063,0.007,0.0043,0.0051,0.0767,0.0011,0.0021,0.0,0.0017,0.0,0.0021,0.0,0.0212,0.0013,0.0025,0.0013,0.0017,0.0014,0.0,0.0,0.0183,0.0021,0.0085,0.0087,0.0066,0.0071,0.0035,0.0009,0.0674,0.0013,0.0013,0.0,0.0,0.0,0.0,0.0,0.0033,0.0236,0.0364,0.0201,0.0199,0.0275,0.0182,0.0076,0.204,0.3401,0.2365,0.114,0.0723,0.1,0.0699,0.0394,1.0
Preston,0.0796,0.0706,0.0269,0.015,0.0238,0.0158,0.0062,0.2552,0.0307,0.0231,0.0071,0.0051,0.0087,0.0028,0.0022,0.0967,0.0294,0.0215,0.0076,0.003,0.0041,0.0015,0.0,0.0888,0.1185,0.0913,0.056,0.0343,0.0427,0.0204,0.0082,0.3842,0.0004,0.0003,0.0005,0.0,0.0,0.0,0.0,0.0025,0.2681,0.2144,0.1086,0.0691,0.0855,0.0525,0.0257,0.8276,0.0037,0.0051,0.0049,0.002,0.006,0.0025,0.0012,0.0462,0.0017,0.0029,0.0015,0.0016,0.0025,0.0,0.0002,0.0214,0.0009,0.001,0.0002,0.0007,0.0009,0.0003,0.0,0.0109,0.0129,0.0195,0.0105,0.007,0.0113,0.0034,0.0009,0.0854,0.0002,0.0012,0.0003,0.0002,0.0,0.0,0.0,0.0036,0.0257,0.0422,0.0262,0.0195,0.0262,0.0113,0.0057,0.1779,0.2972,0.2628,0.1408,0.091,0.1148,0.0667,0.0367,1.0
Richmond,0.0612,0.0428,0.0183,0.007,0.0181,0.0088,0.0049,0.1907,0.0282,0.0153,0.0089,0.005,0.0026,0.0011,0.0009,0.0889,0.0415,0.027,0.0095,0.0048,0.0044,0.0004,0.0,0.1031,0.1384,0.0899,0.0469,0.0258,0.0368,0.0203,0.008,0.387,0.001,0.0006,0.0,0.0,0.0,0.0,0.0,0.0048,0.2802,0.1951,0.1,0.0507,0.0759,0.0414,0.0162,0.7856,0.0177,0.0238,0.0134,0.0085,0.011,0.0103,0.0025,0.0998,0.0014,0.0033,0.0004,0.0025,0.0014,0.0008,0.0,0.0217,0.0005,0.0019,0.0024,0.0005,0.0005,0.0006,0.0,0.0123,0.0029,0.0073,0.0038,0.0018,0.0046,0.0023,0.0013,0.0556,0.0031,0.0039,0.0008,0.0004,0.0,0.0,0.0,0.0117,0.0311,0.0459,0.0285,0.0187,0.0277,0.0176,0.0058,0.2119,0.3221,0.2485,0.1366,0.0773,0.1015,0.0674,0.035,1.0
