district,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,Total_P_total
Frankston,6582.0,13260.0,37.0,460.0,619.0,2820.0,85.0,626.0,3889.0,14775.0,4721.0,18746.0,274.0,1409.0,549.0,1954.0,1249.0,4036.0,2181.0,7438.0,6861.0,26175.0,20.0,257.0,247.0,953.0,72.0,464.0,1397.0,3670.0,1838.0,5287.0,115.0,592.0,347.0,904.0,1558.0,3398.0,2085.0,4884.0,3954.0,10158.0,290.0,617.0,17802.0,50327.0,50327.0
Geelong,7608.0,15247.0,62.0,631.0,669.0,3394.0,72.0,482.0,4502.0,17235.0,5385.0,21704.0,303.0,1404.0,646.0,2211.0,1273.0,3942.0,2246.0,7629.0,7612.0,29351.0,0.0,114.0,138.0,560.0,62.0,308.0,1086.0,2736.0,1378.0,3732.0,87.0,438.0,259.0,693.0,1201.0,2579.0,1623.0,3669.0,2992.0,7473.0,282.0,607.0,18567.0,52636.0,52636.0
Gippsland East,9043.0,18000.0,85.0,649.0,431.0,2426.0,147.0,930.0,3005.0,11878.0,3821.0,15926.0,198.0,921.0,349.0,1236.0,1204.0,3894.0,1843.0,6092.0,5672.0,22015.0,6.0,109.0,112.0,584.0,28.0,360.0,989.0,2678.0,1278.0,3757.0,38.0,232.0,132.0,381.0,908.0,1969.0,1159.0,2625.0,2475.0,6372.0,184.0,437.0,17398.0,46687.0,46687.0
Gippsland South,8490.0,16960.0,73.0,679.0,660.0,3046.0,130.0,821.0,3309.0,13302.0,4268.0,17846.0,254.0,1273.0,507.0,1649.0,1278.0,4011.0,2117.0,6927.0,6345.0,24823.0,12.0,112.0,106.0,592.0,75.0,375.0,948.0,2596.0,1232.0,3587.0,35.0,259.0,173.0,419.0,891.0,1935.0,1221.0,2650.0,2497.0,6256.0,160.0,423.0,17580.0,48439.0,48439.0
Glen Waverley,7856.0,15842.0,29.0,471.0,1303.0,5722.0,55.0,461.0,5609.0,21222.0,7033.0,27795.0,718.0,3353.0,1689.0,6096.0,2361.0,7569.0,4802.0,16987.0,11824.0,44871.0,5.0,124.0,151.0,785.0,15.0,163.0,785.0,2011.0,1079.0,3088.0,135.0,638.0,596.0,1402.0,1182.0,2667.0,1944.0,4652.0,3055.0,7776.0,274.0,637.0,23054.0,69103.0,69103.0
Greenvale,4664.0,9459.0,333.0,2401.0,1357.0,6968.0,258.0,1542.0,4949.0,20354.0,7037.0,31310.0,1006.0,4618.0,821.0,3116.0,2610.0,9316.0,4480.0,16989.0,11548.0,48259.0,46.0,478.0,207.0,1030.0,59.0,503.0,932.0,2814.0,1417.0,4796.0,174.0,901.0,245.0,732.0,1453.0,3607.0,2056.0,5145.0,3447.0,9928.0,206.0,582.0,19800.0,68284.0,68284.0
Hastings,7083.0,14277.0,93.0,752.0,712.0,3427.0,206.0,1049.0,4221.0,16459.0,5345.0,21676.0,435.0,1858.0,525.0,1853.0,1715.0,5609.0,2723.0,9254.0,8052.0,30987.0,22.0,212.0,169.0,727.0,46.0,394.0,1055.0,2878.0,1452.0,4139.0,81.0,437.0,287.0,652.0,1188.0,2581.0,1637.0,3624.0,3073.0,7847.0,151.0,460.0,18424.0,53516.0,53516.0
Hawthorn,7606.0,15157.0,7.0,253.0,1053.0,4850.0,3.0,223.0,4048.0,15492.0,5209.0,20743.0,510.0,2139.0,1362.0,5000.0,1082.0,3462.0,2988.0,10553.0,8154.0,31267.0,0.0,44.0,98.0,494.0,0.0,54.0,634.0,1546.0,829.0,2159.0,50.0,343.0,366.0,984.0,665.0,1362.0,1113.0,2580.0,1984.0,4758.0,320.0,781.0,18157.0,51932.0,51932.0
Ivanhoe,6535.0,13084.0,30.0,444.0,801.0,3630.0,31.0,387.0,4610.0,17704.0,5596.0,22192.0,422.0,1949.0,923.0,3453.0,1346.0,4427.0,2774.0,9853.0,8399.0,32034.0,6.0,111.0,92.0,489.0,0.0,68.0,795.0,1946.0,1022.0,2649.0,92.0,435.0,366.0,867.0,1043.0,2314.0,1596.0,3595.0,2599.0,6236.0,283.0,540.0,17735.0,51931.0,51931.0
Kalkallo,5914.0,12152.0,244.0,1972.0,1422.0,6663.0,273.0,1637.0,10094.0,39452.0,12108.0,49765.0,632.0,3057.0,706.0,2539.0,1767.0,6095.0,3187.0,11786.0,15234.0,61517.0,20.0,315.0,197.0,947.0,74.0,506.0,1362.0,3932.0,1822.0,5729.0,132.0,611.0,227.0,680.0,1210.0,2826.0,1618.0,4156.0,3554.0,9935.0,282.0,692.0,25061.0,84304.0,84304.0
