district,Blnd_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam_pc,Blnd_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam_pc,Intct_fam_no_otr_chld_pre_Fam,Intct_fam_no_otr_chld_pre_Fam_pc,Intct_fam_othr_child_pres_Fam,Intct_fam_othr_child_pres_Fam_pc,Otr_cpl_fam_otr_chld_only_Fam,Otr_cpl_fam_otr_chld_only_Fam_pc,Step_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam_pc,Step_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam_pc,Tot_Families,Tot_Families_pc,Tot_Families_total
Frankston,58.0,68.0,30.0,30.0,18.0,9.0,45.0,49.0,10.0,10.0,74.0,87.0,76.0,83.0,17.0,30.0,17.0
Geelong,33.0,43.0,31.0,31.0,28.0,43.0,19.0,18.0,44.0,45.0,51.0,62.0,25.0,25.0,27.0,31.0,27.0
Gippsland East,59.0,83.0,32.0,32.0,5.0,10.0,33.0,46.0,68.0,76.0,40.0,84.0,77.0,86.0,7.0,32.0,7.0
Gippsland South,56.0,73.0,33.0,33.0,11.0,13.0,27.0,33.0,77.0,81.0,59.0,86.0,26.0,26.0,11.0,33.0,11.0
Glen Waverley,13.0,7.0,34.0,34.0,79.0,84.0,64.0,56.0,11.0,11.0,26.0,7.0,27.0,27.0,79.0,34.0,79.0
Greenvale,37.0,33.0,35.0,35.0,78.0,69.0,73.0,71.0,12.0,12.0,34.0,12.0,78.0,76.0,78.0,35.0,78.0
Hastings,80.0,85.0,36.0,36.0,30.0,12.0,66.0,70.0,70.0,72.0,77.0,82.0,28.0,28.0,36.0,36.0,36.0
Hawthorn,3.0,3.0,37.0,37.0,44.0,88.0,11.0,11.0,49.0,51.0,6.0,5.0,29.0,29.0,39.0,37.0,39.0
Ivanhoe,9.0,9.0,38.0,38.0,46.0,73.0,12.0,12.0,13.0,13.0,16.0,20.0,30.0,30.0,44.0,38.0,44.0
Kalkallo,73.0,42.0,39.0,39.0,88.0,58.0,79.0,74.0,53.0,46.0,78.0,30.0,85.0,77.0,88.0,39.0,88.0
Kew,11.0,6.0,40.0,40.0,68.0,87.0,34.0,29.0,45.0,39.0,13.0,4.0,31.0,31.0,63.0,40.0,63.0
Kororoit,68.0,47.0,41.0,41.0,83.0,42.0,84.0,83.0,60.0,54.0,69.0,35.0,32.0,32.0,82.0,41.0,82.0
Lara,62.0,69.0,42.0,42.0,23.0,14.0,70.0,78.0,61.0,68.0,63.0,73.0,33.0,33.0,24.0,42.0,24.0
Laverton,35.0,29.0,43.0,43.0,81.0,59.0,86.0,87.0,78.0,65.0,41.0,17.0,34.0,34.0,80.0,43.0,80.0
Lowan,53.0,67.0,44.0,44.0,15.0,22.0,28.0,34.0,86.0,86.0,21.0,50.0,35.0,35.0,13.0,44.0,13.0
Macedon,45.0,54.0,45.0,45.0,33.0,46.0,38.0,39.0,57.0,62.0,35.0,45.0,79.0,84.0,33.0,45.0,33.0
Malvern,5.0,4.0,46.0,46.0,26.0,82.0,4.0,4.0,34.0,40.0,5.0,9.0,36.0,36.0,19.0,46.0,19.0
Melbourne,2.0,2.0,47.0,47.0,4.0,83.0,5.0,5.0,14.0,14.0,2.0,6.0,37.0,37.0,3.0,47.0,3.0
Melton,87.0,79.0,48.0,48.0,61.0,15.0,82.0,84.0,54.0,55.0,80.0,58.0,80.0,78.0,69.0,48.0,69.0
Mildura,64.0,77.0,49.0,49.0,16.0,8.0,60.0,65.0,88.0,88.0,52.0,72.0,87.0,87.0,15.0,49.0,15.0
Mill Park,48.0,44.0,50.0,50.0,63.0,54.0,74.0,75.0,15.0,15.0,31.0,23.0,38.0,38.0,62.0,50.0,62.0
Monbulk,50.0,53.0,51.0,51.0,48.0,34.0,29.0,23.0,69.0,69.0,64.0,57.0,39.0,39.0,49.0,51.0,49.0
Mordialloc,40.0,36.0,52.0,52.0,67.0,56.0,58.0,47.0,16.0,16.0,58.0,43.0,40.0,40.0,68.0,52.0,68.0
Mornington,43.0,48.0,53.0,53.0,37.0,39.0,6.0,6.0,35.0,41.0,55.0,56.0,41.0,41.0,40.0,53.0,40.0
Morwell,82.0,88.0,54.0,54.0,13.0,1.0,51.0,60.0,83.0,85.0,76.0,88.0,42.0,42.0,16.0,54.0,16.0
Mulgrave,30.0,34.0,55.0,55.0,56.0,53.0,80.0,82.0,36.0,32.0,25.0,25.0,43.0,43.0,55.0,55.0,55.0
Murray Plains,60.0,75.0,56.0,56.0,12.0,17.0,39.0,48.0,75.0,78.0,47.0,76.0,44.0,44.0,12.0,56.0,12.0
Narracan,85.0,87.0,57.0,57.0,25.0,5.0,46.0,45.0,84.0,82.0,72.0,78.0,45.0,45.0,30.0,57.0,30.0
Narre Warren North,44.0,38.0,58.0,58.0,71.0,48.0,71.0,72.0,17.0,17.0,46.0,33.0,46.0,46.0,72.0,58.0,72.0
Narre Warren South,84.0,57.0,59.0,59.0,85.0,38.0,87.0,85.0,62.0,56.0,85.0,44.0,47.0,47.0,85.0,59.0,85.0
Nepean,36.0,61.0,60.0,60.0,3.0,28.0,17.0,22.0,37.0,52.0,33.0,75.0,48.0,48.0,4.0,60.0,4.0
Niddrie,20.0,16.0,61.0,61.0,57.0,66.0,40.0,35.0,18.0,18.0,27.0,28.0,49.0,49.0,53.0,61.0,53.0
Northcote,10.0,11.0,62.0,62.0,32.0,79.0,7.0,7.0,19.0,19.0,7.0,10.0,50.0,50.0,25.0,62.0,25.0
Oakleigh,6.0,1.0,63.0,63.0,62.0,81.0,10.0,10.0,58.0,57.0,8.0,2.0,51.0,51.0,57.0,63.0,57.0
Ovens Valley,49.0,70.0,64.0,64.0,8.0,18.0,42.0,57.0,71.0,79.0,37.0,68.0,52.0,52.0,8.0,64.0,8.0
Pakenham,86.0,81.0,65.0,65.0,59.0,23.0,65.0,61.0,85.0,77.0,82.0,64.0,81.0,79.0,66.0,65.0,66.0
Pascoe Vale,17.0,19.0,66.0,66.0,45.0,85.0,13.0,13.0,46.0,47.0,11.0,14.0,53.0,53.0,43.0,66.0,43.0
Point Cook,77.0,45.0,88.0,88.0,87.0,47.0,67.0,50.0,38.0,29.0,83.0,37.0,82.0,72.0,87.0,67.0,87.0
Polwarth,39.0,46.0,67.0,67.0,31.0,37.0,22.0,24.0,76.0,75.0,49.0,60.0,54.0,54.0,32.0,68.0,32.0
Prahran,1.0,5.0,68.0,68.0,1.0,76.0,8.0,8.0,20.0,20.0,1.0,32.0,55.0,55.0,1.0,69.0,1.0
Preston,15.0,17.0,69.0,69.0,38.0,61.0,47.0,42.0,21.0,21.0,17.0,26.0,56.0,56.0,34.0,70.0,34.0
Richmond,4.0,13.0,70.0,70.0,2.0,62.0,14.0,25.0,22.0,22.0,4.0,48.0,57.0,57.0,2.0,71.0,2.0
Ringwood,24.0,20.0,71.0,71.0,69.0,67.0,24.0,19.0,23.0,23.0,28.0,16.0,58.0,58.0,67.0,72.0,67.0
Ripon,78.0,86.0,72.0,72.0,17.0,2.0,50.0,58.0,82.0,83.0,54.0,70.0,83.0,85.0,18.0,73.0,18.0
Rowville,34.0,31.0,73.0,73.0,73.0,55.0,54.0,43.0,24.0,24.0,62.0,41.0,59.0,59.0,71.0,74.0,71.0
Sandringham,16.0,18.0,74.0,74.0,43.0,65.0,9.0,9.0,25.0,25.0,18.0,31.0,60.0,60.0,42.0,75.0,42.0
Shepparton,74.0,74.0,75.0,75.0,27.0,25.0,59.0,63.0,72.0,73.0,43.0,55.0,61.0,61.0,29.0,76.0,29.0
South Barwon,66.0,59.0,76.0,76.0,49.0,36.0,43.0,38.0,47.0,42.0,68.0,59.0,62.0,62.0,50.0,77.0,50.0
South-West Coast,61.0,66.0,77.0,77.0,22.0,24.0,31.0,36.0,80.0,80.0,44.0,63.0,63.0,63.0,23.0,78.0,23.0
St Albans,47.0,49.0,78.0,78.0,41.0,32.0,85.0,88.0,63.0,66.0,42.0,47.0,64.0,64.0,46.0,79.0,46.0
Sunbury,63.0,62.0,79.0,79.0,35.0,33.0,25.0,26.0,39.0,43.0,60.0,61.0,65.0,65.0,38.0,80.0,38.0
Sydenham,54.0,39.0,80.0,80.0,82.0,52.0,72.0,67.0,26.0,26.0,65.0,34.0,66.0,66.0,81.0,81.0,81.0
Tarneit,65.0,41.0,81.0,81.0,86.0,50.0,88.0,86.0,73.0,58.0,70.0,29.0,86.0,80.0,86.0,82.0,86.0
Thomastown,32.0,30.0,82.0,82.0,70.0,57.0,78.0,79.0,27.0,27.0,20.0,8.0,84.0,81.0,70.0,83.0,70.0
Warrandyte,26.0,23.0,83.0,83.0,76.0,68.0,44.0,32.0,50.0,48.0,36.0,18.0,67.0,67.0,74.0,84.0,74.0
Wendouree,70.0,84.0,84.0,84.0,14.0,11.0,52.0,62.0,52.0,59.0,56.0,77.0,68.0,68.0,14.0,85.0,14.0
Werribee,76.0,56.0,85.0,85.0,74.0,31.0,77.0,76.0,55.0,53.0,81.0,53.0,69.0,69.0,77.0,86.0,77.0
Williamstown,25.0,27.0,86.0,86.0,47.0,64.0,48.0,44.0,48.0,49.0,30.0,39.0,70.0,70.0,45.0,87.0,45.0
Yan Yean,81.0,63.0,87.0,87.0,72.0,35.0,62.0,51.0,28.0,28.0,79.0,52.0,71.0,71.0,75.0,88.0,75.0
